,2014-02-18,2014-02-19,2014-02-26,2014-03-26,2014-04-22,2014-04-23,2014-04-27,2014-05-19,2014-06-24,2014-06-25,2014-07-22,2014-07-23,2014-08-12,2014-08-13,2014-09-08,2014-09-09,2014-09-25,2014-10-07,2014-10-08,2014-11-11,2014-11-12,2014-12-08,2014-12-09,2015-01-13,2015-01-14,2015-02-10,2015-02-11,2015-03-10,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-07-15,2015-08-10,2015-08-11,2015-09-09,2015-10-06,2015-10-07,2015-12-08,2016-01-19,2016-01-20,2016-02-16,2016-02-17,2016-03-01,2016-03-08,2016-03-09,2016-04-12,2016-04-13,2016-05-17,2016-05-18,2016-06-14,2016-06-15,2016-07-12,2016-07-13,2016-08-09,2016-08-10,2016-09-06,2016-09-07,2016-10-11,2016-10-12,2016-11-08,2016-11-09,2016-12-05,2017-02-07,2017-02-08,2017-03-13,2017-03-14,2017-04-18,2017-04-19,2017-05-16,2017-05-17,2017-06-13,2017-06-21,2017-07-11,2017-07-12,2017-08-08,2017-08-09,2017-09-12,2017-09-13,2017-10-12,2017-10-13,2017-11-07,2017-11-08,2017-12-13,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-03-15,2018-04-10,2018-04-12,2018-05-15,2018-05-16,2018-06-12,2018-06-13,2018-07-17,2018-07-18,2018-08-14,2018-08-16,2018-09-11,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
21.0,,,5.328,3.2560000000000002,2.43,0.83,1.03,1.27,1.58,0.7,1.39,0.76,1.45,1.24,1.29,2.13,3.45,2.97,3.75,1.75,2.87,3.52,3.27,4.1,2.29,1.51,5.69,4.63,4.68,1.12,0.82,0.95,1.38,0.79,1.3,1.86,3.07,1.52,1.82,2.27,2.47,2.14,2.37,3.21,1.97,3.82,4.6,2.3,2.45,1.17,1.11,1.09,1.14,1.27,0.69,1.54,1.02,0.88,0.81,1.85,0.75,2.12,0.99,1.44,1.52,1.11,1.47,1.82,1.02,0.45,0.67,0.43,0.95,1.15,1.17,0.45,0.97,0.84,1.27,0.38,1.42,0.95,1.98,1.69,2.83,3.31,5.9916025165975,3.89128648726995,3.07124999374532,9.10866543504519,7.56379485101758,3.03971021475052,1.91318508728623,1.51387350026391,1.82950031507478,1.24996356718458,1.44184713397311,3.3746131,1.23846922561434,1.92013220204408,1.23270857108289,2.25613968662629,1.39165862798396,1.14671382035724,5.34853117525516,2.64989607192119,2.19190034179748,3.52023064840323,4.16515775194391,2.27905351852367,0.950554159183307,1.01754712646431,1.53242466519038,2.03888206338513,5.21431391387391,3.32849590833321,7.64944808545109,3.12882730697652,3.29561208041489,2.48907101745938,4.20214288376966,2.4882924056385,2.37850821068725,1.13311756853812,2.30246234430148,5.31540698070077,2.37423151045393,4.11543861309797,3.0868421864381,1.73628168808849,2.32381420795588,1.54181567812109,1.39595985617016,2.53258942709131,2.04298872371398,2.15251000728178,3.22094756255553,6.71937343805963,9.82508850899402,2.10343578285569,3.08213933774334,1.0249369163515394,4.21740345677217,1.45400803379899,2.18557791202022,1.47662433299942,2.12575309006726,1.81738902582555,2.70741456378375,1.53603098740258,2.35877877261674,2.52342478915715,1.93814437940821,26.9644177677473,2.1335648359124,2.39578204045411,1.32326163277079,4.01284448188167,3.05446531736896,2.10284509931818,32.6069899219113,5.19298231058089,3.87326557121649
22.0,,,,,2.41,0.84,1.05,1.25,1.58,0.75,1.46,0.73,1.45,1.26,1.28,2.13,3.41,1.53,3.82,1.75,2.85,3.49,3.34,4.12,2.88,1.52,5.42,4.57,5.12,1.11,0.83,0.95,1.38,0.82,1.26,1.8,2.87,2.04,1.85,2.3,2.47,3.06,4.51,3.09,2.0,3.94,4.34,2.17,2.19,1.09,1.17,1.11,1.19,1.25,0.75,1.54,1.04,0.88,0.82,1.86,0.74,2.0,1.03,1.42,1.5,1.11,1.32,1.82,1.01,0.45,0.65,0.43,0.84,1.13,1.16,0.43,0.91,0.85,1.26,0.33,1.51,0.99,1.98,1.73,2.8,3.28,5.60654607398179,3.87368412494038,2.87183647623219,8.87054508761248,7.3730619715416,2.44009294946224,1.87838512464694,1.17918043545523,1.81900109043705,1.30088027405513,1.45609797962068,3.59065662,1.3076921033528,1.96301105257504,1.39357532796317,1.9464329180071,1.44148211356743,1.1486599484808,5.30339658324392,2.74070482026727,2.22067771296674,2.97568238666831,4.20395929011957,2.31406416354907,0.904399812034573,0.861447788982812,1.45296911530064,1.5545618608401,4.75795804580638,3.29535331722335,9.38721832512549,3.17550909994967,3.41215341605375,1.77962542345167,4.15291898640236,2.38873019547997,2.13684808183958,1.05243367803279,2.12438010370042,4.99732393219655,2.36597410935198,3.90545493460218,2.8226776592564,1.74149694444762,2.03071925618055,1.40824601193826,1.20002525854703,2.25091636884597,2.00445410490839,2.02026840525968,3.34918745575518,7.91706030280453,9.73767738171627,1.94738667338561,3.04412405232625,1.0568973075605874,3.524171774505,1.3093920219717,2.15321677841973,1.36808175713454,1.97457487826,1.7045296775496,2.55235551078301,1.26332898657411,2.430864362259,2.46471938617885,4.24235119835413,4.87918377846286,2.0931819050177,2.43607594774836,1.69501716990019,4.33217768889463,2.64410315428446,1.67119143352944,31.9359587108625,4.99246253987699,3.86704839674925
23.0,,,,,2.4,0.85,1.12,1.25,1.66,0.78,1.48,0.7,1.45,1.14,1.27,2.61,3.17,1.56,3.74,2.47,2.9,3.41,3.47,4.42,2.65,1.55,4.99,4.57,5.6,1.11,0.86,0.95,1.56,0.86,1.22,1.17,2.81,1.34,1.86,2.28,2.42,2.34,2.5,3.03,2.02,3.92,3.61,,2.03,1.05,1.22,1.1,1.19,1.22,0.78,1.57,1.03,0.87,0.82,1.84,0.76,2.46,1.04,1.36,1.54,1.12,1.28,1.79,0.96,0.45,0.65,0.42,0.84,1.11,1.18,0.36,0.88,0.83,1.23,0.3,1.57,1.03,1.93,1.76,2.2,3.21,5.42927946275385,3.43654346158879,2.68982551290886,8.57622111645107,7.35276932152114,2.10053812754903,1.86958016761978,1.32613990457171,1.80460744041415,1.31752541605961,1.44751456826518,4.0641865,1.43497811674679,1.88377798056816,1.54251277366293,1.89334321404916,1.51962316247172,0.942706361539417,5.16284435502089,2.31680286565743,2.12632750952643,3.28307388824561,4.00912510932352,2.06583275647945,0.871728268891771,1.00565329327567,1.1817475270019,1.59422621405036,5.11210570735421,3.22719146485541,9.12696765899295,3.2164891915135,3.46164264128976,1.46588846628882,3.89181910698577,1.9714761785066,1.84443849176746,1.00633957630458,1.96196298818054,5.00846479128291,2.61130971877318,3.73878390060548,2.68354169721221,1.56941200897368,1.95570736284886,1.25613836786992,1.12797782132353,2.02901765627019,1.60424955753887,2.11706204990735,3.12028256022008,8.65391795123341,9.49729094278311,1.94569643365409,3.26940793651713,1.1136833055513276,3.2306195824071,1.35346778791494,1.96874372187684,1.42787100381217,2.11860714885744,1.8904358914751,2.30207990711946,1.17533346626717,2.39496020057242,2.39519553101667,4.64539578050536,3.67138725811518,2.26926138358061,2.34638272855692,1.87271634674004,4.60493371861939,2.20746350669799,1.53361413161486,31.2772802388963,2.38773081638676,3.82218869654849
24.0,,,,,2.36,0.81,1.13,1.22,1.22,0.81,1.5,0.72,1.43,1.28,1.24,2.87,3.17,0.93,3.71,2.27,2.95,3.43,3.55,4.4,2.07,1.59,4.15,4.51,6.16,1.09,0.88,0.97,1.44,0.89,1.2,1.29,2.26,1.29,1.42,2.25,2.39,1.85,2.54,2.98,2.02,3.92,3.06,0.79,2.11,0.6,1.21,1.11,1.17,1.21,0.84,1.58,1.06,0.86,0.84,1.84,0.74,2.24,1.05,0.88,1.57,1.13,1.29,1.77,0.96,0.47,0.64,0.42,0.83,1.1,1.15,0.34,0.86,0.8,1.15,0.31,1.59,1.02,2.23,1.87,2.8,3.2,5.47949251662752,3.63602316037952,2.52178083630861,7.73552137240477,7.65397063075096,1.82367821311487,1.88908228493703,1.28363269612873,1.78675600081964,1.32068420110202,1.39717265997385,3.55798368,1.63858019196678,1.82032832120898,1.71927658749001,1.92425614192794,1.64192910378866,0.913119804515426,4.94293654762336,2.47917425261504,2.13230649961025,3.13091308207451,3.64875716454828,1.94583124628195,0.786919380409844,0.887029920130943,1.19979444836304,1.7766498923785,1.95803966073521,3.19718935472566,8.18102290861176,3.26811696688373,3.46429934044309,1.25633314342148,3.00860179679704,1.68091774780973,1.45204017351496,0.910205501812527,1.6944702801975,4.0596561134148,2.59974292291734,3.29449517685,2.33432185717568,1.52307989337216,1.92155787134663,1.17677073231487,1.08247880953387,1.66800621099739,1.40004659542463,2.18378414918147,3.23256290870191,7.4769220390247,10.3539862023246,1.98880329531214,3.68807110177808,0.9569516849801344,3.16233659380728,1.16175910810879,1.69668298447662,1.33070014460987,2.07978461882925,1.87182484411263,2.5911181986272,1.19549622888502,2.27853738487858,2.33214623770752,3.81199613134021,1.86748789533848,2.41570998825175,2.02974637935971,1.75263261365255,4.25295717148267,2.01839647094078,1.45764756065078,29.8924716165682,3.80713945043173,3.95969399915635
25.0,,,,,2.37,0.78,1.14,1.19,1.22,0.83,1.5,0.71,1.44,1.36,0.78,2.44,2.03,1.19,3.67,2.11,3.0,3.5,3.53,4.42,2.54,1.6,3.74,4.48,6.59,1.07,0.89,0.98,1.42,0.92,1.18,1.25,2.41,0.93,1.31,2.26,2.34,1.71,2.66,2.98,1.97,3.7,,0.75,1.51,0.5,1.18,1.07,1.17,0.73,0.89,1.55,1.05,0.84,0.88,1.87,0.78,2.24,1.04,0.83,1.1,1.15,1.26,1.24,0.96,0.49,0.64,0.42,0.85,1.13,1.09,0.34,0.99,0.66,1.07,0.31,1.58,1.04,2.01,1.93,2.19,3.13,5.65881695449223,3.60001854573857,2.37066539697059,7.68120141630625,7.69496979275408,1.78866815531593,1.88282138900302,1.22869202761824,1.76588340746706,1.20263906088151,1.35765297233513,12.7334228,1.80449729310827,1.89841960393557,1.86932990364334,1.79178737661024,1.7256028011763,0.81824931447867,4.68598354567476,2.68899465615436,2.06326569066934,3.51894716949956,3.55288807702363,2.13461004953886,0.770540815403116,0.841005353539776,1.32417212433807,1.51569927957619,3.49601636602575,3.20274325664443,7.70860461831002,3.30725835801105,3.43566156609135,1.17910002577838,2.09652346754143,1.67464957152944,1.17701564377287,0.837213833323701,1.47369129015175,2.26141854068847,2.40386899086125,3.63403188357027,2.33184293900641,1.54761641810952,2.03157102790027,1.12152332646361,1.00550293379891,1.8752902918203,1.43501233692299,1.85698027396311,3.17961517667285,6.77459008772182,10.9536469180792,1.69503641733239,3.07378976269984,0.7334056449690896,2.48305901722172,1.27278887426758,1.43110980913654,1.34373679610185,2.2698061006268,1.64728981581805,2.44410529581369,1.22858100194718,2.36758407694487,2.26778640699681,3.92197694789085,3.18090679494091,2.47234275635517,1.99058857186385,1.62530563120541,3.40450887518208,1.93141183689155,1.4987506850205,26.9341276418904,4.41099916319636,3.8657897006363
26.0,,,,,2.36,0.82,1.08,1.17,1.3,0.85,0.79,0.7,1.44,1.25,0.86,2.64,2.24,1.19,3.22,2.22,2.96,3.57,3.48,4.44,2.38,1.65,3.48,4.43,6.58,1.07,0.91,0.99,1.42,0.94,1.14,1.21,2.07,1.61,1.08,2.23,2.25,3.0,3.98,2.92,1.95,3.56,1.72,0.7,1.71,0.49,1.12,0.95,1.31,0.83,0.89,1.53,1.11,0.84,1.03,1.81,0.77,2.13,1.04,0.91,1.26,1.14,1.27,1.06,0.94,0.49,0.62,0.46,0.81,1.09,1.08,0.3,0.64,0.63,0.45,0.31,1.53,1.04,1.63,2.27,2.28,3.15,5.38106022257693,3.79768962384453,2.22370619862264,8.15036946218122,7.3398477015504,1.64873450351617,1.86333620152002,1.04513423072223,1.74242629616999,1.10157923560946,1.33393827265127,8.43831159,1.97730068410929,1.91734951719534,1.97267620068673,1.67476098337608,1.79448376293507,1.00296783856977,4.35903567473177,2.66560348792751,2.2447150306875,3.1659760962741,2.96694594260148,2.36009818356794,0.721756526526449,0.83170564896036,1.35082781427507,1.62843451927614,2.98165355230226,3.25697557034329,7.23436071192005,3.33140076044754,3.36343677256883,1.46611026934612,1.32899226669542,1.69775563617548,1.07080865760997,0.768403215360828,1.45595155936027,3.87502965014291,2.60616222760876,3.69876485485189,2.39945979574847,1.53260126859908,2.04441204281308,1.11982020299228,0.913811301507012,1.58434170065671,1.36096128499122,1.64142840019123,3.12287285952206,7.33498233249832,11.171622649686,1.60747491005684,3.38510192310335,0.7875685295056314,2.83516354340923,1.1958289849806,1.39806362790706,1.17406312829977,1.96027880920785,1.55129771803024,2.39307434459017,1.19081764925548,2.48179216297854,2.20123627493001,3.36583286959309,2.69778439431396,2.35840954067612,1.72818453377069,1.50935754177894,27.6325564700285,1.97979270260555,1.24089469945701,23.6586946902655,4.12049184421435,4.04002251478481
27.0,,,,2.072,1.59,0.78,1.05,0.75,0.98,0.87,0.86,0.7,1.44,1.3,0.86,2.1,2.26,1.34,3.07,1.5,2.93,3.69,3.41,4.48,2.39,1.66,3.19,4.5,6.82,1.05,0.94,0.92,1.4,0.97,1.1,1.2,1.85,1.02,0.93,2.23,2.25,1.85,3.97,2.85,1.99,3.44,1.51,0.67,1.62,0.49,1.06,0.89,1.44,0.83,0.92,1.53,1.14,0.81,1.03,1.81,0.78,2.27,1.04,0.75,2.56,1.12,1.24,1.1,0.93,0.51,0.61,0.5,0.78,1.05,1.05,0.29,0.77,0.61,0.38,0.3,1.52,1.03,1.9,2.38,2.25,3.07,5.98419860131608,3.43399040309104,2.0950922736931,10.6219817106005,6.82019812791444,1.46544508257592,1.82231222673152,1.0412876169977,1.71682130274197,1.01987014697602,1.31596179243094,4.88388819,2.11706815344303,1.99410905081596,2.05333090839874,1.71725181604774,1.83508809405195,0.800545070265727,3.99371099858381,2.47628848090412,1.9997692748845,3.15408978484929,2.87718361647964,2.37507523049852,0.672943443496935,0.84395356600206,1.44400502591262,1.27696614130758,2.12474367673478,3.30523999850172,8.12054288631549,3.34680818285455,3.26623088073869,1.29730872174927,1.22211098422697,1.28570468225982,1.00703466731358,0.800073515353956,1.40675103251212,4.01469743656699,2.5043709343826,3.8065344361053,2.30370927874497,1.58338796174799,1.95575989094885,1.16583820643524,0.795388648961152,1.28855873359407,1.23782097286814,1.63106241472521,2.80512902848358,8.08990406933698,11.2061756587437,1.56732585235182,3.21793704894163,0.9481372643081436,2.41127117428874,1.06571189945536,1.08600056689991,1.22949046445991,1.76048254967121,1.49954246076072,2.2765011211083,1.0629100474832,2.56433771407347,2.14897510004661,3.28944980391284,2.56490445695162,2.28547245399726,1.60206885027095,1.33596437895265,13.1889570416076,1.87390502700395,1.0590271459032,20.4327248427427,3.70885522256084,3.94982010086473
28.0,,,,,1.55,0.79,1.06,0.75,0.98,0.87,0.89,0.7,1.43,1.31,0.69,1.9,2.22,1.29,2.81,2.06,2.92,3.76,3.28,4.82,2.41,1.68,2.94,4.64,6.97,1.01,1.46,0.89,1.4,0.99,1.08,1.23,1.32,0.63,1.11,2.22,2.21,2.17,2.37,,1.98,3.32,1.54,0.61,1.05,0.47,0.99,0.84,2.17,0.51,0.95,1.5,1.09,0.79,1.03,1.81,0.78,2.37,1.05,0.82,1.52,1.1,0.72,1.15,0.93,0.53,0.62,0.55,0.74,0.99,1.0,0.26,0.73,0.6,0.45,0.28,1.45,1.01,1.76,2.05,2.17,3.06,6.16676568303783,3.36732618551554,2.02300447484028,11.8648698961662,6.01725463187366,1.48343900277569,1.71821784535279,0.979292419721952,1.68591151366339,1.00563707381116,1.31761283869338,3.38690034,2.15058923765563,2.04103895736634,2.1107793951493,1.77382129736356,1.80650584262398,0.829422579574394,3.67004156845031,2.70436030865426,2.06458592416449,3.10332511658442,2.53352429100625,2.22617747659418,0.644295976801544,0.788248799510669,1.23478638599351,1.14424481437084,1.79321131798836,3.33714302165714,8.18988186954408,3.34798645607838,3.13751368472623,1.11403244960985,1.07068895246955,1.05220432114489,0.950743249198823,0.756790311779013,1.2869777557013,3.94800237605294,2.51864357413339,4.02717299604492,2.27299352401579,1.5127523697255,1.81082723780314,1.02197575632815,0.788087462793845,1.24512188270313,1.16772706501932,1.69438842965512,2.36465435944027,7.63125678646328,11.2192726417163,1.45620795668717,3.23429915681402,0.9947179938357044,1.99798426635,1.06441255914159,1.05687918696561,1.24497578225049,1.46223631280217,1.46968286355452,2.22571322577348,0.991519629269899,2.59129043907219,2.11922549784196,3.51009730770817,2.28276283489836,2.06564757138208,1.57312570707529,1.17117091596597,2.9164411575036,1.78455872440798,0.89193339517775,17.3565517050822,4.41861584829477,3.45551459998081
29.0,,,,,1.49,0.81,1.05,0.63,0.92,0.86,0.85,0.7,1.43,1.28,0.56,1.22,1.38,0.84,,2.06,2.85,3.85,3.25,4.75,2.48,1.67,2.84,4.75,6.65,0.97,1.12,0.85,1.39,1.02,1.08,1.2,1.11,0.95,1.04,1.79,2.18,2.75,2.36,,1.97,2.84,1.54,0.56,0.76,0.45,0.81,0.72,1.77,0.49,0.96,1.48,1.17,0.79,0.98,1.82,0.77,2.37,1.04,0.81,1.05,1.11,0.83,1.13,0.89,0.57,0.59,0.58,0.7,0.96,0.56,0.25,0.68,0.58,0.41,0.28,1.46,0.93,1.83,2.09,2.3,3.08,5.45067001630097,3.17806667872093,1.98620292480418,12.5581639250477,4.96873486501707,1.23122207938001,1.58093663081602,0.964504759627581,1.64680675493203,0.955348811761444,1.32983823285175,3.09479253,2.13249276179104,1.81483964597529,2.14481991946632,1.67216526302978,1.74533844854773,0.818689029056913,3.33261922652631,2.701964484765,1.99043348010163,3.33948783785969,2.29203713895253,1.85043442816809,0.633308110062271,0.685791677565771,1.03366163820483,1.06888056675522,1.52034203014484,3.33405704986133,6.9281113767385,3.34060627170221,2.9857628409723,0.985269187415392,0.944332632126165,1.05242401621624,0.943891028292147,0.711240280739049,1.21104875010364,4.04710769087225,2.68498707891712,4.03258336469257,2.42122564500838,1.45492627715694,1.74750040032098,1.09356374898678,0.810390314971163,1.0577681636615,1.1246730280636,1.81942720273012,2.293096488254,8.45832928306153,10.9491141213147,1.45716672581011,3.28283266482088,1.0153871913745098,2.0757594209411,1.00851418239448,1.14871846869158,1.11010984575479,1.42382367537373,1.47278549322801,2.00827587604264,1.08268856188385,2.8833027164471,2.10123310685821,3.58420470654494,2.39561629939486,1.70520608214285,1.38437840393714,1.1217362698782,2.04914396440226,1.72277276832054,0.894112570754701,15.0250639195691,4.11228951943407,9.48240540608303
30.0,,,,,1.0466666666666666,0.9916666666666667,1.1283333333333332,0.6733333333333333,0.7116666666666666,0.5016666666666666,0.7383333333333333,0.775,0.94,1.1716666666666666,0.6999999999999998,0.9049999999999999,0.8516666666666667,0.6283333333333333,0.5325,1.7816666666666665,1.566,3.8633333333333333,3.66,4.616666666666666,2.8049999999999997,1.7866666666666664,1.7559999999999998,4.88,5.366666666666667,0.8266666666666667,1.1866666666666668,0.7600000000000001,1.2383333333333333,1.1116666666666666,1.0283333333333333,1.25,0.9066666666666667,0.6783333333333333,0.6616666666666666,1.9066666666666665,1.9916666666666665,2.0716666666666668,2.2716666666666665,2.2933333333333334,1.8183333333333334,2.203333333333333,1.3966666666666667,0.3983333333333334,0.6133333333333334,0.37666666666666665,0.635,0.46166666666666667,1.31,0.51,0.9316666666666666,1.0416666666666667,0.945,0.6333333333333333,0.6416666666666667,1.4333333333333333,0.65,2.706666666666667,1.0633333333333335,0.79,1.22,1.1266666666666667,0.8283333333333333,0.9583333333333334,0.805,0.6633333333333333,0.4766666666666666,0.6566666666666666,0.45166666666666666,0.5516666666666666,0.44333333333333336,0.19666666666666666,0.48833333333333334,0.47833333333333333,0.305,0.23666666666666666,0.935,0.5283333333333333,1.635,2.095,2.4899999999999998,2.966666666666667,5.591732409995086,3.1487311934781634,1.7125921347874433,8.86217093175156,2.8755953997658903,0.8709993200387025,1.2488295455991383,0.7843766536752269,1.4703177535001766,0.7602075328375228,1.3063322421425283,2.426066245,1.994570173766535,1.2916114259797384,2.0228458125153064,1.4080662934883599,1.5930590848270232,0.6689994984324645,2.214041006327783,1.7990733836779598,1.9034647048124285,3.3402265886712637,1.5447546156684366,1.5490783537018566,0.6050048249225677,0.6898679342034685,0.7750396321460173,0.7925675965350963,1.2366794768164855,3.220840446272723,5.840269951800991,3.32215375706161,2.2765669871701264,0.9379954643102381,0.9263254858720206,0.885140205169551,0.8133750824273062,0.614306030998652,0.7886294952563128,7.559052676350735,2.4818863574589867,3.8331658078117985,2.33298287858309,1.3038260812659284,1.5753629660538084,1.0170623621263433,0.728501607397592,0.9588257926403333,0.9409465018861285,1.0670418095191903,1.4315111873355935,3.8247787268650417,10.9916578957398,1.2844595681921283,9.432679825756804,0.6861638252131993,1.58574565974076,0.9427640405803279,0.872850587708041,0.9227455499933663,1.2067431952798202,1.30785916217222,1.382867305997368,1.134093270528285,2.557758163479958,2.05480310249091,3.5213282701986484,1.8991210522503135,1.390408243209145,1.1506254612817366,0.8418644894242475,0.8715982404837145,1.0289617070326995,0.8095389925238446,9.376991737813722,3.4873902004771686,5.497534070116372
