,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,8.44708664440017,7.819578772823602,8.021406120678215,8.338249999999999,7.8995,8.346,8.828288423411303,7.346750000000001,8.546895272097363,8.52901795261934,8.434333333333335,8.423083333333333,8.108916666666667,8.358166666666667,8.091333333333333,7.984477829957688,8.038333333333334,8.167916666666667,7.8877500000000005,8.009502269987374,7.909157231030958,7.479583333333333,8.139666666666667,8.469000000000001,8.224416666666666,7.859583333333334,7.900499999999999,8.059083159992618,7.97264803026772,9.19025,8.184280213236423,8.3855,8.041666666666666,8.394166666666667,7.992497049474434,7.951499999999999,7.792,8.878748920090228,7.737833333333333,8.424083333333334,9.382583333333333,8.121,7.919833333333334,8.352416666666667,8.991619155376734,8.625620178723413,8.334556351646777,8.12712012363097,7.890218466514038,7.981387516501384,8.035946832780617,8.071636626315302,7.870222082558277,7.818039186693182,7.962310062668175,8.385448569771537,8.178469971267118,8.080248899498006,7.689318148023851,7.865618903041136,7.8039363055740125,7.614255093484067,7.354159938887571,7.834749660740635,8.107630981546489,7.398468420279409,7.3032365243278985,6.7644754849936195,7.189495579663731,7.328128777762524,7.000330535016533,7.164397359218325,7.617013392010515,7.6103155885304234,7.818874284409373,7.831388761360887,8.076762274724034,8.003871749303855,7.326269575300145,7.017601685124151,7.25059172133148,7.044649211802963,6.556529333011558,7.1057155120416065,8.094138531397451,7.494414293803843,7.5884652307341804,7.738078130773179,7.396160380168708,7.382142299854824,6.96200079278133,7.188874716808221,6.916016658521061,7.262248030121911,6.818604267465645,7.619052594291361,7.4102067864574845,7.365322476505792,6.561011293190019,7.1649953732179394,6.793502820182462,6.542468283982691,7.098074313672457,6.481761947972929,6.310733464660511,6.3925026119900945,8.528063472782549,6.933153726479146,7.520383579866372,0.20607270433030084,0.10016096474564,0.04929379449726256,0.13961464822861502,0.16355551781400546,0.25193311869680046,0.36342315317739526,0.2742521649868966,0.3746710588525128,0.42913093866907787,0.010572501018102492,0.022789495630906292,0.035614577747715696,0.015673757260679114,0.1051739300185908,0.07668916190586485,0.1920090661439757,0.19924921580774158,0.10810946955474139,0.10000122789795926,0.0480852454562344,0.1962261308909813,0.1451846844284646,0.035618347332051964,0.041126160908978,0.11852812605734868,0.07614241043378311,0.04378798172398101,0.12396913280476687,0.11472394402797177,0.16419317982508158,0.19941497770562094,0.1562526444220664,0.0075938571665959305,0.05172028775166565,0.05638262143604204,0.04388621651498311,0.2985568724440962,0.020382454328280824,0.057387813263018776,0.15064979625313524,0.09498420921395277,0.1555602777061033,0.04223512229833838,0.4888822111874789,0.23234039249196492,0.16059177609266512,0.08411784526029331,0.13224975173945303,0.052074389815670995,0.13333851793139256,0.14639698882937363,0.13808819558433122,0.1297562359091929,0.2911695163185405,0.17834847432997394,0.04193128921467666,0.0248316466789504,0.22707194898693642,0.11022629860556976,0.1484498802329846,0.26431380816272015,0.37600661721062933,0.12140421129277951,0.13340931348361956,0.4067416223331792,0.32835227103179926,0.7099329777929884,0.48214808164808826,0.40456310000676027,0.5682322657381269,0.5465701763746751,0.2674677049761915,0.1365292529536854,0.12372159414013173,0.09616317088838099,0.09455782992509472,0.11401573026105985,0.3470515977584836,0.5106313735390681,0.451845162126762,0.5167955314304248,0.8411578409224072,0.5243119752336886,0.061571693733747934,0.22271790233825123,0.1375141139338069,0.011117487440418324,0.24775835463139334,0.29909414870492534,0.5740717083484258,0.4216955289349236,0.5940966856539226,0.47623908040297164,0.7342850266827284,0.27212705810867416,0.30705498756837596,0.2791570446389956,0.8300723152962393,0.4200297109055669,0.6870907548621799,0.855817296606178,0.48011701056963485,0.921114403256974,1.0124357406590365,0.9666949485618489,0.11517868308635838,0.7035159892599311,0.2795654838795751,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Lower Photic,8.80875,7.9704999999999995,8.331,8.860000000000001,8.817,9.204,9.010000000000002,9.312000000000001,9.718,9.599,8.479000000000001,8.470000000000002,8.139,8.438999999999998,8.57,8.316500000000001,8.641,8.671583333333334,8.34,8.4675,8.626000000000001,7.770999999999999,8.048416666666666,8.495000000000001,8.273,7.929,8.241,8.482000000000001,8.393,9.693000000000001,8.8185,8.8815,8.267,8.409,8.056999999999999,8.186,7.939,9.192,7.9455,8.75,10.024,9.037,8.600999999999999,8.495000000000001,9.288681834139968,8.808821776085846,8.65884137175574,8.29777634295204,7.999454913186651,8.225453284911206,8.74565171125,8.608454635697694,8.185289126242427,8.304270154516896,8.725811512873936,8.599049403586267,8.240724363404894,8.270176654132149,8.0635709316928,8.110585970494906,8.019252729276438,7.974346747890722,7.876040777882949,8.506936421488042,8.327680282359578,7.766151635014613,7.700576955467073,7.164699306723898,7.748027104810413,7.952292236419207,7.606617912186901,7.743199841226945,7.8822962186485785,7.793500596777197,7.991601728766511,7.97985216959203,8.339260539791429,8.227628904414004,7.508044724665043,7.329599224801053,7.834496882963904,7.571098429885856,6.841998506108574,7.597908172001665,8.205830431552096,7.6487606905564665,7.664514325812971,7.755497594571328,7.419490811355307,7.630637036784213,7.353183471888464,7.514275944573501,7.402694098589746,7.88058622791541,7.459437624701636,8.162074171824395,7.533497179858929,7.2198533178005375,6.842219082819604,7.411533569919653,7.235754544441734,6.605109663727186,7.427579333242399,7.1910772649198265,6.6796068048101205,6.7797028742921785,9.400332529415477,7.2895139536217695,7.865226781201402,0.02826585101024449,0.1689855352126655,0.21558447686850427,0.10934146311237798,0.24120300348231366,0.22386503870760066,1.8724445165742407e-15,0.7759553251745018,0.1436662799685432,0.10816140202904619,0.019119507199599876,0.004714045207910216,0.02183269719175057,0.015951314818673526,0.05676462121975458,0.18633974347948418,0.017288403306520022,0.07627359986939819,0.17788885418835113,0.17750195617075487,0.2565779067305337,0.032472210341220165,0.013880275106677657,0.012692955176439575,0.106254411673116,0.13461467643281375,0.23259167846010498,0.17961687621774916,0.10089047967419368,0.06750308634919333,0.03916134715648953,0.03858972229320456,0.03128720008068632,0.01449137674618913,0.006749485577105385,0.025473297566056975,0.059338951044917265,0.09531235200352803,0.09142240182556781,0.11690451944500133,0.1841014213235009,0.06864562784491245,0.05566766466171249,0.06114645442614734,0.011448345940903914,0.005402138016850541,0.08835257682916135,0.22287815993072577,0.09202573589629293,0.18933759608602202,0.12978253202305273,0.032810684093786256,0.1569394534055998,0.28648349301811454,0.0064723466383020305,0.005949135782183629,0.011295538778857812,0.1470144779056798,0.08602731992999446,0.15542003835289808,0.17857644035667908,0.28538107119269085,0.2811161495661618,0.3071795318140342,0.06305211203586941,0.30495937035709697,0.2824562954921679,0.36348715898736855,0.4077333684608501,0.30244539171000034,0.14197839514926755,0.0983464537847057,0.047733889479905374,0.057667205796472006,0.03913318404263394,0.09386062193222316,0.062471294155685565,0.09358946432643647,0.1441640974237579,0.30257517610553636,0.27818909889435023,0.2666297692752282,0.18750933450629167,0.09659734250899209,0.03040673404528083,0.07280970306027314,0.07286334704183563,0.004319470654694096,0.14509811256752927,0.170680057389294,0.29405577164975505,0.25356121618630095,0.13987100224670007,0.20395279749629258,0.1381449405024548,0.11395305031993624,0.08500214142234874,0.09901035615189122,0.23073573093865068,0.1293538930996516,0.11064808827066272,0.09383947629412426,0.22505929682208367,0.16375933125293565,0.19433846314932696,0.23598874154540195,0.10269098909062119,0.09532825205463963,0.03580035159179002,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,9.093,8.398,8.645499999999998,8.997,9.084,9.376,9.010000000000002,7.260923076923078,10.271,9.562000000000001,8.514,8.509,8.142999999999999,8.533999999999999,8.674999999999999,8.724,8.647000000000002,8.819999999999999,8.675999999999998,8.867,8.8435,7.891,8.110499999999998,8.559999999999999,8.553,8.364,8.624,8.716000000000001,8.604499999999998,9.873,8.864999999999998,8.992999999999999,8.373000000000001,8.441999999999998,8.088,8.247,8.114,9.452,8.149999999999999,9.050999999999998,10.3605,9.1555,8.848499999999998,8.547,9.321671113352512,8.792957722893838,8.779500108991439,8.640576691963883,8.517717463335956,8.852511554824426,8.863271948,8.844966254815592,8.688811521561863,8.918197110874287,8.79063353299211,8.61559081858135,8.339603536175858,8.594309154449144,8.392549714649395,8.62732477809933,8.655031155333129,8.52246658168685,8.372718564037033,8.817169345994515,8.52407397771357,8.383974347302678,8.207545222826642,7.866086690034807,8.347161507270508,8.427501418435755,7.966294387019092,7.988801025030014,7.96554021275985,7.939919003233223,8.152206463081082,8.41657826594078,8.492969169285194,8.686101556607463,8.164088295670158,8.139767190772693,8.27502606930427,7.941553032729457,7.380781096659506,7.895403876132072,8.345823026542611,7.896820311634963,7.9919841416092705,7.76624073807469,7.773333657727274,8.106056949868748,8.018405276524463,8.001344214408087,7.623406626006663,8.393052498715157,7.821130124228357,8.34035909388502,7.8390387091347025,7.500367870173849,7.185355473160622,7.754724365486813,7.525652487433329,7.064584055068558,8.074114354269634,7.400906052751113,7.196641744516656,7.527812271890698,9.476285801296012,7.4160987432661445,8.05432393875876,0.1235128823190743,0.06314005596027532,0.04387165625118602,0.006749485577105385,0.047888759989514786,0.06221825384170723,1.8724445165742407e-15,0.8278825917959723,0.5969822256799423,0.041853654500673125,0.011737877907772424,0.021832697191749954,0.032676869155073354,0.0386436713231718,0.028771127502719807,0.030983866769659363,0.0067494855771053856,0.010540925533894374,0.08181279443542612,0.07746683878351501,0.0251716330640486,0.026012817353502228,0.0267135005401974,0.026246692913372897,0.06219146064997767,0.05481281277625196,0.04141926551202408,0.021705094128133155,0.0545919204441261,0.03368151487751776,0.0343996124009172,0.030930028559098804,0.023593784492248807,0.01932183566158608,0.023475755815544844,0.030203016773531217,0.04993328882953042,0.04442221666388701,0.05416025603090656,0.04629614814791091,0.04474930167052919,0.02910230995031927,0.07557373147389805,0.01636391694484505,0.03009650406651675,0.027952192824266562,0.03025270755023843,0.07953762142155031,0.15342580289702815,0.07940398912230326,0.006994765568567685,0.03810864114495402,0.12071938931996026,0.03799602520883654,0.0223439340525882,0.005699901793224508,0.07038223315222322,0.05302839132876665,0.16028168167419904,0.06983817499459297,0.0949237862165499,0.04049897720220217,0.09882334004113726,0.04489124528868154,0.03354817404766523,0.12081107152696682,0.1399720447665816,0.12152128815517582,0.04973253017207881,0.07388466648912079,0.1378635609269762,0.10799482130950037,0.049947760458734176,0.032037684961646586,0.06398095233526062,0.17067949067101226,0.04245763432704057,0.1499953937674108,0.19826629301461146,0.3159293603523895,0.06818145684453325,0.02831485312721941,0.19314442845337862,0.10057636753401213,0.041575371098614144,0.12069119252670583,0.16478141882358702,0.012361198345360721,0.06248036947802051,0.15808007094589518,0.30718769249225186,0.10263437353416878,0.0721225586179926,0.16153865542343368,0.2010984161058667,0.03953070789957254,0.11475813519295741,0.13866721643053753,0.1242848570701148,0.11041321916027234,0.20712805863219858,0.11932095782928986,0.134692360291701,0.11035540964252069,0.2254441732318109,0.23466814332774383,0.005945346715085085,0.16364334136538097,0.06725560789508045,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Surface,9.289857177277284,8.553,8.728,8.92,8.751,9.097999999999999,9.010000000000002,8.22907692307692,7.539507551605041,9.517,8.495,8.510000000000002,8.289000000000001,8.601500000000001,8.673000000000002,8.733499999999998,8.6165,8.817000000000002,8.969999999999999,8.957000000000003,8.906,7.979499999999999,8.143,8.652,8.64,8.401,8.748028065950322,8.7425,8.6525,9.91,8.914094343274323,9.003,8.446000000000002,8.514000000000001,8.084,8.208,8.174,9.528000000000002,8.205000000000002,9.096,10.3385,9.143,8.918,8.52,9.370496045700428,8.891050279925881,8.9215499045627,8.775691837871722,8.840345333333152,8.918572469485804,8.880659367499998,8.920540783643236,8.837454608122778,9.02141289103906,8.852648259627511,8.676338146921328,8.49753332704248,8.708772872139386,8.753369739970077,8.716130651122105,8.811132298547982,8.783167602581928,8.807352946033737,8.903791597257257,8.714284573211756,8.711675063940195,8.626713764802945,8.605098355901228,8.69964783610921,8.616837644628717,8.63264627538291,8.45665415137645,8.14912562335805,8.10216182166771,8.413366277557099,8.619644419380554,8.617276117968466,9.196334671022356,8.69662963745721,8.790574089420682,8.81867005723878,8.460061440855526,8.432860948884974,8.528464445429567,8.485185921378559,8.443497405877482,8.598204066901065,7.818140404790677,8.186896191007225,8.508604717116302,8.686991704305683,8.621555375614417,8.00642449837048,8.735566499468508,8.618268004910682,8.473295126734659,8.473870870849122,8.05360451776748,7.617233086385653,8.230964044832982,8.08301491558369,7.508918769566622,8.476684261465143,7.963983282986677,8.005407684527714,8.507137021142292,9.502831371124161,8.148195976095923,8.285028243577896,0.097505526603079,0.015748799679912964,0.011352924243950692,0.0802772971919485,0.12511772234357713,0.11419281938896145,1.8724445165742407e-15,0.6236931425746755,1.2039109642885455,0.274666801510215,0.04972144630058749,0.03590109871422998,0.05896326540030396,0.07016053021464438,0.03368151487751745,0.01415195314356934,0.02603949990985923,0.02869378562220987,0.06394442031083651,0.029078437983419362,0.015776212754931972,0.11066591365205623,0.011595018087284201,0.09162726425881963,0.09189365834726841,0.009944289260117319,0.06746290629407986,0.030299431604496094,0.028210518133017844,0.03399346342395181,0.006938248232811716,0.037727090178455686,0.060772800933750905,0.08113089560840685,0.03627058802329453,0.04779586221049329,0.10679159351018407,0.05977736472389292,0.07245688373094729,0.02756809750418057,0.05066502190312813,0.033681514877517776,0.007888106377465986,0.009428090415820434,0.02040241405396051,0.029942971210814608,0.015542969965960763,0.005013103692828464,0.045000935550691075,0.005668116010753603,0.008339450432014634,0.01090535386093289,0.023846783981963413,0.05251397224443567,0.0289832217491038,0.045479088714604855,0.02862954354879043,0.01220895746804245,0.014526342374824258,0.025354527616705175,0.022047830570814084,0.008195578615777122,0.029267797516555866,0.03206410848236744,0.06576677311622113,0.016502721800534574,0.09532330141797016,0.20010450035783983,0.1417524274928703,0.044142755368939,0.1741536324064721,0.18583722412148054,0.02794389328506431,0.10027863180811258,0.12820085065810446,0.02378966574449369,0.046239604741002804,0.18652516016331105,0.1836678671512714,0.023309830187225215,0.10836948431035669,0.3673637068359742,0.2829844104895232,0.16550045173136146,0.13209188454857415,0.10416393299733734,0.0465674455561956,0.01842613948284714,0.20506653833233932,0.07425102619306724,0.061045845396187674,0.23900118210517754,0.2958286683783908,0.04603333780398155,0.022686688786690182,0.08518092892436764,0.11234573298540762,0.27955054497528087,0.20359160749223504,0.06228982268739125,0.09236587692899564,0.398033849911991,0.1099659298369433,0.28221624421393776,0.4571366627074226,0.1786793640801735,0.030545188005163204,0.278733311616287,0.17871069197093983,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
