,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
17.0,,,,,23.01,,,,,,,,,,,,,,,,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.560477541429,,,,,,,,,,,,,23.6103756180864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9423134845614,22.0377816619934,,,,,,,,
18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3833658372582,,,,,,,,,,,,,,,,,,21.1533007427074,,,,,,,,,,,21.687029535032,,,,,,,22.734181405785,,,,,21.6837420706099,,20.6510157369647,,,,,,,,,22.5447647158107,
19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.96,,,,,,,,,,,,,,,,,,,,20.289406794627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4955965890771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3491121633534
20.0,,22.0,,,,,,,,,,,,,,22.95,,,,23.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6028338151261,,,,,20.5538582424534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1695875051649,,,,,,
21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8244641086994,,21.6831939610901,,,,,,22.9014711212284,,23.3002223170249,,,,
22.0,,,,,,,,,,,,,,,,,,23.19,,,,,,,20.86,,,,,,23.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,21.9,,,,,,,,,,,,,,,,,,,,,21.48,,,,,,,,,,,,,,,,,,,,,,,20.2618982147571,,,,,,,,,,,,,,,,,,20.8175458359631,,,,,,,,,,20.8966089692458,,,,,,,,,,,,,,,,,,,,,,,20.6447970800471,,,,,,,,,,
24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6705576873451,,,,,,,,,
25.0,,,,,,,,23.02,,,,,,,,,,,,,,,,,,,,,22.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6735605855306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,,21.95,,22.62,,,,,,20.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3954953678449,,,,,22.6876509722946,,,,,,,,21.1874605398383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,,,,22.46,,,,,,,,,,,21.23,,,,,,,,,20.74,,,21.89,,,,,22.65,,,,,,,,,,,,,20.2601249920489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3465974014784
28.0,,,,,,,22.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9428281655083,,,,,,,,,,,22.7401177011557,,,,,,,,,,,,,,
29.0,,,21.7,,,,,,,,20.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.65,,,,,,,,,,,,,,,,,,,,,,,,21.6931479504111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,,21.3,,,,,,,,,,,,,,20.87333333333333,,,,,,,,,,,,,,,,21.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.76655119584635,,,,,,,22.488816386125404,
40.0,,,,,,,,,21.803,,,,,,,,,,,,,,,,,20.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.74803930327879,,20.806551798755358,,,,,,,,,,,,,,,20.74224906913291,,,
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.465225095221022,,,,,,,,,,,,,,,,,,,,,,,,20.87529092126922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.64677075529371,,,,,,
60.0,,,,,,,,,20.538999999999998,,,,,,,,,,,20.458,,,20.514,,,,,,,,,,,20.615000000000002,,,,,20.448,,,,,,20.46433956217916,,,,,,,,,,,,,,,,,,,,,,,20.78026094305689,,,,,,,,,,,,,,,,,,,,,,,20.718114036569652,,,,,20.81519875871276,,,,,,,,,,,
70.0,,,,,,,,,20.456,,,,,,,20.342000000000002,,,,,,,,,,20.628999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,20.27838627224993,,,,20.46946827398882,,,,,,,,,,,,,,,,,,,,,,,,,,20.71536198518241,20.84225702828411,,,,,,,,,,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.427,,,,,,,,,,,,,,,,20.348669581017738,,,,,,,,20.56902651631793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.403216138679078,,,,,,,,,,,,,,,,,,,,,,,,,20.62596504632553,,,,,,,,,,,20.56044741503683,,,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.366999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.445834801604615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,,,20.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2556603787179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
