,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,20.574652160542655,20.624226217728527,20.5491415310822,20.634276127620446,20.620339378214556,20.655406459463766,20.730039633740745,20.735195684660546,20.794858611036783,20.538990874362305,20.39026288525333,20.33643307344405,20.33164398037809,20.468562364987733,20.469964945713684,20.4207,20.49045436522898,20.54229748279318,20.62893869658044,20.64249474990019,21.278774602020853,20.68031130292862,20.700719795948622,20.566773200922864,20.562197610346246,20.60050563323764,20.546377397874057,20.61955762672155,20.59145502293195,20.65717790927197,20.605132529642322,20.64855,20.821140362399266,20.750001970121282,20.385490198194532,20.38289684810031,20.475258367429245,20.50302118913682,20.504241833308445,20.491639710300287,20.525335581121237,20.596527868246305,20.620632424128807,20.664536026082743,20.431603948894352,20.3234094000186,20.281509209951174,20.282912864890008,20.30624001520252,20.379000623394962,20.352378249604843,20.363132445213346,20.476090024144508,20.483621622774837,20.601758512984553,20.44848795738742,20.473382722472127,20.48528957164384,20.48144732130897,20.53889289231619,20.517801760428053,20.583888786442948,20.553734021148134,20.611485684345062,20.56602058194198,20.603054776076288,20.668975961517333,20.673915883550393,20.66937259389884,20.785373237381272,20.784218425822353,20.71620892633739,20.65139725291794,20.66677256586906,20.68507692042607,20.698491504737525,20.661623827734676,20.721436392544806,20.774191427172575,20.751231058240943,20.751633517615335,20.811119583010885,20.807733650763097,20.721705189083114,20.671934015341723,20.504047963972422,20.628937272332394,20.62829362714799,20.650677166569693,20.659369777705578,20.739779141017777,20.77111647643604,20.82786427320554,20.802138189669133,20.78566447863104,20.681467556613804,20.565318615170707,20.530296489125597,20.550371918904084,20.56160611797505,20.64597365665285,20.62131785771269,20.59229385076257,20.648155539530045,20.773162351324498,20.80837362834207,20.865494437649957,0.15433934752977435,0.33366798251413776,0.33133251258858715,0.4176451845399912,0.4236738493258263,0.46358890692225174,0.5971316269228266,0.655160028560474,0.604094820762651,0.25574525011625904,0.0005736892316844606,0.027686854802101844,0.02803732189976521,0.2811581536821071,0.20332223646415662,0.17769249343239685,0.28823951651273416,0.35088235890969877,0.46283589738431025,0.5279070240731843,0.6478805325352263,0.6006742594171811,0.4431500425327234,0.21801984878863018,0.14169878611765785,0.18228760295126606,0.1711698071976635,0.23258455414953488,0.20322661007267254,0.3918354002195835,0.22552464019170335,0.38919806796939704,0.6692066155494099,0.4481322521426839,0.005021295299573808,0.02589421105599297,0.18391376227867004,0.20317969319815177,0.21167397981097458,0.15647692140977798,0.21699114924863389,0.36841561172143716,0.4360181887966184,0.5033757636687209,0.03790778128783492,0.06323491618010536,0.06469501213201923,0.06068556378507028,0.08472586179846922,0.19360455041675517,0.1332478156673353,0.13079898600493736,0.38276114455123544,0.3723061139554947,0.48320649848389435,0.08151647588164232,0.0767411869745556,0.15773765958580444,0.20785136022546655,0.21140872402608848,0.22762661074612317,0.399568310767137,0.291483049344583,0.18017444863379123,0.22972960423702188,0.1933721882197313,0.2655412551474361,0.2817532279366069,0.2631321346044622,0.45971767491274806,0.5524603346503881,0.3277599033388486,0.2175459629772026,0.184781122698378,0.216881937071269,0.23901999293182924,0.24990246995454812,0.260368481041929,0.2691969187542217,0.2551875669990973,0.2899396065139916,0.4322192059410973,0.436879170897479,0.24116907237920282,0.18820012927631696,0.08155458256445441,0.15015367692277565,0.1798633396438181,0.16820869019499743,0.21372227983611694,0.2855500969206386,0.3872368971933671,0.5096647336212409,0.4785393704306249,0.4340726708416405,0.17875674351712556,0.06204454015502899,0.08111337689123316,0.10603933992603894,0.11814581335170127,0.18377885810807834,0.19721546202105,0.17880895049644213,0.26015551040809376,0.536719353891215,0.529246997953666,0.6575592525225105,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Lower Photic,20.689999999999998,21.82,21.91833333333333,22.773,22.756,22.73,22.744000000000003,22.984499999999997,22.222,21.086999999999996,20.389999999999997,20.4,20.353,21.469,21.568,21.670000000000005,22.503000000000004,22.789,23.198,23.104999999999997,23.21,21.966,21.476,20.820999999999998,20.794999999999998,21.546,21.648999999999994,22.615,22.440999999999995,23.106,23.308,23.077,22.6505,21.619,20.418,20.4685,21.22,21.892,21.995000000000005,21.810000000000002,22.6,22.765,23.055,22.654416666666666,20.49064673247582,20.261170336764827,20.26470012397845,20.33599933454878,20.99445776402309,21.395623554722754,21.209017168898324,21.714162289266547,22.34167426723897,22.452194556408198,21.578203918923357,20.549049127334968,20.687343798477972,21.0738058604502,21.229585437927206,21.6800854413152,22.023235262389687,23.06374173329913,22.533378159627336,20.814275561554624,20.944620923199572,20.822253224908913,22.56977655943377,22.824813085054906,22.769588931761664,22.65056717023602,21.91287088221318,21.15084930018704,20.99571058575264,20.89670626692037,21.10291966029589,21.260616175703415,21.207483101151944,21.89356292378778,22.40181326369511,22.919909341518867,22.98816038231881,23.08793498145642,21.679872396043823,20.992683126321243,20.857486361980268,20.58776414209976,21.17621993498846,21.535123413136738,22.00210612903427,22.303837463235972,22.55481289548877,22.83352035584758,22.78051729628882,22.79701999496312,21.68299304595739,20.90515890006721,20.64341262126869,20.680440414467586,21.42494342729471,21.6452702340898,22.16679854758496,22.282960072099968,22.804605633558683,23.09031226048301,23.739698377482682,22.53359062714218,22.347126600791125,0.03162277660168312,0.20439612955674538,0.12750453877179196,0.275763586348081,0.23279196456371096,0.045704364002673255,0.25906670097786677,0.10678248920117941,0.006324555320336998,0.004830458915397235,3.744889033148481e-15,0.009428090415820852,0.004830458915395519,0.14858218825507544,0.3086097859757533,0.5501514942874072,0.23490187076498353,0.5344872932696025,0.35714298412696177,0.3403674485023503,0.17919573407620784,0.011737877907772826,0.005163977794944029,0.00316227766016775,0.05577733510227218,0.24432219165137947,0.5161061475661337,0.8416947190044617,0.7128573178102021,0.1354990774876352,0.4423623451927669,0.2845288503239457,0.007619419633774934,0.012866839377078346,0.02097617696340356,0.010554093465992096,0.09079892314584112,0.4257490131782131,0.5129489903164512,0.6497520894754998,0.6428409169028095,0.4412922941644111,0.1861451046898629,0.11750758446758856,0.008084801112435737,0.0012029126084195912,0.013325271442628807,0.006695224867531904,0.2383876778861405,0.17554416246801188,0.2795471747754416,0.5159348786093274,0.29116983967771404,0.5175942441962259,0.0037149952099551054,0.0032031232459673693,0.051452803911876135,0.10336965502198495,0.27227261928149443,0.5169985257757024,0.8954665320895727,0.2724052056389945,0.5957819132548711,0.005002374588588217,0.03691844685701107,0.008685629850488458,0.8906313992048007,0.6217001344221206,0.7672341644233648,0.05239985395878356,0.00020616693027607398,0.0006248650365212,0.025378471339121293,0.024517938518522204,0.024825937414295618,0.11726076943611936,0.09944794176912823,0.49072951336001214,0.6248885710717632,0.720517617925819,0.599811516239128,0.08238783142723007,0.006588263652424,0.008031870138726116,0.011982621799523951,0.008323948329512035,0.14351012868023963,0.443741729433686,0.7520810188322035,0.3812047743318337,0.4493045104077196,0.2937314436309986,0.03486053947582458,0.0891066628678687,0.00025544346557964943,0.04867076649725282,0.0052859757621092985,0.055642143694623614,0.41795751507092815,0.45077596389941504,0.634467057026569,0.6051106986878708,0.6506057726985289,0.6748601652073314,0.3121300373730581,0.006546930914862336,0.0012948159604676038,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,20.804999999999996,22.429999999999996,22.116999999999997,23.349999999999998,23.0285,23.259,23.276999999999997,23.27,22.273000000000003,21.095,20.389999999999997,20.5005,20.555,22.023000000000003,22.7755,23.934,22.752,23.609,23.721,23.736,23.4,21.993000000000002,21.506000000000004,20.887999999999998,20.971500000000002,22.404000000000003,23.615000000000002,24.0995,23.558,23.753000000000004,23.662999999999997,23.354,22.745,21.744999999999997,20.646499999999996,20.559,21.447000000000003,22.798999999999996,23.4,22.954500000000003,23.366999999999997,23.613,23.303,22.792,20.52988686916194,20.271800210341247,20.319590634450257,20.394084904440756,21.534946855313976,22.20411440706433,22.8438612548663,22.229187674212938,22.980651997906797,23.584819454527263,21.58402923405941,20.579300421000887,20.82476866584151,21.272525546582262,22.536475405962854,23.403313479058816,23.49745459563775,23.47751743106405,23.689695348270895,20.849833124084537,21.041045762988333,20.87852478096162,23.755992151740664,23.62328104850363,23.626268061907915,22.75522009730316,21.918705301358305,21.154846083509618,21.129258068158233,21.032393701803358,21.22585403709931,22.080596005656453,23.081496719378897,23.47561484435896,23.3404318627202,23.63825107301483,23.860097843570255,23.177684495642005,21.694582058575474,21.02690107710983,20.98715994413434,20.717125975261496,21.80621265504957,22.959607198251987,22.952342831513867,22.93753282741293,22.915116208907524,23.501058195907294,22.900216852994326,22.962026804809074,21.687154869692584,21.034376412242892,20.658340327482474,21.259229989966194,22.065776700421996,22.888661486395723,24.159154601896503,23.84672189656795,23.975753836484902,24.09660062594,24.174068294786426,22.549357936758938,22.35281915135635,0.12122064363978802,0.24060109910158103,0.07689097620801917,0.22276045928804838,0.02828918128503851,0.28159071954404563,0.09944847912361414,0.10811516493484544,0.02668749186833127,0.007071067811865743,3.744889033148481e-15,0.046693444698135154,0.1577797339471849,0.21576993920995238,0.5863656898405828,0.1016748630575814,0.04498147766951755,0.23853487981611607,0.121605007206849,0.19368932741778905,3.744889033148481e-15,0.006749485577106585,0.015776212754933124,0.050288059108390175,0.1044043953949152,0.32602658378318405,0.33977934016064093,0.061212289978765246,0.06494442068243973,0.11185804495977182,0.07364328437361572,0.006992058987800409,0.049497474683058526,0.11057928276932193,0.14666761363330683,0.0806156863698927,0.06799509786251759,0.14043187355836012,0.2029778313018438,0.10858816182664144,0.08028421735033353,0.12481541927538,0.06498717822257916,0.0846955331368396,0.013901063963099225,0.010056782696883803,0.02732542157881719,0.036879426664630434,0.11585203212503646,0.29726741433093373,0.5906897810231941,0.013553479182473863,0.11605057574125978,0.14975641267106152,0.0020971029190543443,0.031538808719966005,0.02634736393855511,0.061712486871803834,0.5496828938465564,0.3050293630891385,0.056760446236494504,0.12549228195051276,0.23980560312614305,0.01939302205004193,0.02826397516286831,0.02121441126615484,0.14480746723105692,0.07484237735430097,0.026549888684568677,0.03449736274335269,0.0062890010466185465,0.0013759903708982614,0.05294854371941769,0.0646149481027529,0.08214960077877605,0.33390460532692534,0.8166109834934655,0.07062078687118457,0.11131320892230506,0.11770165168477462,0.13352004594646638,0.010233413353190706,0.00688891422633801,0.013242972540022668,0.03355885739154606,0.09323225509853943,0.32356074133576695,0.39949298887781465,0.0632274043213379,0.18741497990765937,0.01835473504096241,0.14619253860066503,0.05755913918194825,0.034281939806795836,0.004469607991112437,0.04771831568633976,0.0058436182229444815,0.3378167468657583,0.057477017152882594,0.18454502782777749,0.3427287999099582,0.19019871197984164,0.18870735251125104,0.1460860043629131,0.011288051672967713,0.00802001574890199,0.0029682315472383492,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Surface,21.805,23.16,22.857572351132358,24.111999999999995,23.4015,23.902000000000005,23.862537578171604,24.179000000000002,22.958000000000002,21.1455,20.468,20.579,21.092,22.788500000000003,23.740999999999996,24.009999999999998,23.291000000000004,24.415999999999997,24.099,24.535999999999998,23.475,22.055,21.597500000000004,21.178,21.840000000000003,23.517000000000003,24.118000000000002,24.544,23.697999999999997,24.259999999999998,24.0375,23.4335,23.112000000000002,22.232000000000003,21.029,21.227,21.936,23.590000000000003,24.078,23.96,23.703,24.221,23.6785,23.357,20.712486090319995,20.38326224079072,20.61521865152646,20.806733556283007,21.88246262141918,23.145927955346586,23.628792212415302,22.2706696823305,23.37949828501782,23.93497566140811,21.586445312580526,20.71869925697323,21.08422184169362,21.96185373870511,23.97121015014809,24.133487126291598,23.594042827566337,23.78624623678585,24.18234557474846,20.954082754942075,21.44657093382677,20.93998543503281,23.90387282843872,23.87986420667449,23.83322046177468,22.91267209800218,21.954655518433803,21.20125255934203,21.513667272037747,21.409648492266637,21.96442468901185,22.99086420805574,24.44517555816499,23.577494204399677,23.75158967872673,24.214375848591818,24.293879173986177,23.328363384975173,21.81953912014148,21.20587999436035,21.093210417615968,21.22690643150479,22.83338795165881,24.27777163888648,23.504156140537592,23.568189242699923,23.017706787617865,24.223399834090745,23.47444793643727,23.38460128201135,21.8016587217942,21.22796969517559,20.777742606340528,22.048728952384018,22.221381397626438,23.97349225225964,24.857123595652418,24.054656214487302,24.32751398607627,24.62756866993099,24.333476830515476,22.69410814784909,22.434656237172668,0.46215076904981295,0.09660917830792934,0.34226583185961673,0.30180199542820235,0.26166188955299624,0.19065967353142924,0.4343162658622998,0.5093667092031481,0.6030809785316287,0.017709068612186248,0.05865151319446078,1.1802678603699344,0.3871491242976598,0.5522582427331142,0.21047301225784007,0.024494897427832066,0.33854098717880465,0.40552298194909764,0.15968371516497457,0.3487182880842993,0.09204467514322848,0.03135814620371066,0.030663949154956266,0.24760183090330062,0.22934689882359469,0.4614000433463352,0.12796797438865673,0.45267599401288705,0.052451035367389605,0.32533743166817464,0.12076722329432885,0.05686484952157249,0.3465961466734575,0.08148619514985361,0.08659612513784232,0.3215258759243007,0.19103228348458076,0.3530502010259226,0.3406056696859606,0.3981066300488967,0.16990520232699718,0.14977390367558127,0.2939770399197867,0.2742282099112183,0.08915166335482735,0.10617378043770638,0.21468948018727954,0.4236858106766016,0.09306041528975822,0.2521892412739204,0.08052135003804645,0.015384727674560762,0.20393721271586504,0.11896214351181862,7.945477264053237e-06,0.028763093539454734,0.17710067900114468,0.4194120103985363,0.1595208679724356,0.13381974382060752,0.025654727688030586,0.07898923888518114,0.1564541441143932,0.055815012536761056,0.28891223036713265,0.009547621697993513,0.006271280107464975,0.07180409354593567,0.0559817713997574,0.03708020970283894,0.010825366361569203,0.04658778679859299,0.33191044621100196,0.24763623490570763,0.37403684198142867,0.2504678089106685,0.12504548095145218,0.008590828235641971,0.16686060829204458,0.24062996788616375,0.10338475211312596,0.1673485016732183,0.09007639689834036,0.14910372471829444,0.060141424120235785,0.4958870747214436,0.27347825767363676,0.5074716124671702,0.21160568015666179,0.24107723735691375,0.06270925448973878,0.3581150454251746,0.44390428888365036,0.2664784564530761,0.093572126275494,0.13387627326632096,0.17371613519395332,0.3118507758666515,0.05656220990207682,0.5402400014741954,0.24028147415990275,0.059243584867416745,0.1332482334845356,0.15652588196202546,0.13498944198819018,0.18129087349467224,0.08030409695910314,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
