location,depth_group,date,feature,original_value,z_score,replacement_value
WG,0-10m,2014-08-10,ph,11.499,5.423519017145118,8.763
WG,0-10m,2014-09-09,ph,10.0392,2.5798849954079475,8.827
WG,0-10m,2016-07-09,ph,9.952,2.41002276311895,8.6985
WG,0-10m,2017-09-13,ph,10.289,3.0664857479973064,9.2025
WG,0-10m,2020-01-23,ph,7.504081052,-2.3584288076358493,8.826153516
WG,0-10m,2021-01-19,ph,6.997165561,-3.3458806067543594,8.806841611
WG,0-10m,2022-08-03,ph,7.19865364,-2.953389610440573,8.2951587215
WG,10-30m,2014-12-11,ph,10.93575,4.749610086276849,8.478673077
WG,10-30m,2016-07-09,ph,9.8445,2.6155260512100873,8.5495
WG,10-30m,2017-09-13,ph,9.8975,2.719174577082747,9.0955
WG,10-30m,2020-01-23,ph,6.963826139,-3.0180135565738544,8.509169392
WG,10-30m,2021-01-19,ph,7.04321648,-2.862755220476163,8.3727968995
WG,10-30m,2022-08-03,ph,7.196748498,-2.5625030065147585,8.226168095
WG,10-30m,2023-10-18,ph,9.591872817,2.1214801056758943,7.957710339
WG,30m+,2014-12-11,ph,9.737148637,3.1267020257876825,7.9259833095
WG,30m+,2016-07-09,ph,9.097701374,2.100896499917274,7.9378923685
WG,30m+,2017-09-13,ph,9.287313024,2.405072762126727,8.284385536999999
WG,30m+,2020-01-23,ph,6.037252695,-2.8086954996359217,7.674150957
WG,30m+,2021-10-08,ph,6.51741355,-2.0384182823172843,7.7307144590000005
WG,30m+,2023-02-14,ph,6.524935677,-2.0263512364647487,7.0180227644999995
WP,0-10m,2014-08-09,ph,7.3195,-2.337050145106847,8.6435
WP,0-10m,2014-11-11,ph,10.867,4.205965688558187,8.7545
WP,0-10m,2016-07-09,ph,9.841,2.313609312140898,8.6455
WP,0-10m,2017-12-09,ph,10.371,3.291142333097198,8.6445
WP,0-10m,2020-10-03,ph,6.992814036,-2.93959036641428,8.024596454
WP,0-10m,2023-10-18,ph,10.02857478,2.659572597704319,7.8588652095
WP,10-30m,2014-07-10,ph,9.8085,2.204107526548545,8.88475
WP,10-30m,2014-11-11,ph,11.2675,4.317275730229022,8.75825
WP,10-30m,2016-07-09,ph,9.7755,2.156311398569478,8.48325
WP,10-30m,2017-12-09,ph,10.215,2.7928689211997533,8.512
WP,10-30m,2023-05-09,ph,6.889168515,-2.0241573604324787,7.769333897999999
WP,10-30m,2023-08-16,ph,6.221022965,-2.9918776700216516,7.184291572499999
WP,10-30m,2023-09-05,ph,6.790221621,-2.1674688273644476,7.9792460845
WP,10-30m,2023-10-18,ph,9.737469204,2.1012288290918515,7.3170343805
WP,10-30m,2023-11-14,ph,6.873542447,-2.0467896497033133,7.84384714
WP,30m+,2014-11-11,ph,10.35109083,3.3447153259177207,8.5570507545
WP,30m+,2017-12-09,ph,9.495071149,2.1976691708018263,8.022982011
WP,30m+,2020-08-12,ph,5.551009666,-3.087280065798535,7.8905626555
WP,30m+,2023-05-09,ph,5.755714726,-2.8129801201109914,7.370394660500001
WP,30m+,2023-08-16,ph,5.45108101,-3.221182104729224,6.392289633500001
WP,30m+,2023-09-05,ph,6.137143948,-2.301873971204648,7.1999054115
SA,0-10m,2014-07-10,dissolved_oxygen,8.476,2.040557923854884,7.1945
SA,0-10m,2017-12-10,dissolved_oxygen,5.93,-2.2791566483923336,5.577
SA,0-10m,2017-12-13,dissolved_oxygen,3.883,-5.752234311153547,6.272825413
SA,0-10m,2018-07-02,dissolved_oxygen,5.263232191,-3.410439688786146,7.142580593
SA,10-30m,2014-07-10,dissolved_oxygen,7.734,2.0735732476800117,6.7364999999999995
SA,10-30m,2015-10-02,dissolved_oxygen,4.7005,-2.8939090564818795,6.891500000000001
SA,10-30m,2017-12-13,dissolved_oxygen,3.7505,-4.449573532814101,5.648684326
SA,10-30m,2018-05-15,dissolved_oxygen,5.2296132,-2.0274642046940197,5.2804540294999995
SA,10-30m,2018-07-02,dissolved_oxygen,4.975039407,-2.4443393692995494,6.0466960115
SA,30m+,2016-02-16,dissolved_oxygen,7.017348485,2.016947296870244,6.0199242425
SA,30m+,2019-12-02,dissolved_oxygen,8.983306446,3.1944486976480966,2.8922873695
WG,0-10m,2015-11-02,dissolved_oxygen,5.813,-2.3614907720724743,7.5489999999999995
WG,0-10m,2016-09-03,dissolved_oxygen,8.397,2.0868710666948145,7.4845
WG,0-10m,2017-12-07,dissolved_oxygen,8.476,2.22286974520202,6.037
WG,0-10m,2017-12-14,dissolved_oxygen,5.987,-2.061949378904707,7.346520671
WG,0-10m,2018-07-02,dissolved_oxygen,4.345168039,-4.888366809624856,6.8853470195
WG,0-10m,2018-11-01,dissolved_oxygen,5.852273699,-2.293881010501717,6.9373968195
WG,0-10m,2020-01-23,dissolved_oxygen,6.009065966,-2.0239627685757853,7.0925762425
