location,index,Unnamed: 0_level_0,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,mean_chlorophyll_a,mean_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,measurement_count,measurement_count
,,date,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-14,2014-02-19,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-05-05,2015-07-15,2015-08-11,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-10-10,2020-01-23,2020-03-10,2020-04-14,2014-02-14,2014-02-19,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-05-05,2015-07-15,2015-08-11,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-10-10,2020-01-23,2020-03-10,2020-04-14,2014-02-14,2014-02-19,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-05-05,2015-07-15,2015-08-11,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-10-10,2020-01-23,2020-03-10,2020-04-14,2014-02-26,2016-03-08,2014-02-26,2016-03-08,2014-02-26,2016-03-08
SA,0,depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,1,Deep,3.158719954306929,0.8387350037130111,0.5917575158163477,0.4975757575757576,0.4631818181818181,0.4874999999999999,0.6010520953957537,0.5309848484848486,0.4542977025062711,1.5454633273469782,3.967727272727273,4.475227272727272,1.8758333333333328,5.040530303030303,0.5587878787878787,0.5393939393939392,0.7236363636363637,0.730378787878788,0.6046969696969697,0.4741666666666667,1.4276198709673351,1.6234848484848483,2.308181818181818,1.4427272727272726,0.3359090909090909,0.2252272727272727,0.3159848484848485,0.3241666666666666,0.6162121212121213,0.3584848484848484,0.5908143719339326,1.2381060606060603,0.7399242424242426,1.2718939393939397,0.6609090909090909,0.5663636363636363,0.3054545454545455,0.3203787878787879,0.2907575757575757,0.2776515151515152,0.2089393939393939,0.4075757575757575,0.7192424242424242,2.3370454545454558,5.85072548993748,2.909738618579068,6.556422660535953,0.6943583432047271,0.7334180042350227,0.6274383974911077,1.1983978314335724,0.8389446794611625,0.913369319461593,0.5628220465129435,0.9615655589530828,1.5290469791579684,4.25795722831614,1.2296696738526092,1.171822021140384,0.5516138286157649,0.571227630306109,0.6365003158442072,0.6547868611378724,0.882943111092785,4.394187553268791,0.7923798939287732,0.7501230646839715,0.7381805244747085,0.7064158537538755,0.5553959604987919,0.6594332020494404,3.1408650647999816,1.7375478275409242,3.8107329062011335,1.6826779479707938,1.1490912106638291,1.4736409840268263,0.8553736424131034,0.6542416872931283,0.8171279017529915,0.7960928806108829,0.8029104902900793,1.005565281935492,1.781399917308913,10.562075618471551,1.1237837981434673,5.486336593476789,0.6854367042037385,1.2005827586212112,0.7760748881748835,0.7053515291199955,0.7556088969290582,0.8056821583423536,0.8759825709596616,0.9360959267012132,0.7893843701777944,2.147610476868824,1.9752669154085651,3.5863131218412407,1.8176542366738693,0.9289392415448386,0.8991603702980665,0.7090555982602761,0.7001472050460179,0.7657020131122931,0.6170083932587193,6.251747278202095,1.694841648371536,2.9968597234713297,0.2879540410531884,0.1928363153800265,0.3595067895427505,0.1448121637520922,0.2197268079453896,0.1889176565395118,0.2669420435013921,0.1879101574495835,0.1645937044811566,0.8833898998551732,0.1394865352157459,0.1294905518958932,0.3998113807930437,0.3268291571751181,0.1930965859001435,0.1928116562252779,0.3400091954730828,0.22953710713038,0.2204220556928971,0.1507913429230242,0.3450553924401789,0.4443861794420214,0.068758662928781,0.2764966705955224,0.0502999660048252,0.1014945139583236,0.1102194289171492,0.1289679731376673,0.3607451803379847,0.1925943107741466,0.5926598521380106,1.0634905958562808,0.0925140876913155,0.281274638170458,0.1546011486099477,0.1641005921043685,0.1222206152327781,0.254374391731619,0.1119130511805081,0.1539400170846712,0.077797977175022,0.3850457704095,0.6288706025314228,0.3159214003020865,0.6697073809994655,0.2339553979174918,3.958405047896863,0.1448746708170563,0.237441602052927,0.1114876225711415,1.0355916206078235,0.3350651542056196,0.3707046395039326,0.0827856381517515,0.628269532888298,0.4234987991391893,2.1038287283724166,0.2949920903712379,0.2895762388303959,0.058082182971383,0.09045509451917,0.1260147634968436,0.1133580998677919,0.2803034579472862,1.572087573150951,0.1828537108838792,0.1569948937814762,0.1564320382291268,0.1093834870662996,0.0509747707555078,0.1211915802702785,5.021827412781507,0.7348441972440667,0.1174301787708121,0.4997106902549679,0.173708296509785,0.1743989499983746,0.1838609219319527,0.085590348694285,0.1482962373471736,0.1448231746616058,0.2495153578371138,0.3092238641547,2.0877103781828827,2.1249210620111,0.202595541961997,5.356670654966054,0.1214570457723559,0.3110458077352962,0.1536023591869965,0.1515863701319256,0.1456947848880046,0.3002716567502801,0.3110451044966048,0.3712242260050608,0.2560326944314378,0.3526191292334578,0.1510972278507173,0.272849309602073,0.3674617456897733,0.3590896360469799,0.2184283117917367,0.1327393351415638,0.2046283864474318,0.2236159489366876,0.1499702607115437,2.366859537026124,1.336143066224189,2.5813726775353945,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,2,Lower Photic,3.507490110101724,2.6554043834081824,2.182,1.073,1.326,1.209,1.438,1.012,1.847,2.274,3.567,4.405,1.593,4.583,1.0720000000000005,0.937,1.437,1.19,2.26,1.287,2.576048265567105,2.3470000000000004,2.4855,1.972,1.235,0.759,0.996,0.963,1.539,0.844,1.835,2.2,1.0710000000000002,1.5100000000000002,1.225,0.961,0.639,0.8219999999999998,1.06,0.842,0.85,1.504,1.956,2.466,5.654546299790479,3.624603581135217,9.448971286538251,1.9795940739743507,1.2544293160524185,1.1723648633948294,5.012698192999999,1.90585239885023,1.9045275989657129,0.9607974684821118,2.6108436754580127,2.115221570587407,3.250231343030658,3.396465523702181,2.192880137513177,0.7987877327958229,0.901733854831698,1.351413540580777,1.559891191256447,3.4927395543334647,8.09222813634279,1.601384045821887,2.6050905649092817,1.847180620793872,1.545355992271591,0.9193694084167124,1.7623666314882371,4.302832840833316,2.510686707117799,3.81723443849071,2.582290988017096,1.611949442733979,2.009615692161278,1.242262779172972,1.0445253021918233,1.811226891253419,1.5364102130384332,1.9642999607810665,3.033711633551812,7.576431292041479,10.512919168230578,1.7963386969273931,3.239614030849335,0.9617299746672392,3.016243492385115,1.23525769201575,1.6857007868516607,1.3238522372597992,1.9444940429471007,1.68256562558602,2.4105471362593667,1.246891412580723,2.484127328541512,2.31220518896788,3.7852874642242407,5.662119385307709,2.1924950489307,2.0104486452127426,1.5064226635845548,7.086284393002543,2.275367890812708,1.453374013148505,26.273881279252613,5.351732373047787,4.407944066129266,0.298005612513054,1.369699490969858,0.4652550077347069,0.2543859709618874,0.3183359511236168,0.3149056296028312,0.0103279555898864,0.2892442259099085,0.8633050188407083,0.3777607839315023,0.1498925541105286,0.2507433393377026,0.0699285349481883,0.1094481104856949,0.0500666222813829,0.0429599296502631,0.0727323861838727,0.0915302014516398,0.6739930761266518,0.4131733561378592,0.3066050959381208,0.1170991982134046,0.1032498169071404,0.0484882574559151,0.7550312723471936,0.3416772356088906,0.1382590161817867,0.3213184643862776,0.0314289321768618,0.0362705880232945,0.0217306746840088,0.1957322434120426,0.311214466958791,0.4150501977672902,0.26030964467555,0.0417532433869913,0.0314289321768617,0.0705218642219087,0.185472369909914,0.1296833751017368,0.3890444133457715,0.0660302960768767,0.2024406634602401,0.3052940294936087,0.2888736350926188,0.2721581423659083,1.6949284325573968,0.5984312175718832,0.3089029963309779,0.1396968624800879,3.152529465378545,0.0787930667483729,0.2445920894302772,0.1523204722514858,0.1381997330483937,0.0871513264070989,0.1780554198907178,0.685280831154922,0.1874821863385626,0.1364594528980046,0.1571471079592463,0.2069549576158171,0.3286662402670089,1.6527938907850692,0.7668540005163211,0.6469580071413384,1.414640280618943,0.6793662820214261,0.6150629043831072,0.1743783386075866,0.4934262931280949,0.9501765627605836,0.1125326379743664,0.2414435414893134,0.3367368405227349,0.1419410010076751,0.1803367629576386,0.1835629013515412,0.2201941050871737,0.5365112235858154,0.3554091116381483,0.2879664979914386,0.4265558322826676,0.7087798977672332,0.6681130586502383,0.271701054111613,0.1916971659065041,0.1170713478705984,0.8050390718411669,0.1628207824970222,0.5611905957970206,0.1347813206128006,0.3039874956121073,0.1784654537427872,0.2123266816640784,0.2276639798489907,0.1698515971053608,0.1710516359164207,0.9433415175736892,7.598218800201688,0.2214806146043945,0.427164589474507,0.2560760004043664,7.84415888767178,0.6071734502202637,0.4521343191571762,6.763418791420358,3.946038665183465,1.7899100786515212,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
