location,date,depth_group,mean_temp,std_temp,measurement_count
SA,2014-02-18,Surface,20.816331114433734,0.0576223463237014,10
SA,2014-02-18,Mid-Depth,20.603,0.0918997037838297,10
SA,2014-02-18,Lower Photic,20.48,0.008164965809277,10
SA,2014-02-18,Deep,20.441551738464373,0.021829686145224,22
SA,2014-03-26,Surface,22.4,0.17638342073764,10
SA,2014-03-26,Mid-Depth,21.97,0.1828782229912699,10
SA,2014-03-26,Lower Photic,21.520000000000003,0.1398411797560205,10
SA,2014-03-26,Deep,21.01063808710936,0.1519766177576823,22
SA,2014-04-22,Surface,22.303,0.1102572748922566,10
SA,2014-04-22,Mid-Depth,22.048,0.0547316686713963,10
SA,2014-04-22,Lower Photic,21.842,0.1733205123463458,10
SA,2014-04-22,Deep,20.66855098477049,0.2433394620754229,22
SA,2014-05-19,Surface,22.9155,0.1500453635108767,10
SA,2014-05-19,Mid-Depth,22.599,0.047946729699625,10
SA,2014-05-19,Lower Photic,22.4,0.1222929088522946,10
SA,2014-05-19,Deep,20.99924242424242,0.4825592397969599,22
SA,2014-06-24,Surface,23.541,0.0677331364826533,10
SA,2014-06-24,Mid-Depth,23.133,0.1624157901464292,10
SA,2014-06-24,Lower Photic,22.654000000000003,0.1648029125956218,10
SA,2014-06-24,Deep,21.05348484848485,0.4983968768455988,22
SA,2014-07-22,Surface,23.356,0.0201108041719981,10
SA,2014-07-22,Mid-Depth,23.296,0.0107496769977309,10
SA,2014-07-22,Lower Photic,22.997,0.2800813373924717,10
SA,2014-07-22,Deep,21.07992424242424,0.4702758610878146,22
SA,2014-08-12,Surface,23.23,0.042946995755751,10
SA,2014-08-12,Mid-Depth,22.876,0.0681827609362434,10
SA,2014-08-12,Lower Photic,22.722,0.0682804673550371,10
SA,2014-08-12,Deep,21.24153783549198,0.6505748351478247,22
SA,2014-09-08,Surface,23.408,0.0874070935336485,10
SA,2014-09-08,Mid-Depth,23.258,0.0311982905514598,10
SA,2014-09-08,Lower Photic,22.981,0.156236999459155,10
SA,2014-09-08,Deep,21.29742424242424,0.6184439697522678,22
SA,2014-10-07,Surface,23.492,0.0175119007154188,10
SA,2014-10-07,Mid-Depth,23.29,0.0915302014516396,10
SA,2014-10-07,Lower Photic,23.025,0.0600462784488387,10
SA,2014-10-07,Deep,21.421086751556015,0.8009246643235561,22
SA,2014-11-11,Surface,22.344,0.0437670601657863,10
SA,2014-11-11,Mid-Depth,22.249,0.0246981780704566,10
SA,2014-11-11,Lower Photic,22.201,0.0128668393770793,10
SA,2014-11-11,Deep,21.467100365661487,0.5796197229754653,22
SA,2014-12-08,Surface,21.139,0.0031622776601688,10
SA,2014-12-08,Mid-Depth,21.133,0.0048304589153972,10
SA,2014-12-08,Lower Photic,21.131,0.0031622776601688,10
SA,2014-12-08,Deep,21.12462121212121,0.0139151987457148,22
SA,2015-01-13,Surface,20.436,0.011737877907772,10
SA,2015-01-13,Mid-Depth,20.357,0.0419126074906668,10
SA,2015-01-13,Lower Photic,20.237,0.0316403399335577,10
SA,2015-01-13,Deep,20.19439393939394,0.0081251040619374,22
SA,2015-02-10,Surface,20.545,0.1397020639313056,10
SA,2015-02-10,Mid-Depth,20.323,0.009486832980505,10
SA,2015-02-10,Lower Photic,20.225,0.0397911212877112,10
SA,2015-02-10,Deep,20.176893939393945,0.0098170493975768,22
SA,2015-03-10,Surface,20.569,0.0307137319994382,10
SA,2015-03-10,Mid-Depth,20.451,0.0425440947723653,10
SA,2015-03-10,Lower Photic,20.369,0.0196920739836561,10
SA,2015-03-10,Deep,20.305909090909097,0.012212051389271,22
SA,2015-04-14,Surface,22.049,0.2574857061836425,10
SA,2015-04-14,Mid-Depth,21.45,0.0760116950066091,10
SA,2015-04-14,Lower Photic,21.24,0.1042433051407453,10
SA,2015-04-14,Deep,20.531136363636367,0.1633312166720936,22
SA,2015-06-09,Surface,23.843,0.0149443411809734,10
SA,2015-06-09,Mid-Depth,23.772,0.0541192099802733,10
SA,2015-06-09,Lower Photic,22.211,0.7629394908291659,10
SA,2015-06-09,Deep,20.6980303030303,0.2280064491126096,22
SA,2015-07-14,Surface,22.84,0.0188561808316412,10
SA,2015-07-14,Mid-Depth,22.804,0.0150554530541811,10
SA,2015-07-14,Lower Photic,22.655,0.05661762583821,10
SA,2015-07-14,Deep,20.87621212121212,0.4776710424754934,22
SA,2015-08-10,Surface,23.6,0.0583095189484534,10
SA,2015-08-10,Mid-Depth,23.409,0.0846496045800307,10
SA,2015-08-10,Lower Photic,22.787,0.2409725664422769,10
SA,2015-08-10,Deep,21.0689393939394,0.5904956095815317,22
SA,2015-09-09,Surface,23.729000000000003,0.0606355231416913,10
SA,2015-09-09,Mid-Depth,23.603,0.060194130389377,10
SA,2015-09-09,Lower Photic,23.267000000000003,0.2680402125718374,10
SA,2015-09-09,Deep,21.08113636363636,0.6339252426932637,22
SA,2015-10-06,Surface,23.903,0.0801457006540794,10
SA,2015-10-06,Mid-Depth,23.627,0.0654980915752515,10
SA,2015-10-06,Lower Photic,23.235000000000003,0.3080133474741348,10
SA,2015-10-06,Deep,21.183636363636364,0.5988347671963267,22
SA,2015-11-11,Surface,23.53,0.0483045891539654,10
SA,2015-11-11,Mid-Depth,23.5,0.0,10
SA,2015-11-11,Lower Photic,23.41,0.0994428926011754,10
SA,2015-11-11,Deep,21.748565435402423,0.6645395030866185,22
SA,2016-01-19,Surface,21.549,0.0056764621219755,10
SA,2016-01-19,Mid-Depth,21.534,0.0096609178307928,10
SA,2016-01-19,Lower Photic,21.51,0.0047140452079102,10
