location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus,nitrogen
WG,0-10m,02/07/2018,20.61464858,3.609093196,8.80604004,6.137795346,9.251005165,0.530936944,276.3871421,0.318831929,10.6023181,29.24392553,2.780436433,24.84952171,56.74864258
WG,10-30m,02/07/2018,20.2871583,4.411847791,8.806979447,5.7788735,4.967446006,0.831757224,276.3871421,0.28618004,39.38394004,29.54158444,2.293635237,37.63685427,46.33333333
WG,30m+,02/07/2018,20.26510479,2.508459158,8.861265596,1.846650615,9.377796214,1.03768765,276.3871421,0.272303021,53.03911825,32.6173932,1.262080319,45.56454445,53.97083333
WP,0-10m,02/07/2018,20.38326224,3.030501003,8.851125147,6.664762338,5.941958581,0.573464904,276.3871421,0.49749146,35.17231485,29.91365808,4.078572959,25.80198967,56.65
WP,30m+,02/07/2018,20.44682318,1.696450114,8.676007784,2.970123682,10.65419554,0.82719308,276.3871421,0.258232574,60.60316641,33.70880922,1.130721266,40.34529384,74.66666667
WP,10-30m,02/07/2018,20.26649062,2.11274751,8.700226959,5.428151345,10.82248997,0.640923616,276.3871421,0.240778995,59.19929134,33.26232085,3.104970565,33.2185571,71.75
SA,0-10m,17/07/2018,22.59701799,2.513865501,8.880654589,6.969427111,5.825,3.1,269.9111265,0.471556438,0,11.3129615,4.21875,19.94181283,35.85
SA,10-30m,17/07/2018,22.51379005,3.980062342,8.811599424,6.863778823,5.431392714,3.048698211,302.1563315,0.649077552,0,10.63924022,4.565972222,21.72619048,69.6
SA,30m+,17/07/2018,20.71659186,1.209023369,7.997323796,2.37225297,9.679794997,1.678930205,298.7690291,0.585686374,60.485,20.4456277,2.771990741,65.87301587,65.03333333
WP,0-10m,17/07/2018,22.27066968,1.409154268,8.787238584,6.614298728,6.3,2.5,282.8782161,0.399318479,2.735,14.00784661,3.350694444,37.5,30.3
WP,10-30m,17/07/2018,21.97167498,2.018461248,8.621123396,5.840416633,12.55979051,0,257.1609965,0.411812081,5.46,15.57986292,3.4375,27.69808179,28.6
