,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,20.385451515278223,20.386923459901304,20.46064777955452,20.551576590406558,20.553564672861036,20.646584343974386,20.727665051697905,20.800260386416195,20.797278106812982,20.831864766622626,20.859253915239062,20.88588826848705,20.700735743461358,20.39370549971461,20.3200354422918,20.328823322750207,20.41555889139692,20.40734929105715,20.548126686833488,20.585092881632324,20.631675356735222,20.733739045137806,20.69948825364345,21.25009919144707,20.86639391022003,20.851817767690473,20.55390852686228,20.516244618647704,20.521270520103617,20.548304927263395,20.86343411741682,20.657319960424218,20.66531290406377,20.6546131223021,20.747631133991593,20.77459180787249,20.991332353532165,20.867670588539912,20.378412483492628,20.399168360436153,20.431903677468917,20.515759090701643,20.553630196775753,20.475992413497654,20.614991379013915,20.64096937762638,20.68150366509782,20.74151295007791,24.101474020553905,20.432969654441898,20.268329160062983,20.25406271636788,20.275829223682898,20.295341888168895,20.34019488499996,20.397576265715088,20.398134801154768,20.583410892026166,20.47286457902727,20.62646118339382,20.666799208071456,20.73229857381504,20.82025208602122,20.40386392619124,20.430704843299072,20.497100016520072,20.510243279876747,20.564805072132515,20.567886151402817,20.591689788860563,20.607860252369466,20.58815171087592,20.58189870904361,20.63866571594418,20.629905158830557,20.644551980837647,20.63814354330908,20.661876665009903,20.664187880702215,20.679453383315774,20.734814612879592,20.788130689754826,20.873282538789145,20.763863538187852,20.605722668986893,20.628568296328886,20.65444713740663,20.668634913292255,20.674432376355618,20.679544901325503,20.69083526693801,20.723776129482093,20.73151775285949,20.8162737882368,20.88575907083909,20.69917026756331,20.642749472107806,20.4766756750085,20.597871274952595,20.623378416627485,20.621746643898184,20.659107772208905,20.655145760220588,20.71038174278795,20.75667723795907,20.777073571711913,20.93766457515671,20.652665712467442,20.536988340730076,20.51439655012381,20.552258485421337,20.563203765936468,20.606345142456256,20.66625243529616,20.685054734587474,20.66604424554727,20.816721685837372,20.91564527014057,20.951747948101094,0.07482996252078893,0.07712061045386996,0.1612396430464327,0.38325816727731554,0.3111224813187701,0.43012128762919666,0.4922309159327093,0.6584551950711528,0.6558185650728793,0.6601059438607999,0.6363324799646297,0.6929122244052924,0.359230154339558,0.05231001974818498,0.026943355120994467,0.04483695566684289,0.152220750274915,0.1162243598484424,0.2725320561890633,0.45950068501826635,0.46468622490791633,0.6241849116353013,0.5477129371722225,0.5063957227650182,0.6749232845374656,0.5899986630773205,0.21902144168492985,0.17666257000721783,0.17020775005451277,0.22967753478758754,0.7230909916718661,0.2516021649555672,0.279034170379662,0.28430576503947885,0.3876016149543978,0.46874568772725583,0.7952916705295058,0.5605855552433892,0.05047563518959446,0.07900687895564751,0.11470099168074961,0.18754092807564804,0.25456186930339425,0.1473667800876696,0.31572766608459685,0.27241577548409096,0.46222357849644075,0.6755241899581803,1.8917524373869512,0.07673868711685905,0.0061535257957710246,0.016870504012276605,0.04255638248179587,0.06844833882063461,0.13804407348056522,0.20674052640533705,0.23434915996543726,0.453352953370336,0.355901544561868,0.49340017292484123,0.6319313651488917,0.7238201397833685,0.6311490095940052,0.14091433487754676,0.17508585050936268,0.2496994358572554,0.2553668046015911,0.30581757459177955,0.3148575458213156,0.3374810086467844,0.3714803796714599,0.27264900198679104,0.27688216120531506,0.3249317480609094,0.31205766817143127,0.325736519129855,0.31917147326512574,0.34150969472580445,0.34739370551387655,0.3612058063741581,0.4392462551925021,0.566302655675121,0.6406529885302805,0.42573953632223666,0.26428527603002694,0.2786729170856678,0.2979193237516676,0.31036389767582556,0.3146725727317134,0.3146428830027472,0.32461746978156,0.3647731732910954,0.3756979005980172,0.5198719192931386,0.53803369117101,0.3185748770681263,0.26028029847191364,0.1441316009162274,0.208926753334403,0.24223796040491974,0.22638967167800045,0.2756598733425224,0.26144428179704077,0.3684023819110526,0.4191281663123354,0.43824765009229577,0.5758118957821531,0.22849755435414493,0.11456741350628517,0.09161143276338442,0.1407519812864679,0.15514179002746256,0.20320353079920575,0.2948572796233449,0.36177564749554914,0.3068838908095032,0.5624511188750673,0.6955075559948838,0.710315721420512,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Lower Photic,20.49678571428571,20.54475,21.21,22.060000000000002,21.985,22.855,23.134999999999998,22.877000000000002,23.177,23.128999999999998,23.095,22.319,21.080999999999996,20.419000000000004,20.449,20.547000000000004,21.214,21.689999999999998,22.25,22.751,22.924999999999997,23.342999999999996,23.531,23.35,22.0,21.568,20.810000000000002,20.808,20.770000000000003,21.598000000000003,21.89,22.160999999999998,22.776,23.065,23.341,23.330000000000002,22.657999999999998,21.741000000000003,20.543,20.583000000000006,21.28,21.799,22.252,21.956,22.648000000000003,22.105999999999998,23.118000000000002,22.892,25.217000000000002,20.50465872880245,20.286658486665612,20.33008088691096,20.469731866080885,20.73680172765109,21.194329930567147,21.466024334441236,21.929362049483338,22.50972301095203,22.633293977358257,22.94217542807638,22.99035174933568,22.59035971026043,21.609811861669378,20.55493987314021,20.88024409187492,21.097638154995572,21.50459209730461,21.63439518829778,22.25499475928802,22.52034574289154,23.157482090752573,20.86813234674529,21.026639624780092,20.963317779686104,21.202791715776023,21.45914153148399,21.88981516632773,22.20119831285778,22.64212166125636,22.85365072463052,23.10193919106639,22.697653714763668,21.97299823706265,21.25540664466981,20.92876382143629,20.95503247005284,21.03885930216673,21.19402355304762,21.3469470204221,21.50681511386549,22.064068631464202,22.76170024488624,23.04268603878825,22.928003424787462,21.69769566781067,21.068491326987676,20.904288259452386,20.64440116059964,21.19788413430036,21.575157293394362,22.15342492546678,22.34871715037267,22.537957699691145,22.84054628134117,22.79593779532329,22.9109951721017,21.742548009152465,20.975862944062882,20.65669576680004,20.768000625,21.441335993704634,21.798517095580273,22.30218891645024,23.042115273372296,23.14881260659314,23.47239551609574,23.756535783174968,22.64538838169514,22.46699504908942,0.010813036978919633,0.037573076944949116,0.26853512081497094,0.04546060565661942,0.23754531731393483,0.33093302444250977,0.19744197459844526,0.09104943712072015,0.23504373115562074,0.1770404850121386,0.18032378286478665,0.016633299933166142,0.003162277660168874,0.003162277660168873,0.058774522069043315,0.09055998625834201,0.22272055236202207,0.609662930551701,0.7729309297875339,0.09302926660166885,0.4174326292948362,0.23204645128843374,0.37092826500251674,0.22236106773543868,0.0,0.004216370213558499,0.010540925533893998,0.04263540521418528,0.09706813185707293,0.328254643700757,0.6547094351270986,0.9521023521076333,0.8319081145842436,0.3139090455671662,0.39484033341198727,0.05354126134736392,0.0063245553203366235,0.033482997343593224,0.03465704994818624,0.03093002855909862,0.2659991645768003,0.33547478792501395,0.7073235940265717,0.6452596376653352,0.3999388842199649,0.6786784543835497,0.2342742931788388,0.05452828012447586,0.04083843505544386,0.0001254177832014756,0.0010622848833283175,0.02599883041953266,0.06748811258926893,0.14349411922214342,0.3011168314374585,0.3284968998640722,0.487606077715259,0.3048694487609252,0.5084810822834057,0.45458783551077997,0.10592596004033018,0.10271825408549944,0.0006392447494938262,0.001962076360727905,0.0687757771975707,0.08409481248416883,0.38984858094207625,0.5207958820945796,0.8454087339887901,0.6192103040823128,0.716829614381438,0.0009789073977283437,0.137832445606028,0.0013626815313631264,0.18175170039584482,0.36691201023634024,0.7516313749050701,0.6999531289377302,0.7584620134885954,0.7855877489041074,0.6591509307065295,0.039596745859175934,0.0004966488888889364,0.004226467403848828,0.03833124685277418,0.028755717013822707,0.006589663546379928,0.0927247074651408,0.25712766648292845,0.40442390224536495,0.7566860160860625,0.7332516610640463,0.7265400802311187,0.18867301264296185,0.013432117808680573,0.009494960538912587,0.00041304553891188356,0.011979193480176672,0.13990011633738006,0.3811394038555949,0.736099907863686,0.5399787379340941,0.5645212574668388,0.37211147042225934,0.18153887740584052,0.28036259802246544,0.0013404293464157576,0.02373037635237576,0.01641787174847567,0.121778795894633,0.41696068934986524,0.5856320728668344,0.8697934219583727,0.9091054373462385,0.5848429017637398,0.6592249699010714,0.38019819077780803,0.025793428851788494,0.0030258574444426323,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,20.53114285714286,20.695,22.160000000000004,22.244999999999997,22.615000000000002,23.541,23.255000000000003,23.197,23.381999999999998,23.415999999999997,23.625999999999998,22.394000000000002,21.080999999999996,20.420000000000005,20.678,20.833000000000002,21.904999999999994,23.281,23.943,22.979000000000003,23.568,23.777,23.913,23.5,22.003000000000004,21.57,20.895,20.893,21.328,22.320000000000004,23.713,24.128999999999998,23.592000000000002,23.477,23.788,23.35,22.66,21.893,20.579999999999995,20.728,21.721999999999998,23.089,23.281,23.230000000000004,23.543999999999997,23.791000000000004,23.346,22.934000000000005,25.262999999999998,20.504818759554247,20.287658110193938,20.60376841660206,20.856635689128172,21.44059728205266,22.571233024009636,23.186742343956347,22.39276811095322,23.165087191262394,23.65538617092249,23.71903665096578,23.03362353882774,22.72278104332662,21.60805269451639,20.57600170435297,21.090210637049758,21.53079336229225,23.058130254145876,23.62376786736806,23.436373244936796,23.685560191062617,23.870456532341272,20.87145667216466,21.524293164557402,20.95902191892576,22.54298044658733,23.468962057848053,23.27636849427758,23.67088189335634,24.00160835670283,23.72863278292303,23.86500163154724,22.831282049260743,21.97231674017445,21.259671248373582,21.16748453119388,21.1403495801895,21.423854843478445,22.242885945305378,23.37652310140451,23.45569941167604,23.535307074654988,23.6424528036408,23.85669179258312,23.12589750454297,21.705731581671703,21.072927972667888,20.9022882064072,20.885228937760573,21.90553897870628,23.380417686843607,23.208821379084988,23.196234721738684,22.97901980105248,23.591720252260238,23.108810561730557,23.10930718821313,21.7440733546971,21.001556870661048,20.68484479950747,21.428955057,22.20223245510116,23.38643000916425,24.45609847191324,24.02036642623318,24.24322023882467,24.31208305958459,24.251929506066638,22.66167667350738,22.46159031008896,0.011098660825021058,0.007071067811864906,0.20655911179772873,0.030641293851417083,0.13672762867995789,0.10268073496685347,0.005270462766948123,0.08433399209228869,0.006324555320336998,0.05059644256269384,0.10996969279457565,0.026331223544175518,0.003162277660168874,3.744889033148481e-15,0.028596814119370255,0.051865209919560416,0.18632409040880002,0.06756889488185745,0.07631076813486574,0.051521300880746836,0.144514512919791,0.06219146064997829,0.01337493509849338,0.0,0.004830458915397235,3.744889033148481e-15,0.0779244648504064,0.010593499054713035,0.2022539657625196,0.21822516404443915,0.362063530336873,0.03281259920619887,0.004216370213558498,0.11055918475338565,0.05513619500836132,3.744889033148481e-15,0.0,0.06325433669805663,3.744889033148481e-15,0.14497509364638364,0.03293090409394174,0.19393297811357357,0.00316227766016775,0.1994993734325999,0.04718756898449663,0.18958727102137793,0.04550946177566926,0.005163977794944029,0.05121848624601552,0.0004330207804529754,0.0014123061526477377,0.11644726927031554,0.1003369344711062,0.2156700455300381,0.38885244564972943,0.42246728975041814,0.006662479394795872,0.14652539364193076,0.14003676825938793,0.07980731677445248,0.0008380413362911482,0.028521319755391086,0.0021050861857495272,0.01787872476454098,0.08406640121547136,0.15992904066881844,0.4166211987751658,0.3252542721500241,0.0151203701361515,0.09296434069264772,0.021147223501178702,0.0007390403128975111,0.06536906295032884,0.0006521770853684516,0.4313872966633168,0.36908101471945065,0.07080766202624604,0.1287012864292042,0.09997264792093902,0.007010154123643687,0.004420350190455513,0.030183454301085346,0.0005996647563260896,0.0006076514174378194,0.16161853739517737,0.11572186322175383,0.2996100342999713,0.43710792150034533,0.7008024343653754,0.3388520554218387,0.0629628148128075,0.028786884532680357,0.007997738117314841,0.003257775514239742,0.00032974765150327334,0.0002798593776532569,0.0014720895094712395,0.20384197343275257,0.24009524102055171,0.42665007927378723,0.008665739039802655,0.07429533254353292,0.002564609338718924,0.11050365814629924,0.04625813037217112,0.011205742869122523,0.0014977469033640891,0.003985549059453697,0.001423212745390619,0.22329177579550646,0.011028233769454178,0.23024425090719272,0.24404467929781265,0.021907236074436284,0.07169877314855296,0.05491331329508638,0.0021185321907137705,0.000431156474411532,0.0013461271607339122,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
