,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,8.06023209773197,8.11044198966457,7.865220639043987,8.90253452100962,8.868680806419059,7.584528877108184,8.6028715850319,9.925755270049333,7.958124830191399,8.343030190459837,8.067107770216424,8.349975596161817,8.312388577592273,8.116815090898285,8.272616666666666,7.992831741659479,8.161797110235517,7.952147674045444,7.91506982150366,7.9721490238106725,7.946075007942116,7.3196041907363,7.806123151767946,8.383534707609508,7.699661197523871,8.014604824878582,7.999682311469385,8.075946541643216,7.8438110228554025,8.991909261398622,8.156400000000001,8.257380770639097,7.876114049126272,8.110963703682105,8.148061226948437,8.03982591399533,7.96019507648869,9.003399033068579,7.819828880927183,8.345183547029388,9.26985169852157,8.147930030730778,8.058448718373064,8.149360387852786,8.825490505482582,8.39795948275431,8.39074550949012,8.410986801461188,8.288989879013446,7.9971222939525175,8.052522659187852,8.039232597327745,8.03254144932002,7.956827411502294,8.005640543462818,7.879817379933387,8.100679168182538,7.960887869263163,8.058804148906152,8.002379087702815,7.735126332647482,7.767924655201556,7.901122319944072,7.164771078233352,7.570971496761411,7.708877589145509,6.980019658925445,7.8064191979729,6.8719074917186465,7.002246869172568,5.44794657408635,7.411339960671715,7.789833457496831,7.5583162551005625,7.738200710368858,8.137730513844332,7.274223395027169,7.106078443170664,6.314032604301964,7.115509794512036,7.2270909622619115,7.204040718909414,7.6848182775952525,7.249065180050396,7.4662673033620495,7.566394376559285,7.367209435312068,7.720775309949469,7.2454497179061,7.1091183298219605,6.68947325482034,7.059636731193275,7.016277044079641,7.716285369498115,7.215736307533267,7.181287185930886,6.773685582538208,7.0572909862058095,7.1579708617614015,6.181927682204569,7.118566595958924,6.671256151359619,5.757213074647576,5.8614086624608905,8.864518932585916,6.33703750562978,7.421787833193207,0.15057292222250204,0.16679303021292277,0.1367617012634219,0.33983568345057213,0.342235127907066,0.31642492805672656,0.4333716731796574,0.8238919220574425,0.2309593012921582,0.16846980511167273,0.10832525833216589,0.16220906065154878,0.16750681006984183,0.15389131930311695,0.0765590246754701,0.12211902625348593,0.10491497831659097,0.12405076740274967,0.06923529205403538,0.14870851129761126,0.18002334845837983,0.21616959390492577,0.14067216663602217,0.22496532632278393,0.10794954356298181,0.09823027990874518,0.09082874437689427,0.10856495109441176,0.08859442106427837,0.4482813554047966,0.13980875826960507,0.2298369232736491,0.19490242436222335,0.1293413112006233,0.13427328258314544,0.11630846110975028,0.1167868801135071,0.38264694455233195,0.10369411805573582,0.1712938209966883,0.5453916612664682,0.09416465088899538,0.10713060098386551,0.27677784780484677,0.33611699481950613,0.25861789184476297,0.19370394993930598,0.18423983021291954,0.121376705971419,0.07294396712468197,0.05830462757556679,0.037373517966493956,0.09786424502601185,0.07478533526555273,0.19381109851061457,0.14768332753228466,0.12902953857754243,0.19673149819397726,0.21536699041126106,0.14521135450341655,0.1784098389530953,0.16197434691629825,0.17329581993491303,0.23856595595172958,0.2928423286140731,0.31087498230106425,0.28878580634833884,0.2131504186388367,0.2571195933075669,0.2253222959891985,1.0856826063583367,0.38065412703622553,0.2387256166646251,0.2463319916354453,0.19753704963101942,0.2792377143352761,0.290759574062822,0.18995097799037544,0.5259476424892412,0.21215867532345326,0.16808030492850132,0.14268092311207886,0.25523893042466494,0.2857284837462062,0.28280885562393465,0.1777432462332004,0.13651705868109926,0.12758959627752745,0.1784827415831207,0.1373787434577275,0.29709739007240166,0.1451187109713622,0.24481573025219414,0.19070620934301966,0.2992986752685431,0.22331860462346326,0.3135518161944826,0.1338639956848687,0.19646678804271853,0.5287576712760218,0.10227514029479037,0.2737299883112684,0.7676139553924352,0.6748479217342167,0.38130249173763303,0.5870536546920313,0.27949520455030064,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Lower Photic,8.512,8.652,8.548,9.015,9.010000000000002,8.308000000000002,9.786,11.350999999999999,8.5015,8.401,8.166,8.489999999999998,8.685999999999998,8.538500000000003,8.636999999999997,8.549000000000001,8.716999999999999,8.553999999999998,8.206999999999997,8.716999999999999,8.358999999999998,7.69,7.9215,8.495,7.704000000000001,8.224,8.322000000000001,8.391,8.311000000000002,9.73,8.761,8.851999999999999,8.257,8.1715,8.257,8.190999999999999,7.997833333333334,9.216,7.949,8.870999999999999,10.090500000000002,8.9435,8.853000000000002,8.556500000000002,9.088285176214452,8.69636047333123,8.510502653251184,8.589881152643118,8.653473749878753,8.351329169402158,8.291975320847039,8.497575046608453,8.626012571909573,8.482720563610966,8.55128443875913,8.03647423267722,8.30414511984478,8.284828030845416,8.488480515209684,8.396114816135022,8.269070351001718,8.386934470108878,8.48619749763271,7.778533276439569,7.989380231312367,7.618592061932939,7.772678255664618,8.449854494978272,7.535735213893584,7.551660551063134,6.505935660173134,7.941804143955048,8.137869551493136,7.761806480339788,8.08764893687888,8.583102659320371,7.779917348788848,7.577034676005442,7.194332273107814,7.769877346457304,7.778120395778297,7.77202378887322,8.275957148658756,7.763232837164061,7.754963016057053,7.792182193302333,7.582634204995128,7.8960728500494355,7.8135506379317805,7.689375879207918,7.283354392140595,7.626694806985637,7.749102208109035,8.356098923377814,7.8908827610416905,7.745989750590198,6.769869169508317,7.305471450694545,7.742699352595331,6.523216702978601,7.6229339374755085,7.205329891913458,6.046652171988198,6.557268623748979,9.617781238995851,6.858350905284233,8.006424983064289,0.04211096452627688,0.03614784456460247,0.20032196307167371,0.015811388300842118,1.8724445165742407e-15,0.6891830912996441,0.08016649341630638,0.08157477823717581,0.02000694323922981,0.007378647873726061,0.01776388345929859,0.012472191289246206,0.02221110833194362,0.053439997504989546,0.08718435129718619,0.08774331250237186,0.10719141756689296,0.09395034149308173,0.06201254353399427,0.1918940679993348,0.008755950357708946,0.008164965809277449,0.011067971810589257,0.022730302828309273,0.051682793182171456,0.08959166627910549,0.12734903917100338,0.16017004852482383,0.039846929339382706,0.09988882709181136,0.0948038911531474,0.004216370213557749,0.014944341180972943,0.011067971810589123,0.0067494855771053856,0.009944289260117697,0.02233374792318309,0.0339771164821922,0.05915140648276163,0.12013418423672048,0.11903430877972389,0.15129166092903698,0.022135943621178905,0.0047434164902524995,0.03306542764811136,0.005543561860907726,0.017447621949573174,0.006138543162829434,0.0788381924457742,0.0723056020709243,0.06757892769119382,0.21843393868981467,0.07619330009155144,0.15359689682617741,0.018147773706959767,0.015379699580649669,0.02907147798216775,0.013922388648365421,0.060122492814636525,0.1337315089201622,0.19522055704157076,0.07473491753507834,0.13714422917995242,0.020504695250399312,0.04274812336370759,0.11666241401631079,0.2230746320505517,0.14661240122559527,0.2008126849696905,0.028918131617879584,0.22896576508712696,0.022404561301340643,0.020315808733819305,0.01779143329869163,0.028629371654233345,0.02680795796286306,0.08192471273526801,0.19849848938821593,0.23793599509199254,0.13095604202794134,0.1778693240297469,0.0282204136160127,0.04975511101852154,0.05097048769276141,0.03891092717002358,0.012777675431333818,0.04930247889655544,0.058289598760523496,0.1441004591603242,0.07431642516979173,0.16748422909607244,0.1031178942386539,0.12700953648262694,0.06852393495084354,0.08092281317462331,0.0786386423936219,0.08135721634689454,0.0850424672463183,0.08479067625360447,0.22473303284830706,0.19835094774389408,0.2699620603545383,0.25484853353456594,0.34445344164699,0.11862370964044182,0.08528788711359679,0.03337398955233098,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,8.569999999999999,8.686000000000002,8.863999999999999,9.1125,9.010000000000002,7.075999999999999,9.831,11.184000000000001,8.511500000000002,8.409,8.294,8.571000000000002,8.77,8.6485,8.9325,8.6565,8.846,8.815,8.363,8.943,8.381,7.720000000000001,7.910500000000001,8.564,7.87,8.535,8.553999999999998,8.707999999999998,8.379000000000001,9.821,8.87,8.879000000000001,8.316500000000001,8.207000000000003,8.278,8.221250000000001,8.064666666666664,9.3295,8.072999999999999,9.004999999999999,10.339,9.072,8.895000000000001,8.56,9.181070438907733,8.704093444818517,8.549051393473842,8.640939566727528,8.826137754713352,8.576368918634198,8.666317095172564,8.743880423018213,8.76177277903199,8.737731318868269,8.57119668789667,8.142812422846067,8.3769867934619,8.42174500527983,8.72455585456172,8.751362244075677,8.603632124966579,8.542501593341234,8.77366240966847,7.7737689225098645,8.109882564148846,7.274490764818912,8.180328911655218,8.677167758682584,7.930236757276904,7.693820775525516,7.3093174551314934,7.992688139099505,8.237163864928105,7.865764584914811,8.361304320894723,8.71108586870821,8.248864399145859,8.146281636142826,8.079703798999352,7.958723192186921,8.28049635935307,7.847862240839591,8.36712080578172,7.967995645096337,8.008406118152921,7.803439569747947,7.737892760294284,8.135462805674244,8.150690688247376,7.932943335845527,7.567825756176157,7.8563973218576395,8.023020967196901,8.50375101071885,8.05279066760023,7.957639530341045,7.121286177745944,7.663771283782045,7.943237515766981,7.050324988753637,8.056076412880683,7.950509939235284,6.381606908922626,7.221068405285015,9.857157168634325,6.888488205701558,8.102787828351005,1.8724445165742407e-15,0.005163977794943112,0.03886666031382985,0.06142972497994058,1.8724445165742407e-15,0.22950187605139763,0.044334586448455726,0.07574812062208379,0.005797509043641965,0.012866839377078913,0.059104427358137215,0.042282121254470686,0.028674417556808555,0.04123442466893156,0.025522321385188975,0.01564360004034287,0.023190036174567913,0.10585629672133626,0.0691295080908933,0.012516655570345725,0.015238839267550451,0.014142135623731067,0.0095597535998,0.033065591380366285,0.06616477747093068,0.048819395052922855,0.015776212754932448,0.03119829055146034,0.01173787790777281,0.00994428926011732,0.012692955176440276,0.009944289260118035,0.02646276209653435,0.02451756739791138,0.01549193338483018,0.007750448015724045,0.01951257903868038,0.014615440845595426,0.0245175673979108,0.009718253158075292,0.0321282153600573,0.018885620632287044,0.021213203435596205,0.0,0.017202004087462603,0.015108646829572626,0.017580867979732382,0.036740156594904594,0.030680453872457877,0.05714421736004396,0.12159747061851729,0.014283310223258027,0.027407835518599377,0.028464344608026628,0.00869713172133205,0.06845350763435526,0.019711527611604433,0.10032604854230542,0.0626511631279656,0.03863083072182452,0.030906096423517788,0.06719336265842508,0.059661163801786946,0.03744971982145935,0.0396326462933416,0.10472077689606703,0.15326400967112483,0.04354181077073333,0.13005911582074425,0.08508857799245806,0.2279496602224997,0.029252132327760846,0.0858241840616211,0.12620687410988546,0.09141447584461691,0.03469114163774741,0.1429700851164026,0.1803166922445196,0.4493866334489571,0.07407656573443709,0.2104820449156935,0.03821695844299126,0.0512707964755204,0.09956892176238655,0.0780563755543,0.010640296719423663,0.0409931193192221,0.05484213277346125,0.08996252880773124,0.1234636115028735,0.05581757964956464,0.045125357904859754,0.14288304961475068,0.036210408737454056,0.047916364172437546,0.050938706705606525,0.16638534365823981,0.14348165761463222,0.14076338209404818,0.1458353190430956,0.11547367444197361,0.1055044748955074,0.2321315770194945,0.24723973104223848,0.03870373827234314,0.1290453246946051,0.08278500571792198,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Surface,8.556000000000001,8.687322874429015,8.541,8.788,9.010000000000002,7.3195,9.661,10.867,8.499,8.433,8.427000000000001,8.647,8.7735,8.782,8.988,8.692,8.867,9.0505,8.747,8.969000000000001,8.373000000000001,7.7765,7.982999999999999,8.685,8.035,8.578000000000001,8.606,8.760000000000002,8.397499999999999,9.841,8.875,8.8385,8.398,8.277000000000001,8.348499999999998,8.29025,8.152,9.354000000000001,8.184000000000001,9.0255,10.3705,9.104999999999999,8.944999999999999,8.567000000000002,9.306963719106426,8.851125147044062,8.699679576364776,8.833505673026952,8.890327709330078,8.713900029867423,8.872666709726905,8.787238583813927,8.844043223776023,8.818702189334363,8.572200442342917,8.419938411440159,8.4763064637384,8.68740753129411,8.855893523202923,8.847628840490696,8.825514829677326,8.687545349056673,8.885224199106721,8.368314299501655,8.451592475667722,6.99484003097002,8.778173245374203,8.813156176730702,8.586955941044028,8.355568704959014,7.6948655033200195,8.132340880460868,8.685791882497428,8.027194262967424,8.594334824139926,8.786188440001045,8.757566923483859,8.803839717087268,8.870392364523202,8.416484834708434,8.789718242740403,8.467067711982452,8.61918071171003,8.482565014503441,8.529454204919576,7.8535746979831655,7.970435550063131,8.598861810231535,8.753198078080628,8.54477618643628,7.678660874645418,8.34293177772965,8.588469921345725,8.651731480627259,8.437880916820397,8.16241184257605,7.595331075121384,8.157470383791388,8.201406219140015,7.519305534675729,8.40350293334448,8.454466075005291,7.660738048169219,8.094802209524204,10.028574783057426,7.670510927390057,8.453548071584933,0.009660917830793448,0.027670238679214983,0.14910473574713254,0.15324635214074234,1.8724445165742407e-15,0.6473555179858027,0.07852105167122736,0.11860766323377986,0.03314949304120486,0.03267686915507354,0.1147025137765806,0.035292429153510746,0.019727307638566872,0.07465476095557001,0.025298221281346945,0.015491933384829822,0.01059349905471406,0.04597402648356048,0.09900056116563741,0.012866839377079498,0.04110960958218928,0.025171633064048904,0.08512082915218573,0.06293735862833061,0.06450667493454523,0.030840089349920875,0.041419265512024406,0.024944382578493046,0.024409697526461344,0.03446415206816734,0.012692955176440354,0.10333467741061361,0.06425643072011496,0.04691600058733821,0.05558027227952965,0.14715095235090286,0.08866917289691083,0.06048772959947138,0.13393198937437553,0.036396733675183146,0.21082443986512703,0.018408935028645577,0.01581138830084206,0.010593499054713577,0.055437455972374886,0.102664517940021,0.10169141903229005,0.10646481306971158,0.015051408066856606,0.0343901924926165,0.025448632253427916,0.015517890782610311,0.05552896427767322,0.0367071275711679,4.4978432319843626e-06,0.045882414387777105,0.04581453796795171,0.06223227790070651,0.01595688037295408,0.0320244989760966,0.05357236140111744,0.0299408742550589,0.032194728345189126,0.32380365448364556,0.16716403130177815,0.07142672051382415,0.04996444030301255,0.020230766167205042,0.11616756629329236,0.25997858888648334,0.13789135698845872,0.23722750214388075,0.04228930446655348,0.0871477150551312,0.06802418770605248,0.013002508749861755,0.1658618389663992,0.013957140697709716,0.01997307788716045,0.29704593612538477,0.048864100604509825,0.19192915279464798,0.10216195205430519,0.09023573257819503,0.12220707873480746,0.022714636088567195,0.11884086217386751,0.14000388959197865,0.14319439256525757,0.10223137541957837,0.25255089441515577,0.22637205273850028,0.05920535004951036,0.07221135620557634,0.09090588284035014,0.12511834076657147,0.2269785123276993,0.26539700927804377,0.04216972458253799,0.29956630876067664,0.12344951226339596,0.10281128367303341,0.3313900873623313,0.32039270131017544,0.08003146313436703,0.350107513552626,0.323173976497922,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
