,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,8.484700718079319,7.7790739995205485,8.000584567736249,8.328409090909092,7.906742424242423,8.390530303030303,8.986852167271845,7.415909090909091,8.680652558504152,8.542768855818862,8.427575757575756,8.429166666666667,8.12371212121212,8.359090909090908,8.10469696969697,7.950227272727272,8.062424242424242,8.204166666666666,7.86159090909091,8.008712121212122,7.890293943110866,7.559772727272726,8.067121212121211,8.483030303030302,8.24159090909091,7.803030303030303,7.858712121212122,8.04651515151515,7.919469696969698,9.183939393939394,8.157704831629365,8.39401515151515,8.110530303030302,8.398787878787878,7.9809090909090905,7.957348484848485,7.767803030303028,9.026818181818182,7.730151515151514,8.427121212121213,9.413030303030302,8.085833333333333,7.8618181818181805,8.367121212121212,9.220462929248448,8.719200621442546,8.398874439808028,8.112837313427859,7.936285110960304,7.945360313298534,7.9965853439214705,8.049588217364281,7.821106937115162,7.766714092746718,7.912838746289986,8.46777111563057,8.186175639011905,8.073915780625926,7.619377198728706,7.821089163971652,7.746593821711352,7.503307276393602,7.1446744764501995,7.7957832785920145,8.079211865088844,7.300672442745069,7.154176085024995,6.4797759669039285,6.981227903224448,7.178490029670394,6.7559709824212435,6.997399778976487,7.611545059139501,7.601533319941902,7.813735599496027,7.800332578414722,8.01813157031061,8.044658000041581,7.163887473659273,6.821691548001204,7.055353744288192,6.818276756363099,6.2046426265934125,6.905632785602112,8.121347648368031,7.39700155642692,7.52901286788019,7.726128169603262,7.293737360979855,7.250936763111105,6.718536309788487,7.018226676340134,6.635874307531373,7.08640517640342,6.552496912347763,7.479832725263178,7.304393970958902,7.220624496024356,6.257852135300104,6.99960471317375,6.546955771762196,6.230406397695668,6.874552264568025,6.179677355282586,6.007619517222573,6.033430455329412,8.520064604855639,6.72316821273082,7.54433030858441,0.1373580122298501,0.03406114309059693,0.04191866533710469,0.15235755536016146,0.16866616261353198,0.23881286333462798,0.1085729594338861,0.2847331096359251,0.27385575990699357,0.4127530446060812,0.012015502252186136,0.01811011293383331,0.0224429424582802,0.016008655667390265,0.137100199294037,0.04444333963273274,0.18533876267650265,0.17788271952261683,0.11613310789520273,0.10173876160675245,0.02680020226205411,0.13286653948988555,0.09265225110292602,0.029419589825697045,0.03270226952274773,0.08315001481614398,0.04322309487688176,0.05343469804599778,0.0916881451945451,0.1295479987598571,0.18542280828013738,0.1950842031542951,0.10579928381604692,0.00733156216312735,0.04255630342309982,0.061210580860135644,0.032705946434538835,0.015317703308003916,0.02431010573776351,0.058592805728322,0.138195701626541,0.1501249479600242,0.20893463009678342,0.021338676278980402,0.11479012076909353,0.09185317744589265,0.09171801340988073,0.07612578688662457,0.021180651058664582,0.05018599501030525,0.16150702119348734,0.1891761518196304,0.10775894527667201,0.08070373860986879,0.31150751103190066,0.1352463312069418,0.029794740144645,0.02714867811452491,0.132574574268071,0.07129142288797007,0.08932971430577916,0.14135668796525985,0.18045748588138416,0.06965575101337831,0.10589972463725326,0.1412959780904012,0.15170358675130557,0.3268154932976576,0.19658842128283222,0.18130239316004457,0.28518525176565535,0.36081951837882276,0.23205294986555428,0.08913820107485104,0.09518475249560938,0.03968869235304713,0.057768405306734966,0.06473114350309879,0.15759218325637342,0.22268701610288105,0.19223364081361005,0.2634352660069075,0.3653528851218429,0.3202527260715605,0.06957629566958809,0.12392522293344599,0.08733977367220186,0.04949185519459261,0.10771423310577039,0.13242300304225818,0.24617146749510097,0.17616746683801032,0.3202389278447628,0.24893557953184822,0.4501021862889378,0.24687135773291494,0.1932324946795411,0.1717395456008278,0.3759393765584907,0.20845781746660197,0.33040672713144603,0.38642021298994733,0.23554569709354947,0.4616774403969606,0.4473943837965164,0.4650504997817848,0.15960275565792806,0.5025807462366763,0.295320449419281,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Lower Photic,8.80875,7.9704999999999995,8.331,8.860000000000001,8.817,9.204,9.010000000000002,9.321000000000002,9.731000000000002,9.599,8.479000000000001,8.470000000000002,8.139,8.438999999999998,8.57,8.315999999999999,8.641,8.678999999999998,8.338000000000001,8.464,8.625,7.770999999999999,8.048,8.495000000000001,8.273,7.929,8.241,8.482000000000001,8.393,9.693000000000001,8.818999999999999,8.881,8.267,8.409,8.056999999999999,8.186,7.939,9.192,7.948,8.75,10.023,9.042,8.600999999999999,8.495000000000001,9.288681834139968,8.808821776085846,8.659646438533736,8.298800437755183,8.002166700168837,8.225453284911206,8.759926899,8.608454635697694,8.185289126242427,8.304270154516896,8.725811512873936,8.599289191534112,8.242238519389108,8.269856682906076,8.065357496298699,8.110585970494906,8.019252729276438,7.976717050978488,7.8774683659772124,8.507401135709161,8.327680282359578,7.7724100204737,7.700576955467073,7.164699306723898,7.748027104810413,7.952292236419207,7.606617912186901,7.743321887740012,7.8822962186485785,7.790979522307735,7.991451356988105,7.97985216959203,8.339260539791429,8.227443168228294,7.508044724665043,7.328359039502503,7.834496882963904,7.571098429885856,6.846809061609268,7.610040771435601,8.205830431552096,7.6487606905564665,7.664514325812971,7.755379972720448,7.419239627668167,7.629428319188326,7.353183471888464,7.511261952516783,7.402694098589746,7.8695547209986145,7.459437624701636,8.162074171824395,7.533497179858929,7.213929122819954,6.842219082819604,7.411533569919653,7.242870635532194,6.604859041917547,7.433627216531202,7.194161639013544,6.6796068048101205,6.7797028742921785,9.400332529415477,7.271787700404606,7.865226781201402,0.02826585101024449,0.1689855352126655,0.21558447686850427,0.10934146311237798,0.24120300348231366,0.22386503870760066,1.8724445165742407e-15,0.7765801096259592,0.10816140202904559,0.10816140202904619,0.019119507199599876,0.004714045207910216,0.02183269719175057,0.015951314818673526,0.05676462121975458,0.18697593428032394,0.017288403306520022,0.06297265720577125,0.17912131208888696,0.18007405883876432,0.2560056422989327,0.032472210341220165,0.01398411797560257,0.012692955176439575,0.106254411673116,0.13461467643281375,0.23259167846010498,0.17961687621774916,0.10089047967419368,0.06750308634919333,0.03956710193526359,0.039285281382896116,0.03128720008068632,0.01449137674618913,0.006749485577105385,0.025473297566056975,0.059338951044917265,0.09531235200352803,0.09235198367598241,0.11690451944500133,0.18324543347349412,0.06321040701937886,0.05566766466171249,0.06114645442614734,0.011448345940903914,0.005402138016850541,0.08730939784623062,0.22390757668833222,0.09171643176357906,0.18933759608602202,0.09342188573954885,0.032810684093786256,0.1569394534055998,0.28648349301811454,0.0064723466383020305,0.006137613884437235,0.00994072350725754,0.14686252444282127,0.08549925865731908,0.15542003835289808,0.17857644035667908,0.2831953907749605,0.28188122887838885,0.3062737652968174,0.06305211203586941,0.3007097697217075,0.2824562954921679,0.36348715898736855,0.4077333684608501,0.30244539171000034,0.14197839514926755,0.09833996075884485,0.047733889479905374,0.06551285233205022,0.03936916234406498,0.09386062193222316,0.062471294155685565,0.09364735912828417,0.1441640974237579,0.30317918189568643,0.27818909889435023,0.2666297692752282,0.18881992611220572,0.06947823552119811,0.03040673404528083,0.07280970306027314,0.07286334704183563,0.004422652251589509,0.14551460325381235,0.17230637061587922,0.29405577164975505,0.24941957927244496,0.13987100224670007,0.19615380972050026,0.1381449405024548,0.11395305031993624,0.08500214142234874,0.09264971738321125,0.23073573093865068,0.1293538930996516,0.11673624778437737,0.09383739518357292,0.23363274037679113,0.16689954374507748,0.19433846314932696,0.23598874154540195,0.10269098909062119,0.08455608733330551,0.03580035159179002,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,9.093333333333334,8.398,8.647,8.997,9.084,9.376,9.010000000000002,7.260923076923078,10.271,9.562000000000001,8.515,8.509,8.142999999999999,8.533999999999999,8.674999999999999,8.724,8.647000000000002,8.819999999999999,8.675999999999998,8.867,8.842999999999998,7.891,8.11,8.559999999999999,8.553,8.364,8.624,8.716000000000001,8.604999999999999,9.873,8.864999999999998,8.992999999999999,8.373000000000001,8.441999999999998,8.088,8.247,8.114,9.452,8.149999999999999,9.050999999999998,10.358,9.157,8.849,8.547,9.318117706603932,8.794570680776163,8.779500108991439,8.640576691963883,8.517717463335956,8.852357987897685,8.863271948,8.844966254815592,8.688811521561863,8.919309991820452,8.790706804300843,8.615440249407254,8.339603536175858,8.593959602557291,8.392549714649395,8.62755968920068,8.655031155333129,8.52246658168685,8.372629711910635,8.817169345994515,8.52407397771357,8.383974347302678,8.21346056101726,7.866086690034807,8.347161507270508,8.427501418435755,7.966294387019092,7.990055198842688,7.968435266145919,7.939919003233223,8.152206463081082,8.41657826594078,8.490408154093284,8.686566864979387,8.164088295670158,8.139767190772693,8.274745714797737,7.941553032729457,7.381892311371198,7.895403876132072,8.34657168525904,7.896820311634963,7.9919841416092705,7.76624073807469,7.773333657727274,8.106056949868748,8.018405276524463,8.006605659726512,7.623406626006663,8.394361921326968,7.797636799307895,8.342123769794235,7.8390387091347025,7.500367870173849,7.166284961077499,7.761768658510901,7.525652487433329,7.063670897897576,8.074114354269634,7.400906052751113,7.1943962344884085,7.52270113962094,9.476480059773621,7.42052275414774,8.05432393875876,0.12382783747337822,0.06314005596027532,0.043728963196287066,0.006749485577105385,0.047888759989514786,0.06221825384170723,1.8724445165742407e-15,0.8278825917959723,0.5969822256799423,0.041853654500673125,0.013540064007726314,0.021832697191749954,0.032676869155073354,0.0386436713231718,0.028771127502719807,0.030983866769659363,0.0067494855771053856,0.010540925533894374,0.08181279443542612,0.07746683878351501,0.02451756739791083,0.026012817353502228,0.027487370837451203,0.026246692913372897,0.06219146064997767,0.05481281277625196,0.04141926551202408,0.021705094128133155,0.05482294734466194,0.03368151487751776,0.0343996124009172,0.030930028559098804,0.023593784492248807,0.01932183566158608,0.023475755815544844,0.030203016773531217,0.04993328882953042,0.04442221666388701,0.05416025603090656,0.04629614814791091,0.043665394383501074,0.030568684048294353,0.07549098548097549,0.01636391694484505,0.0351862388116624,0.028017783803683926,0.03025270755023843,0.07953762142155031,0.15342580289702815,0.07929662841853653,0.006994765568567685,0.03810864114495402,0.12071938931996026,0.03520870509848869,0.022442881504655506,0.005711486215461763,0.07038223315222322,0.053101739096212866,0.16028168167419904,0.07007836356378351,0.0949237862165499,0.04049897720220217,0.09882979714090996,0.04489124528868154,0.03354817404766523,0.12081107152696682,0.14400870652276657,0.12152128815517582,0.04973253017207881,0.07388466648912079,0.1378635609269762,0.11014127533517264,0.05279630163865321,0.032037684961646586,0.06398095233526062,0.17067949067101226,0.04072515260005543,0.1495489758005773,0.19826629301461146,0.3159293603523895,0.06862685954095403,0.02831485312721941,0.1920746051974653,0.10057636753401213,0.041073591594099214,0.12069119252670583,0.16478141882358702,0.012361198345360721,0.06248036947802051,0.15808007094589518,0.30718769249225186,0.09891986268767894,0.0721225586179926,0.16111378577039387,0.2209106726445709,0.04142091000884724,0.11475813519295741,0.13866721643053753,0.14021751331962565,0.10792090415156087,0.20712805863219858,0.11995688699934652,0.134692360291701,0.11035540964252069,0.22565481711831836,0.2379201195238594,0.00638628053307544,0.16530106028004896,0.06725560789508045,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Surface,9.285470688503807,8.553,8.728,8.92,8.754,9.097999999999999,9.010000000000002,8.22907692307692,7.710000000000001,9.517,8.495,8.510000000000002,8.278,8.599,8.673000000000002,8.736999999999998,8.614,8.817000000000002,8.969999999999999,8.957000000000003,8.906,7.980999999999999,8.143,8.652,8.64,8.4,8.747,8.743,8.651000000000002,9.91,8.922,9.003,8.446000000000002,8.514000000000001,8.084,8.206999999999999,8.174,9.528000000000002,8.205000000000002,9.098,10.341,9.143,8.918,8.52,9.370496045700428,8.891050279925881,8.921379204217654,8.775691837871722,8.840345333333152,8.91840521577439,8.880654588999999,8.92038111455692,8.838192569059117,9.02141289103906,8.852648259627511,8.676075215531942,8.497697246313018,8.708772872139386,8.75340654469063,8.716161317920578,8.811402970470397,8.783167602581928,8.807352946033737,8.903791597257257,8.71440303178033,8.711675063940195,8.626713764802945,8.605098355901228,8.69748709451255,8.616837644628717,8.632666991678317,8.45665415137645,8.14912562335805,8.10216182166771,8.412557159105255,8.617984164464692,8.617276117968466,9.196334671022356,8.701769712911908,8.790574089420682,8.81867005723878,8.460061440855526,8.439161917933353,8.523957968296644,8.485185921378559,8.443497405877482,8.601195844553827,7.818140404790677,8.186896191007225,8.508604717116302,8.686991704305683,8.623072322266845,7.996239282129925,8.735566499468508,8.618268004910682,8.473295126734659,8.473870870849122,8.05742321351455,7.617233086385653,8.23091705614107,8.08301491558369,7.509066357782487,8.478696614769571,7.963983282986677,8.005407684527714,8.507137021142292,9.50335046020476,8.148195976095923,8.285028243577896,0.11022344836115812,0.015748799679912964,0.011352924243950692,0.0802772971919485,0.12598059815348997,0.11419281938896145,1.8724445165742407e-15,0.6236931425746755,1.4505171491574993,0.274666801510215,0.04972144630058749,0.03590109871422998,0.0768548415304245,0.06723920813863837,0.03368151487751745,0.018287822299126944,0.024129281427805217,0.02869378562220987,0.06394442031083651,0.029078437983419362,0.015776212754931972,0.11039826890752275,0.011595018087284201,0.09162726425881963,0.09189365834726841,0.01154700538379227,0.06750308634919361,0.030568684048294048,0.028460498941515304,0.03399346342395181,0.02485513584307634,0.037727090178455686,0.060772800933750905,0.08113089560840685,0.03627058802329453,0.04831608887776885,0.10679159351018407,0.05977736472389292,0.07245688373094729,0.02699794230842227,0.049988887654046715,0.033681514877517776,0.007888106377465986,0.009428090415820434,0.02040241405396051,0.029942971210814608,0.015521321126085985,0.005013103692828464,0.045000935550691075,0.005846741404722671,0.008344976870797332,0.011037403390112355,0.02382400347862219,0.05251397224443567,0.0289832217491038,0.04550201326496401,0.02857512256982946,0.01220895746804245,0.01445847713126901,0.0253228577816155,0.021716226697344364,0.008195578615777122,0.029267797516555866,0.03206410848236744,0.06584987269293607,0.016502721800534574,0.09532330141797016,0.20010450035783983,0.14635141276308364,0.044142755368939,0.17416639279884208,0.18583722412148054,0.02794389328506431,0.10027863180811258,0.12808780817622104,0.023850861506103573,0.046239604741002804,0.18652516016331105,0.1762108483853195,0.023309830187225215,0.10836948431035669,0.3673637068359742,0.2892502563396405,0.16349227564832408,0.13209188454857415,0.10416393299733734,0.04466120529677262,0.01842613948284714,0.20506653833233932,0.07425102619306724,0.061045845396187674,0.23592052956385376,0.29435444116145265,0.04603333780398155,0.022686688786690182,0.08518092892436764,0.11234573298540762,0.28110050621460403,0.20359160749223504,0.06232121992158715,0.09236587692899564,0.3979397861093452,0.11122932761418447,0.28221624421393776,0.4571366627074226,0.1786793640801735,0.030421516819824385,0.278733311616287,0.17871069197093983,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
