depth_group,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
Surface,303.0,304.1818181818182,320.0,318.0,245.0,245.32478019378289,245.5607719094909,245.0,241.66506408640828,246.0,242.17349405104736,242.0,233.6417290817519,237.28374866296917,242.6198360428393,244.847708400742,243.98829349347855,247.16241834003674,247.0,246.69306884069027,246.0,243.0,244.0,242.0,241.2736910957459,241.5290102429631,244.0,246.04547798700253,245.67272802167082,237.3821061018299,249.35056167409445,248.0,245.4532730007941,245.58226378518347,245.21669818999837,243.45658531076944,241.21537892171554,240.73288141530665,244.0,246.55389071723548,248.0,248.29843545525645,249.0,248.44574343718315,248.681000490276,237.76795737484062,235.32044314799202,300.0,244.0,231.54046692357454
Mid-Depth,303.0,304.0,320.0,318.2,245.0,245.11956936414572,244.99423709427538,245.0,245.0,246.0,242.7589002632787,242.0,237.7643771888101,240.22925379420857,243.0,245.0,244.999288005716,247.0,247.0,247.00258013246548,246.6,243.2081904902001,243.5346512094674,242.0335289617471,241.0,241.35986532652979,244.0,246.15360127775563,247.0,247.15948346207142,248.53686044201498,248.67740559682338,245.9971533139309,245.0803084057918,245.7858571332177,242.3767439192356,240.3790148182051,241.3334357450552,244.0,246.0,248.0,248.0,249.0,249.0,248.0948453785295,246.1915449606958,246.0835285486333,300.0,244.0,245.0
Lower Photic,303.5,304.4,320.0,320.0,247.7123517169664,246.0005512518541,245.98959772585582,245.0,245.0,246.0,244.10351442070942,242.5966398472337,240.19452360192616,241.1249970824641,243.0,245.0,245.9712811401987,247.0,247.0,247.0128855603602,248.5,245.5654327698503,245.541264379231,244.4676782628991,243.0955193420015,242.0069450139202,243.99992006541487,247.00112030277393,247.0,248.0002160150205,248.0,249.0,248.81513909665742,247.01079287684928,246.5997120540093,244.1474998583222,241.9270451545909,242.0281476426806,244.0,246.4215037172668,248.0,248.42017227448667,249.0,249.0,249.7412898357988,248.4268142047243,248.22244530115591,300.0,244.0,245.0
Deep,303.96078431372547,304.0,319.35087719298247,319.3921568627451,245.94677810934377,246.35254357802484,246.53423336922128,245.63692192896082,245.9372241244535,246.0,247.53679467922777,247.4263048594937,247.81961794691966,247.441493343276,246.54523244743166,245.96845135096166,246.56565740778166,247.0202882443214,247.02271927259048,247.99785525449366,248.0,248.000001344655,248.75244901715033,248.66649420796514,248.97728855721158,248.81253865449196,247.82384319349939,247.84934219201705,247.21099590481685,248.0,248.2339444019733,249.0,248.99929752115386,249.18603578487463,249.09451066572862,249.05875547291828,249.2158736368171,249.3197357731287,248.3479312344666,247.29118022618619,248.0,249.0,249.0,249.12813414584937,250.0,250.60225854137613,250.3558119370769,300.0,249.09280949807606,249.0593999229294
