depth,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
0.0,1.928460271171899,27.90446041880609,18.802120439066638,23.19540777996212,18.830836944438143,13.419620725282975,14.456994125150464,25.573620337682136,25.550244179276543,18.7,9.3,6.0,5.5,2.3125,8.9,11.3,12.499999999999998,11.150516129032258,12.2831,2.177506451612904,1.9566,6.184655172413794,3.4939285714285715,,3.552160714285715,2.2827,3.261,7.717700000000001,166.7317741935484,0.6746896551724139,8.1525,86.15351612903227,8.836258064516128,20.5443,5.25967741935484,85.53853846153847,26.2983870967742,2.701971428571429,35.14633333333333,17.1746,9.558103448275864,17.766827586206897,9.015705882352943,30.5447,21.92741379310345,39.48139285714286,23.05189655172414,34.637934375,42.0669,41.108363636363634,46.34572727272728,16.199806451612904,10.365321428571429
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,1.0157308908695115,31.922855739607986,18.802120439066638,21.3959485174705,15.2008258275291,9.713051294287713,13.558699089128831,14.469162030925476,12.18642351640431,30.7,6.3,3.0,3.5,2.0,21.9,7.3,6.5,2.7350322580645163,23.1531,2.177506451612904,4.1306,6.184655172413794,4.658571428571429,,0.0582321428571428,5.543700000000001,5.434999999999999,6.6307,53.3717,11.919517241379312,11.4135,5.049290322580646,4.628516129032258,11.8483,5.25967741935484,60.83803125,24.194516129032262,2.701971428571429,39.97744444444445,11.7396,14.056034482758625,39.132000000000005,15.729529411764709,27.283700000000003,9.558103448275864,39.48139285714286,23.05189655172414,31.580746875,60.5459,31.22654545454545,45.35754545454545,15.147870967741936,13.85925
10.0,1.472095581020705,32.81583247756396,24.8872656633979,22.295678148716316,20.645842502892663,18.979474871775864,14.456994125150464,14.91334036319574,12.18642351640431,29.7,8.3,3.0,5.5,2.625,7.9,7.3,6.5,2.7350322580645163,12.2831,1.1255709677419354,4.1306,3.935689655172415,5.823214285714286,,,4.4567000000000005,4.348,5.543700000000001,43.5887,1.7991724137931036,8.1525,9.257032258064516,4.628516129032258,7.500299999999999,13.675161290322585,65.47084615384615,27.35032258064516,21.336257142857143,29.107444444444443,13.9136,11.807068965517242,30.136137931034483,23.4024705882353,25.1097,6.184655172413794,70.92675,27.5498275862069,28.523559375,45.3279,40.12018181818183,38.44027272727273,16.199806451612904,10.365321428571429
20.0,3.7539190317766735,33.70880921551994,35.65329182952232,21.845813333093407,19.738339723665405,27.78257727038961,16.70273171520454,16.69005369227681,18.42287315907802,31.7,14.3,4.0,12.5,1.6875,6.9,8.3,5.5,3.786967741935485,3.5870999999999995,0.0736354838709677,3.0436,5.060172413793104,12.811071428571427,,,7.717699999999999,6.522,9.8917,44.6757,7.421586206896552,14.6745,10.308967741935485,26.71916129032258,16.1963,9.46741935483871,60.45392307692308,23.14258064516129,14.81425714285714,32.730777777777774,18.2616,16.305,29.0116551724138,11.893058823529412,14.239700000000004,3.935689655172415,44.139964285714285,14.05603448275862,37.69512187499999,49.675900000000006,50.002,55.23936363636364,17.251741935483874,15.023892857142856
30.0,7.404836552986223,33.70880921551994,28.63197041683245,24.54500222683084,24.27585361980171,126.46998837063842,17.601026751226172,22.46437201179027,33.568536576999875,33.7,15.3,3.0,18.5,2.625,24.9,7.3,6.5,6.942774193548387,7.935099999999999,2.177506451612904,18.2616,3.935689655172415,3.4939285714285715,,0.0582321428571428,35.97970000000001,7.608999999999999,16.4137,52.2847,4.048137931034483,12.5005,23.984129032258068,8.836258064516128,8.5873,5.25967741935484,62.962384615384615,27.35032258064516,18.541114285714283,41.185222222222215,33.479600000000005,21.92741379310345,35.75855172413794,9.015705882352943,14.239700000000004,7.309137931034484,31.32889285714286,14.05603448275862,28.523559375,45.3279,83.50489285714286,53.26300000000001,22.51141935483871,18.51782142857143
40.0,6.948471862835028,33.26232084654195,34.249027546984344,33.99216335491185,32.44337863284707,23.61268666051994,33.77033739961553,35.78972197989827,39.35952553091118,32.7,24.3,6.999999999999999,30.5,8.25,76.89999999999999,21.300000000000004,7.5,3.786967741935485,20.979100000000003,1.1255709677419354,12.8266,3.935689655172415,2.329285714285714,,15.198589285714286,59.8937,10.87,16.4137,51.19769999999999,10.795034482758622,10.3265,29.243806451612908,24.61529032258065,30.327300000000005,7.363548387096775,67.9793076923077,25.24645161290323,34.38025714285715,47.22411111111112,38.91460000000001,25.30086206896552,45.87889655172414,15.729529411764709,29.4577,25.30086206896552,49.96317857142857,11.807068965517242,37.69512187499999,69.0245,96.31596428571429,73.780125,37.23851612903226,35.98746428571429
50.0,,,,60.53418747666327,,26.392613733766385,35.566927471658786,39.3431486380604,46.4868965511097,36.7,33.300000000000004,9.0,54.5,12.9375,65.9,45.3,4.5,2.7350322580645163,20.979100000000003,1.1255709677419354,20.4356,5.060172413793104,6.987857142857143,,4.716803571428572,38.1537,22.827,21.8487,63.154700000000005,17.541931034482758,11.4135,88.2573870967742,27.77109677419355,28.153300000000005,9.46741935483871,74.25046153846155,33.66193548387097,19.47282857142857,53.263,43.262600000000006,68.4704806451613,64.99510344827587,33.95276470588235,40.3277,20.80293103448276,39.48139285714286,17.42948275862069,31.580746875,69.0245,91.65739285714288,84.9898125,50.91367741935484,35.98746428571429
