location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,0-10m,2014-08-09,23.408,1.311,8.229076923,8.089,6.5,1.460983607,,,,,,
SA,10-30m,2014-08-09,23.119500000000002,1.3225,8.2909615385,7.526,6.5,1.460983607,,,,,,
SA,30m+,2014-08-09,21.29742424,0.530984848,7.415909091,3.097954545,6.5,1.460983607,,,,,,
WP,0-10m,2014-08-09,23.926,1.201,7.3195,8.227,5.0,2.8,,,,,,
WP,10-30m,2014-08-09,23.009999999999998,1.3865,7.6395,7.4254999999999995,5.0,2.8,,,,,,
WP,30m+,2014-08-09,21.23110263,0.511616715,7.831138183,3.199371902,5.0,2.8,,,,,,
WG,0-10m,2014-08-10,23.695,2.211,11.499,8.287,5.2,2.2,,,,,,
WG,10-30m,2014-08-10,23.360500000000002,3.292125,9.2715,8.1045,5.2,2.2,,,,,,
WG,30m+,2014-08-10,20.85925392,0.383684392,7.325526673,2.599731371,5.2,2.2,,,,,,
SA,0-10m,2014-08-12,21.139,2.8155,8.495,6.933,4.0,1.036129032,,,,,,
SA,10-30m,2014-08-12,21.131999999999998,3.459,8.497,6.945,4.0,1.036129032,,,,,,
SA,30m+,2014-08-12,21.12462121,3.967727273,8.427575758,6.955681818,4.0,1.036129032,,,,,,
WP,0-10m,2014-08-12,21.148,1.944,8.499,6.396,6.1,1.1,,,,,,
WP,10-30m,2014-08-12,21.091,3.37075,8.506499999999999,6.3035,6.1,1.1,,,,,,
WP,30m+,2014-08-12,20.77545859,1.888870501,8.151254709,3.873199125,6.1,1.1,,,,,,
WG,0-10m,2014-08-13,23.385,0.474,9.01,7.466,9.0,2.8,,,,,,
WG,10-30m,2014-08-13,23.037,1.1585,9.01,7.287,9.0,2.8,,,,,,
WG,30m+,2014-08-13,20.80026039,0.416072459,8.902087058,2.691150692,9.0,2.8,,,,,,
WG,0-10m,2014-09-09,23.437,1.195,10.0392,8.127,5.9,1.7,,,,,,
WG,10-30m,2014-09-09,23.2795,2.169,8.8464,8.0195,5.9,1.7,,,,,,
WG,30m+,2014-09-09,20.79727811,0.449284554,7.529936934,2.574156877,5.9,1.7,,,,,,
WG,0-10m,2014-09-12,21.078,2.5695,8.644,6.504,6.5,1.6,,,,,,
WG,10-30m,2014-09-12,21.081,3.20875,8.661,6.497999999999999,6.5,1.6,,,,,,
WG,30m+,2014-09-12,20.70073574,1.841513896,8.147531622,3.573994809,6.5,1.6,,,,,,
WG,0-10m,2014-09-25,23.57,1.585,8.281307692,8.037,5.1,2.096878901,,,,,,
WG,10-30m,2014-09-25,23.2725,2.7809999999999997,8.590346153999999,7.768000000000001,5.1,2.096878901,,,,,,
WG,30m+,2014-09-25,20.83186477,0.383901842,7.694318509,2.350039844,5.1,2.096878901,,,,,,
SA,0-10m,2014-11-11,22.344,3.05,9.517,7.858,5.8,0.6,,,,,,
SA,10-30m,2014-11-11,22.225,2.903,9.5805,7.398,5.8,0.6,,,,,,
SA,30m+,2014-11-11,21.46710037,1.545463327,8.542768856,4.664413695,5.8,0.6,,,,,,
WP,0-10m,2014-11-11,22.958,1.207,10.867,7.695,5.5,2.0,,,,,,
WP,10-30m,2014-11-11,22.247500000000002,1.8135,11.2675,6.881,5.5,2.0,,,,,,
WP,30m+,2014-11-11,21.40196066,0.796231063,10.35109083,4.252633529,5.5,2.0,,,,,,
SA,0-10m,2014-12-08,23.23,1.048,9.01,7.288,5.1,1.497876002,,,,,,
SA,10-30m,2014-12-08,22.799,1.4155,9.01,6.904,5.1,1.497876002,,,,,,
SA,30m+,2014-12-08,21.24153784,0.601052095,8.986852167,3.13130106,5.1,1.497876002,,,,,,
WP,0-10m,2014-12-08,23.902,0.646,9.01,7.469,5.6,2.2,,,,,,
WP,10-30m,2014-12-08,22.997999999999998,0.9319999999999999,9.01,6.970000000000001,5.6,2.2,,,,,,
WP,30m+,2014-12-08,20.96016837,0.456049961,8.9628468,3.043464376,5.6,2.2,,,,,,
WG,0-10m,2014-12-11,22.408,1.809,9.724,7.823,6.2,3.1,,,,,,
WG,10-30m,2014-12-11,22.356499999999997,2.60475,10.935749999999999,7.694,6.2,3.1,,,,,,
WG,30m+,2014-12-11,20.88588827,0.559186575,9.737148637,2.773750387,6.2,3.1,,,,,,
SA,0-10m,2015-01-13,20.436,3.198,8.51,7.272234069,5.5,1.180347795,,,,,,
SA,10-30m,2015-01-13,20.296999999999997,4.3405000000000005,8.4895,6.46772786,5.5,1.180347795,,,,,,
SA,30m+,2015-01-13,20.19439394,4.475227273,8.429166667,3.644518915,5.5,1.180347795,,,,,,
WG,0-10m,2015-01-14,20.418,1.963,8.416,7.184898563,8.0,1.5,,,,,,
WG,10-30m,2015-01-14,20.4195,2.387,8.367,6.666953679500001,8.0,1.5,,,,,,
WG,30m+,2015-01-14,20.3937055,1.761162756,8.15764811,2.809009729,8.0,1.5,,,,,,
WP,0-10m,2015-01-14,20.468,0.844,8.433,7.169559132,8.0,1.6,,,,,,
WP,10-30m,2015-01-14,20.39,0.01,8.405000000000001,6.4117317125,8.0,1.6,,,,,,
WP,30m+,2015-01-14,20.3900991,0.01770422,8.377636908,3.854603861,8.0,1.6,,,,,,
SA,0-10m,2015-04-14,22.049,0.776,8.673,7.633,7.1,1.307106433,,,,,,
