,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,1.8152355531567843,0.30319666784957355,0.6981873215771938,0.3404656388346681,0.31083348711805286,0.4560499611281821,0.5116167154702144,0.45631931262245445,0.7962310631757922,1.8888705010580473,0.01770421998659671,1.298581725289994,4.483390524086035,0.5684364454578854,0.5748923398347757,0.3156071428571428,0.7651293958131865,0.8183053605536635,0.4946457538606375,0.39178229419156335,1.0459714935839919,1.0570014808660755,1.0090186449674432,3.061009916891648,1.7713705718116213,0.355216453662886,0.27663498710286877,0.27014460101681764,0.3125655901608545,0.29754868498723486,0.23233937848087843,0.2134642857142857,0.5376143849367113,0.8628536755623669,0.9830693775554035,0.47976459960805845,0.4573383004475798,0.3013128322108765,0.15964269682682972,0.17135123725670512,0.17357991511222653,0.14565651394075455,0.18313682728869066,0.537040072045718,2.4174553073568816,2.2051335737592948,1.545140077893155,0.6829471889313281,0.9129668713279855,0.7105267368815683,0.7017865706548764,0.535369652444465,0.5793399601560203,0.9148014506797226,0.8323169143774489,0.8887680948587048,3.041505606482786,0.7026190048589561,0.5809878540527462,0.4356171277812734,0.466545087697392,0.5315217237935524,0.6668935172729074,0.6694737307488999,2.390661913482765,2.01121067325132,2.415875800707243,0.5837992379222153,0.5722450609671832,0.5923848075536057,0.878709561466165,1.4942839782054567,2.7378909296772536,2.8646954088598675,1.1432211088870083,1.35533435808451,0.6955566789783834,0.5763825655767116,0.6031591650504503,1.1367855980746433,0.7163553626223406,0.8854736826159187,1.0510702121714603,4.210682412724922,1.2529444704605555,1.5649202737357104,0.8320992165168976,0.8968594793881169,0.6819058554287543,0.6277487263968259,0.6634902423662147,0.8669983400831276,0.77088726771657,0.7813433373496033,1.0442238250674092,1.5575472632006646,1.8752214555839355,2.009452131424481,1.4199400197148666,1.1970870285002768,1.0412138787199017,0.8165505195448003,0.7757198332155185,0.6598644952189383,0.6086657389709081,7.596744743272741,1.2037342279493028,1.3118847192373868,0.7573684560154615,0.15004553556295952,0.32773514622981714,0.13542332758191228,0.12168611297829063,0.22633773504891055,0.21927761367354812,0.31234434654116344,0.4952759784943014,1.5580326839497831,0.04076690026053653,0.4177216762944998,1.4976617611321899,0.2386215656889834,0.3025915638304306,0.08230806597696076,0.370709290254488,0.4009427224196356,0.14401031681223142,0.1406611255801171,0.39836935391423406,0.6713214742679173,0.5329197512127641,1.3695818635943828,0.6145668529952046,0.19882966004220567,0.17897433614108596,0.10724934040390638,0.19265602706039708,0.19120524115997564,0.13303992332271114,0.13917920293312694,0.4074921247679994,0.5534767763210502,0.1740061078397031,0.23157291009195205,0.1909557454646055,0.14811548807000455,0.06130503136450917,0.057518715906717574,0.08464632726535758,0.04274311549188398,0.14256872409015814,0.44331524936731315,1.1995424297775503,0.8080639558266537,0.46398130429053025,0.1192089796363447,0.3291070721966716,0.3158000709752927,0.18996194919320436,0.14484692296317117,0.18372712565295243,0.4229059758534409,0.2923257824222498,0.4441398422028557,1.0466026201804877,0.1961197633340553,0.15043152276481261,0.07940789690990882,0.09578696786991453,0.14582864761544032,0.37685298766342257,0.2635579831833264,0.9455629373180597,0.9695283254887,0.8674385720586947,0.12129223554711285,0.14451429943065702,0.1158598622135355,0.4354010488019348,0.7573974986264853,1.2693150032559621,1.7147841966475335,0.2806886522878685,0.6416711942232725,0.1491129265454635,0.11344696403755697,0.11081338704235398,0.4279206061518148,0.21373631150992795,0.4112908277948231,0.6267395862352182,4.732635450964167,0.3812652949836318,0.4753005990852058,0.25058918846290174,0.2904496164117454,0.1709005148254611,0.12089283119302141,0.17807190201860051,0.4065945252124426,0.25448687035935125,0.27250454497197596,0.38262714395816266,0.9707281090053024,0.6454971179723094,0.4169376949822523,0.37166373987178547,0.6169648594879616,0.3793521288755741,0.22174746233216408,0.2332537456439746,0.17476979714290647,0.162670806860336,2.719243099032112,0.8800965138008933,0.8531114402466031,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Lower Photic,3.4392642838033063,0.8533608673541961,0.8089999999999999,0.607,0.78,0.9240000000000002,0.907,1.3874,1.6949999999999998,3.316,0.009999999999999998,2.4205,6.758,0.837,0.868,0.617,1.379,1.141,0.962,0.7630000000000001,1.9219898196305913,1.9620000000000004,1.671,4.209999999999999,3.6319999999999992,1.439,0.7660000000000001,0.8190000000000002,1.0150000000000001,1.0429999999999997,0.691,0.635,1.307,1.874,1.3330000000000002,1.067,0.626,0.631,0.48900000000000005,0.288,0.597,0.313,0.619,1.512,3.217,3.429050725916916,1.965688663750497,1.0453889214718828,1.9369544697944292,1.7084241262515198,1.0250027388965786,0.7099505273047396,1.9335888200527769,1.396964270317097,1.0918794627886306,1.740373621132738,3.705704562598617,1.3373891948564978,1.290751881450182,0.5746033299052584,0.7273599315601038,1.3910255953894914,1.391929909709315,1.5225292151396892,3.5690786910339236,5.710803718941543,2.7561352834553885,1.3020108491728792,1.070743000211442,1.0244731029523044,1.8620135746714062,2.1851055846825096,3.2956178902823403,5.901112310580879,2.0018083967208717,3.2781100369915395,1.0535683694353748,0.8174759180655998,1.649704760367306,1.9370829061979002,1.313272895151016,2.701126940795666,2.9757296355366503,5.72246318146607,1.859019672947292,1.956891216452648,1.284467909912193,2.035176371945138,0.9769549184165218,1.124283987625239,1.379209040777169,1.760939882004947,1.0329163610582204,1.685908195740011,1.655732453962587,2.594603458113105,3.0328456193414786,2.532941570930357,2.1478705518948287,1.452573295639716,1.4540872640286842,1.563338404998214,1.2394312655893736,1.515436489121465,1.6509776988468539,19.263179426372453,3.4542827150898474,2.775316350751484,0.9421646355885247,0.18768209326310017,0.051088159097779196,0.06783149055645991,0.13784048752090222,0.028751811537130408,0.30074167578763594,0.49273030712100063,0.06867799259345506,0.07691264886581117,1.828559098217032e-18,0.774662829881491,0.6346442573074567,0.014181364924121755,0.07699927849589816,0.0912931785208755,0.05130518708885309,0.0703088424974649,0.3729402692716951,0.08895067297228404,0.1904531279941137,0.12290918056299402,0.19427643535265243,0.3275159029217767,0.352666036546381,0.4706838995900893,0.030623157540948964,0.28865396430867035,0.29163333142835374,0.1602810032411826,0.07504813270310076,0.04766783215358366,0.14981840860039716,0.5633076917241194,0.027507574714370306,0.06896859188548557,0.009660917830792967,0.08438667614683677,0.2968145698729914,0.047795862210493124,0.04691600058733812,0.042959929650263115,0.03034981237357346,0.26199236630100503,0.08179242018671413,1.53225929323011,0.07990777789449065,0.3037471082116725,0.1852781580248668,0.25582522855601497,0.22747295326573927,0.08677246489140109,0.30207665077710316,0.07181925574858872,0.1082926320037376,0.09315750887940956,0.3954129799671974,0.2639972108627387,0.256769433123143,0.04420829142753815,0.10406315444980496,0.3248906487447056,0.13463538337657502,0.14708726727604476,0.2341945975318682,1.9678831606319453,0.14331241571588293,0.27432387088787596,0.08063569466607573,0.09325687463857465,0.14599066720917186,0.06444557765598567,0.05836930183460856,0.24019360150797886,0.3932355024680786,0.1314080306764209,0.19602572902521045,0.036440304749093044,0.35211758022966594,0.45463761360470195,0.18307251155328827,0.7527088460752265,0.16390824057111553,0.2576615620425803,0.16724663691202682,0.07805849046389363,0.141890775919987,0.18774639227796508,0.15628928326487862,0.2073975853440047,0.05864204137150625,0.16793574411356427,0.034069310947689696,0.3873980182958798,0.11673809879749848,0.10789997622070689,0.32076000483401723,0.13355081377485753,0.07289284463394224,0.3330110265875195,0.14477356442730252,0.20058767474834177,0.3556183995866952,0.09839143270971516,0.240179884133384,5.370965873106346,0.20605662858748172,0.0648797116591209,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,3.678857142857143,0.7717142857142856,0.625,0.836,0.852,0.9400000000000001,1.8659999999999997,3.1676,1.932,3.4255000000000004,0.009999999999999998,5.97,5.769,0.6789999999999999,0.784,0.724,1.427,1.625,2.3063333333333333,1.198,2.444746768902095,2.13,1.798,5.529999999999999,4.2780000000000005,2.4270000000000005,0.709,1.33,0.8089999999999999,0.8109999999999999,0.725,0.6990000000000001,1.0330000000000001,2.1109999999999998,1.8539999999999999,1.9120000000000001,0.471,0.79,0.7819999999999999,0.542,0.6789999999999999,0.716,0.858,1.7890000000000001,3.2730000000000006,6.9256608387971665,2.259806357126431,2.311239705397138,3.9104835739144357,2.0719892935096467,1.9790647533687769,0.8082216170031318,2.103333675417984,1.1606572982307901,1.1910098260279542,1.9492300175056634,8.452862200511056,1.928389758430652,2.224239621531188,0.9561593204135808,1.2629070722314,1.6068794662069188,1.718565849090652,1.510936607171555,3.937867364068494,6.422395061832093,2.696403493051935,1.951612975555772,1.4133226830632448,1.376701133780348,2.1107538001377426,2.105741048211954,3.043465353312919,5.647601833222177,3.115687465666715,3.368358435103103,1.7654149282468812,1.321184175992148,1.9649179425879608,1.9220888903437903,1.896081336010365,2.8081362755726738,2.9962612516195852,5.708410397101271,2.567837607694997,2.434412858716656,2.428012072325829,1.9274961457240216,1.1950470333294494,1.648629516863495,1.491346745169371,1.9835104502221832,1.4829955838458049,2.541655575239557,1.785782288415494,2.422397939498481,3.3108771132284955,2.633516994979591,2.0729517527600754,1.0165391878579464,1.5624950103608772,2.2130088725785777,3.139111408025427,2.022268686727033,6.669905004573371,25.970965765213958,3.5261527415481604,2.993940459353297,0.7681581469824493,0.1920395367456123,0.12131226923385229,0.05316640543300502,0.06844300142778986,0.029439202887759468,0.48797085523169875,0.7135705524566812,0.2729590933943522,0.19695529667640035,1.828559098217032e-18,1.0762899237658967,1.9060573035573836,0.11512794814659232,0.09754770912510224,0.020110804171997825,0.04498147766951784,0.26060826285186484,0.5750565189613973,0.22503333086456323,0.15409447884023816,0.14914571547464733,0.14412957133542492,0.31832897030168855,0.19555050498528512,0.22774498408917326,0.14278577582440688,0.12780193008453877,0.1256494241044414,0.08633912464488186,0.11118053386771946,0.0260128173535022,0.12815355372885034,0.3875406788683967,0.3805317916343448,0.47052689142657467,0.0978036581910695,0.046666666666666655,0.1323967102646017,0.24266117209896693,0.03604010112206801,0.2247072169142178,0.024855135843076352,0.24501473878569466,0.12858633070604533,3.473167756654513,0.2684390300183642,0.5828819023124443,1.7345113228855218,0.08564263255764835,0.12428677494505647,0.1098862321839037,0.10630178642761379,0.07786302513356716,0.13896129036081065,0.0925603409052175,7.229582065260013,0.10655875121286085,0.47148349775156795,0.23313341129193735,0.26543846875189403,0.1397937643174431,0.12412599882716335,0.12185497685007282,0.18531125226278983,0.48539407549454705,0.07440681023406126,0.14524543341649693,0.11920618406884931,0.1427149935409609,0.09725174835373604,0.09626822050061287,0.15940555953934207,0.4107386580278812,0.12493364436746746,0.17825484641761433,0.13593462150858118,0.17826003722949402,0.10705865909064406,0.0977069544062164,0.26600682796434827,0.5243001697421568,0.1949193023784438,1.658283263882242,0.2831281555834013,0.12309013230123374,0.6328523278136452,0.10139960456186015,0.21966700672341113,0.05696388002141046,0.05020887819769689,0.11179650365027843,0.25188730766384365,0.07068860062650821,0.18683582804249596,0.12722425373518367,0.23336624323857272,0.1333923837035835,0.17991014566254027,0.14176403642889168,0.09457155124482415,0.23928549996569076,0.4294750820400047,0.20475864745780414,6.175082695756173,0.6305036438878707,0.0998168205251925,0.07388490447811503,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
