depth,2014-02-19,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-10-12,2016-11-09,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-10-10,2018-11-14,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.015217420340054,74.73397442093606,12.849825585386197,2.0813958800450996,7.428898136324264,6.27,N/A,N/A,N/A,5.664633535135798,10.08,8.0,33.6,1.7333333333333332,N/A,N/A,3.217948717948718,N/A,15.941176470588237,21.083854545454546,4.784864864864866,3.2918374999999993,8.02374269005848,23.316052287581705,18.366574850299404,7.173172413793103,2.3513125,6.845546666666667,9.023550387596899,8.755782608695654,20.00103797468354,18.92275362318841,3.8511948051948055,10.939735849056605,7.163131578947369,13.158378378378378,7.671733333333333,16.1549,21.325272727272733,3.975898305084745,6.343933333333333,128.501533333333,22.28262068965517,8.64453125,44.05650574712644,8.346171428571429,8.349045454545454,22.457851851851853,6.689295454545454,19.567578947368425,12.977932203389832,70.19261971830986,32.97049275362319,21.987225806451615,105.04373333333334,84.22045714285714,38.38549090909091,11.894875,31.85378787878788
0.1,N/A,19.127,20.41,N/A,N/A,2.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.97,0.84,0.69,0.98,2.98,0.93,0.45,2.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.394054998041277,37.31264896034996,5.049529798169946,N/A,6.000109838100426,0.278,N/A,N/A,N/A,2.7952951193420867,6.8,8.0,10.933333333333332,2.4000000000000004,11.454545454545455,N/A,1.6794871794871797,0.1818181818181807,8.294117647058822,15.450763636363638,1.1962162162162164,3.8450874999999995,3.105964912280702,2.198535947712418,2.7298083832335336,12.362275862068966,2.3513125,2.1244799999999997,2.161534883720931,1.6998405797101455,4.313949367088607,42.65637681159421,9.599246753246755,11.774830188679244,4.25128947368421,10.765945945945946,5.458733333333333,12.466566666666665,18.106363636363636,2.475559322033898,14.704155555555557,35.203723076923076,26.098137931034486,3.1120312500000002,10.988689655172417,1.3910285714285717,6.840181818181819,16.447234567901237,9.204068181818183,39.368105263157894,28.731491525423724,159.95938028169016,23.348753623188404,16.847354838709677,97.37200000000001,17.578735849056603,113.53041269841269,19.087124999999997,5.700151515151513
10.0,N/A,21.45,21.82,9.323,N/A,N/A,N/A,N/A,N/A,N/A,6.32,N/A,N/A,N/A,N/A,N/A,0.53,1.63,0.24,0.1,1.04,0.45,1.6,14.953277415118912,36.48413252948828,5.257537685829046,N/A,3.4104310475697206,3.04,N/A,N/A,N/A,9.04635381089267,6.97,28.666666666666668,11.6,3.7333333333333325,2.363636363636368,N/A,1.6794871794871797,N/A,3.588235294117647,16.79197575757576,0.5981081081081087,2.4619625,2.070643274853801,3.9342222222222225,3.259868263473054,4.425999999999999,1.7980625,2.1244799999999997,1.818434108527132,2.982739130434783,5.994708860759494,55.62006666666666,41.21353246753247,3.42388679245283,2.504184210526316,5.382972972972972,4.721066666666667,20.580900000000003,7.644909090909091,3.975898305084745,19.621933333333338,14.095107692307694,24.57193103448276,2.4204687499999995,34.39052873563219,7.0816,8.852,15.354395061728397,22.783840909090912,14.90863157894737,53.112,112.58247887323942,18.217159420289853,9.137548387096775,106.81413333333333,8.810245283018869,58.73231746031747,13.554625,5.029545454545454
15.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.878616469634899,44.216952550864,2.553435146260746,N/A,3.4104310475697206,N/A,N/A,N/A,N/A,3.112040269137496,6.04,43.333333333333336,12.933333333333334,3.0666666666666655,N/A,N/A,1.1666666666666667,N/A,3.588235294117647,14.377793939393941,1.1962162162162164,1.6320874999999997,2.8471345029239767,2.7770980392156868,4.8500479041916185,4.120758620689656,1.2448125,4.189946666666668,1.4753333333333334,2.6620144927536233,5.994708860759494,59.308400000000006,24.54418181818182,0.9186037735849045,5.998394736842105,8.373513513513513,6.1964,10.253566666666666,17.301636363636366,2.475559322033898,14.212377777777778,12.05233846153846,27.624344827586206,1.728906249999999,5.901333333333334,4.5524571428571425,9.354954545454547,17.540074074074077,11.718840909090908,41.115210526315785,36.608271186440675,149.36191549295773,23.990202898550724,5.42541935483871,70.816,67.78102857142856,20.681490909090915,9.128625,1.6765151515151508
20.0,N/A,N/A,N/A,N/A,N/A,N/A,2.59,N/A,N/A,N/A,N/A,2.28,N/A,N/A,N/A,1.44,2.52,1.09,0.76,5.43,1.61,0.45,2.04,17.394054998041277,37.450735032160246,1.721403595624346,N/A,3.6783288534866903,3.13,N/A,N/A,N/A,5.515576994055606,6.26,42.666666666666664,18.933333333333334,2.4000000000000004,N/A,N/A,1.8076923076923075,N/A,4.1764705882352935,14.914278787878787,0.29905405405405433,0.8022125,2.070643274853801,3.6449411764705886,1.404658682634731,3.8155172413793106,N/A,2.7146133333333338,5.935643410852714,1.058391304347826,N/A,57.0954,5.57561038961039,5.094075471698114,4.8336578947368425,5.981081081081081,9.884733333333331,14.679566666666668,15.692181818181822,3.975898305084745,12.737044444444447,7.9668,28.38744827586207,10.027656249999998,4.8838620689655174,8.978457142857144,11.366772727272728,5.5188395061728395,13.227704545454545,32.96205263157895,34.732847457627116,32.23603333333333,22.06585507246377,7.138709677419355,116.25626666666668,82.95588571428573,86.83390476190478,9.128625,1.6765151515151508
30.0,N/A,7.499,13.369,5.112,N/A,2.2,4.09,9.17,N/A,51.65,215.53,11.77,12.21,21.97,2.65,7.03,3.44,10.18,11.8,15.3,23.4,3.33,0.72,18.858521547794698,40.90288682741726,15.657932068784046,9.299448686953964,10.197175464132949,13.7,16.0,N/A,N/A,9.08361794616272,17.39,41.333333333333336,56.93333333333334,9.066666666666666,78.72727272727273,11.384615384615387,5.1410256410256405,N/A,9.470588235294118,15.182521212121214,16.747027027027027,20.1659625,25.624210526315792,2.4878169934640524,4.585017964071858,13.88848275862069,21.1618125,5.370213333333334,2.5046356589147285,4.586362318840581,13.278,49.71873333333333,11.323662337662336,6.764264150943396,16.481026315789475,20.93378378378378,12.097733333333332,14.679566666666668,29.37254545454546,9.977254237288136,16.671266666666668,19.54249230769231,25.335034482758623,26.625156249999993,26.759494252873566,37.43131428571428,62.56754545454545,73.18707142857143,28.819295454545458,61.69079012345679,45.874891891891885,131.9072676056338,20.78295652173913,17.989548387096775,120.38720000000002,36.78590566037737,83.32120634920635,15.214375,6.370757575757574
40.0,330.0,9.825,7.895,6.916,5.566,4.06,7.62,15.83,19.01,50.03,249.74,30.49,8.88,30.78,3.8,30.71,12.55,7.03,30.93,33.42,34.3,9.83,2.78,20.81114361413259,53.46871936215281,29.490456598114204,39.268072999183175,44.57739389014404,54.6,63.5,35.55888758449202,54.300463433495295,62.54833602486437,39.41,50.0,38.93333333333333,9.733333333333333,5.690909090909091,11.907692307692308,18.474358974358974,N/A,46.52941176470588,15.182521212121214,36.78364864864865,52.644658385093166,17.90317,52.125481927710844,61.39725609756097,73.77916949152544,64.06187283236994,51.94041176470588,2.161534883720931,2.020565217391305,10.476734177215189,48.98106666666667,15.922103896103895,52.9012380952381,29.293131578947374,40.671351351351355,62.366363636363644,70.01786885245902,47.358200000000004,8.476915254237289,26.506822222222226,25.6708,29.913655172413794,29.391406249999996,132.42388505747127,95.91868656716417,107.3305,165.39540476190473,89.58448101265822,143.10733333333334,97.3121891891892,148.7385352112676,15.65136231884058,53.242176470588234,142.8122666666667,42.63156603773585,106.50501587301586,39.55737499999999,39.23045454545454
50.0,N/A,N/A,N/A,N/A,N/A,25.75,6.99,10.42,24.57,52.24,227.37,26.13,22.67,32.27,2.269,18.64,13.16,12.75,38.05,22.52,24.98,10.83,6.46,N/A,N/A,42.074933801489756,41.278163654271715,52.078532455819186,77.9,98.8,87.39779828557555,102.77708412886633,105.21577090906955,55.53,46.666666666666664,86.26666666666668,15.066666666666663,6.6000000000000005,10.36923076923077,25.910256410256412,35.63636363636363,64.76470588235294,15.987248484848482,43.94196407185629,88.38254658385094,23.214370000000006,88.12006024096387,61.937012195121945,142.41967796610172,76.85378034682081,75.6325294117647,44.70603100775194,2.6620144927536233,16.63951898734177,31.75173913043479,19.94574025974026,10.939735849056605,25.798921052631577,21.53189189189189,75.10787878787879,75.09688524590165,51.7842,46.822421052631576,94.52238356164382,43.37480000000001,41.36020689655172,42.531093750000004,135.47629885057472,101.20346268656718,187.80322727272727,123.2430238095238,86.22296202531643,155.12856790123456,106.88191891891891,155.59571830985914,136.00978378378377,68.21247058823529,135.14053333333334,12.985716981132075,105.0999365079365,49.96128813559323,79.73308823529413
60.0,N/A,15.143,8.1317,N/A,2.292,31.17,7.88,18.89,24.15,64.15,294.47,12.03,14.48,31.67,N/A,16.59,15.86,8.69,38.67,33.19,43.18,32.08,13.07,24.350271109370023,56.64469901378927,43.11497323978525,43.5623575805087,52.614328067653126,76.0,95.9,95.10358230870959,97.4796389807124,103.35256414556714,58.23,43.333333333333336,154.26666666666665,17.73333333333333,2.6,3.7538461538461543,32.06410256410256,192.9090909090909,63.58823529411765,14.646036363636364,54.01310179640719,99.37881987577639,21.370203333333336,99.31837349397591,68.68396341463415,166.05001694915256,85.80811560693643,77.71535294117646,72.04166153846154,10.68013043478261,17.760025316455696,28.54449275362319,28.567818181818186,69.76219047619047,55.85487323943662,38.278918918918926,71.08424242424242,77.99918032786886,59.16086666666667,58.469789473684216,109.67991780821917,31.8672,43.2097627118644,93.18918681318682,106.47836781609197,87.9915223880597,173.21754545454547,158.5456428571429,132.7239746835443,135.45745679012347,58.435162162162165,171.80360563380282,147.37383783783784,85.78629411764705,160.51626666666667,13.403264150943397,136.71422222222222,61.96400000000001,101.86308823529411
