,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,3.2509723037273073,0.8236395390208413,0.5732045553109376,0.44433333333333336,0.3936666666666666,0.4370833333333334,0.5216530818522317,0.45,0.4683193594532664,1.435653946227551,4.048583333333333,4.465416666666666,1.8113333333333332,4.98575,0.5055000000000001,0.6236666666666667,0.6694166666666665,0.6496666666666666,0.5803333333333334,0.43866666666666665,1.3169166666666667,2.332,1.4179999999999997,0.31958333333333333,0.21341666666666667,0.3174166666666667,0.29375,0.5334166666666667,0.32358333333333333,0.5517422280857924,1.02825,0.6437499999999999,1.23475,0.5895833333333333,0.5217499999999999,0.2794166666666667,0.5366666666666666,0.25683333333333336,0.25333333333333335,0.19775,0.36675,0.6734166666666668,2.2417499999999997,5.374274511934879,2.8916797162260246,6.938645394706896,0.8202041567092954,0.6975886621730619,0.5813325274690196,1.6568566785233019,0.7891600247898928,0.8999398002825915,0.5610461912969176,1.0982510265235317,1.2917096500893064,4.331282682267429,1.6133896744791332,1.2970284741415323,0.5650427998291693,0.5802093533448988,0.5894910321293361,0.6194567126859846,1.473630430294422,4.1507179166328445,0.7800797051212617,1.1107528315552535,0.8944913510540827,0.6484146139544033,0.5611593479213086,0.6021735371463558,3.138668703573363,1.5189331206273353,3.7309133522120415,1.8641431644183057,1.2410642371156777,1.570613221343759,0.7503464132571384,0.6388788854140082,0.7491673654472031,0.7103977678891774,0.8039315922527281,1.2283995634765814,2.219088591981948,9.369790281614714,1.057948013095522,5.323678528994886,0.7243383557003952,1.3784103076375076,0.7234858685035395,0.6693651800585554,0.6862499019999763,0.7585238962925281,0.804081905411087,1.0476474327554337,0.7695064940812716,1.9136389549635655,1.815748848079603,3.621790715390214,2.2217536630418975,0.9147873176234067,0.8225609924023811,0.6478006336111012,1.4091060167443898,0.9601066393212794,0.5862520511211652,5.809064741616869,2.0867062631691704,3.0533903590587688,0.39830654952837785,0.18500968355760838,0.31630900826806424,0.17822208367963582,0.2399198940387302,0.2187165212476338,0.3052754184829394,0.21980142553374543,0.1786186426095834,0.7310422154029951,0.23936124489055385,0.1062263045473096,0.13792322072375923,0.13249496845792547,0.22722569951156169,0.26714706727859766,0.3864268772762597,0.2845095845550791,0.22123073257808704,0.1711293641058111,0.6662722374858826,0.06692339456976733,0.2820221950813775,0.061137595271285886,0.11006071556695926,0.09680349511596503,0.15081638947187848,0.35845319700686795,0.21407741330857138,0.5914929367182109,1.1591173326030204,0.18640524849549348,0.08855271499696295,0.19841041919325816,0.20022716265948204,0.13784945492174502,0.526653375359712,0.1352737964278374,0.16127133795081022,0.07915122656451172,0.38212247164140106,0.6556659252664847,0.300081516702823,1.2939955692120362,0.17680522661088177,4.010363656671822,0.20812670876548253,0.2650403300184265,0.16849582994783227,1.085525096060398,0.34387865991410016,0.34069996623658344,0.07785710048611792,0.6039823959965144,0.582698996052902,2.12899775934243,0.8205582342632322,0.32877385058484143,0.03142397116380907,0.07370039386732942,0.17701951854553438,0.16226457155129048,1.1235134900395043,1.126436609567254,0.12621911793636362,0.6110276957300022,0.2829543222695246,0.19225871180869067,0.036251785274555366,0.1496818282136152,3.2160237302175605,0.7987553487996698,0.24421891619917221,0.5087070739571556,0.08252646293035137,0.04683385668802294,0.28697443747169615,0.09057772195246636,0.23048663815660198,0.24216204955109094,0.17844617180012984,0.4921719759421588,1.6975650471017096,3.8020278341177867,0.2685525217481256,2.7480578680952323,0.0688002238366385,0.35346511678039205,0.23830228034395667,0.19595927078717845,0.23267836028820038,0.3260648786975297,0.3643885403478937,0.3981146874270552,0.25019058774521,0.605977334048799,0.39199489467723303,0.09875507530965023,0.8592868583903088,0.3218906860371501,0.30205785959322035,0.20418816127907688,1.4733132493696572,0.2626474401211649,0.17192806901069088,2.50841841561527,1.5151781421782924,2.054437080666008,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Lower Photic,3.5074901101017213,2.6554043834081824,2.182,1.073,1.326,1.209,1.438,1.012,1.8470000000000002,2.2739999999999996,3.567,4.405,1.593,4.583,1.0720000000000003,0.937,1.437,1.19,2.2600000000000002,1.287,2.3470000000000004,2.4855,1.972,1.2349999999999999,0.759,0.9959999999999999,0.9629999999999999,1.5390000000000001,0.844,1.8350000000000002,2.2,1.0710000000000002,1.5100000000000002,1.225,0.9610000000000001,0.639,0.8219999999999998,1.06,0.842,0.85,1.504,1.9560000000000002,2.466,5.654546299790479,3.6246035811352173,9.448971286538253,1.9795940739743507,1.2544293160524185,1.1723648633948294,5.012698192999999,1.90585239885023,1.9045275989657129,0.9607974684821118,2.6108436754580127,2.115221570587407,3.250231343030658,3.396465523702181,2.1928801375131775,0.7987877327958229,0.901733854831698,1.351413540580777,1.559891191256447,3.4927395543334647,8.09222813634279,1.6013840458218873,2.6050905649092817,1.8471806207938717,1.545355992271591,0.9193694084167123,1.7623666314882371,4.302832840833316,2.510686707117799,3.81723443849071,2.5822909880170957,1.611949442733979,2.009615692161278,1.2422627791729721,1.0445253021918233,1.811226891253419,1.5364102130384332,1.9642999607810665,3.033711633551812,7.576431292041479,10.512919168230578,1.7963386969273931,3.239614030849335,0.9617299746672391,3.016243492385115,1.23525769201575,1.6857007868516607,1.3238522372597992,1.9444940429471007,1.68256562558602,2.4105471362593667,1.246891412580723,2.484127328541512,2.31220518896788,3.7852874642242407,5.662119385307709,2.1924950489306996,2.0104486452127426,1.5064226635845548,7.086284393002543,2.2753678908127077,1.453374013148505,26.273881279252613,5.351732373047787,4.407944066129266,0.2980056125130552,1.369699490969858,0.46525500773470696,0.2543859709618874,0.31833595112361684,0.31490562960283125,0.010327955589886454,0.28924422590990856,0.8633050188407083,0.37776078393150236,0.14989255411052865,0.25074333933770265,0.06992853494818832,0.10944811048569494,0.05006662228138294,0.0429599296502631,0.07273238618387279,0.09153020145163988,0.6739930761266518,0.4131733561378592,0.11709919821340467,0.10324981690714045,0.04848825745591514,0.7550312723471936,0.34167723560889063,0.13825901618178674,0.3213184643862776,0.03142893217686181,0.0362705880232945,0.021730674684008848,0.19573224341204265,0.311214466958791,0.4150501977672902,0.26030964467555007,0.0417532433869913,0.03142893217686178,0.07052186422190874,0.18547236990991403,0.1296833751017368,0.38904441334577156,0.06603029607687677,0.20244066346024017,0.30529402949360873,0.2888736350926188,0.27215814236590835,1.6949284325573968,0.5984312175718832,0.30890299633097795,0.13969686248008792,3.152529465378545,0.07879306674837294,0.2445920894302772,0.1523204722514858,0.13819973304839378,0.08715132640709898,0.17805541989071788,0.685280831154922,0.1874821863385626,0.1364594528980046,0.1571471079592463,0.20695495761581714,0.32866624026700897,1.6527938907850692,0.7668540005163211,0.6469580071413384,1.414640280618943,0.6793662820214261,0.6150629043831072,0.17437833860758664,0.4934262931280949,0.9501765627605837,0.11253263797436647,0.24144354148931343,0.33673684052273495,0.14194100100767518,0.18033676295763862,0.18356290135154124,0.2201941050871737,0.5365112235858154,0.35540911163814837,0.28796649799143864,0.42655583228266764,0.7087798977672332,0.6681130586502383,0.27170105411161305,0.19169716590650418,0.11707134787059846,0.8050390718411669,0.16282078249702225,0.5611905957970206,0.13478132061280065,0.30398749561210736,0.1784654537427872,0.21232668166407842,0.2276639798489907,0.16985159710536088,0.1710516359164207,0.9433415175736891,7.598218800201688,0.2214806146043945,0.42716458947450703,0.2560760004043664,7.84415888767178,0.6071734502202637,0.4521343191571762,6.763418791420358,3.9460386651834645,1.7899100786515212,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,4.886576399017273,3.1291428571428574,1.855,1.433,1.363,1.215,1.393,1.6329999999999998,3.4549999999999996,3.532,3.351,4.276000000000001,2.059,4.984,1.168,0.929,1.988,1.645,2.521,2.045,2.1239999999999997,2.7880000000000003,3.173,2.3070000000000004,1.2429999999999999,1.038,1.249,1.28,0.8400000000000001,1.5379999999999998,1.8040000000000003,1.611,1.5060000000000002,1.6260000000000001,1.117,0.9020000000000001,1.4949999999999999,1.0390000000000001,1.171,1.121,1.18,1.9899999999999998,2.338,6.28692750696432,4.271905410142258,8.920386000528863,2.419978705185602,2.5738895369815613,1.9928486213723555,2.947426491,2.125499455049102,2.68106496836621,1.364167616595907,3.2430496042905235,2.122052677596734,3.41828417426224,3.103211173818074,2.568784146999403,1.527548072213902,1.5918136835032333,2.044121051714108,1.7216089930632752,7.41476237350075,7.55487497263901,3.101882836301979,4.199933338571873,3.6031023106936866,1.8081711736618917,1.5365379643078168,2.6079529433813162,5.791107587921809,2.399402710430792,3.7772581950612563,3.86528773116857,2.244651224234037,3.1682203028508065,2.838991367649506,1.646038253879825,2.15144023178227,1.8477183907898271,2.9706514245300566,3.435739649174888,6.922864117636583,9.911594147264548,3.138322615816378,3.314302604154453,1.5452258786716278,3.374976476268614,1.9768739645495146,2.278477970304554,1.7210961575625077,2.341983318756034,2.39621966478001,3.222131053960535,2.4535756107629467,2.529173662209488,2.718232118092353,6.854829328716238,4.406903492829568,2.445948941068547,2.183762396904632,2.4272643983642053,3.797017463644731,3.9462525344959736,2.98808729728618,34.15525833877947,6.76303936580126,4.36372266057906,0.9736879162903671,1.024210862643266,0.27318085177731216,0.21468581695119032,0.3364207022299444,0.20940391591371924,0.031640339933558054,0.355373043434642,0.1967090349842743,0.43204423641824236,0.1239578781504247,0.12375603240066956,0.7280483805657729,0.07574812062208397,0.030110906108363263,0.01728840330651989,0.21164960561162294,0.11257096527178855,0.23848829461142673,0.4770336582581057,0.13801771222886178,0.33989540874935176,0.7173845672189711,0.2593603242166731,0.07439384681843288,0.10570398920255249,0.053218626647276675,0.29097537123726924,0.04944132324730443,0.28232369129541124,0.17462340431148782,0.049988887654046514,0.2691220293225114,0.23429326352529503,0.05143496432929209,0.09795690662508466,0.19432218378535968,0.05743595467030112,0.08621033709609435,0.4116754385030356,0.2637338725980331,0.14689376357687134,0.19193748982416128,0.8633807629609818,0.749528605325381,0.5223764424089394,0.22812461981323023,0.3226841377954535,0.3567307882069939,0.12594541980086715,0.13498448599608084,0.3527267442321944,0.1135735584072809,0.20549946022454457,0.09685698388773172,0.30151718656836274,0.5742382201165499,0.36738937093747975,0.2081417076951501,0.0885542067862877,0.19399661413286506,0.20524720587573195,9.608683821773127,1.2933925279342093,0.1635986435541197,0.26956465295779725,0.18383119621624752,0.16010783377178928,0.11419041416733032,0.4328798954900905,0.8285267901146528,0.15607202545949686,0.3010059528854471,0.30157434108403003,0.31730301794248916,0.5475062707466022,0.5332376966473609,0.1899817824044185,0.19237149394057312,0.12950491343632814,0.3235487983921971,0.162737093166551,0.33958396635163157,6.675983783523737,0.2876594618487733,0.18144397587484737,0.31738771094093576,0.6550806545897724,0.1662689927923087,0.35749488218731,0.0860349660378614,0.1532536931415422,0.15477597209009036,0.5671235388438858,0.4004056922572682,0.10007323170315255,0.08057790883402709,6.534604964384501,3.646817224342881,0.1311067867020381,0.14947813563181533,0.28845959255831105,0.22193853805631988,0.29387233791073764,0.27666788485392896,3.1617810370292014,5.808625098531243,1.9116213061131264,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
