depth_group,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
Surface,303.0,304.09090909090907,319.0,318.0,245.0,245.0,245.00000000000009,245.95736107249334,242.515168744139,247.0,244.0,244.0,243.0,236.19532818102246,238.13406550275064,242.0,243.0,245.0,246.0,247.0,248.0,247.0,245.0,244.0,243.67262354570138,242.0,240.99999227938753,242.0,244.0,246.0,247.0,248.0,248.82271084954763,245.7601397169511,246.0,245.0,246.0,244.0,242.0,241.0,244.0,246.0,247.0,248.0,249.0,250.0,249.0,247.0,238.61459291314566,300.0,244.0,237.8850480631336
Mid-Depth,303.1,304.0,319.7,318.3333333333333,245.0,245.0,245.0,246.0,245.96927507439318,246.9664673637375,244.0,244.0,243.0,240.3180131639434,240.0,242.0,243.0,245.0,246.0,247.0,247.42945767263768,247.0074573108323,246.0,243.9941798183069,243.9951291256451,242.03922806082284,241.75899752015022,241.99249770306452,244.03948374327152,246.0,247.0,248.0,249.00003810034133,247.3561637790352,246.0,244.99772762258448,246.0,243.9942444984518,242.0,241.0,244.0,246.0,247.57847482860953,248.0,249.0,250.0,249.0,246.9990452060004,246.00577508219482,300.0,244.0,244.5490650912257
Lower Photic,304.0,304.8,320.6,320.6,246.49526235546142,245.0,244.98901870394062,246.0,246.0,249.6409042248938,247.13153237809252,245.0789520412697,244.6477368108887,242.41245003936962,241.4978631177915,242.0,243.05883065745562,245.0,246.0,247.0,247.6506164360631,247.973678052187,247.7,247.9501918322763,246.5970883587545,244.96590561063348,242.96244448568942,242.6590825708974,245.00321590834,246.0775542282739,247.0,248.0,248.2298540734651,248.96486179357362,247.86748224816262,247.135505505675,246.650508824197,246.30921757552719,241.99783581699012,241.55448146329474,244.0,246.31751163408498,248.0,248.45567530145132,249.0,249.7720319494455,249.70987218242908,249.0725410086871,247.6845152384325,300.0,244.0,245.0
Deep,303.53968253968253,304.13793103448273,319.3965517241379,319.5272727272727,245.9359159848405,245.63692192896082,245.83430137155923,246.0,246.58908691497737,247.0,246.99944759700668,247.3239525764025,247.77937621450462,247.44212286438648,248.08852634308388,247.41191564603704,247.02707510437838,246.7008057278348,246.48498441046013,247.2972106838463,248.0,248.0,248.0,248.0,248.0925174431528,248.4419257282619,249.14379894617647,248.86658784672935,247.90604448661065,247.67758268554863,247.42835231660817,248.0,248.17285777039794,248.8789504469284,248.99353746600545,249.20069817786035,249.13087236939256,249.5650701064099,248.9546584467843,249.23863055060923,248.2832322279832,247.43689972856228,248.31682171535368,249.0,249.0,249.08971757119323,250.0,250.2417280262167,250.55160670261765,300.0,249.5594235393569,249.34569515551757
