depth_group,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-11-14,2023-12-05
Surface,0.7047647296436519,0.5489318328994862,0.5717212111924607,0.4263305864296798,0.3022218859526872,0.3661612295370596,0.47264551090909096,0.4365550315115859,0.523903886356165,2.0594273555262594,0.5094632120398165,0.8920330108304403,0.7168679284076134,0.7803271376319834,0.6175295049375148,0.38370499234751576,0.4111213209185538,0.6494199138547446,0.34495436291807574,0.5346329669117897,0.6367578642534415,0.3560124713420513,0.2603733944652289,0.5676375027653355,0.4739530311579479,0.47828323603861483,0.3835936485403431,1.010816213620228,0.6294752623351375,0.4970137967956976,0.4829145558444116,0.6482281426022387,0.5266537098141705,0.6103782617434005,0.5852523870158429,0.5272966547763989,0.4189927769338372,0.5888620456196704,0.5914443015294182,0.6193733650167945,0.50546926431317,0.3354142379557792,0.42113569882346447,0.5276476490268198,0.49753363522891303,0.4111246710891406,0.6534989079400755,0.56701208792519,0.4591375678676728,0.6263752710502011,0.46473644869990677,0.5331233086453323,0.5000989562882723,0.4655526437403941,0.5545563329918528,0.4483810173733318,0.4374461304896377,0.48384040820155955,0.5455934946576421,0.6704632055445312,0.5525617194994593,0.5956855647754685,0.5595741561232718
Mid-Depth,0.858504760516204,0.5643689276403354,0.6435044066144348,0.49939307534716837,0.41840838584694595,0.4203703788220122,0.54545231,0.492821815895781,0.4754602177659854,0.576650154730433,0.5381819097231924,0.9162420364831002,0.6571038719535147,0.5128230913560248,0.48492814922581456,0.43557330724669824,0.5021525232118638,0.6045004444490085,0.4655870060798259,0.6996614427813984,0.8102149891418475,0.5532060439402947,0.2939937715601097,0.5830342762485797,0.5183864715258023,0.45110761232136853,0.5462012842955353,0.6613402092499449,0.658177246125209,0.5314161248291189,0.4351333683685084,0.5097020793195779,0.5284575776877849,0.7157975627043525,0.5627120036595863,0.6429817164577295,0.5131926609551907,0.6960331746280521,0.6764535643130667,0.6435914874641904,0.6772087483045344,0.374596067671084,0.4587983784957076,0.5140565445200715,,0.4565019790732965,0.5645444229908999,0.5154262761709606,0.5626157178364319,0.5715860888433162,0.4744548310927623,0.5770800537950925,0.5049516364433785,0.820159061407654,0.5633863210384371,0.4558984571160388,0.5738267274533577,0.6503721005943051,0.6689645343828318,0.6652875732088172,0.6803832182066717,0.5977096172138074,0.5757930703559218
Lower Photic,1.050115703046331,0.709900551722971,0.697957972631016,0.6067424455257064,0.47150790253837904,0.39126381347383854,0.783966606,0.3568480152949745,0.3811301455773846,0.5497408372823247,0.609548240367779,0.8182948813774591,0.6828969434614637,0.7671598628663101,0.5541609492922448,0.47800002664650815,0.48624652568948773,0.5167685155359278,0.530189750227658,0.8160048864531999,0.7665435633641307,0.45422155561608824,0.3529239004127687,0.506849983867122,0.5006920383540453,0.4385856926235453,0.5431322468911628,0.5611233659210842,0.6926052535906309,0.6786737594665212,0.5569733462588411,0.6112249133851776,0.5711181635533216,0.4220381933237861,0.41313888255437325,0.5105642550832532,0.5022062417271603,0.7532514558829756,0.5439424363450507,0.7918437897946595,0.9576943702403614,0.44670518495191425,0.5708495537760349,0.4031782564467967,,0.5481423595128639,0.5098393360609752,0.604053851829865,0.4531295538277698,0.5305307442737174,0.4359123640622718,0.5823315954109625,0.6193019082547223,0.705603545602022,0.4977882130404554,0.4678665002691657,0.4047130403365042,0.3910337804658885,0.6195446266566497,0.5885738801231495,0.5987004691774063,0.6307198711574973,0.6935569631642649
Deep,1.4028153144074185,1.178720228831528,1.041469289615369,1.1826107134458204,2.0114245136490765,0.8084695529928961,0.5751619745000001,0.42196373083393046,0.43679998210258403,0.3891713064738504,0.5212495861760814,0.9472494417360922,1.415361036066211,2.067913222976053,1.6767308440016202,1.4859607089977613,0.882710471068473,0.539809556811838,0.4848526065159866,0.4007935539027747,1.058755949739434,0.5631786682445629,0.17486312939043983,0.4379215282599679,0.5291609617302289,0.4724036172914623,0.41991528623010743,0.4320952801223924,0.7117529248691284,0.9248508645897602,0.9625088591607218,0.783402517456192,1.2177240039064918,0.5866614729043238,0.6062402137619695,0.6786276669874259,0.6793935677189495,0.580030684444473,0.6651034809836476,0.5548431676337051,1.1655613051726519,0.6460169512017617,1.0096426209095215,0.5287383821056592,,0.4701865591245779,0.47194686057710566,0.5442712288286502,0.33816726308369605,0.42267355181512095,0.48797861190322417,0.8614318293264791,0.8902981206614364,0.88824270614208,0.6664090134409489,0.6131342316787655,0.5284464919474888,0.40258348356952944,0.5611186805736549,0.5539127477073826,0.45347575946807356,0.5443465973514597,0.99097658348494
