,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
150.0,0.29513046209839894,0.4554997743746255,0.10889878107309986,0.08502147472132168,0.129,0.1375,0.138,0.14,0.15,0.15,0.16,0.17,0.24,0.8130000000000001,1.199,0.17,0.1535,0.14100000000000001,0.163,0.16,0.165,0.169,0.156,0.16,0.166,0.17,0.18,0.126,0.094,0.185,0.07300000000000001,0.07300000000000001,0.09,0.075,0.07,0.064,0.626,0.137,0.07,0.06,0.075,0.07,0.06,0.081,0.06,0.063,0.07,0.4092595385846094,1.0680124492804022,0.6221622287346813,0.5000401426441653,0.4088838465031034,0.3683548329730459,0.3660814329943866,0.3689486063941605,0.3708803545084465,0.3794525668746417,0.3884444117851512,0.3924660962150892,0.40845030346098987,0.4193531394443932,0.4347596071955705,0.4006332085337488,0.3996598547110196,0.3880865296034723,0.40220264263181005,0.41632051387611957,0.4046208079606676,0.41976686681375036,0.44891809489091716,0.45767533502515845,0.4513221804013569,0.466332890688541,0.45373377564025213,0.4563721596227378,0.445184382390505,0.44624370630871113,0.4475206196940956,0.5291364292094547,0.4465296702038545,0.4437521898533049,0.45030406406653284,0.45924926820063694,0.4717832960175886,0.45338158746361296,0.47200888263990315,0.46685746633093295,0.4589505332454406,0.463274690220822,0.46363785709888383,0.48980152555447914,0.4558361879212959,0.46438176351191496,0.47705318300603816,0.4704988257870819,0.4354003328532431,0.49908071723415476,0.4903353715225921,0.5009523440155583,0.47597293470714674,0.47428132299478226,0.47773980687688233,0.4730872909245173,0.49202180622993263,0.46607380421974287,0.47757004773884315,0.4722904774654807,0.5706938853000001,0.5059718418246456,0.4944814679520704,0.4714878775997603,0.4692328200303043,0.46956748257566183,0.461096700460065,4.94684539008323,0.45870287972097296,0.4651729047273925
160.0,0.29636264365269854,0.4590361706893364,0.10970233237935406,0.08261883497306602,0.13,0.08282758957135934,0.152,0.14,0.14100000000000001,0.148,0.15,0.3570335246085054,0.244,0.792,1.2429999999999999,0.174,0.15,0.148,0.173,0.156,0.174,0.164,0.169,0.158,0.164,0.169,0.175,0.11599999999999999,0.094,0.174,0.07300000000000001,0.069,0.09,0.07,0.07,0.065,0.437,0.11200000000000002,0.07,0.069,0.07,0.07300000000000001,0.06,0.074,0.06,0.061,0.07100000000000001,0.4031377759270229,1.118099472907354,0.6426423734573714,0.4854179967294785,0.4122883580645939,0.3709921116845629,0.3689184535105743,0.368901611534243,0.3745201745680371,0.37955691461463625,0.3857986083325047,0.41112895538683125,0.4063931506628499,0.4150921901623373,0.45233586150232163,0.3971000139344583,0.397535089900537,0.385784180315407,0.40095181892675064,0.4070103097036905,0.4049997263822032,0.41670266182639504,0.43693948772733526,0.4674537025008313,0.4456378067966441,0.44733496643727,0.44817125773572897,0.45383282658637925,0.45194612320970695,0.4476744320673685,0.4426844840201654,0.49630212526638007,0.4428943091118757,0.4459551854842762,0.4476253186275886,0.46594582433251175,0.4627792452248382,0.451654071756766,0.4732853244353586,0.46615609803672226,0.4628358533356103,0.4644626306937427,0.4647928779848538,0.48037189823105547,0.45893735901930344,0.46004525396429524,0.47733225218093356,0.47785532728395086,0.44196239798559567,0.49089980424761903,0.49435557043772016,0.4970366568328529,0.4724637842167054,0.4757761655855137,0.4952925585241063,0.4834870095651356,0.48955279191754714,0.4698957422923133,0.470400936411405,0.49229040699101645,0.5318408076,0.49532989029222474,0.49795854318584387,0.5033524293075194,0.47718920068299847,0.4700253814108849,0.4623775928951296,5.20913578872235,0.46912663580203606,0.4690121286316642
170.0,0.30030768516071,0.45565646788586506,0.10653187050401013,0.08497055599972506,0.13,0.08163223934906365,0.139,0.4437687186032015,0.146,0.147,0.152,0.36159680552132745,0.242,0.745,1.324,0.178,0.158,0.14,0.155,0.159,0.157,0.168,0.159,0.155,0.17099999999999999,0.162,0.184,0.119,0.094,0.171,0.07,0.07300000000000001,0.087,0.07,0.07,0.062,0.188,0.11000000000000001,0.07200000000000001,0.067,0.07,0.07200000000000001,0.06,0.07200000000000001,0.061,0.06,0.074,0.4033673427061027,1.15364462570525,0.650259325291574,0.482764719431818,0.4202623485520859,0.370431851786942,0.3660768864628733,0.3684629888666303,0.3821576940853202,0.3796612623546309,0.39554027690620913,0.6667655271992664,0.40408828008359804,0.41642557185248374,0.4346234491683851,0.3949248193694768,0.3982667480016938,0.3812580256125548,0.4118211759879157,0.42087723246947323,0.4046191850935587,0.4169815772098341,0.44305212038239716,0.463310875757447,0.4591177058182362,0.45185667820741926,0.44356533276975146,0.44557387662409537,0.4556482212288383,0.4546604651899354,0.440913026400075,0.49384159857256166,0.44720562127981733,0.4476881888762775,0.4483587480863827,0.4680536353181674,0.4529613442104463,0.45801814950237557,0.4715215814160418,0.46624489484952614,0.46579527411514565,0.4654482184851193,0.46168038436150266,0.47518278648869516,0.4724793151727279,0.45915526764626674,0.4776113213558289,0.4866714133857022,0.4400852987809704,0.4731381720229896,0.49837576935284816,0.49300883972919163,0.47917334987069965,0.4772710081762451,0.48866287795097696,0.4728401007869632,0.48385415779273294,0.47765164485090655,0.4745284614337346,0.48043209259732234,0.5419479079,0.5080460174848098,0.496306176191462,0.4923705598262947,0.48031582263210265,0.47862369096972335,0.4722259299279177,5.319120278526978,0.47711216985083993,0.4773523040329192
180.0,0.2936785351125422,0.4662156370077459,0.1157870497935612,0.08401188578848406,0.13,0.0926427160361349,0.135,0.44517723810777815,0.149,0.15,0.15,0.35714236520014886,0.23700000000000002,0.748,1.144,0.18,0.152,0.14,0.15,0.16,0.156,0.17,0.15,0.151,0.164,0.164,0.168,0.134,0.09,0.163,0.07,0.07200000000000001,0.13899999999999998,0.075,0.07200000000000001,0.07,0.16799999999999998,0.10500000000000001,0.07200000000000001,0.07,0.07,0.07,0.06,0.065,0.06,0.067,0.07,0.4070339346765038,1.143882729062909,0.6356112292499623,0.49312629095484295,0.4099780006657879,0.3689668196048763,0.36856594216663174,0.3687548049291251,0.3725046771623799,0.38389988538633923,0.3772606654105135,0.5023610863280917,0.40524950818932776,0.4159702147897849,0.45622040737299485,0.387833852537227,0.3983661679243534,0.3827469157182959,0.41959336349307097,0.4101950422036894,0.4038192413451469,0.4187933596662803,0.43567814974146685,0.43838829988936423,0.45285395115601446,0.44215302250192323,0.44224428753279577,0.449194925113677,0.4514766994512204,0.445882662379696,0.4439098348013741,0.49022743409740527,0.4465947578264597,0.4477841089994675,0.4435703091924215,0.4773480410448198,0.4431434431960545,0.46078807668049704,0.4788000251273587,0.466064791188336,0.48423696637498637,0.46647275872780974,0.46787510164517093,0.4787614238365365,0.4693943465433822,0.4617647434891515,0.4774029391780238,0.4954874994874536,0.4390527145225475,0.4872302828387263,0.47419414614118055,0.5042524885528991,0.48411686938642673,0.48739564140429403,0.48703230405531056,0.474674938812509,0.4862825199408734,0.4874035554622286,0.4906414762908732,0.4875668829139375,0.49589242159999997,0.48708381638196663,0.4946538091970802,0.483225714138589,0.4764972869078129,0.4816758021447133,0.477000251800815,5.429564686412624,0.48509770389964385,0.4789619755215779
190.0,0.29135088786766394,0.4686276574803383,0.10464312373473024,0.08316684729873734,0.10929742840146894,0.08829093933220854,0.135,0.446006034103533,0.144,0.15,0.15,0.3589568834203962,0.23,0.773,1.197,0.174,0.15,0.14,0.152,0.156,0.16799999999999998,0.17,0.158,0.15,0.157,0.168,0.16999999999999998,0.123,0.092,0.169,0.07,0.068,0.08,0.078,0.07,0.07,0.148,0.1,0.07100000000000001,0.067,0.07,0.07,0.06,0.068,0.064,0.063,0.069,0.41675032424167446,1.122604410707843,0.6209631332083504,0.48142776853959585,0.40877322890772855,0.3728740016581932,0.3802933805913002,0.3696750709140203,0.3779722801933756,0.3769192816492909,0.3827182169800223,0.40537715130100305,0.401602853030761,0.415514857727086,0.45353754069146907,0.392460085191733,0.3878324386905093,0.3805929533081942,0.41259005118949565,0.4061868745567191,0.40112651637186525,0.41285828218252957,0.4377156117822813,0.4529370125949768,0.4462837089250762,0.45028192075002965,0.449339367217069,0.45326012773549945,0.4511542994041585,0.4578265455744376,0.44553180915064566,0.4861604514280775,0.44916896355918673,0.44788002912265756,0.45632226280070876,0.47117676779964535,0.46167599561395295,0.45966348878207625,0.5000324361554342,0.4775100917553705,0.47756211413041416,0.4811264820790077,0.4673973825299078,0.48288167552752104,0.46530470948119484,0.4711034945464322,0.4796096498855261,0.5053717710550842,0.44542377949157586,0.48014550351259944,0.47624178535095574,0.5006332103342168,0.4859069504263934,0.49641462867973196,0.49442772655265343,0.4757247544471642,0.4871791724491471,0.4876038689278544,0.510708582997329,0.48674751913749004,0.4784797987999999,0.5007973742083439,0.4748064990306909,0.4826202812490206,0.4898750549792757,0.48204557959994804,0.4791840423296443,5.547093114741042,0.47788628592227306,0.4764086337345314
200.0,0.28464232887623386,0.46687152592592807,0.10925318565925367,0.08582657511400905,0.11077697758878684,0.08739645712692613,0.14,0.44687969499728264,0.3616102617380622,0.15,0.15,0.36319414123877325,0.4843125298604325,0.7833333333333333,1.04,0.18000000000000002,0.10949173278491525,0.14,0.15666666666666665,0.16,0.3345853616827877,0.17,0.17333333333333334,0.15,0.13999999999999999,0.15333333333333332,0.165,0.11,0.1,0.15771428571428572,0.07,0.06666666666666667,0.08,0.07,0.07,0.3417688193945804,0.15,0.10500000000000001,0.07333333333333335,0.07,0.07438888595144008,0.07,0.06,0.06,0.06,0.06,0.07,0.42188170871299197,1.104285191836753,0.6265907293544344,0.49047786715272534,0.4098055150104333,0.37579145549766857,0.3864749483860116,0.3673790756966112,0.3737991638542364,0.389500206649824,0.3758583387294231,0.40125912843878797,0.40627542696851526,0.4220861243514647,0.4600179847025017,0.39786134785945243,0.3844924278285613,0.384545115303833,0.4102686394378637,0.40731193904663954,0.44036393399115237,0.41404874457327523,0.4459116044990785,0.4726137104799856,0.45871868656151926,0.4708177828632751,0.440238918199526,0.4405296174427549,0.45083189935709667,0.45521921921129094,0.45703212901270546,0.48766180158160244,0.4558729927524234,0.4457070680687341,0.4509067462755262,0.45247287141428183,0.453974265622214,0.45689721236582603,0.4851198367888556,0.4689949002055869,0.473071686791475,0.46320278435863366,0.4723058401572242,0.47433431193009046,0.4715484147314163,0.46532159733421175,0.486473315277017,0.4856529555806902,0.44424359295262916,0.48242102139106413,0.473452085592115,0.5041371347337391,0.4876970314663602,0.47852732214600086,0.49750788675004803,0.47747013884838585,0.48530993008790196,0.4892362595972279,0.4909975011799661,0.5020132650332354,0.4879814951,0.4835487638846012,0.4814554548913298,0.4889902248289821,0.49159748533468434,0.47856390068321575,0.48136783285847357,5.66462154306946,0.4847595432342831,0.47720791330612666
210.0,0.32926457803934756,0.4623493959466026,0.06679370295613134,0.12921188946085638,0.06695618233956065,0.06697130366602105,0.08748047001657407,0.451429358227533,0.4714798954599003,0.46009332207042736,0.4692992926489405,0.4723076786763455,0.4787796491394372,0.5199982660198422,0.46758249952651537,0.07095903283804128,0.06668368901629347,0.06637713870116724,0.07096762175429312,0.44813440400699894,0.4518305959278709,0.44703637678787683,0.42385979210328273,0.30999999999999994,0.142,0.41842378823983145,0.16,0.45742255863957504,0.092,0.14642857142857144,0.065,0.06133333333333333,0.076,0.066,0.064,0.4267025608175205,0.4196190357627757,0.4444302082136193,0.06542803235150377,0.064,0.07186346233257562,0.07023095497874514,0.07150687412886865,0.06689036793116067,0.0735211240320814,0.4284426071597228,0.4822918040598202,0.4135191684825038,1.090234047943091,0.619445523641389,0.4867374695254975,0.42452665906057907,0.3736192454240646,0.39146973207831637,0.3661182121468032,0.3718062058541462,0.37418342619567524,0.3787329639633303,0.4200468558111935,0.4139283316002814,0.41345010263879145,0.4196160316460816,0.3930672644489117,0.388048962817087,0.38350767777424827,0.40363526476486833,0.4055701454518753,0.40383288507517195,0.415367477937117,0.4680285409301043,0.4440445947661125,0.46043037708508716,0.4617312566509567,0.43954584041535893,0.4431095273321036,0.4517441035342781,0.45174359854041707,0.4644246832383489,0.4887961848950382,0.4562026670235766,0.4447476202303029,0.4454912297503436,0.4584112829313095,0.47386927123516187,0.45413093594957576,0.47617605938920704,0.4677885579733121,0.4834100146522231,0.4943390622213763,0.46338380232247955,0.4790480985995013,0.46921453502353055,0.46429096736966524,0.47996127264436517,0.4806303186135512,0.4448465996647618,0.4879472004127855,0.47636395297901324,0.491542176633413,0.49091425656261195,0.48293599872030846,0.4902726496490156,0.4835711607804584,0.4952097268916448,0.4987136542151112,0.4891146860802989,0.48868892125532326,0.4829087167,0.4945245338027453,0.4845432434927773,0.4883579788048933,0.4872218271491753,0.48345606670828606,0.4809204917760038,0.587717362817601,0.4859691682816375,0.4849265441587326
220.0,0.33323120022425723,0.47582305439766026,0.062015277285759285,0.12344023844515489,0.06213352604092894,0.06225495510782255,0.08051412227874052,0.453214042518368,0.480442259559209,0.4647773609247858,0.47734275680495525,0.4776315139181588,0.49084259686442727,0.5231260781864182,0.47327774333223516,0.06580634141873833,0.06182938038377366,0.06140615622069428,0.06580339613882734,0.4450115132294656,0.4503226973916932,0.44408884094534323,0.4512603629573624,0.47,0.144,0.42384604008065074,0.155,0.46238793619609125,0.084,0.13514285714285715,0.060000000000000005,0.056,0.072,0.062000000000000006,0.058,0.42724034498873814,0.4178331608088564,0.4414851153842205,0.06006290488146388,0.058,0.06624272239434965,0.06486554044804742,0.06636785781193394,0.06192827231757869,0.067937044414699,0.4303324442756344,0.4857389962794332,0.4100834531415075,1.1083781975318652,0.6300767622963045,0.4903351936550756,0.41900507337983683,0.3730516402818802,0.3861401383314393,0.3673053930586786,0.3785984288854542,0.3759414818673254,0.3846322116325253,0.4135511560189575,0.40876461508902767,0.41433434263567337,0.46968631669271055,0.40621581702726905,0.390384255373917,0.3824702402446635,0.4043906406476844,0.40189639653548304,0.3980384393956884,0.4212390422550355,0.4724371060366793,0.44454697683948474,0.45280943174436716,0.4394641283988762,0.4457866445554954,0.4408398629346871,0.45353799023037045,0.4576803614533017,0.462657554910576,0.4961355990720896,0.458077366442997,0.4437881723918717,0.4630173649471865,0.4646820651363021,0.4555191614140031,0.4591164666379285,0.4742778872714034,0.4665822157410373,0.4922162286190456,0.4661918928484316,0.471775780289613,0.4823094183650964,0.4742577797297004,0.47665840238663304,0.48364154630395073,0.49611644641598585,0.4438876197108719,0.48459848704626235,0.4762163200654233,0.49628437150052446,0.4933122440674792,0.4920880623499281,0.48393188026759226,0.4939293736940071,0.5051095236953876,0.5021232489204979,0.505322734504447,0.5111616604744103,0.4843847289,0.4903883927964593,0.4828516532624441,0.48520611334314917,0.4958506973516353,0.48544894431990865,0.4947897591706072,0.5958865488235677,0.49259593127526385,0.4941922312766739
230.0,0.3349047254673943,0.47146473721240306,0.05723685161538723,0.11798235943132514,0.05731086974229724,0.05753860654962406,0.07354777454090697,0.450102823450818,0.4807983319131977,0.46404836724609155,0.4765360863700877,0.47400167617256056,0.48386459819261385,0.52238605273676,0.4719337756701722,0.06065364999943535,0.05697507175125387,0.0564351737402213,0.060639170523361555,0.4473793479396904,0.45367599749560866,0.44607388928918196,0.4776256942564943,0.6299999999999999,0.146,0.4251659527819155,0.15000000000000002,0.46561150034092513,0.076,0.12385714285714286,0.05500000000000001,0.050666666666666665,0.068,0.058,0.052000000000000005,0.4281548131006825,0.4177875025365417,0.4429624683733356,0.05469777741142398,0.052000000000000005,0.06062198245612369,0.05950012591734972,0.0612288414949992,0.056966176703996736,0.062352964797316585,0.43367028345810965,0.4839386372271799,0.40887554761160205,1.125221143350567,0.6485335684863085,0.49030218649445756,0.4122320648381198,0.3742214795983832,0.3825685749816779,0.3654347688579028,0.36746577675586967,0.3851697021036819,0.37617799941578733,0.3890748862005728,0.4045473010339153,0.42357689375409696,0.44740813511201855,0.4001074590100412,0.39398405056898494,0.38143280271507873,0.4002695043860237,0.4068961358014012,0.4113336612530028,0.4244633290934785,0.47357712178589906,0.48885817949230714,0.46296381468067455,0.4622136235356919,0.4406909793022267,0.4395605049559783,0.4650103882659581,0.454802484907022,0.4659031579721816,0.5009720315109013,0.4599149480750153,0.4451159979334042,0.4535366206120354,0.45788522357877415,0.4486691748320715,0.46410199732628127,0.47352903306992095,0.4725804741709421,0.4859748724070716,0.4715611100431266,0.4696160111616767,0.4838628055176838,0.47376040441186873,0.4764938184335811,0.4873218199635363,0.5116025742184205,0.4424020575067721,0.48897342868737786,0.47874663225058606,0.49192885651300455,0.4947106864864784,0.4905633383341722,0.49454569412807203,0.4821955518547908,0.48699848177968075,0.4878332376121054,0.4844712754671014,0.4861523421264821,0.48155449399999994,0.4855565471150782,0.4903155883859459,0.4841521480877823,0.5080654570875022,0.4895617664561366,0.4919799144631317,0.6063678662859063,0.4973600165309099,0.4833639231613815
240.0,0.3308959173684518,0.47838221851394036,0.05245842594501515,0.11244221076579503,0.05248821344366551,0.05282225799142555,0.06658142680307341,0.45073184278711365,0.48364401379892635,0.46953697615907075,0.4802023819669322,0.47312160862588504,0.48292392062473233,0.5319353208117049,0.471554587568058,0.055500958580132376,0.05212076311873407,0.05146419125974832,0.05547494490789578,0.4512411185174443,0.45832492825084675,0.4508275849448799,0.5041754482464249,0.7899999999999999,0.148,0.4248470560923751,0.14500000000000002,0.4662642505551359,0.068,0.11257142857142857,0.05,0.04533333333333334,0.064,0.054000000000000006,0.046,0.4298478872234426,0.41766863799841786,0.4480267471054704,0.04933264994138408,0.046,0.05500124251789776,0.054134711386652004,0.05608982517806448,0.05200408109041475,0.05676888517993417,0.4375453609417129,0.4821599200120988,0.4048784995803395,1.115496434336295,0.6265133924841357,0.5047002703932544,0.4195150777336118,0.3728451047953077,0.37853606372201193,0.3681280421527091,0.3701858273769661,0.3827126524588025,0.3738924642681882,0.43804735396219874,0.41209684251801465,0.4220136128451122,0.46753210339405743,0.3980413926268199,0.3886189800090739,0.380395365185494,0.3965389022440048,0.4054444766228601,0.4085240956436184,0.41744806636687415,0.4710035109685755,0.43343675247039315,0.4408809874347721,0.457662559652298,0.4565363830597559,0.4382811469772695,0.47648278630154567,0.4571764159817794,0.4675616610448241,0.4952351975056938,0.4617525297070337,0.4472794589599145,0.4606302371522938,0.45700807362517537,0.4684523877305612,0.4640629437010439,0.4909456620313167,0.4799245920404413,0.48682083917946795,0.4673536536919777,0.47141500373395756,0.49701966103496903,0.473263029094037,0.47632923448052916,0.49385114077641645,0.4838526509950352,0.44611638895859623,0.49025417763255585,0.5022455359340262,0.5035041982699031,0.4954488955776816,0.4942033951100515,0.4843718678234355,0.48716285753743555,0.5146043036483583,0.48601288117706865,0.48365106807004554,0.4847139030597206,0.5121752398,0.49749172568209266,0.48432436573884974,0.48715662900465845,0.5059226960966312,0.4878689364433721,0.4907762569562221,0.5963719665808127,0.4964097217413978,0.4898801627807895
