,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,0.7398299019336847,0.5948307280557834,0.18781547820816974,0.2171807265751511,0.13983893136384387,0.16278186844190487,0.20553937127700875,0.32514732799859813,0.2788226117336939,0.2549913579398907,0.3191942987075757,0.7206659517294927,1.1804106482919157,0.7868949022794783,1.4553441449978404,0.23014209782596418,0.23067538079164576,0.1890293855957003,0.27741431243261483,0.3502468745546836,0.33758244211524824,0.28590627285485043,0.38421036700358735,0.44468115942028974,0.518231884057971,0.8043131230409131,0.43602898550724634,0.23926747195620549,0.12202173913043479,0.2281304347826087,0.14402898550724635,0.1478478260869565,0.14355072463768118,0.1138260869565217,0.14757971014492752,0.31961042369676346,0.6096938711364033,0.3033978308233288,0.13276763277059941,0.12146376811594202,0.11882603470574167,0.07452901288058329,0.08623815394818825,0.0861520673994196,0.08656948510086593,0.24845144245703998,0.5242590418343992,1.4512562172970607,1.365777314184816,0.6864332251131736,0.7160062671558916,0.4800801673848203,0.4631589435992998,0.45982649759141403,0.4797316310611633,0.5321117018457425,0.5008272648633657,0.43407369463972145,0.5440195740289084,0.5099596871999076,0.5841984802342095,0.8126483764662054,0.46414809721570094,0.4445862802272874,0.40832995156873647,0.43819656888551384,0.5058346617468178,0.4870803261990266,0.49334302510495515,0.9018523200261536,0.9001803426518258,0.9925413235688432,0.6244984475844373,0.5734203137133209,0.5583116565743477,0.5902696777370604,0.5601909846601448,0.5240240807210925,0.5692676246576023,0.5409369591107793,0.6014599186849514,0.8381093712529446,0.7295361364156855,0.6763328048704323,0.6153610707456904,0.5498186916718777,0.5171727126550172,0.51276420140416,0.6187542219031599,0.6113107065468119,0.6225905487203947,0.6091834077997825,1.0007624709481375,0.8210807233708408,0.8016510729220643,0.534601263339816,0.6326975672820858,0.5792260003249072,0.5432806140628472,0.5458777028150295,0.5877602542560114,0.5748770023812864,0.5398759527640051,0.6607122612383656,0.6797818706191314,0.83999930547839,0.8910088737872511,0.703731891192029,0.6964965311318778,0.6186556672522286,0.5884117902509705,0.5407288054104701,0.5720530527144271,0.5345640817830467,4.672438282758386,0.5637382599057068,0.6012645222988369,0.8091480097650526,0.2830190548381569,0.24119195385475617,0.25881690805449337,0.09723234952692704,0.1725659211751897,0.2452883730661466,0.19996851082011818,0.188210733823553,0.1455866454193449,0.31637374770732046,1.0802168069049929,1.0898494894883677,0.24639539966414473,1.096849789573888,0.21779890319971515,0.2768167989907596,0.1783824418864034,0.3330566661052053,0.29049858047515065,0.24111630290133185,0.14568996339124526,0.434064424859865,0.516221239845167,0.6742071170752915,1.0555664355576617,0.42746176996103047,0.16007702247864272,0.11751484222128068,0.2578953308882466,0.2092179983625286,0.21939878198838883,0.1471457948305684,0.13718158244190368,0.24260256015935147,0.45492960601368704,0.2888959550528417,0.21895222487704064,0.16710078914764642,0.15533904720699204,0.11977247739035918,0.029777800553430114,0.09102878822906196,0.04637345978122725,0.09841748952882784,0.4323111960325543,0.8244427946365002,1.9644133971408209,0.7920590926280683,0.23503583274539588,0.5795135658607711,0.19591002409193717,0.2662219139584027,0.231165883551343,0.35666884794364356,0.41560569490182375,0.30569356668370234,0.10463111001190449,0.37805237456370866,0.32149874084171065,0.4906239492014681,0.6653428018035417,0.19675687026603939,0.12384241538456263,0.09088299018574997,0.13320303838657335,0.37368041085695564,0.2864809878290285,0.26279487301840376,0.9354579364731974,0.9280939327766842,1.0290789657361363,0.4127736181512229,0.2891361501460928,0.20227070240232295,0.46401886426206906,0.35265261050905217,0.23672375869929088,0.2433641845131038,0.33357875364551165,0.4643289140325959,0.950691497204805,0.48509333034585245,0.4275802335029086,0.3261746653065192,0.1563404944564286,0.10955820616405752,0.16236435842323754,0.4931231589186695,0.46794011272829483,0.46375473727036304,0.48585385085565264,1.592382028171597,0.7820126020385875,0.5830284526880072,0.22463600422080787,0.3270887268185104,0.2875574178549735,0.17435307550300025,0.23202361383299971,0.346309278666354,0.2898167339350427,0.2052076047688492,0.4853140733098238,0.6138749138154166,0.7007667293352287,0.5057558897403205,0.24901166102921393,0.4721475213076491,0.35447329190191273,0.3320147436116166,0.17738653615356245,0.39020261340172174,0.22318774175546818,2.9913854013534857,0.35247155166968785,0.501528391469392,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Lower Photic,3.4900084411217365,1.7382355135351404,0.8105,1.074,0.7990000000000002,0.7150000000000001,1.2715,2.179,2.6536666666666666,3.321125,2.907,3.3795,2.4375,4.25,5.943999999999999,0.8020000000000002,0.9530000000000001,0.679,0.8959999999999999,1.41,2.3024999999999993,1.4120000000000001,2.2059999999999995,2.313,2.919666666666667,4.151999999999999,2.8644999999999996,1.7860000000000003,1.094,1.392,0.8350000000000002,1.05125,0.9035,0.7610000000000001,1.029,2.066,1.1219999999999999,1.47,0.483,0.46399999999999997,1.0859999999999999,0.34900000000000003,0.724,0.32200000000000006,0.9970000000000001,1.939,3.1765,5.620606777910758,6.771810314362857,2.5143723077580744,7.047080096739107,1.8347205860627027,1.763338188712868,1.3811038640156752,1.6973581471984773,1.710387509607683,1.6202455650314547,0.9773544866432395,4.6202301429140125,3.1472574959593533,2.3162256381711233,1.8618251416354874,1.5322939722266309,1.618225434679383,1.107324742584661,1.4842906072321662,2.369443608648647,2.185099982682877,1.99741400247146,3.282318988407293,8.971024706251054,3.256861381243695,3.2986998533922858,3.278457138138709,7.216399410815077,9.964533935400992,2.1237072810819524,1.5291135930778261,1.733628335283391,2.4727411310216594,2.2375500182344776,3.6369625607767717,6.143099146666668,2.366774443563193,1.937880446635082,1.493457440786589,1.4091521034845025,2.159254113697601,2.7557867494449053,2.442569232851778,2.8860484459772104,3.2196065220088763,5.392293769300987,3.596855674845436,2.288687826441606,1.8545104871721183,2.587302182984638,1.7547201142868367,1.755748310602074,1.6025486021585997,1.7844576271808446,1.692651315905413,2.2835823211482666,2.058169708449019,2.83757186030105,2.670524825842341,2.034977101347251,2.2627230253,1.3146030017342991,1.9278175844032326,2.3704925414209788,2.615616450167434,2.70659765052742,2.96559262904119,24.980559992391083,3.0587557597360937,3.1381887938295807,0.35464331125813764,0.2030759195756998,0.024545875417267136,0.04141926551202414,0.07202622979011034,0.020138409955990973,0.055978666571392326,0.4411714204503984,0.7126276363909473,0.6767375912132494,0.05417051268397268,0.11866034627362994,0.22129982176023352,1.1998611030726292,0.965185071487444,0.013984117975601992,0.19872090982078358,0.056852636018237736,0.0875848794662133,0.3060864075533066,0.7949580701730962,0.3688661304893988,0.14841383583300666,0.47925984601257804,0.2869983008509946,0.1796787256311789,1.2820219490234077,0.5663960137963936,0.12321616055624447,0.3686853521485345,0.1040566085252531,0.051495010545790844,0.10209064599658484,0.017288403306519935,0.023781411975649317,0.4409635913416082,0.015491933384829583,0.3552463933666322,0.044733780424988795,0.05910442735813734,0.06603029607687669,0.07837941906733764,0.1163519564845292,0.042635405214185275,0.04448470398787531,0.25462172378299186,0.10739465122207491,0.11585995747736087,0.41459354670106935,0.4527282159949368,0.8932153003812272,0.10669471794248293,0.06423997496784178,0.056473134161230336,0.3879713745706074,0.3617706016982036,0.18042654774775757,0.06289444559176612,0.7497077947378915,0.6463963323849325,0.030958752151462467,0.13219616914278093,0.23644743245476277,0.42307777930598733,0.038944210777811836,0.13052339252296663,0.6083798848217932,0.2612962330076109,0.5202549577831053,0.056726411026984266,2.907078194755374,0.09377722953485894,0.1608065965624303,0.43114678141134716,3.413883337292212,3.7894676730602197,0.10071567615859876,0.07497769749472691,0.09529097962045065,0.08407790843907693,0.024846726054308772,0.11537856080638081,3.07463210812275,0.44643147025211194,0.16480789569001403,0.2228743923483477,0.21294045762211475,0.3776040032757791,0.22463701339909792,0.2964096417671234,0.494502735532254,0.30323995530468645,0.5928096812471199,0.0636677506017888,0.02409355208993358,0.21499483234025385,0.14347638594001666,0.27846455051683167,0.16382964108660455,0.1406955925243488,0.30818220823626225,0.16652109737053983,0.23355219057010868,0.3684809093746181,0.03663480153201454,0.19178705127692933,0.3353986644994523,0.13516720053086256,0.16190992740611265,0.3260887631613425,0.10428864269065097,0.4186050062987987,0.2892856602364957,0.5063831766402395,5.395337563973814,0.09561528439473603,0.05241843354277335,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,4.672200411194192,0.9003333333333334,0.7449999999999999,0.9470000000000001,0.5690000000000001,0.7104999999999999,1.0684999999999998,2.1220000000000003,2.908333333333333,3.189,2.3025,3.0355000000000003,2.3369999999999997,6.577500000000001,3.2090000000000005,0.642,0.7294999999999999,0.5020000000000001,0.631,1.8045000000000002,2.9119999999999995,1.654,2.203,2.3775000000000004,4.01,3.8579999999999997,3.8810000000000002,2.5679999999999996,0.74,0.8619999999999999,0.666,0.8029999999999999,0.777,0.771,1.0050000000000001,1.573,1.0859999999999999,1.7734999999999999,0.3970000000000001,0.437,0.9920000000000002,0.576,0.827,0.908,0.795,1.5025000000000002,3.075,5.688240281690459,6.801609533710748,3.827585312686341,6.907581824764103,1.7372469058779771,1.771278344468671,1.1773105474212862,1.158885021985479,0.9576136825193213,1.244304555678802,1.8359173344129889,5.5764417691017885,3.4383459253459128,2.285322382350263,1.9033539278417517,3.1412117559129706,3.5923097190398527,1.15164208882869,1.1167609041770956,1.4400468759620701,1.3665641128835009,1.1965765860352398,3.338787096733809,5.106323633695529,3.0848015251679106,2.225919888544295,2.4220602874343955,3.5818248594407036,2.8938715880519927,1.419560045093654,1.262473051732485,1.3946174002671383,2.0437178561340956,2.132734530100735,3.5055730187305443,10.213898400652495,3.2243032904331828,2.84455203855335,1.856619027393538,1.414101303089838,1.6263838477599233,1.511992892980106,1.7041555131805577,1.787301836701469,2.742807743925863,8.970260842609136,3.5731431443111865,2.2184316924075036,2.1039112630389005,1.7583789843991577,1.4013171786209289,1.4101681150375869,1.1067757806867562,1.4651293443114382,1.842780116966011,2.156527268670922,1.7046762917636642,2.68425505770279,2.3965301391441534,2.512541934381396,2.03757799285,0.9286551265441032,1.285135606921022,1.501084654906814,2.613734651428427,1.706647423021273,2.1805578567042603,28.885077357017547,3.1646006153037676,3.017503876070085,0.505696637104119,0.2837917598574049,0.038369548110737804,0.35437111745864514,0.05952590472502987,0.014615440845595821,0.2890794777296452,0.02347575581554538,0.2618134761548692,0.4132319170683099,0.30313638294778583,0.21884101281270132,0.0573585215987999,0.2375014619838043,0.383389850906069,0.13036700332352338,0.03654905379532192,0.062146779660914246,0.051088159097779196,0.0454880936802881,0.21853298759378792,0.02024845673131661,0.11690927156465297,0.42259285633127097,0.32304110505561906,0.03425395354310711,0.3000907270217533,0.18316962387664362,0.17403703309608817,0.080938934457473,0.024129281427805127,0.09381423725166192,0.032335051500740765,0.18734697459230265,0.019002923751652315,0.14150382798120104,0.04623610902506585,0.19683679082484104,0.014181364924121757,0.004830458915396484,0.10536473980920624,0.04835057163858333,0.031640339933558075,0.22260078865788216,0.10490736654570812,0.1668207620971283,0.3609093453425051,0.08897194222793223,0.411413678530165,0.20221818517531912,0.8314715086214556,0.14949462387476703,0.061688338445722336,0.0855253087038276,0.02209108611955434,0.060397392687386565,0.07264329238581407,0.4050262685394445,0.7697581487864551,0.1855354856681264,0.034962415170333674,0.22403153783929206,0.4463530733646308,0.5166724512303024,0.03339213298713288,0.11238219539387075,0.019268265330052835,0.12405044223382494,0.05761721956113769,0.021179025065906024,2.7489804007230467,0.06670962051237557,0.4992343100227033,0.5159167159962004,0.14710576875464781,1.3968835903543941,0.12855822378636983,0.032028241853924576,0.039364307507667506,0.09276532236879652,0.03440133116846532,0.03420203579251822,1.5245904340447767,0.16885402504917488,0.2392709251931216,0.1256020729804101,0.20742791803764893,0.34971315943411574,0.21529502108285947,0.13901305435445954,0.07715115816450072,0.017250691620050513,2.705702565305168,0.053415280400446644,0.05062603605745361,0.09934453899154723,0.3343850954331161,0.029435190534186553,0.01681471802700588,0.07510587780092164,0.06746698441330203,0.20307666043804698,0.08545398229081327,0.017572727182792423,0.15428751066738935,0.054092163236831685,0.033493943534993305,0.07578918671888206,0.030119308902948443,0.13159342378368213,0.2657541925199297,0.16162324481228957,0.19710257537054546,0.4256785038679168,1.4809516310985649,0.09340890745280019,0.0436188792178461,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
