,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,8.470913468922923,8.597391373828863,7.801506513814448,7.924031342621605,8.036514286377828,8.088631066641323,7.625377318312568,8.89834232242521,7.568673784528848,7.480956892940064,7.148830719436009,9.477890549938799,7.92465740363787,8.041565931904799,7.909865650816844,8.27561281739007,8.17738669023735,8.122007630982827,8.166037492158079,7.870028895336878,7.914462639919941,8.03302884978165,7.833064469550452,7.940668540558727,8.1163819074447,7.465942028985507,8.103905797101449,8.249497562414675,8.060978260869565,7.9589695106889415,8.047086956521738,7.591434782608695,7.957782608695652,7.806905797101451,9.01367391304348,8.092449275362318,8.216000000000001,7.81920773309581,7.960190211363191,8.001350568308768,7.836887720183109,7.627695652173913,7.8325685898977335,7.8217949267052305,8.241197382816466,9.220361406877894,8.08953461629828,7.945473243713602,7.620664431627307,8.704966015662569,8.681105657388283,8.534064319850598,8.507752758282503,8.286855883837307,8.140035927830056,8.124885923823722,8.101098699883002,8.081033122378098,8.106981332232333,8.114666511973974,8.084513729060546,7.885403978296052,7.8626535715042385,7.643089538034979,7.956309887750825,7.496548225988311,7.933688056838702,7.901627265170395,7.439678031118253,7.414959601742868,7.703227836573462,5.4854854984012205,7.304460837848902,7.532490023943691,7.438074754728821,7.0442392022231735,7.2450653737258905,7.063683445008374,6.655108919965994,7.562307744330648,6.780677736324215,6.576736826568386,7.099587163337575,6.813854625379216,7.4318008733739935,7.66237501820005,7.852050674566798,7.823394851120685,6.455740926362593,6.946066808501844,6.175717949705961,7.046084069347233,6.7448759124747575,7.2659656301863995,7.775153011036979,7.395590900535214,7.16603119797149,6.664387302144361,7.12536435485393,6.973787297519356,6.918277083457942,6.8424175395817,6.5659383305193035,6.697644513821963,6.952255292659082,7.380166432937317,6.85051459676805,6.738525110859933,6.236718995953054,6.654128456378985,7.105719912432287,6.209556806142154,7.175548257019472,6.6379148976302815,6.261811229869668,6.351204183923525,8.922264546698333,6.671359979038707,6.624334561795551,0.21436057940890407,0.27660766169095063,0.3060912471985224,0.20361315473375344,0.12821276537991338,0.1547678034956128,0.29041210111311383,0.21661854430548794,0.2948278578998183,0.277156580773712,0.27141353107365057,0.618041425974347,0.3031744561905243,0.3318119647883709,0.15836952753225791,0.11202444727205936,0.08467245392966175,0.05194762976839788,0.1386167958129599,0.17068653760516886,0.25719324926121845,0.13916903900174946,0.23249562642674482,0.11232138570047445,0.12133479355724365,0.15773066809698855,0.22496295893804155,0.2122888602535572,0.26030235578096655,0.20290795406000087,0.186650600428491,0.43179283501644794,0.20294529189408728,0.17050404203040018,0.1756049031656298,0.19965631097482825,0.18360948898258075,0.19750276976638448,0.23625500030589733,0.2209051755582618,0.19705411476602103,0.1526848908351055,0.12482039063996689,0.1795078496035628,0.2394292300113053,0.3337000280826355,0.16467985843672123,0.16836984955520556,0.39597826226842886,0.262215688929233,0.023249187278593725,0.037651702145867015,0.02899394207194835,0.021585253199689597,0.032293701913219626,0.030009755088953628,0.026866259017665376,0.07209108866828615,0.03427884174439679,0.060210326639678714,0.08913154315468547,0.326475531061618,0.40074823061616893,0.24733505966210698,0.30706094868153516,0.30983819380045907,0.16996212152158627,0.20390409060150846,0.3128329861053752,0.18688641774096534,0.30773584242753654,0.7354742335698718,0.25182196026621495,0.4963171518286334,0.2960633174380287,0.3748830074323414,0.2641114312473535,0.21789199836005424,0.3666486155665199,0.24864201914786224,0.3589184008009641,0.410422866831236,0.31202787681784144,0.2796868498313387,0.33740081767195773,0.4600769275078848,0.3621613203652876,0.40561396908834324,0.6383119008881879,0.35179218909766835,0.35049757683104354,0.32106929733382134,0.37333057835081734,0.21963886501294266,0.31128734462678276,0.4525955984801451,0.5129119327944742,0.29387782620775516,0.3702257447263236,0.45391103179059494,0.4430078627771987,0.3895065240219171,0.5245065927504924,0.3396244487791278,0.46253649503469846,0.22404052394886348,0.5021469030792335,0.5385215097710956,0.7410602642152349,0.49915985386209966,0.3567605018577496,0.5533430758014015,0.30838434089972916,0.5623562202977093,0.48682147823342226,0.4988798961943732,0.21361362278231497,0.4038372728995956,0.4065687929292636,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Lower Photic,9.010416666666668,9.1595,8.4755,8.655000000000001,8.607000000000001,9.0475,9.011000000000001,9.010000000000002,10.538999999999998,8.684205128205129,8.588000000000001,11.148,8.6525,8.384,8.224,8.610083333333332,8.599,8.535,8.74,8.6635,8.727333333333334,8.674,8.134,8.851999999999999,8.593,7.763,8.602,8.597,8.419,8.256,8.478,8.294999999999998,8.542000000000002,8.516,9.791,8.992,8.997,8.413,8.284,8.298999999999998,8.159,7.9239999999999995,8.147,8.1355,8.992500000000001,9.663,9.028500000000001,8.925999999999998,8.589,9.191600206827491,8.805201105980892,8.688189376355597,8.68354576993531,8.50598838007411,8.405504658526501,8.39188942455836,8.598498818166897,8.74094356879192,8.647430481846197,8.753718738336886,8.953939151357641,8.845156362447568,8.6412025873534,8.210267727932496,8.665521318729677,8.159664840370015,8.491791895848724,8.49752288097419,8.568627280909777,8.282729977214085,8.722138085666506,6.681743736156707,8.154180453383793,8.519452670754657,8.14024497401221,8.038677416258512,8.066790301588194,7.685498613288175,7.793323745925825,8.186307825278222,7.961515401704027,7.907306151917351,8.083339402405489,7.06333559283302,8.194097962312876,8.584391392089097,8.552561840203577,8.633565278346717,7.789507138322492,7.772596391364109,7.4232993364264885,8.076932235801486,8.275466167895365,8.059082955148689,8.400986796219051,8.300547438249717,7.991736444800726,7.208761271688937,7.911610058636538,7.929264915530983,8.06280806522032,8.165926580822862,7.980941900265963,7.92595384518192,8.398946736700506,8.293993496854048,8.02110585439318,8.044298667044782,7.349327423513567,7.612083704899999,7.905931835078168,7.572732522609049,8.359110382202845,8.112662221838209,7.835429832078437,7.9263794072134415,9.54965185371386,7.6224134940291774,8.22339159226409,0.0277534615792269,0.043362169892404816,0.03878120010367767,0.005270462766947186,0.06783149055645987,0.21469940226589734,0.06854844191437817,1.8724445165742407e-15,1.4592402894048064,0.062395527410978015,0.11573917035971652,0.06545566777937921,0.005400617248673239,0.018973665961010622,0.0512510162500869,0.03185724814322903,0.06136412270663993,0.09228578799938088,0.10219806477837275,0.025609243123008003,0.10061293635990855,0.03777124126457432,0.08181279443542647,0.10358034991681044,0.008232726023485471,0.011595018087284099,0.014181364924121921,0.012516655570345458,0.029981475762358305,0.027568097504179857,0.1295119042147606,0.16614919667442105,0.16033298683261213,0.06484168755086855,0.10969148655306933,0.05006662228138287,0.009486832980504937,0.013374935098492302,0.016465452046971706,0.007378647873726783,0.02078995483935016,0.03977715704047017,0.08870049480007251,0.0970237657025904,0.09259379628847245,0.14787757699454585,0.21252516190899468,0.042739521132865665,0.0031622776601683117,0.0013061258824322271,0.004610695644063206,0.007005188309618146,0.048115280816366526,0.059374966457421366,0.10402894561728052,0.08781685304872654,0.19120005032187096,0.06718946142987131,0.1317320022623637,0.14309634369708582,0.0650124109286893,0.06806509559701045,0.0368473693846244,0.041099837068585804,0.027275780377168123,0.055807093698775,0.0716332607877013,0.10928103693190655,0.16640098572373188,0.18195077451468578,0.1827843217123646,0.05324805290759527,0.10977208071090082,0.023167402315978868,0.08030733020806172,0.15400733417287193,0.21044610945380515,0.17719419719411397,0.1863847417289037,0.1328961857870445,0.1852902488258353,0.05527871101871254,0.04135520408578464,0.06167241679473487,0.04194428546147741,0.013078719754659232,0.011421310314310118,0.028250322323388616,0.08890030434043188,0.12184873648248254,0.24591581107372634,0.17841566564095118,0.17645367256042546,0.09232257673082132,0.006130610873518014,0.007616511888786997,0.005747556105341731,0.012842517381856374,0.027814783554534383,0.0701500716631008,0.13253697954861593,0.13036989186289488,0.08969713506853406,0.09199949429928603,0.09252712058148192,0.0809087476456354,0.0385116367100438,0.047317816414039156,0.09905743317833454,0.05022835987508191,0.10531578919072834,0.167311641794708,0.25476679248761586,0.16762923444519787,0.14118842964324693,0.11285482912350002,0.10991905076718694,0.061463179341856605,0.11433668330923792,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,9.093583333333333,9.374,8.603,8.668,8.697,9.408000000000001,8.885,9.010000000000002,7.122800000000001,8.491153846153846,9.9495,10.723,8.669999999999998,8.35,8.389,8.719000000000001,8.715,8.693000000000001,8.943999999999999,8.721,8.861999999999998,8.708,8.061499999999999,8.964000000000002,8.6105,7.796000000000001,8.65,8.650000000000002,8.573,8.293999999999999,8.7925,8.628000000000002,8.734,8.572,9.898,9.062999999999999,9.028500000000001,8.441999999999998,8.302000000000001,8.3255,8.244,8.081,8.39,8.402,9.205000000000002,10.132000000000001,9.152000000000001,8.953000000000001,8.6225,9.193047125651088,8.80870402539904,8.822470414274857,8.913084795984542,8.744980623013436,8.755889609679269,8.80778260868384,8.781321852197678,8.854244274579527,8.860706455389023,9.008657798306604,9.00766368358028,8.937426442363133,8.520270190148825,8.300986867478812,8.779690753113332,8.461292977982193,8.741392616471655,8.838894420742315,8.803504188748766,8.692113333276472,8.89230502750489,7.245847279939471,8.528512887184323,8.573817497524697,8.524301122848332,8.744103947630611,8.700038290667768,8.212723151675192,8.249866307066606,8.163620243498894,8.407395839609755,8.295228433579396,8.380725925245908,7.023097365873913,8.514308272782097,8.625562872917461,8.629722610042215,8.717519427792519,8.364565284108378,8.468571358014142,7.988125798681533,8.420220087738482,8.778721303344213,8.48177146773552,8.309334566520523,8.50145317932879,8.258888082147084,7.184970355853496,8.21056703013237,8.342047687994045,8.49039983109451,8.517802182735585,8.45855868169286,8.366319014563635,8.748367715445616,8.35756538729564,8.289162857307632,8.252804489509,7.6756751317400305,8.16752567705,8.369040031426621,7.981228691033432,8.656082157678362,8.4630734055559,8.326758118019132,8.132878302588614,9.634093778512973,8.403934746511464,8.524693679069621,0.019887996565953817,0.04233318751797568,0.03835023781856799,0.00421637021355775,0.011595018087284203,0.05731007280089986,0.0880971685760167,1.8724445165742407e-15,0.7815273934205165,0.06753989251448264,1.155471164119257,0.5718046210825494,0.010540925533894373,0.019436506316150997,0.022335820757001565,0.02806737924669465,0.03205897343611903,0.03917198545446013,0.013498971154211004,0.009944289260117737,0.023944379994757473,0.02820559440174174,0.06650187967268288,0.005163977794943112,0.011654755824698104,0.015055453054181522,0.030550504633039318,0.018104634152000136,0.03945461527713404,0.03306559138036598,0.042638662684886794,0.007888106377466637,0.011737877907772424,0.007888106377465986,0.010327955589886226,0.02584139659108579,0.015643600040343212,0.010327955589886568,0.006324555320336998,0.012122064363978445,0.027162065049950963,0.03541813722437186,0.023094010767585223,0.042895221179054505,0.018408935028645847,0.1021763181955582,0.012292725943056922,0.004830458915397235,0.014766704288891428,0.0025637709641146687,0.0068612928527723655,0.05997855404161107,0.056841846747120506,0.05365281422447291,0.07634031098221064,0.09557302730790454,0.0019036010665287964,0.019116734841731247,0.019369185002476867,0.04245362880295276,0.014340461689219113,0.007220316923755814,0.03770240872590277,0.07073094951586639,0.038126949946553156,0.128237989006727,0.04278184158863005,0.03426453920519227,0.002149316650280962,0.10170790291109895,0.011800320326169811,0.3597768453710233,0.10113031901838156,0.005727443476454479,0.16716542840492105,0.10272333539374781,0.07324260794737497,0.20227910911580865,0.21327750275485988,0.08493760189884533,0.25672675154364816,0.26276132973227645,0.20320280327219004,0.1592757818317432,0.18200147592203153,0.016223623962423113,0.026259252619815102,0.012714897734635583,0.28222411242948514,0.1675257260541256,0.1342759731726125,0.10561429191808791,0.10437362838176836,0.11665057956467706,0.05955329582821245,0.11107800176090349,0.16264277292769438,0.005660804065416005,0.2020701829668065,0.24949229617950727,0.245211262951161,0.16360821106949375,0.25830912052647836,0.21877994264442266,0.09292419462431589,0.01219527658522757,0.16526686840165838,0.16331841053870094,0.2859357036849106,0.2997044867639,0.20142910144104523,0.20054652337705933,0.02575002983685977,0.086090986971883,0.10176461468504852,0.2469159503900893,0.03491301160375272,0.3343451276827321,0.06690353489681097,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
