,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22,,,,,,,,,,,,,,,,,,,,,,8.77733539539708,8.86037041153811,,,,,,,,,,,,,,,8.56277670431067,,,,,,,,,,,,8.26189686157824,,,,,,,,,,,,,8.41135938796677,,,,,,,,,,,
13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4026316665578,,,,,,,8.49827751095446,,,,,,,8.49785865202975,,,,,,,,
14.0,,,,8.67,,,,,,,11.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37754558758567,,,,,,,,,,,,,,,,,,,8.54133127160296
15.0,,,8.7,8.67,,,,,,,,,,8.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85186682944603,,,,,,,,,,,,,,,,,,8.622014538813,,,,,7.95277492705698,,,,,,,,,,,,,,,,,,,,,,,8.47826739765747,,,,,
16.0,,,,,,,,,,,,,,,,,,,,,,8.7,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17465250430051,,,,,,,,,,,,,,,,,,8.18893131796511,,,,,,,,,,,,8.49566582027563
17.0,,9.35,,8.67,,,,9.01,,,,,,,,,,,,,,,,,8.61,,,8.62,8.54,,,,,,,,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.72,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,8.95211867613636,,,8.56194347455533,,,,,,,,,,8.42215113730127,8.56878636770042,,,8.6205779856005,,,,,,8.18381873076402,,,,,,,,,,,,,8.34926139034969,,,,,,,,,,,,,,,,,,,,,,,
19.0,,,,,,,,,,,,11.21,,,,,,,,,,,,8.95,,,,,,,,,,,,,,,,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98325911225362,,,,,,,8.34866784357055,,,,,,7.80693733448531,,,,,,,
20.0,,,8.66,,,9.34,,,,,,,,,,,,,,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3893252934484,,,,,,,,8.05473917829717,,,8.3495618001413,,,,,,,,,,,,,
21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89925085929215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76661246955615,,,,,,,
22.0,,,,8.66,,,,,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79452158914613,,,,,,8.23845879254478,,,,,,,,6.68354833865453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.634353388,,,,,,,,,
23.0,,,,,,,,9.01,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,8.80605059276814,,,,,,,,,,,,,,,8.18700638459005,,,,,,,,,,,,,,,,,,,,,8.55357370958541,,,,,8.20796727981055,,,,,7.9951954852238,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.80896713128659,,,8.52113016557091,,,,,,,8.99436040895746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,,,,,9.01,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92652817332927,,,,,,,,,,,,,,,
26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17,,,,,,,,,,,,8.06,,,,,,,,,,,,,,,,,,,,,,,8.44485296669551,,,,,,,,,,,,,,,,8.0573357723269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04258393896113,,,
