,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
17.0,,,,,,,,,,,,,,,,,,,,7.38,,,,,,,,,,,,,,,,,,,,,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12408096732246,,,,,,,,,,,,,,,,,6.87557138687373,,,,,,,,,,,,,,,,,
18.0,,6.75,,,,,,,,,6.93,,,,,,,,,,,,6.62,,,,,,,,,,7.42,,,,,,,,6.77,,,,,,,,,,,,,,,,,,,,,,6.70235073503971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33723496001448,,,,,,,,,,,,,,
19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,,,,,,,,,,,,,,,,,,6.28640920539366,,,,,,,,,,,,,,,,6.833181322577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65268827146959
20.0,,6.74,,,,,,,,,,,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48741160950051,,,,,,,,,,,,,,,,,,,,,,,,5.75825611857227,,,,,,,,,,,,,,,6.91717319316894,,,,,,,,,,,,,6.38500592895642,,,
21.0,,,,,,,,,,,,0.0,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15424104816547,,,,,,,,,5.42287489539593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,,,,,,,,,,,,,,,7.17,,,,,,,,,,,,,,,,,,,,,,,,5.61,,,,,,,,,,,,,,,,,,,4.47997619187089,,,,,,,,,,,,6.52498836650098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,,,,,,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97,,,,,,5.84446547054743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,,,,,,,,,,,,,,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22023157741115,6.12332311784492,,,,,,,,,,,,,,,,,,6.64399670868503,,,,,,,,,,,,6.26398389999854,,,,,,,,,,,,,,,,,,,,,,,
25.0,,,,,,,,7.32,,7.13,,,,6.2,,,,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,,,,,,,,,5.1098389426091,,,,6.16323397108901,,,,,,,,,,,,5.23960380504122,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23872561829645,,,3.83370350456169,,,,,,,,,,,4.61903295614645,,,,,,,,,3.59890119916114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,5.47,4.67,,,,,,,,,,,,,,,,,,,,,,,,5.04,,,,,,,6.13,,,,,,,,,,,,,4.92253902133153,,,,,,,,,,6.89,6.28,,,,,,,,,,,,,,,,,,6.09657531172151,,,,,,,,,,,,6.36099196347292,,5.08286993027298,,,,,,,,,,,,5.19639932697896,,,,,,6.28886745778551,
28.0,,,,,,,,7.11,,,,,,,,,,,,,,,,,,,,,,,,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16881173681437,,,,,,,,,,,,,,,,,,,,,,,5.51564927305583,,,,,,,,,,,,,,,,,,,,
29.0,,,,,,,,,,,,,,,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81593609132247,,,,6.19253246,,,,,,,,,3.9580602987552,,,,,,,,,,,,,,,,,6.12789288388285,,,,,,,,,,,,,,,,,,,,,,,5.08680383418883,,,,,,,,,
30.0,,,,,,,,,,,,,,,,4.4750000000000005,,,,,,6.859999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.189296404177379,,,,,,,,,,,,
40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.005560800938526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46896160907143936,,
50.0,,,,,,2.153,,1.2489999999999999,,,,,,,,,,,,,,,,,,,,,2.1350000000000002,,,,,,,,,,,,,,,,,,,,,1.9248595275804075,2.023130212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.848595829620587,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27918344447100724
60.0,,,,,,,,1.3099999999999998,,,,0.0,,,,,,,,,,,,,,,,,2.5066666666666664,,,,,,,,,,,,,1.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
