,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,0.9637416538268614,0.20033590000010157,0.36785380722356636,0.25014083165792134,0.22367607724810407,0.2923752735499549,0.32890036528613537,0.3094896320215573,0.44599817336471226,0.8716855435743778,0.03176292413026166,1.0365719255056944,3.188892633895871,0.34371560121214195,0.32086833046781094,0.24793333333333334,0.44541345197400517,0.4773345428720698,0.36128629657469397,0.2901733633599316,0.5599560739117744,0.5365137729798084,1.7188329546948853,1.2060178225221336,0.2692582073980555,0.18409476693781252,0.20675978316960703,0.205744194161572,0.2024459256542403,0.1707022086132571,0.13963333333333333,0.27795863131399356,0.4060333385542389,0.8749951453031212,0.31075237836405534,0.28999247218423096,0.19649752157203676,0.11798653897718256,0.1310367239416946,0.13629802868181812,0.12539095510825107,0.13540504515084978,0.30183281359665504,1.204054350373006,1.4558928301754483,1.0213346607787552,0.5851462403561053,0.6704210849449436,0.5391646800402456,0.5185716182503843,0.42018098373934293,0.47418310452983903,0.5775168421562109,0.550418418696254,0.609969088933924,2.031666086602715,0.536699585849488,0.4787942224783278,0.38055503262464957,0.4124437951749833,0.4715463127076765,0.5264721144715044,0.5079630827092098,1.4922409751497843,1.3059673211673517,1.6111459006127404,0.5218958221254704,0.49834820158184073,0.525069565738626,0.6203640462881956,0.8442446384302975,1.544443409915418,1.55034806086337,0.896787494421309,0.8792121999298826,0.5762376446052702,0.5028786675899346,0.5226676190710727,0.7300603839533865,0.5695355132606185,0.6555964168790942,0.7074416910101324,2.0440227093041097,0.9322845402550483,1.1786891265205386,0.6200119740050327,0.6670887433887092,0.5329529691590595,0.5268009541586344,0.560020347166723,0.633477317689864,0.5786870859630625,0.5978940810139266,0.7421379641591912,0.9033604086238501,1.2684184493760955,1.709362501800922,1.2542397327110746,0.7679501749717723,0.6824019938401729,0.6079766384683045,0.5882783686503679,0.5370005047440912,0.49836157754465826,5.36045353396354,0.7625732484879097,0.8272526317782554,0.6973161116771535,0.1333581919529599,0.3357724175601807,0.12048242765256063,0.11599899488313342,0.19792097384578178,0.20456863729019847,0.24797138549770956,0.42379140563732537,1.2866907964578056,0.0688204087970658,0.3926305192463999,1.9380304891393945,0.23746015059153577,0.2822613374302262,0.08374635426006227,0.36010807749982465,0.3329797852806046,0.15804376741467974,0.12849793823921746,0.5521516157418239,0.5008319297606941,1.5126330695983505,0.6398323497025082,0.15289488776219698,0.1448725471600599,0.09172507402190255,0.1558161448001717,0.15604674295747611,0.10587012225466749,0.11201757467932003,0.343716605493381,0.5134331471728841,0.23107076067380952,0.2078325523789566,0.22020978909250738,0.13477267412731397,0.061452681865310284,0.061392452300378354,0.06855542035327014,0.048751075886495694,0.10939941992815648,0.37014953294885056,1.2969434973545724,1.0652541321844864,0.6186052092432853,0.15430052315689233,0.30917275240900177,0.2579239038730127,0.19168482877510562,0.15911581732831873,0.14728328216161704,0.40518897800510295,0.2987452160645116,0.3708741269218688,1.3124410042845507,0.1882166296065417,0.13540768694762298,0.1064810203903037,0.11851366853177851,0.12212535774355256,0.2841439770980584,0.2269947733382339,1.1824603000413962,0.8997430679771862,1.0427986357011303,0.1112657994638011,0.12747278256139305,0.1148840585979724,0.3766533423900872,0.6999678134224485,1.3958785089675818,1.5475650858840573,0.34650495356212174,0.5852909159884487,0.1517340517604298,0.11647780322514834,0.10980665495792565,0.41584381592148295,0.19408462040815397,0.36836773042345516,0.5001812134602232,2.555960083392472,0.4414734873130283,0.5585760995101314,0.2737702587191877,0.28155705658222446,0.18132006592498445,0.12685960530451237,0.16406070589967714,0.3433442488522648,0.23533737475749916,0.24537206779061832,0.3616576629237421,0.7731011224145726,0.7559845712509573,0.553784799470042,0.4911676130104714,0.5604543818581588,0.362865765596413,0.22176033387455446,0.23993181922140377,0.16401402195279205,0.15164571269572552,3.1689511954034915,0.6724376894310478,0.692485762000778,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Lower Photic,3.478502729695483,0.8648096321549866,0.8089999999999999,0.6065,0.7825,0.9240000000000002,0.906,1.3874,1.6949999999999998,3.3195,0.009999999999999998,2.4205,6.758,0.837,0.868,0.617,1.379,1.1435,0.962,0.7595000000000001,1.9620000000000004,1.671,4.209999999999999,3.6319999999999992,1.439,0.7655000000000001,0.8190000000000002,1.0655,1.0415,0.691,0.6365000000000001,1.307,1.874,1.3330000000000002,1.067,0.626,0.6335,0.48900000000000005,0.288,0.597,0.313,0.6205,1.512,3.217,3.408334247306615,1.965688663750497,1.0453889214718828,1.934504501712453,1.7084241262515198,1.0283092365821092,0.7099505273047396,1.9286224219637595,1.396964270317097,1.0918794627886306,1.741568480073422,3.705704562598617,1.3373891948564978,1.290751881450182,0.5746033299052584,0.7273599315601038,1.3828643171391235,1.391929909709315,1.490720861411549,3.5690786910339236,5.710803718941543,2.7669242418787,1.3020108491728792,1.070743000211442,1.0218793686078291,1.8620135746714062,2.1851055846825096,3.2902980034240934,5.8770154365238145,2.0084857529117244,3.2781100369915395,1.0516751337697088,0.8165993406965134,1.644574594020964,1.9370829061979002,1.320726236523951,2.701126940795666,2.974048054249768,5.735326006879548,1.859019672947292,1.956891216452648,1.287738333784859,2.035176371945138,0.9702043426105836,1.1003437256589481,1.379209040777169,1.75803344512764,1.0329163610582204,1.685908195740011,1.655732453962587,2.594603458113105,3.0328456193414786,2.5249000379712347,2.1478705518948287,1.4569831588696112,1.4540872640286842,1.5644760644220526,1.239066873245479,1.5156175374709187,1.645948541174683,19.181184572456203,3.4542827150898474,2.775316350751484,0.9314703228979186,0.18173137556777294,0.051088159097779196,0.06815219895368178,0.1343968005571561,0.028751811537130408,0.30166942908495786,0.49273030712100063,0.06867799259345506,0.07327459769024106,1.828559098217032e-18,0.774662829881491,0.6346442573074567,0.014181364924121755,0.07699927849589816,0.0912931785208755,0.05130518708885309,0.06708410972635598,0.3729402692716951,0.08603060753068506,0.12290918056299402,0.19427643535265243,0.3275159029217767,0.352666036546381,0.4706838995900893,0.030226000580809775,0.28865396430867035,0.3052180459205444,0.15892083983333755,0.07504813270310076,0.047378499577574465,0.14981840860039716,0.5633076917241194,0.027507574714370306,0.06896859188548557,0.009660917830792967,0.0866682692159529,0.2968145698729914,0.047795862210493124,0.04691600058733812,0.042959929650263115,0.030226000580809775,0.26199236630100503,0.08179242018671413,1.5057265620457978,0.07990777789449065,0.3037471082116725,0.18380196075895108,0.25582522855601497,0.22742548175253682,0.08677246489140109,0.2993692716324414,0.07181925574858872,0.1082926320037376,0.09372108658609762,0.3954129799671974,0.2639972108627387,0.256769433123143,0.04420829142753815,0.10406315444980496,0.3370858480265786,0.13463538337657502,0.11677789352457806,0.2341945975318682,1.9678831606319453,0.13775753621691433,0.27432387088787596,0.08063569466607573,0.0872853909685582,0.14599066720917186,0.06444557765598567,0.058007411049018215,0.21993705266852986,0.3930634606996308,0.1314080306764209,0.19625720900035507,0.036094544070631285,0.35838694767543267,0.45463761360470195,0.18582003081868553,0.7527088460752265,0.16460925026444004,0.2421563164037945,0.16724663691202682,0.07805849046389363,0.1419572961911452,0.18774639227796508,0.14955947897753677,0.23409783900295164,0.05864204137150625,0.17157086191673174,0.034069310947689696,0.3873980182958798,0.11673809879749848,0.10789997622070689,0.32076000483401723,0.12168705286462277,0.07289284463394224,0.3281831537057711,0.14477356442730252,0.19765930804490872,0.35592544575864365,0.09842322610227142,0.25176045680149917,5.480033979137833,0.20605662858748172,0.0648797116591209,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,3.8042142857142855,0.7717142857142856,0.6275000000000001,0.8355,0.851,0.943,1.8659999999999997,3.1676,1.932,3.4255000000000004,0.009999999999999998,5.97,5.7485,0.6789999999999999,0.7849999999999999,0.7234999999999999,1.4244999999999999,1.625,2.3063333333333333,1.198,2.13,1.798,5.529999999999999,4.272,2.4285000000000005,0.709,1.33,0.8089999999999999,0.8089999999999999,0.725,0.6990000000000001,1.0370000000000001,2.109,1.8355000000000001,1.9100000000000001,0.471,0.79,0.7819999999999999,0.5395,0.6795,0.7165,0.858,1.799,3.2730000000000006,6.9256608387971665,2.259806357126431,2.3061526732350335,3.9104835739144357,2.071490665835878,1.9790647533687769,0.8091538237419801,2.1055358588961783,1.1606572982307901,1.191104144410748,1.9453778977129967,8.452862200511056,1.931187715617725,2.229038509739522,0.9536522649152446,1.2629070722314,1.6068794662069188,1.718565849090652,1.510936607171555,3.937867364068494,6.404199869612654,2.696403493051935,1.9509412042748626,1.4133226830632448,1.376701133780348,2.1107538001377426,2.105741048211954,3.043869783878489,5.647601833222177,3.115687465666715,3.3674198003374087,1.7662486196941363,1.321934434301696,1.9648605487627997,1.9220888903437903,1.896081336010365,2.8045965733849725,2.991648610083047,5.708410397101271,2.567837607694997,2.434412858716656,2.428012072325829,1.9277181835653827,1.1950470333294494,1.643354784522666,1.493862340579093,1.9835104502221832,1.4829955838458049,2.541655575239557,1.7962647479665457,2.422397939498481,3.301362740807133,2.633516994979591,2.0729517527600754,1.0158937479105312,1.5624950103608772,2.2130088725785777,3.139111408025427,2.026089863012602,6.669905004573371,25.970965765213958,3.5261527415481604,2.9890922863912275,0.7097677472962833,0.1920395367456123,0.1220029598912347,0.052622872086828046,0.06903300337922112,0.025407785333545978,0.48797085523169875,0.7135705524566812,0.2729590933943522,0.19695529667640035,1.828559098217032e-18,1.0762899237658967,1.9355907079981782,0.11512794814659232,0.09548123724935002,0.02082333093218066,0.04361765697512875,0.26060826285186484,0.5750565189613973,0.22503333086456323,0.14914571547464733,0.14412957133542492,0.31832897030168855,0.19158983967493345,0.22620111503802198,0.14278577582440688,0.12780193008453877,0.1256494241044414,0.08786985325531796,0.11118053386771946,0.0260128173535022,0.12229745159514431,0.3891429328951282,0.3626786915898607,0.4714752261666449,0.0978036581910695,0.046666666666666655,0.1323967102646017,0.24463635143707577,0.035780969491865044,0.22558627322305466,0.024855135843076352,0.2439239407866494,0.12858633070604533,3.473167756654513,0.2684390300183642,0.5852448057003913,1.7345113228855218,0.08604894871878122,0.12428677494505647,0.10946477375991566,0.1080887280784447,0.07786302513356716,0.13901729339363728,0.07522770647407026,7.229582065260013,0.10437679596089071,0.46948081423860594,0.23031625983626416,0.26543846875189403,0.1397937643174431,0.12412599882716335,0.12185497685007282,0.18531125226278983,0.5000466756541936,0.07440681023406126,0.14647854855386178,0.11920618406884931,0.1427149935409609,0.09725174835373604,0.09626822050061287,0.1623896828264962,0.4107386580278812,0.12493364436746746,0.17744115368896166,0.1363906623806659,0.17921075858286573,0.11185676542350403,0.0977069544062164,0.26600682796434827,0.5243268031469912,0.19177173333393155,1.658283263882242,0.2831281555834013,0.12309013230123374,0.6328523278136452,0.1009229136727496,0.21966700672341113,0.05824690603028505,0.05021745242452137,0.11179650365027843,0.25188730766384365,0.07068860062650821,0.18634831511491756,0.12722425373518367,0.24541541038721917,0.1333923837035835,0.17991014566254027,0.14104678858047448,0.09457155124482415,0.23928549996569076,0.4294750820400047,0.20215908985806505,6.175082695756173,0.6305036438878707,0.0998168205251925,0.06605072117078818,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
