depth,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-11-14,2023-12-05
0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.665362229715411,1.39223449226472,0.760510275895294,0.607706236944349,0.288149133288034,0.122630310655493,1.34265761646938,0.344314155975392,0.87146519450865,0.760102039487687,0.461245007000001,0.47572482487762,0.736840496978709,1.1113678964467,0.309766300435714,0.570315985401666,0.559078337948575,0.559586079340652,0.603170551007019,0.414141560896093,0.68280667831034,0.492840498256346,1.115234375,0.889962966827591,1.05859375,0.528320313,0.475097656,0.416621963256104,0.482006402187535,0.204036054881317,0.505858977912692,0.712517629205994,1.080566406,0.823242188,0.753967007032783,0.666381274114401,0.304682846192138,0.320622201157273,0.867320813572615,0.272168536661628,0.199247369978805,0.5004479204123919,0.0309145313733063,0.787466865620208,0.439152565361895,0.407251654346176,1.18028516632625,1.51960648370065,0.376654467202629,0.403669064744914,0.284070581839813,0.196031418507917,0.319623990134406,0.279687280597575,0.47267167723848,0.227363540104826,0.5710963724633,0.787028993654612,0.82466613629394,0.495753500016468,0.777242632016368
0.1,2.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.700529995907938,0.898916168006091,0.766357908434517,0.656384231731716,0.28721350865234,N/A,1.32266007863469,0.379073341405564,0.572720835745412,0.777132754629441,0.461245007,0.463285348395114,0.649866031837421,1.16922473380112,0.309547198756804,0.66029328545843,0.559105580287955,0.561282095907983,0.598568748499201,0.475350749071734,0.703382954586234,0.491663810509764,1.115234375,0.856800164601107,1.05859375,0.528320313,0.475097656,0.445723355114087,0.517124506002676,0.44282611297552,0.503978683734874,0.720251938596528,1.080566406,0.823242187999999,0.880601389692878,0.633791239888338,0.312578281928693,0.421367612931957,0.414884975869866,0.342463952054311,0.233675843175668,0.525887156986764,0.0116358251513908,0.954587854966345,0.54533824927103,0.414043807105248,1.26188078463042,1.54458468513951,0.579937100352729,0.47134309637791,0.303600437922922,0.31839470798744,0.421620363721355,0.228553461352305,0.42025469714372,0.35159126165805,0.685009400877898,0.826342693505566,0.846163376815476,0.491826543897163,0.423156616501481
2.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.697580735687697,0.389997430975813,0.793593836614516,0.689786558015637,0.281482215648973,N/A,1.31046739566797,0.403365322792733,0.348715597179746,0.79801162867149,0.461245007,0.479722352269877,0.603326985082744,1.0958494012668,0.300082054297696,0.722416866299919,0.559153715621057,0.561451696044171,0.610394158436751,0.493553416511587,0.727935955891131,0.489345203623099,1.11555187154655,0.816610715204438,1.05859375,0.528320313,0.475097656,0.445010613762785,0.627710487985202,0.573175880123621,0.508493081983225,0.801613022365513,1.080566406,0.823242188,0.946858382723508,0.764428803493278,0.378635940142914,0.511326202349012,0.301994912970616,0.386630789925028,0.255543390907763,0.548596064303498,N/A,1.01497916205147,0.74428697415238,0.436472981878835,1.22375507913921,1.85545716790219,0.72838217354305,0.52726583185906,0.33124254211559,0.410685459301052,0.540943645325257,0.209997463863388,0.398847966722947,0.428339785102903,0.77402732396481,0.826214376096669,0.830877647354781,0.507182311232061,0.356654249475734
3.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6566719984625,0.385242021197977,0.843510955007861,0.731248887505553,0.289370029364131,N/A,1.29493809544172,0.396199876508209,0.360359414037448,0.767744115776874,0.461245007,0.549297301334695,0.516352377257824,0.937394802325155,0.298883818318744,0.682808859992647,0.560998545123617,0.552794104209439,0.64688240633886,0.437255421513826,0.748549564681395,0.486238656165914,1.11828680748497,0.775436046533048,1.05855404637598,0.52891424470314,0.475117039942021,0.398938690889526,0.726927354823591,0.559409868502043,0.526729669562532,0.914937709358997,1.08041084779572,0.823242188,0.884038661288575,1.08078896674653,0.50444490493328,0.566810457684038,0.349436739965781,0.407030348941675,0.263629240083869,0.558585958328166,N/A,0.973078772065308,1.23746798738325,0.470609468346839,1.2484681526865,2.23309224894664,0.802644273199889,0.577023298985851,0.357507259229457,0.426084498992483,0.594807410608888,0.206492657463074,0.463376685288885,0.414746017326952,0.84017459465298,0.793749638534097,0.782396182464471,0.507402686376977,0.43364849188609
4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.610063970418873,0.387866821082025,0.857136956129102,0.761452569647213,0.332472200676335,N/A,1.30454459015044,0.369266975987383,0.359532290437054,0.628855713918836,0.461245007,0.626332992222249,0.44375840806464,0.965018601723859,0.313128033651301,0.555583884185482,0.552389106277362,0.515337649376106,0.69987725984766,0.445809853814317,0.809880447740618,0.482319139903813,1.1012971579776,0.763037437576314,1.04391619177832,0.529602642852971,0.47545526049625,0.367413490456535,0.678920424875799,0.517750861379762,0.56830151308709,1.01537696537109,1.07794309746983,0.826017758121005,0.819239024595589,1.59219959654315,0.574942631789601,0.566144501987704,0.36212474849745,0.426063558045201,0.269572804368315,0.548016755247662,N/A,0.94788653759363,1.54623604169698,0.525870193638702,1.24042653845538,2.09120150622297,0.787961084839969,0.591383808680349,0.359596547122671,0.42580358815445,0.542162146727987,0.212202653669116,0.485465949155393,0.342373970996148,0.882893760604915,0.860163880151793,0.820440481505521,0.518204311294272,0.464159880900738
5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.624678798951639,0.380742661407983,0.778749534418005,0.712981122997947,0.353413474370711,N/A,1.25774994614475,0.374502654531625,0.361888093868811,0.5642542761371,0.461245007,0.548897643490233,0.469858568682308,0.98469638599802,0.300643776964954,0.417556922353785,0.52589407258462,0.496276063552587,0.719233634711244,0.387962689256602,1.02711941984512,0.477429006914648,1.09228888922259,0.782014235274899,1.01234323341205,0.51649260014569,0.470436309926735,0.380856046503625,0.601037510097077,0.519849248026208,0.58608079257623,1.16581071851528,1.08270977015602,0.812836815162252,0.858400937545334,1.99114531320574,0.53999899386529,0.532669535651649,0.404640973593335,0.408230323745487,0.275866623726972,0.551990574339695,N/A,0.95347119116333,1.47527904236494,0.602730334136747,1.09452020762771,1.63079428862666,0.740261177704646,0.556263654423943,0.343548820093732,0.453369447133269,0.512189080801509,0.236387574766308,0.668297717019285,0.344985787384586,0.897612915441799,0.815582021064754,0.854269621574064,0.562817074409527,0.452800635938647
6.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.611821226839917,0.371636804619563,0.657128468180518,0.628008432558982,0.375185534589452,N/A,1.05906948982204,0.409902945216969,0.358471384321745,0.554731325780182,0.461245007,0.534568667669646,0.491175115197601,0.834739318087151,0.279363606382093,0.404794710857061,0.532883929540077,0.522599425998099,0.693524272217504,0.390071675291646,1.14265422132166,0.471900377278804,1.10239756324592,0.832562132996138,1.34691223215134,0.516604252563959,0.467226289921522,0.374224891589833,0.576098314619306,0.538196963873534,0.546632349734232,1.182825879251,1.11269403894012,0.755024556207666,0.883902958643261,1.99651577824138,0.526018706113558,0.516779274560135,0.449060261210022,0.371473420391126,0.273467217481189,0.543928516552823,N/A,0.938403341496531,1.18460257481496,0.652941408265383,1.12826432122439,1.16427824737374,0.859310292048565,0.537355978139151,0.346611137291616,0.484279145357761,0.502351959697656,0.239498216753318,0.919319031822833,0.408730186573678,0.892797032390373,0.650894740574468,0.848455292913623,0.617000105999945,0.443741429285958
7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.658965043289347,0.294844128984116,0.561596238733519,0.541548813654312,0.375985466654614,N/A,0.917273879428987,0.450958188817188,0.373644982983433,0.521290407662433,0.461245007,0.653122007281286,0.444489291284496,0.700538213391083,0.316110923044956,0.461670365639822,0.545758896837417,0.51440848244935,0.654943592795605,0.398670957294737,0.920802944022926,0.465633548720969,1.09122790665806,0.882651431233328,2.11023149740326,0.494814873350385,0.488630567635307,0.372432425447704,0.620158750718801,0.54195880418406,0.504259576715314,1.10486656827637,1.11804917185068,0.716675452667965,0.802260893217771,1.65233049203029,0.547186349596423,0.545195386521792,0.424952183863515,0.342420389927969,0.257643838102975,0.515786967827047,N/A,1.01764252712563,0.894985080330406,0.652163571472779,1.20489471709891,0.938815527117647,0.996182833717339,0.508255231564565,0.426298680828029,0.49411859645833,0.493877080461827,0.240944175820222,1.02104960797601,0.415975371213102,0.872109099366057,0.6058373350159,0.941595394868737,0.610506788214676,0.476225065298134
8.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.628730073481267,0.243309581248018,0.508556308082107,0.457809185855368,0.346282299206204,N/A,0.924123070998921,0.454038947053434,0.406313456047912,0.564562190137422,0.461245007,0.633953308315564,0.438268826413187,0.696836131411817,0.365964465553741,0.52952088483401,0.536393231307666,0.439659497585908,0.667245081140287,0.422206452027007,0.712607402064655,0.459480749831464,1.07226399224549,0.954209830677901,2.41831634200419,0.473172108570578,0.49405362659355,0.351089049648503,0.698164276362774,0.531116664208001,0.514492968277558,1.10219544889854,1.05464911241869,0.843542774910707,0.702663108493289,1.32042613601694,0.519706100390189,0.54348306445933,0.385526742657996,0.321641164222933,0.263111095022663,0.523964245878468,N/A,1.15623093713365,0.70430950433737,0.640612631167465,1.17394744549347,1.02135396640648,0.988158584862418,0.507978026264535,0.525082368357895,0.486097167124923,0.528072308669147,0.248772116390334,0.832571350700867,0.398868499292049,0.832845291529649,0.681398140017753,0.905211100281682,0.561896037836253,0.525070991242124
