depth_group,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-11-14,2023-12-05
Surface,0.625748533631545,0.47243364346300626,0.6926479801395454,0.6091939076058908,0.3262661991148135,0.122630310655493,1.3262434334143842,0.39939336643350015,0.4383362770620005,0.626846926851801,0.4616524757877594,0.5429686979031833,0.5008872021242328,0.9097298446830099,0.34309094868582624,0.5793463144906553,0.5509389413620431,0.5357490286878771,0.6685588572858465,0.4339433636757715,0.8112998334992718,0.47462340315825796,1.0908004842088155,0.8746110482018168,1.4129987813892901,0.5031291141826012,0.48299866515847967,0.42048368519305207,0.6276606219988558,0.5059543547740823,0.536012865764111,0.9807948085665262,1.09695026057869,0.8163728633526947,0.8169730984475515,1.2785750653290942,0.47523337656181935,0.5067576887176731,0.4319599196296737,0.3511428189801929,0.25847092864987203,0.5371733703581011,0.02127517826234855,1.0408955080541311,0.8999141204913087,0.5438883098356212,1.1713123530108354,1.617513014353258,0.8100188371964904,0.5255371893308017,0.37632205544494823,0.4170258284358832,0.5023138152857466,0.24267263209074744,0.619933569878443,0.3872603133042411,0.7992223235849383,0.8319531234264556,1.1230100813508395,0.5492811492578775,0.4820442312651272
Mid-Depth,0.4333889878239431,0.2374621907750357,0.43961357357026853,0.4322878489200675,0.41607394129741476,,6.409665446950273,0.4175268967288848,0.402302456398853,0.9451795105425077,0.4993714431790952,0.4638533996494914,0.2808643266353844,0.4399916681964049,1.020602510119598,2.8502158457844935,0.48240788347311075,0.6081303144812684,0.7177118538697739,0.4308953152805609,0.6230053069052481,0.4135305501995002,1.5075889839567205,1.0027682481864233,2.165765663291549,0.9933766225372558,0.5103664697224745,0.39509293068629947,0.581898269346029,0.4580110050737349,0.46806275097097316,1.2857891482375208,1.994944007959716,0.8100064935814387,2.4309524123896393,1.434387644933278,0.6409063209716555,0.6018566199349707,0.3661172479300884,0.3271515525486866,0.26329222816961223,0.5105308264159527,,0.6565815901759604,0.5180402661109358,0.5428450679194642,2.090997958190468,1.072012355851529,1.0726102594768583,0.5450211317925304,0.42105724267731465,0.4041338714738491,0.4561483303960925,0.3037878784378677,0.6281337586950043,0.5054436358923662,1.212233906882478,1.147129465173874,1.917140964499295,0.6276099337550767,0.4528518928333594
Lower Photic,0.29679577215177055,0.2531390121710996,0.3120537739552564,0.33549809716039397,0.4633585782307457,,1.7859404786150652,0.40259720307665264,0.39093107928878357,0.7425025246711191,0.4291755528687443,0.3989915401371015,0.2185353924817556,0.3117132471654555,1.71802190756843,4.635542515425745,0.5617308006384607,0.6432411615065668,0.7481199193347393,0.43002189957148734,0.44718520811452744,0.3911796967137498,1.0509183146238008,3.1180580994210643,5.0622550745032395,1.1547239661323165,0.4748738831869315,0.4499732678312167,0.445662202528976,0.321925880343316,0.3677574952767384,3.016359062368884,1.973907564873573,1.530875078412232,2.089572391099154,3.4247604994928103,0.6583157780857264,0.6555769123153877,0.38437854100415797,0.3326558083379373,0.2408920665123781,0.3526537284214872,,1.566924548536704,0.574076853847455,0.48162656170592905,3.3268315714010215,0.9758866010199136,1.468763587574833,0.585407774209881,0.4218530519786226,0.3541455564165579,0.2981496031262928,0.2666301622725216,0.5916531917673865,0.4181326278075571,1.9449438318073191,1.5283230782906883,1.0592990382550622,0.65868226114803,0.4410553148268816
Deep,0.33329944632966524,0.2564307395007491,0.25391886563585375,0.5194945429063142,0.29843430883460403,,2.030955486429209,0.7668064192543921,0.6972466370333138,0.3531785865940158,0.5130506999870417,0.6101226782217988,0.42722938162351876,0.29206617850652206,0.8407192286400872,2.5259924663302926,0.9412003189783156,0.7464227251780917,0.5990366485269908,0.3913883579227489,0.5984033596704365,0.46228081563156476,1.0179722569650764,0.8777910191249721,1.5937804940799891,0.8182045482456574,0.6980311938375536,0.5307392636139104,0.6706945623083979,0.5659529068907211,0.44594384831467515,1.1600909758694389,0.8685614311268783,1.4032547053512119,0.6819538142393934,1.3240627280853738,0.8253419856391204,0.8387674197519345,0.6450072705108709,0.4858437844123353,0.7057543171690355,0.596611382351597,,0.9075841217412026,1.7895340979606527,0.8692679411302984,1.028806031461018,1.4831135226123795,1.3916898288914763,0.9534991527037415,0.717977630589408,0.43662555146829113,0.8755955309121303,0.6775045008009036,0.47889620537949806,0.5366404627631668,1.1518253643913001,1.1270209306940997,0.48901500585585334,0.9642793423207395,0.7723445422974617
