depth,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-10-12,2016-11-09,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.898711391475097,24.470644281993856,11.809786147090698,N/A,6.714503987212345,18.7,0.6,0.735749058129024,10.021818138548142,9.333333333333332,18.266666666666666,11.73333333333333,N/A,0.06153846153846117,1.8076923076923075,N/A,9.470588235294118,22.693309090909093,2.9948383233532936,9.309862068965517,4.8409375,3.89488,11.082155038759689,7.472884057971015,4.874202531645569,18.28130434782609,2.701584415584417,10.939735849056605,38.61102631578947,21.53189189189189,7.671733333333333,36.80956666666667,38.224545454545456,9.977254237288136,6.343933333333333,138.0912,13.888482758620691,11.410781250000001,30.829379310344834,7.7138857142857145,33.99972727272727,27.922049382716054,11.215886363636365,81.90832098765433,31.357084745762712,115.69938028169014,104.90816216216216,122.88658823529411,84.97920000000002,33.445528301886796,265.9815238095238,20.746875,12.406212121212118
0.1,15.477,8.132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.96,1.95,0.48,0.06,N/A,2.25,6.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.8477394128221367,45.87398541258737,3.2814627530675966,N/A,6.893102524490324,4.36,4.87,N/A,N/A,36.0,12.933333333333334,5.066666666666667,N/A,N/A,1.423076923076923,N/A,7.7058823529411775,16.523733333333332,N/A,5.341724137931035,1.5214375000000002,2.1244799999999997,0.1029302325581395,10.03868115942029,4.313949367088607,8.018115942028986,11.323662337662336,12.609924528301885,33.95207894736843,12.560270270270268,8.4094,22.056233333333335,40.63872727272728,7.726745762711864,8.311044444444445,36.565569230769235,12.362275862068966,3.1120312500000002,13.53236781609196,3.920171428571428,265.7611818181818,90.04802380952381,14.233613636363636,61.144370370370375,15.978610169491526,145.6216338028169,101.31951351351351,94.89864705882353,201.23546666666664,121.5253142857143,280.73485714285715,10.788375,5.700151515151513
10.0,11.155,6.951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.807,N/A,7.94,2.86,7.51,2.04,N/A,2.98,3.26,7.630944666351806,56.64469901378927,2.969450921578946,N/A,5.107117151710527,22.6,5.46,N/A,N/A,26.0,12.933333333333334,1.7333333333333332,N/A,0.9846153846153846,1.6794871794871797,N/A,7.7058823529411775,31.008824242424243,0.6095688622754496,5.341724137931035,23.0981875,0.6491466666666663,8.6804496124031,10.68013043478261,2.633189873417721,6.093768115942031,10.17405194805195,3.42388679245283,26.963657894736844,7.7754054054054045,6.1964,5.827566666666666,24.54418181818182,11.477593220338983,11.261711111111113,82.02853333333334,11.599172413793106,1.0373437499999996,23.70708045977012,4.5524571428571425,70.11186363636364,57.90683333333334,10.209977272727274,73.71202469135802,17.478949152542373,153.10219718309855,75.60086486486486,72.11776470588235,147.53333333333336,57.03217142857143,201.347873015873,8.022125,9.053181818181816
20.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.86,1.29,3.55,0.96,9.29,3.82,6.55,21.909493526447655,61.75388367076966,23.14621602451165,N/A,4.03552592804265,33.9,N/A,N/A,8.4025990555275,33.333333333333336,38.266666666666666,1.7333333333333332,N/A,0.21538461538461515,6.807692307692308,N/A,7.11764705882353,47.78009356725146,12.00585628742515,24.8771724137931,22.2683125,14.51728,11.082155038759689,4.90708695652174,2.633189873417721,20.205652173913045,7.874831168831169,15.950301886792452,50.24445070422534,14.952702702702704,26.113400000000002,21.318566666666666,31.786727272727276,14.478271186440677,13.228822222222222,67.27520000000001,17.704,64.49314285714286,27.268229885057476,16.565885714285717,63.0705,63.702785714285724,14.736568181818182,55.680172839506184,10.352338983050847,146.86839436619715,43.23368115942029,118.98129411764705,155.7952,265.05417142857146,299.0008888888889,9.128625,6.370757575757574
30.0,20.123,14.033,5.112,N/A,N/A,2.45,N/A,19.95,34.23,N/A,16.13,12.42,20.78,N/A,0.96,7.17,14.68,27.6,16.54,9.71,11.89,2.16,39.727169881780945,60.92536723990798,20.754125316432,N/A,7.964693748158203,70.1,5.28,3.9551655779241144,10.291687985718248,50.0,69.60000000000001,7.733333333333333,3.50909090909091,4.984615384615385,30.910256410256412,6.545454545454543,29.470588235294123,53.21553216374269,17.30645508982036,45.023103448275855,72.76036994219655,16.582746666666665,8.337348837209303,0.7376666666666672,3.7536962025316463,146.35306666666668,11.898467532467533,76.78758730158731,86.40050704225352,32.89594594594595,34.9654,58.201899999999995,50.295454545454554,24.980644067796614,4.376822222222222,42.9322,21.51951724137931,92.70281318681317,93.75997701149426,38.0636,171.70868181818182,134.8349285714286,83.42169620253165,45.84461728395062,8.101830508474578,153.7255774647887,38.10208695652174,49.336882352941174,139.27146666666667,212.57445714285714,275.8170793650794,13.554625,69.96985294117647
40.0,18.797,13.8,0.902,N/A,3.29,N/A,3.31,29.2,36.38,2.55,30.49,16.6,33.31,6.5,12.64,7.74,28.74,30.71,10.21,31.57,14.42,4.96,29.475904033506996,59.95876473723601,27.618385609182305,17.9793856066545,22.0739781931186,88.4,89.3,48.46857770117112,65.49506450129232,45.99999999999999,83.60000000000001,33.06666666666666,2.781818181818182,6.676923076923076,26.935897435897438,108.36363636363636,15.941176470588237,47.262432748538004,55.19006097560975,86.53205084745763,76.34210404624277,76.15323529411764,13.140759689922481,5.227811594202899,12.717746835443037,106.51906666666667,43.7217027027027,123.15520634920634,105.72529577464789,120.12538028169013,65.04878787878788,90.33393442622952,154.31986666666668,113.60066666666667,15.687711111111112,83.50386666666667,13.888482758620691,90.75731868131868,163.45675862068964,56.943462686567166,187.30027272727276,198.59040476190475,178.10448101265823,184.63523456790125,21.97996610169492,253.46642253521128,31.687594202898552,57.79835294117648,192.38346666666666,124.05445714285715,273.70946031746035,35.684625000000004,100.5613235294118
50.0,N/A,N/A,N/A,N/A,27.45,4.36,4.66,24.35,40.7,2.13,28.69,16.3,35.85,6.884,11.91,11.85,29.09,11.2,7.35,27.86,88.16,5.94,N/A,N/A,N/A,33.055065519818584,N/A,86.7,97.6,97.20515976956432,91.48253126582112,42.0,113.6,39.06666666666666,2.418181818181819,9.292307692307691,33.47435897435898,135.63636363636363,35.352941176470594,38.78785454545455,82.71762195121951,130.04188135593222,104.99597687861272,90.99335294117647,56.72089230769231,10.35940579710145,7.67546835443038,45.29273333333333,12.473272727272729,30.146905660377353,119.439661971831,132.59298591549296,49.624848484848485,97.58967213114752,169.81086666666667,122.14207017543859,68.45142465753425,121.86253333333335,19.230206896551724,98.05292307692308,177.70135632183909,73.45838805970149,223.513,273.9377857142858,263.8232151898734,155.674987654321,40.3591186440678,233.51825352112675,137.206,57.79835294117648,270.2810666666667,81.05902857142858,362.9320000000001,46.96061016949153,135.05808823529415
60.0,19.127,24.187,8.418,16.28,30.4,6.56,13.16,26.32,40.99,2.46,40.23,28.39,30.33,8.807,18.08,7.53,22.34,60.25,5.31,19.86,61.53,10.21,36.55415902398187,60.92536723990798,29.178444766625553,33.60327206211546,41.63051802505738,83.3,125.0,106.11184519890107,113.77178160616698,90.66666666666666,140.93333333333334,50.4,1.6909090909090916,3.6,2.3205128205128203,67.45454545454544,27.117647058823533,49.850736842105256,80.5585975609756,155.92272881355936,92.71574566473988,99.32464705882353,109.15196923076924,15.170275362318842,63.43933333333334,49.71873333333333,16.496909090909092,125.26282539682539,164.32304225352112,243.55467605633805,93.21424242424241,97.58967213114752,181.61353333333332,140.77785964912283,113.92402739726026,147.68086666666667,21.51951724137931,93.67556043956044,196.01583908045978,97.23988059701493,179.25300000000001,304.498261904762,161.29688607594937,144.20017283950622,53.6502972972973,247.23261971830988,192.83005405405405,131.3480588235294,210.6776,302.3590285714286,395.95136507936513,65.71484745762712,170.85661764705887
80.0,N/A,N/A,N/A,N/A,26.21,31.78,13.76,32.38,N/A,3.99,24.85,35.85,21.97,8.423,14.23,18.89,26.77,40.23,9.79,12.14,23.34,16.06,N/A,N/A,39.474835205751006,34.97378841785765,46.63127706884081,87.0,105.0,99.9071879335204,112.7722636536851,102.0,156.26666666666665,82.4,4.418181818181819,10.676923076923076,1.935897435897436,42.90909090909091,33.588235294117645,138.11190643274855,112.67408536585364,186.67967796610174,104.48430057803469,130.82735294117646,137.0698153846154,25.433463768115942,89.4052,20.847101449275364,117.88710810810811,177.9533015873016,242.86895774647886,214.87918309859157,105.95575757575759,127.33819672131146,225.1358666666667,153.9782105263158,143.63279452054795,171.2862,23.045724137931035,110.69863736263737,207.7167586206897,115.076,239.6075454545455,261.29207142857143,187.62878481012655,146.9322716049383,9.988405405405409,221.67402816901406,223.9316756756757,145.66747058823532,227.79146666666665,159.46245714285712,316.56438095238093,103.97349152542373,206.65514705882356
