depth,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
10.0,7.630944666351806,56.64469901378927,2.969450921578946,,5.107117151710527,22.6,5.46,,,26.0,12.933333333333334,1.7333333333333332,,0.9846153846153846,1.6794871794871795,,7.7058823529411775,31.008824242424243,0.6095688622754496,5.341724137931035,23.0981875,0.6491466666666663,8.6804496124031,10.68013043478261,2.633189873417721,6.093768115942031,10.17405194805195,3.42388679245283,26.963657894736844,7.7754054054054045,6.1964,5.827566666666666,24.54418181818182,11.477593220338983,11.261711111111111,82.02853333333334,11.599172413793106,1.0373437499999996,23.70708045977012,4.552457142857143,70.11186363636364,57.90683333333334,10.209977272727274,73.71202469135802,17.478949152542373,153.10219718309855,75.60086486486486,72.11776470588235,147.53333333333336,57.03217142857143,201.347873015873,8.022125,9.053181818181816
20.0,21.90949352644765,61.75388367076966,23.14621602451165,,4.03552592804265,33.9,,,8.4025990555275,33.333333333333336,38.266666666666666,1.7333333333333332,,0.2153846153846151,6.807692307692308,,7.11764705882353,47.78009356725146,12.00585628742515,24.8771724137931,22.2683125,14.51728,11.082155038759687,4.90708695652174,2.633189873417721,20.205652173913045,7.874831168831169,15.950301886792452,50.24445070422534,14.952702702702704,26.1134,21.318566666666666,31.78672727272728,14.478271186440676,13.228822222222222,67.27520000000001,17.704,64.49314285714286,27.26822988505748,16.565885714285717,63.0705,63.70278571428573,14.736568181818182,55.68017283950618,10.352338983050847,146.86839436619715,43.23368115942029,118.98129411764704,155.7952,265.05417142857146,299.0008888888889,9.128625,6.370757575757574
30.0,39.72716988178095,60.92536723990798,20.754125316432,,7.964693748158203,70.1,5.28,3.9551655779241135,10.291687985718248,50.0,69.60000000000001,7.733333333333333,3.50909090909091,4.984615384615385,30.91025641025641,6.545454545454543,29.470588235294123,53.21553216374269,17.30645508982036,45.023103448275855,72.76036994219655,16.582746666666665,8.337348837209303,0.7376666666666672,3.7536962025316463,146.35306666666668,11.898467532467532,76.78758730158731,86.40050704225352,32.89594594594595,34.9654,58.2019,50.29545454545456,24.98064406779661,4.376822222222222,42.9322,21.51951724137931,92.70281318681316,93.75997701149426,38.0636,171.70868181818182,134.8349285714286,83.42169620253165,45.84461728395062,8.101830508474578,153.7255774647887,38.10208695652174,49.33688235294117,139.27146666666667,212.57445714285717,275.8170793650794,13.554625,69.96985294117647
40.0,29.475904033507,59.95876473723601,27.618385609182305,17.9793856066545,22.0739781931186,88.4,89.3,48.46857770117112,65.49506450129232,45.99999999999999,83.60000000000001,33.06666666666666,2.781818181818182,6.676923076923076,26.93589743589744,108.36363636363636,15.941176470588236,47.262432748538,55.19006097560975,86.53205084745763,76.34210404624277,76.15323529411764,13.14075968992248,5.227811594202899,12.717746835443036,106.51906666666667,43.7217027027027,123.15520634920634,105.72529577464788,120.12538028169013,65.04878787878788,90.33393442622952,154.31986666666668,113.60066666666668,15.687711111111112,83.50386666666667,13.888482758620691,90.75731868131868,163.45675862068964,56.943462686567166,187.3002727272728,198.59040476190475,178.10448101265823,184.63523456790125,21.97996610169492,253.46642253521128,31.687594202898552,57.79835294117648,192.38346666666664,124.05445714285716,273.70946031746035,35.684625000000004,100.5613235294118
50.0,,,,33.055065519818584,,86.7,97.6,97.20515976956432,91.48253126582112,42.0,113.6,39.06666666666666,2.418181818181819,9.292307692307691,33.47435897435898,135.63636363636363,35.352941176470594,38.78785454545455,82.71762195121951,130.04188135593222,104.99597687861272,90.99335294117648,56.72089230769231,10.35940579710145,7.67546835443038,45.29273333333333,12.473272727272729,30.146905660377357,119.439661971831,132.59298591549296,49.624848484848485,97.58967213114752,169.81086666666667,122.1420701754386,68.45142465753425,121.86253333333336,19.230206896551724,98.05292307692308,177.70135632183909,73.45838805970149,223.513,273.9377857142858,263.8232151898734,155.674987654321,40.3591186440678,233.51825352112675,137.206,57.79835294117648,270.2810666666667,81.05902857142858,362.9320000000001,46.96061016949153,135.05808823529415
60.0,36.55415902398187,60.92536723990798,29.178444766625557,33.60327206211546,41.63051802505738,83.3,125.0,106.11184519890108,113.77178160616698,90.66666666666666,140.93333333333334,50.4,1.6909090909090916,3.6,2.3205128205128203,67.45454545454544,27.117647058823533,49.850736842105256,80.5585975609756,155.92272881355936,92.71574566473988,99.32464705882352,109.15196923076924,15.170275362318842,63.43933333333334,49.71873333333333,16.496909090909092,125.2628253968254,164.32304225352112,243.55467605633805,93.2142424242424,97.58967213114752,181.6135333333333,140.77785964912283,113.92402739726026,147.68086666666667,21.51951724137931,93.67556043956044,196.01583908045976,97.23988059701492,179.253,304.498261904762,161.29688607594937,144.20017283950622,53.6502972972973,247.23261971830988,192.83005405405405,131.3480588235294,210.6776,302.3590285714286,395.95136507936513,65.71484745762712,170.85661764705887
80.0,,,39.474835205751006,34.97378841785765,46.63127706884081,87.0,105.0,99.9071879335204,112.7722636536851,102.0,156.26666666666665,82.4,4.418181818181819,10.676923076923076,1.935897435897436,42.90909090909091,33.588235294117645,138.11190643274855,112.67408536585364,186.6796779661017,104.48430057803468,130.82735294117646,137.0698153846154,25.433463768115946,89.4052,20.847101449275364,117.88710810810812,177.9533015873016,242.86895774647888,214.8791830985916,105.9557575757576,127.33819672131146,225.1358666666667,153.9782105263158,143.63279452054795,171.2862,23.045724137931035,110.69863736263736,207.7167586206897,115.076,239.6075454545455,261.29207142857143,187.62878481012652,146.9322716049383,9.988405405405407,221.6740281690141,223.9316756756757,145.66747058823532,227.79146666666665,159.46245714285712,316.56438095238093,103.97349152542373,206.6551470588236
100.0,,,35.93870111554631,37.53208561524306,43.23790486055919,4.87,105.0,111.115601058079,102.77708412886632,209.33333333333331,228.26666666666665,80.4,15.872727272727271,8.369230769230768,1.0384615384615383,70.18181818181817,63.58823529411765,,,,100.90256647398846,,,20.62259420289855,,46.76806666666667,20.52054545454545,,154.34895774647887,,150.88636363636363,111.3755737704918,177.9252,92.63540350877194,96.9475890410959,133.6652,19.993310344827588,,187.3673333333333,,145.0520909090909,,216.20169620253165,,62.62191891891893,,,146.3183529411765,266.1501333333333,,373.4700952380953,,230.0869117647059
