location,depth,MSE,MAPE,MAE,R2,EVS,hyper_param
temp,0-10m,0.9052,3.241,0.72,0.36,0.4,180
Chl-a,0-10m,0.3992,39.095,0.54,-0.21,0.06,98
pH,0-10m,0.0542,2.313,0.2,-1.47,0.0,194
DO,0-10m,0.016,31.708,0.11,-0.27,-0.17,162
secchi,0-10m,0.182,4.828,0.34,-0.98,-0.85,118
BDO,0-10m,281.4731,4.572,11.71,-0.92,-0.92,70
temp,10-30m,0.2859,1.986,0.45,0.73,0.81,176
Chl-a,10-30m,0.4108,28.858,0.54,-0.37,-0.33,112
pH,10-30m,0.1673,4.458,0.36,-3.75,-0.8,16
DO,10-30m,0.0038,13.612,0.05,0.61,0.62,78
secchi,10-30m,0.1408,4.732,0.31,-3.43,-1.44,172
BDO,10-30m,64.5815,2.072,4.87,-0.18,-0.08,164
temp,30m+,0.0104,0.472,0.1,-8.99,0.0,62
Chl-a,30m+,0.0067,9.845,0.06,0.25,0.26,118
pH,30m+,0.3145,6.857,0.44,-1.65,-0.26,160
DO,30m+,0.0053,nan,0.05,-0.2,-0.14,136
secchi,30m+,0.0604,16.27,0.21,-0.22,0.24,30
BDO,30m+,55.0126,1.332,3.58,0.54,0.63,66
