location,depth,RMSE,MAPE,MAE,R2,EVS,hyper_param
WG,0-10 m,0.65,43.19,0.59,-0.26,-0.02,7
WG,10-30 m,0.66,30.26,0.56,-0.45,-0.41,11
WG,30+ m,0.1,9.62,0.06,-0.46,-0.01,17
