,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
12.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.12,,,,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55174594415502,,,,,,,,,,,,,,,,,,,7.13436450377898,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,,,,,,,,,,,,,,,,,,7.92,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,5.89171478497149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8218766944492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.39747690984205,,
14.0,,,,,7.19,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00931608188955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14424452662142,,,,,,,,,,,,,,
15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26,8.43,,,,,7.85,,,,,,,,,,,,,,,,,,,,,7.09684706239317,7.08791056504378,6.66412958625845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,,,7.09,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.46,,,,,,,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99372477438277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,,,7.29,,,,,,,,,,,7.2,,,,,,,,,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12096997944144,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,,,,,,,,,,,,,,,,7.47,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,6.07968735139088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36790081432703,,,,,,,,,,,,,,,,,,,,,6.50317342198221,
19.0,,,,,,,,7.35,8.1,,8.49,,,,,,,,,,,,8.2,,,,,,8.11,,,,,,,,,,,,,7.45,,,,,6.07,,,,,,,,,,,,,,,,,,,,,,6.86448201689803,,,,,,,,,,,,,,,,,,,,,6.06329284807233,,,,,,,,,,7.02694969870048,,,,,,,6.36332114795177,,5.88130239778105,,,,,,,,,,
20.0,,,,,,,,,,,8.47,,,,,,,,,,,,,,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98787310578258,,,,,,,,,5.64,,,6.40132219959733,,,,,,,,,,,,,,,,,,,,6.57046744120558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,,,,,,,,,,,,,,,,,7.14,,,,,,,,,,,,,,,,,,,7.41,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76526312840253,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03125421367091,,,,,,,
22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54302328111455,,,,,,,,,,,,,,,,4.84921468563224,6.46954264123199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,,,,,,,,,,,,,,7.46,,,,,,,,,,,,,,,,,7.69,,,,,,,,,,,,,,,,,,,,,4.94502675812824,,,,,,,,,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,7.0,,,,,,,,,,,,,,,,,,,,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11126411940621,,,6.29106628213471,,,,,4.80293957571699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
