depth_group,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-04-05,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-11-14,2023-12-05
Surface,0.3781271914304668,0.31529508957944175,0.6956095410698238,0.42464195089962425,0.26924736858107784,0.3005707445364406,0.22392986502159226,0.34289594837767434,0.5188986045555443,2.505238228054205,0.6977506540723187,0.4793204110752905,0.6560292676582351,0.5648289074457578,0.7163918687406889,0.5307432651407913,0.29663638129975883,0.26288646482470407,0.32302477357180026,0.2744815480203097,0.35405802540802017,0.3706717717286999,0.6053940773376356,0.468290434581894,0.5291598776546215,0.36998271125764964,0.21904425894221446,0.4745799926274481,0.4244496413947776,0.5290833287839944,0.4299020257844688,0.4157910943293123,0.35712182588973157,0.2957422161128259,0.47463681531422763,0.5391412386171267,0.45423932533629974,0.6832128925546974,0.5844879925863383,0.6020378846249589,0.46086336045882453,0.40387520187213527,0.4703910065736535,0.4763181381545507,0.37598233243809065,0.2882663469659059,0.2236366917130508,0.39728344127360116,0.4665861109002678,0.4080508576087208,0.4443707128930303,0.3841916792318081,0.6760429917502541,0.3906440998240601,0.36113814898727037,0.35093681040665126,0.37653613408963515,0.38501271218181815,0.185554963696098,0.37651955398725057,0.2774867928690595,0.55221784476679,0.43339469179161905,0.47455937167772094,0.5686584656626713,0.4111549446640405
Mid-Depth,0.3841335691237765,0.28131328904600916,0.6397437157116653,0.44205308615045025,0.2489420523483497,0.4288852523364845,0.2331514877392523,0.2613085759353183,0.48972110394447166,1.1625375887469467,0.6374816080493184,0.3628055763677365,0.6292637920924816,0.22463856750733152,0.4092303716325655,0.43499377906512204,0.3760797228488251,0.41322615049200034,0.3352214924325434,0.3372183648086732,0.4251025388801815,0.3839684085666832,0.6823855310357428,0.4650371979109312,0.6049117462027052,0.38920616013486653,0.2524951861410655,0.4849681903547992,0.461597043957772,0.47368538974316776,0.46754452191473594,0.43575223257879625,0.352812239386722,0.3137162591748171,0.4604478228351626,0.503028793691729,0.37697491020991813,0.7248482074420333,0.6617445337195982,0.6743040745081073,0.4951305342711424,0.509880048517834,0.41731314648814466,0.4619581235454687,0.38336336358515044,0.3100724236087215,0.23331117079736372,0.3957366956640471,0.4648112199971089,0.4382456439535618,0.474413106966459,0.5884445397998268,0.6714617192817899,0.3975323035137406,0.41515184204082695,0.39563316179872576,0.3690686603526805,0.4103996622,0.2292197424929885,0.49209039943867816,0.3500295895806324,0.5518010591048823,0.479194034454227,0.553512950819877,0.5161064324334836,0.3876811143698174
Lower Photic,0.3975730825762092,0.29238622155979793,0.41852670843093537,0.3823635816507444,0.20535759057398942,0.22734602847184382,0.2354992402970225,0.2504202440397857,0.335585644826542,0.1924383260467841,0.5211624591081658,0.3482816131137966,0.6788583555613126,0.2725640159094989,0.2714015905564448,0.2419711746831199,0.22120750799708988,0.1892537983034262,0.3091049932656419,0.2949611025545087,0.44112833147137565,0.3836985277507641,0.523708676078799,0.4481325159914055,0.33248209076840957,0.3101050229549624,0.23838537635300935,0.519984647668403,0.38226551638233064,0.4712452526440664,0.5495431830458115,0.3959335961370685,0.34234953993064543,0.3191634619881298,0.322619826615436,0.3901088731016133,0.26470015755755594,0.2529898522657832,0.2991078651166512,0.6271983207704876,0.3945898824355317,0.5028609963087516,0.49059021617082516,0.45057004774197074,0.3774558938378778,0.3018205575303559,0.2386020796543194,0.280669270519717,0.3813886749323475,0.4202660143365032,0.3891941020012355,0.789429472062567,0.8137402695899647,0.43189656717332453,0.4118590315729003,0.3338343999774608,0.2961225329745809,0.3055553697,0.2409690577042248,0.3146913622106888,0.2936765674321191,0.48591484271644286,0.7480387061466349,0.5454467742164888,0.4767549626685056,0.3883172601845322
Deep,0.14001182221207295,0.2722212394499548,0.2294199973443254,0.17748402085554235,0.1351571401495585,0.42715497960113474,0.1608763276189153,0.13965426227155525,0.08884333441364821,0.08481087578936115,0.11296960108827728,0.08678962176156951,0.12292632742901022,0.15716628076505723,0.1345140535389418,0.15418742461398388,0.08987507031449218,0.39117322609039845,0.30306330457432407,0.1529121005449987,0.15273937923967107,0.16984358539874828,0.15298134417973397,0.2421594102388504,0.10929158861201434,0.08125474673135678,0.03974596562759531,0.11103358342925847,0.12806853428554263,0.1411004709482879,0.2061556491611038,0.14597914768682635,0.11761160580669172,0.08509555634410879,0.09192039091218754,0.1219988872144994,0.06528844019809861,0.09421571836571649,0.14543723803841055,0.24924617778594046,0.08567772955731795,0.09653755505893255,0.137955371793886,0.11323956765546149,0.09007131715025016,0.0762411723174503,0.07967977333447424,0.09050171067767562,0.3830476764800264,0.2476637768801019,0.1656425811040799,0.16560250790741185,0.25598868608770015,0.22149503828670647,0.16144707693453778,0.12839224310937322,0.1786429701667149,0.18060018822137405,0.08577297191625587,0.0773527277531283,0.08555431122119395,0.15407139185041835,0.1418221352788938,0.121730504332129,0.15729583449700113,0.12089284446035913
