depth,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-04-05,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-11-14,2023-12-05,depth_group
0.0,0.387871020181189,0.395094320485024,0.599175282567716,0.416664656571144,0.267849645180667,0.289351925809764,0.221338502610948,0.718226030780114,0.379224122044121,5.3409762681013,0.530542674814848,0.660833524379177,1.02046329850471,0.614943171401207,0.551301065023712,0.375457012074853,0.295169739489699,0.281287585148469,0.340768048713566,0.213541233729792,0.18909421139331,0.347137951944741,0.631533874955737,0.484056433830101,0.547964097165951,0.38688733336121,0.22,0.562752822680395,0.435847950445014,0.604319826145298,0.399798986736874,0.400016953321205,0.331887045899366,0.279712421333694,0.528765922841277,0.493317275739218,0.452486934062581,0.677371314741462,0.65645676201872,0.613307941916358,0.426906231627227,0.191030184362331,0.776361381676149,0.567011450275082,0.320715848319902,0.258340441363013,0.209105334453715,0.379067544457457,0.772386690197803,0.358386573946381,0.453216542244237,0.171923647951366,0.832739650459917,0.297313129163703,0.231690364597029,0.321801952575131,0.320747133398177,0.332074704,0.160814506870837,0.585905619228457,0.316366295176293,0.453684841158297,0.40584665991154,0.386989738113658,0.93533867905527,0.478917558074664,Surface
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface
1.0,0.384335951703148,0.365060610787275,0.634839125419439,0.420782557820311,0.268975711468817,0.291487470603754,0.222028363992759,0.561812141284948,0.38616061734902,4.16654765162231,0.639163681655731,0.59150713481347,0.875470914471393,0.643919618546155,0.586472742061984,0.402692966772892,0.295889690946128,0.274724401413989,0.334063801719127,0.228492912354081,0.269384147109184,0.365605017596403,0.609526786119709,0.479293139733485,0.537959907493286,0.383302661846207,0.22,0.5516373531231,0.437727937088849,0.56970596389344,0.401410189390699,0.400730393582865,0.341788777702987,0.284194096486888,0.496811510200101,0.518138157793696,0.457311703199992,0.681905718942101,0.633055664717453,0.598654854097903,0.444778404336437,0.285411742515374,0.640077428977667,0.523125870699799,0.340531135027435,0.272837723192693,0.214917188684448,0.391598675500362,0.64256623843439,0.381505804307816,0.439819371956323,0.248946152415857,0.750632454209945,0.323682497756155,0.290855761745941,0.329040883044803,0.343296545504821,0.346283962,0.169608553933805,0.492118141265235,0.297534704610456,0.492009168099534,0.408714504242868,0.416379271665789,0.753140715098064,0.445986377283487,Surface
2.0,0.381800405681547,0.340731023345997,0.664546670737944,0.423696051648836,0.269766804985157,0.294417399254512,0.223131902063741,0.437752462705266,0.405730123097912,3.23148554018773,0.719686140695977,0.535769589964981,0.753889365240903,0.660391886270027,0.625233805175466,0.43450755764696,0.297033798994053,0.268791822963329,0.327826480409257,0.242529668618082,0.330137722047048,0.380192544162539,0.593974505763965,0.47497510511781,0.529096032410535,0.379203131575224,0.22,0.536848705065577,0.438263949456714,0.543285820760135,0.405513048179586,0.401932669700226,0.350634814271428,0.288662328757275,0.473436047435607,0.536692449267607,0.460265802354204,0.683780453291866,0.612768854269711,0.590615133821946,0.458302135745534,0.359189299335347,0.534346942521061,0.490350028998389,0.35712952478255,0.283762035775643,0.219832296745352,0.400275396685252,0.539824514308975,0.398767598341681,0.429819329306921,0.311104686801277,0.68963673796942,0.348822176617413,0.336632831105115,0.334533032015234,0.362238974687528,0.35930013,0.176734478805829,0.420194930988543,0.282484021750807,0.523658220527251,0.413334259366086,0.442021977134118,0.616627582479336,0.421882570953702,Surface
3.0,0.380038900673645,0.321810019847847,0.688508509104892,0.425410774516787,0.270157888787461,0.298067575992079,0.224333370973249,0.344002991100987,0.438158266569927,2.52683298287021,0.772029995668888,0.49363008583076,0.656318693086058,0.663935601951875,0.668537367245096,0.470174910197262,0.298433880547473,0.263637045340145,0.322197688475437,0.255639357109072,0.372717518456147,0.390212594936788,0.584716819383989,0.471237633138559,0.521610252821762,0.374663556577557,0.22,0.51859949228843,0.437439636498467,0.524293509695768,0.412019507505115,0.403570169547522,0.358153352621298,0.293028378681164,0.45806753568303,0.549144290977366,0.461160405196097,0.682917017150311,0.595605054417426,0.588473075606782,0.467522923867178,0.413608516076081,0.457656792160713,0.467503910473096,0.370653573340601,0.291320372821978,0.223725439820643,0.405405954043974,0.462735639517965,0.410767832365008,0.423449344348438,0.359301917348861,0.647908034867712,0.372958154397883,0.369845217605105,0.338510471833025,0.37740615589349,0.371101929,0.182312634467702,0.369043420136178,0.27124533993042,0.548844925858191,0.419443187151381,0.463830552003252,0.521354717365228,0.405301300908596,Surface
4.0,0.378584235297357,0.307049324388169,0.707323939396771,0.42656166856992,0.270293157497364,0.301667121621537,0.225341939113071,0.273631292488198,0.472735872754483,2.00145077207889,0.802271233760212,0.461037748755218,0.581646349323712,0.655021408735102,0.70820042474118,0.504409902927387,0.299475890687591,0.25993110954345,0.31794405010923,0.267831884697787,0.402118435231534,0.396300593272895,0.580197944394577,0.468221483935592,0.516787100609036,0.370616019577018,0.22,0.4994527872651,0.435430806887766,0.510520742392296,0.419243257718097,0.406195470445167,0.363828014556145,0.296747310345568,0.448701774859985,0.557271193273987,0.460890640003205,0.682193963921282,0.581298160991823,0.588809675576219,0.47363889613143,0.453359679038076,0.402557906946605,0.451978790219079,0.381405843745985,0.296567020670435,0.226713032510615,0.408274467261222,0.406059142810765,0.419061579029578,0.421273906783432,0.398496833571497,0.620358059107023,0.393444196555415,0.39384885185334,0.342699667056778,0.388849897300765,0.381668081,0.186830557552604,0.332401665494519,0.263594210008502,0.568163052739811,0.425877633505804,0.481647050113319,0.45709580338119,0.394041524954352,Surface
5.0,0.37819639271511,0.2991334635711,0.71898693123067,0.42668490334511,0.270243028156752,0.306489703202157,0.22734297758542,0.240769810142641,0.516001767533283,1.74478741207319,0.801499846092535,0.442847961563748,0.530315754753077,0.633692262233059,0.754296772599447,0.541708403344409,0.301086945345061,0.256437377874983,0.314390042417651,0.279101618537767,0.409656128698908,0.389388511575221,0.582508448025326,0.465897855640919,0.51270237015748,0.365871291793285,0.219984293482224,0.476839560863026,0.432082723450069,0.505594630923795,0.428851768433323,0.409123876422512,0.368421591776862,0.300527318262021,0.449315563522483,0.559269047859384,0.459003901824136,0.678114946671963,0.568974480942856,0.596226520847548,0.475083869017346,0.470730661661961,0.384319169465909,0.450099490899613,0.388049768979177,0.297214031600346,0.229031093737738,0.407389215602555,0.38329585926716,0.419803899386435,0.424185920561539,0.421419293779301,0.617856434460147,0.411082807736586,0.403956760874165,0.344362144631155,0.396822126687049,0.391027666,0.189334300812328,0.320576374472868,0.259899366625106,0.579529654517595,0.434731646534683,0.495852447355704,0.448764407841596,0.394647907158595,Surface
6.0,0.377639786993778,0.29694592908328,0.724287632714169,0.425997072354987,0.269993782769217,0.311861248618063,0.229321015654667,0.234683039771821,0.563060049430537,1.72600146625166,0.774672441087042,0.43763685543937,0.502156181104377,0.59984474967226,0.800617505797799,0.578989107202944,0.30266721541732,0.254041381521122,0.311894360495022,0.289446153153239,0.406940261711457,0.377986578957738,0.589609796385177,0.464045963518997,0.510638432140106,0.361522511433565,0.219754174318493,0.452857486921815,0.427533872437945,0.506146832387855,0.439841953007211,0.413040210879913,0.371649021300187,0.303776124838412,0.457109050458157,0.556466616074605,0.455859757266869,0.67389646239336,0.559574989934006,0.608222624724635,0.472863137524869,0.470352215687207,0.391427005026264,0.458011949791373,0.391347062956372,0.29460751743264,0.230530513590499,0.403369041070336,0.38336208554503,0.417130564714563,0.431258937598196,0.433474101969858,0.633412609420342,0.425492795661165,0.402809286976431,0.345480146364017,0.401220212677541,0.399217387,0.191227330094425,0.326886968147151,0.259762040163187,0.585109702997847,0.444526827878901,0.506294348241223,0.473684301895504,0.40151569094416,Surface
7.0,0.377262642997558,0.292503509761169,0.728922938958454,0.425451438052814,0.269588593709621,0.313423020907791,0.228043168192142,0.23126626241213,0.604329126951699,1.68359342080177,0.737576783493004,0.427733609849712,0.506033699136842,0.544572296760822,0.82277798892015,0.610946055104977,0.301546597310903,0.252978568987938,0.31373808212273,0.298871093241509,0.391609688636318,0.362895893931487,0.600855910201476,0.462532099597261,0.514789077612041,0.358580990571829,0.221497968705364,0.42897515545144,0.419799999061273,0.510114182815271,0.449207477423621,0.420771829150108,0.370654876256594,0.304123334377696,0.463751213399509,0.549960092053142,0.451561767969409,0.67394155226366,0.553513051858121,0.614798141385254,0.470434480809215,0.466293339280562,0.391819302109489,0.459162203246896,0.394715666902603,0.293474762569622,0.230122666090215,0.39872758377269,0.380236107235878,0.418493334247072,0.442447484287156,0.446065544392834,0.644751440584771,0.433865074898481,0.394562032327334,0.352624577506545,0.399848943885709,0.406215786,0.192692693783981,0.326312156584124,0.264580525413033,0.587224255271745,0.451143792861468,0.51242746864026,0.486490588285551,0.401531714554873,Surface
8.0,0.375513858736836,0.287098134919931,0.732384116559336,0.423672094802208,0.26876693230385,0.312046472727337,0.223961597229413,0.24261884497317,0.652437666620914,1.70189398712345,0.671720010954978,0.419188311604765,0.545284503336312,0.465338457339818,0.835604889184468,0.647188571055167,0.297770881535049,0.250757297493928,0.320449764287674,0.307364970019506,0.370919854393843,0.355556580407492,0.61869777387625,0.461223521784631,0.523484329380233,0.355857853268177,0.222444755290135,0.403045976638246,0.408521557171101,0.519352842183434,0.459460571914152,0.431476195668657,0.364955476763053,0.30191913074847,0.472291079394874,0.537798819618746,0.445095841433649,0.674575321114609,0.550616187357955,0.621540163236357,0.465705086271477,0.449588937726169,0.397219402890579,0.457310320994425,0.397532612613857,0.292193836610095,0.227214002288748,0.390775302733748,0.382865064374491,0.420676018861094,0.459809166963095,0.451603168384968,0.661045559927318,0.439211905295835,0.370772055707812,0.363459130323579,0.391647569316121,0.411999029,0.194008969477005,0.327228049836931,0.275221286328516,0.585197005594864,0.456143874758114,0.514455939786302,0.505442221559489,0.398773919764256,Surface
