depth_group,2018-01-11,2018-02-07,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-10-10,2018-11-14,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
Surface,11.055754074195773,29.392754982066055,17.085797427075775,19.296579377896943,15.957078143551817,13.265180332324839,14.157562446476588,14.232266920381333,8.771224902559187,4.816757925946181,5.776666666666666,23.7,6.633333333333333,15.0,2.5,4.916666666666667,10.233333333333334,9.3,9.166666666666666,2.3843870967741942,14.368781249999998,8.310290322580645,10.181566666666665,14.529566666666668,12.645433333333331,6.034603225806452,11.377266666666666,13.306379310344829,21.740000000000006,2.5198636363636364,8.987160714285714,25.109700000000004,13.406333333333334,17.863033333333334,35.9797,28.03710344827586,13.225166666666667,29.945096774193555,13.044000000000002,35.7623,19.63612903225807,90.18703125,23.142580645161292,15.435400000000001,40.380037037037035,43.60994022988506,9.558103448275864,17.392,16.04923529411765,22.9357,27.175,49.186749999999996,13.306379310344829,10.180434374999999,35.90723333333333,17.392,25.92330303030303,12.342709677419355,11.14175
Mid-Depth,1.0157308908695115,29.46716971022905,18.099988297797648,21.845813333093403,20.41896680808585,114.42363771990382,14.90614164316128,15.801697027736274,17.75468212593441,30.29914490039697,11.73,28.700000000000003,5.3,11.5,0.5,3.875,7.9,5.8,7.0,11.15051612903226,7.7448749999999995,4.628516129032258,13.261400000000002,16.5224,22.6096,4.281377419354839,7.3916,13.493793103448276,9.899464285714288,4.002136363636364,20.439482142857145,26.7402,17.392,14.7832,27.827200000000005,15.29296551724138,10.870000000000001,28.19187096774194,12.518032258064519,21.0878,24.720483870967744,58.290375,25.246451612903225,13.88254285714286,32.12688888888889,54.11011034482759,39.35689655172415,21.702517241379308,29.15717647058824,25.6532,40.48137931034483,24.923357142857142,12.369310344827587,11.199496875000001,35.001400000000004,26.285636363636367,32.01709090909091,8.83625806451613,8.618357142857143
Lower Photic,1.928460271171899,29.24392552574006,26.291529945935824,33.99216335491185,26.090859178256235,41.68221263662184,26.134829593431668,23.35272867633081,25.995704868038956,45.77334363714805,7.27,31.7,17.3,32.0,2.5,3.875,7.9,27.3,7.5,4.838903225806452,22.52128125,3.0506129032258062,12.7179,17.0659,19.8921,5.333312903225806,8.4786,10.682586206896552,9.31714285714286,,10.540017857142857,28.370700000000003,11.957,14.239700000000004,29.4577,18.66641379310345,10.3265,134.54254838709682,11.992064516129034,18.3703,26.2983870967742,56.69123076923076,16.830967741935485,23.199685714285717,42.393,40.00160000000001,11.807068965517242,24.513724137931035,43.5439411764706,34.8927,28.67431034482759,28.999607142857148,18.55396551724138,10.180434375,45.3279,52.966545454545454,27.57027272727273,22.51141935483871,9.200678571428572
Deep,34.55853561698224,33.039076662052956,34.35304712346864,39.54049608092768,37.23297663432428,51.87527857185879,36.165790829006546,37.88229545637152,39.8544818517583,48.25614418073125,41.31444444444444,101.92222222222222,100.63333333333333,109.55555555555556,101.94444444444444,35.09027777777777,114.34444444444446,110.74444444444444,95.25,85.73931653225806,95.686571875,70.43776436491935,91.4846375,103.6437515625,106.44447500000001,102.5172491935484,106.54440887096776,106.2237952586207,109.18526785714286,150.96014444444444,108.09492118226603,119.97893991935484,106.0570120967742,111.39295483870968,111.30485524193548,105.05573879310346,108.20033064516129,116.34406451612904,113.24085483870968,118.44223749999999,124.58860887096776,188.69901923076924,98.10777671370968,25.296042857142858,153.56894444444447,121.01214913793106,113.18934627363738,136.69844935344827,113.3174295540797,126.010475,135.68290086206898,144.15366964285715,98.34632500000001,120.014990625,127.586625,147.12395008116886,111.47231321022727,116.84373387096775,118.618875
