,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,20.654741818796886,20.948728602559736,20.754674013902616,20.94130878536389,20.92910966421949,20.96016837074225,21.231102632094167,21.22412062092228,21.401960662327422,20.775458590872216,20.390099098755165,20.346254941872242,20.34041464057534,20.687730124514,20.5871921486204,20.553916666666673,20.688275087764485,20.819477764658853,20.977994204971093,21.01324290557008,21.742576420763356,21.223290942791916,21.13638095819075,20.718415872887757,20.655870576258604,20.726845935199602,20.681335120062247,20.796746737412327,20.7527289552278,20.905914569676128,20.778692167794766,20.95828571428571,21.294440244928698,21.18387846102356,20.388693199160365,20.403326412896615,20.599374218317617,20.644413416383568,20.647417012463176,20.621789970778,20.698672586231275,20.843421197438893,20.91563908949147,21.022885102666827,20.812331300128182,20.4578569548137,20.2744035029273,20.259879846587864,20.27746029120098,20.33686763717663,20.518138498145667,20.434798307361806,20.44098931849626,20.729418768714698,20.737803510348588,21.065482722163555,20.500762029333902,20.53958251974206,20.61510046622468,20.664888635643013,20.72234373198072,20.713771350657332,20.859912739691236,20.80504692233455,20.72848560219413,20.748335414942666,20.728732436714036,20.886945593895625,20.89976544667231,20.881837090495516,21.10667370107319,21.285664401979425,20.99439786499239,20.79704285536094,20.78092713705899,20.84672790327278,20.890090376972378,20.85978548857764,20.918931071599467,20.981679616826618,20.946803106671513,20.973752951736085,21.12727742451309,21.19251799681162,20.88040554693846,20.779946627064664,20.543435439136008,20.71477529282488,20.745354788704113,20.764003472066786,20.8059395854574,20.9254323514564,21.02368717232498,21.16489452654879,21.110719023320033,21.162390655318067,20.78594093219512,20.58517005441922,20.570243437611385,20.620986561944033,20.646916901922243,20.7761152493531,20.764423883413237,20.729641701616153,20.781963686592615,21.10202943763247,21.344200100156304,21.423331196935315,0.1182886210569962,0.2877371645582478,0.42128734624204917,0.49745316010465546,0.5096798405053549,0.6031390911629548,0.6846012225657682,0.7540572302322437,0.7180985127781575,0.2840850112254064,0.0003788293638663659,0.025141127227838535,0.018013134667298956,0.33523723305583536,0.2506700609495489,0.20619599180642928,0.35045788490080065,0.40834518813891635,0.5371700995073753,0.6184017751054238,0.5840388124387275,0.6916213915244355,0.4486618525963028,0.1707401973410038,0.10902142700702461,0.16490166856397534,0.1611938672125489,0.24681852190660505,0.2037980208647768,0.5119486731651016,0.2436257797816901,0.591947436176361,0.7866951191055692,0.4742869446326625,0.004217119034657182,0.027078077782809764,0.2184438557382007,0.23653171718104682,0.26171690153328614,0.1723413798666078,0.24521416432565596,0.44980427962812125,0.535721451540603,0.6191984761864954,0.2754696646519889,0.029785216832773232,0.04270430377205076,0.040030570024520346,0.03951022000991557,0.09119220935710662,0.22285816779717055,0.15825344254236284,0.1503813516381899,0.47021079637455016,0.4454368272153613,0.5071998521264383,0.062047071771781453,0.07328760924808028,0.1544162958827152,0.2122357063542017,0.2118782763195921,0.23771361168259084,0.4948786385959746,0.3065138854801471,0.14025651428065958,0.19251423831955844,0.15129609604954394,0.23656371995309286,0.2628996570696674,0.23799300637888599,0.529656124239448,0.5812777316161833,0.2853880553841572,0.17019973309011044,0.13756588361641292,0.1853414208070582,0.20786709386246788,0.20649474229170522,0.21757069265420703,0.22966118279609313,0.22867764619269804,0.2752037137549297,0.49191944579582986,0.43763731270505624,0.18364511323432864,0.13648576877407623,0.05487803619451216,0.11548490006082862,0.155754677114795,0.14367540387680663,0.20179066986765049,0.33476450952021464,0.4662107285808935,0.6107093935923177,0.5784710289051297,0.480703805883854,0.130384708621413,0.03991855511601095,0.058312132096507895,0.10539503706875568,0.11079284962640497,0.2120549220869211,0.20714691021441647,0.18851387468487174,0.29334621726523397,0.6809700735244159,0.8419189224704691,0.7914673871214524,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Lower Photic,20.689999999999998,21.81,21.929,22.773,22.741000000000003,22.73,22.743000000000002,22.985999999999997,22.222,21.086999999999996,20.389999999999997,20.4,20.353,21.469,21.568,21.673000000000002,22.503000000000004,22.789,23.198,23.104999999999997,23.21,21.966,21.476,20.820999999999998,20.796,21.546,21.648999999999994,22.617,22.458,23.106,23.308,23.077,22.651,21.619,20.418,20.469,21.22,21.892,21.989000000000004,21.810000000000002,22.6,22.769000000000002,23.055,22.687,21.845803553934758,20.49064673247582,20.26118102471612,20.26470012397845,20.33599933454878,20.99445776402309,21.395623554722754,21.203275372066237,21.714162289266547,22.34167426723897,22.452194556408198,21.578203918923357,20.54902347742882,20.687076557846872,21.0738058604502,21.229585437927206,21.6800854413152,22.023235262389687,23.06374173329913,22.53917355470445,20.81433896576933,20.944620923199572,20.822253224908913,22.56977655943377,22.834206507983037,22.769588931761664,22.65056717023602,21.91287088221318,21.15084930018704,20.99571058575264,20.896399222545018,21.10291966029589,21.2605374544831,21.207483101151944,21.89356292378778,22.40181326369511,22.919909341518867,22.98816038231881,23.084507197857892,21.679872396043823,20.992683126321243,20.857486361980268,20.58776414209976,21.17621993498846,21.535123413136738,22.00210612903427,22.303837463235972,22.55481289548877,22.83352035584758,22.78087220723973,22.79701999496312,21.683001078961357,20.90515890006721,20.643359126695184,20.680333419087617,21.42494342729471,21.6452702340898,22.15603587500967,22.282960072099968,22.801933864354687,23.09031226048301,23.739698377482682,22.53359062714218,22.347142725041618,0.03162277660168312,0.19119507199599972,0.10577229210798926,0.275763586348081,0.24551306821973157,0.045704364002673255,0.26042913303494497,0.1072069649478677,0.006324555320336998,0.004830458915397235,3.744889033148481e-15,0.009428090415820852,0.004830458915395519,0.14858218825507544,0.3086097859757533,0.5577544262486848,0.23490187076498353,0.5344872932696029,0.35714298412696177,0.3403674485023499,0.17919573407620784,0.011737877907772826,0.005163977794944029,0.00316227766016775,0.057965506984758164,0.24432219165137947,0.5161061475661337,0.8397493012136948,0.7153833471177067,0.1354990774876352,0.4423623451927669,0.2845288503239457,0.007378647873726196,0.012866839377078346,0.02097617696340356,0.009944289260117619,0.09079892314584112,0.4257490131782131,0.5140136184966311,0.6497520894754998,0.6428409169028095,0.44613027494468743,0.1861451046898629,0.022632326929024463,0.23864753464022712,0.008084801112435737,0.0012041273220090509,0.013325271442628807,0.006695224867531904,0.2383876778861405,0.17554416246801188,0.26966415274786537,0.5159348786093274,0.29116983967771404,0.5175942441962259,0.0037149952099551054,0.003158771716018355,0.05152381545680113,0.10336965502198495,0.27227261928149443,0.5169985257757024,0.8954665320895727,0.2724052056389945,0.5939443073358005,0.005043351365324588,0.03691844685701107,0.008685629850488458,0.8906313992048007,0.6108402930290583,0.7672341644233648,0.05239985395878356,0.00020616693027607398,0.0006248650365212,0.025378471339121293,0.024495783967243567,0.024825937414295618,0.11731500272720786,0.09944794176912823,0.49072951336001214,0.6248885710717632,0.720517617925819,0.599811516239128,0.08803106846547283,0.006588263652424,0.008031870138726116,0.011982621799523951,0.008323948329512035,0.14351012868023963,0.443741729433686,0.7520810188322035,0.3812047743318337,0.4493045104077196,0.2937314436309986,0.035364157956121106,0.0891066628678687,0.00026086248214854765,0.04867076649725282,0.005267065950553771,0.05566199804377175,0.41795751507092815,0.45077596389941504,0.6173432703346925,0.6051106986878708,0.6482731040409283,0.6748601652073314,0.3121300373730581,0.006546930914862336,0.001286238159983824,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,20.8,22.429999999999996,22.116999999999997,23.344999999999995,23.028,23.266,23.276999999999997,23.27,22.273000000000003,21.095,20.389999999999997,20.500999999999998,20.555,22.023000000000003,22.761000000000003,23.934,22.752,23.609,23.721,23.736,23.4,21.993000000000002,21.505000000000003,20.887999999999998,20.972,22.404000000000003,23.618000000000002,24.1,23.558,23.752000000000002,23.662999999999997,23.354,22.745,21.744999999999997,20.645999999999997,20.559,21.447000000000003,22.798999999999996,23.405,22.953,23.366999999999997,23.613,23.303,22.791,22.40151184741037,20.52941226112913,20.271800210341247,20.31940467713211,20.393848490652623,21.532780269068788,22.20411440706433,22.8438612548663,22.229187674212938,22.980651997906797,23.58357554479121,21.58402923405941,20.579331532539435,20.82476866584151,21.272525546582262,22.536475405962854,23.403313479058816,23.49745459563775,23.47751743106405,23.689695348270895,20.849833124084537,21.041045762988333,20.87852478096162,23.756798392878483,23.62217056580693,23.62650320159469,22.75522009730316,21.918888498836747,21.154827516148607,21.129258068158233,21.032393701803358,21.22585403709931,22.080596005656453,23.06818011349025,23.47561484435896,23.3404318627202,23.63825107301483,23.86054057801061,23.17764060232907,21.694556667361322,21.02690107710983,20.98715994413434,20.71658244161616,21.80621265504957,22.959607198251987,22.952342831513867,22.939957395156007,22.9151277301989,23.50007190587342,22.900216852994326,22.962258363985747,21.68716272552024,21.034223086434366,20.658290771033258,21.258327196312912,22.066653928154082,22.888661486395723,24.16289809428636,23.84672189656795,23.975753836484902,24.09660062594,24.17395234921002,22.549414888026696,22.35279087187015,0.12472191289246491,0.24060109910158103,0.07689097620801917,0.21996211795064483,0.028596814119369453,0.2867519253059456,0.09944847912361414,0.10811516493484544,0.02668749186833127,0.007071067811865743,3.744889033148481e-15,0.04653553003411035,0.1577797339471849,0.21576993920995238,0.5979492732108082,0.1016748630575814,0.04467164151400232,0.23853487981611607,0.121605007206849,0.19368932741778905,3.744889033148481e-15,0.006749485577106585,0.01649915822768701,0.050288059108390175,0.10411532067856287,0.32602658378318405,0.33312660256024845,0.0612825877028341,0.06494442068243973,0.11183320914051775,0.07364328437361572,0.006992058987800409,0.049497474683058526,0.11057928276932193,0.14615060725156126,0.0806156863698927,0.06799509786251759,0.14043187355836012,0.20413775305470067,0.10853058964590985,0.08028421735033353,0.12481541927538,0.06498717822257916,0.08265725752904174,0.11845960198966334,0.013342666234182057,0.010056782696883803,0.027457045917415948,0.03707201506907285,0.11470295496825164,0.29726741433093373,0.5906897810231941,0.013553479182473863,0.11605057574125978,0.15022325093866581,0.0020971029190543443,0.0315179833187721,0.02634736393855511,0.061712486871803834,0.5496828938465564,0.3050293630891385,0.056760446236494504,0.12549228195051276,0.23980560312614305,0.01939302205004193,0.02826397516286831,0.02121441126615484,0.14451503542435432,0.07351112758306894,0.026380229219938742,0.03449736274335269,0.006436421548096229,0.0013974612441388153,0.05294854371941769,0.0646149481027529,0.08214960077877605,0.33390460532692534,0.8435738198861498,0.07062078687118457,0.11131320892230506,0.11770165168477462,0.1332714551136877,0.010247302005495049,0.006919205873675167,0.013242972540022668,0.03355885739154606,0.09366557620400465,0.32356074133576695,0.39949298887781465,0.0632274043213379,0.1878412465449474,0.018352849055539484,0.14630593638265457,0.05755913918194825,0.03441182806589462,0.004462853653295084,0.04784096169039073,0.0059160325942784215,0.33874177978691195,0.056917736828782095,0.18454502782777749,0.34187682692834936,0.19019871197984164,0.18870735251125104,0.1460860043629131,0.01116606303666411,0.00798120917623038,0.002930322524691583,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Surface,21.82,23.16,22.820819755123388,24.111999999999995,23.404,23.902000000000005,23.926,24.179000000000002,22.958000000000002,21.148000000000003,20.468,20.578000000000003,21.092,22.788,23.740999999999996,24.009999999999998,23.291000000000004,24.421999999999997,24.099,24.535999999999998,23.48,22.055,21.597,21.178,21.840000000000003,23.517000000000003,24.137,24.543,23.696999999999996,24.259999999999998,24.039000000000005,23.433,23.112000000000002,22.232000000000003,21.029,21.227,21.935,23.590000000000003,24.095,23.961,23.703,24.228,23.679,23.357,22.856545301011575,20.711728466416112,20.38326224079072,20.61521865152646,20.80626475191963,21.88246262141918,23.146822811498048,23.62795667006916,22.2706696823305,23.37909296237438,23.93497566140811,21.586443712224508,20.71869925697323,21.08422184169362,21.963005361368875,23.97121015014809,24.133487126291598,23.594042827566337,23.78624623678585,24.18208742045478,20.954082754942075,21.44657093382677,20.93998543503281,23.90387282843872,23.87986420667449,23.83322046177468,22.912417831126724,21.954733985234917,21.20120299775628,21.513667272037747,21.40675894365114,21.96442468901185,22.990851073729907,24.44517555816499,23.577494204399677,23.75158967872673,24.214375848591818,24.29906229913901,23.328363384975173,21.81951092537775,21.20587999436035,21.091913663942098,21.2249737732757,22.83440676501534,24.27777163888648,23.504156140537592,23.568189242699923,23.01833219316259,24.21986503743888,23.472256938088652,23.38460128201135,21.801692522123382,21.22796969517559,20.777742606340528,22.048728952384018,22.221381397626438,23.96707384429014,24.857123595652418,24.054968369378283,24.32751398607627,24.630222358573498,24.333407135788622,22.66241846166209,22.434656237172668,0.45166359162544867,0.09660917830792934,0.28743294009763576,0.30180199542820235,0.2646675062958971,0.19065967353142924,0.5702669939988151,0.5093667092031481,0.6030809785316287,0.019321835661586077,0.05865151319446078,1.1802146697388007,0.3871491242976598,0.55258584049097,0.21047301225784007,0.024494897427832066,0.33854098717880465,0.4122243186529494,0.15968371516497457,0.3487182880842993,0.09189365834726944,0.03135814620371066,0.031640339933558026,0.24760183090330062,0.22934689882359469,0.4614000433463352,0.15570984411897557,0.4535795899778165,0.05355163655555075,0.32533743166817464,0.1190191394505758,0.05716448003592587,0.3465961466734575,0.08148619514985361,0.08659612513784232,0.3215258759243007,0.19068589646618067,0.3530502010259226,0.35233349101226313,0.397951700028478,0.16990520232699718,0.1573954679567789,0.29369106973901027,0.2742282099112183,0.18661220862791736,0.088625671785339,0.10617378043770638,0.21468948018727954,0.4240144829662305,0.09306041528975822,0.25269243165671484,0.08070272637286767,0.015384727674560762,0.2044990131116484,0.11896214351181862,2.8847071889508355e-06,0.028763093539454734,0.17710067900114468,0.4187999495595252,0.1595208679724356,0.13381974382060752,0.025654727688030586,0.07898923888518114,0.1564636223209831,0.055815012536761056,0.28891223036713265,0.009547621697993513,0.006271280107464975,0.07180409354593567,0.0559817713997574,0.03727284788052205,0.010778959634302377,0.04663886390375777,0.33191044621100196,0.24739215799494188,0.37403684198142867,0.25047037840128095,0.12504548095145218,0.008590828235641971,0.16686060829204458,0.24062996788616375,0.10858992534002836,0.1673485016732183,0.0901130740362787,0.14910372471829444,0.05948176744311652,0.49728076419070494,0.27266813696145503,0.5074716124671702,0.21160568015666179,0.24107723735691375,0.06364174148933033,0.3533132590783299,0.4447078264574269,0.2664784564530761,0.09353285584720092,0.13387627326632096,0.17371613519395332,0.3118507758666515,0.05656220990207682,0.5384261350764575,0.24028147415990275,0.05926044478044511,0.1332482334845356,0.15911805613423774,0.1350647890477095,0.09201043093783069,0.08030409695910314,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
