,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
17.0,,7.26,,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.90565068277006,,,,,6.62866591874379,,,,,,,,,,,,,
18.0,,,,,,,,,,,0.0,,,,,,7.1,,,,,,,,,,,7.99,,,,,,,,,,,,,,,,6.96,,,,,,,6.54246847522304,,,,,,,,,,,6.75635948273859,,,,6.83605143478525,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39972307331772,,,,,,,,,,6.54801471237492,,,,
19.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8531705359861,,,,,,,,,,,,,,,,,,,,,,,
20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01,4.62,,,,,,,,6.39474846910735,,,,,,,,,,,,,,,,,,,,6.38994345565184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,,,,,7.49,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93226621074459,,,,,,,,,,,5.2956966513551,,,,,,6.76742917005258,,,6.0973955077767,,,,,,,,,,,,5.43715426992935,,,,,,,,,
23.0,,,,6.64,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,,,,,,,,7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26864930609459,,,,,,,,,,,,,,,,,,,,,,,,6.48986587963811,,,,,,,,,,,,,,,
24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32573133924819,,,,,,5.93,,,,,,4.78727560518669,,,5.95630222070684,,,,,,,,,,,,,,,,,,,,,,,,,7.04341982365716,,,,,,,,,,,,,,,,
25.0,,6.96,,,,,,,,,,,,,,,,,,,,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36382060231143,,,,5.36250467140551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84453007260382,,,,,,,,,,,,,,,,,,,,,,
26.0,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89396616125369,,,,,,,,,,,,5.88,,,,,,,,,,,,,,,,,,,,,,5.71459128936732,,,6.46283188185935,,,,,,,,,,,,,6.18061115099219,,,5.02035107793413,,,,,,,,,
27.0,,,,,,,,,,,0.0,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.80718906984846,,,,,,,,,,,,6.30183412699462,,,,,,,,,,4.84792400531815,,,5.65423749064778,,,,,,,,,,5.97361968183843,,5.77526419939215,,,,,,,,,,,
28.0,,6.57,,,,,,,,,,6.77,,,,,,,,,,,,,,,,,2.74,,,,,,,,,,,,,,,,,,,,,4.98113967196654,,,3.60693631876092,,,,,,,4.81104861024415,,,,,,,,,,,,,,,6.06730066373801,,,,,,,,,,,,,,,,,4.89173163900903,,,,,,,,5.28764698824349,,,,,,,,
29.0,,,,,,,,,,,,,,,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,,,,,,,,,,,,,,,,,4.80486402780585,,,,,,,,,,,,,,6.41767593654552,,,,,,,,,,,,,,,,,,,,,5.62565581059202,,,,,,,,,,2.60845002214902,,,
30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.037573741775452,,,,,,,,,5.315443339039201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.850292009031832,,,,,4.095378887230951,,,,,,,,,,,,,,,,,
40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,,2.899,,,,,,0.0,,,,,,,,,2.603,,,,,,,,,,,,,2.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.790908480678676,,,,,,,
60.0,,,,,,,,,,,,,5.183,,,,,,,,,,2.455,,,,,,,,,,2.589,,,,,,4.112,,,,,,,,,,,,,,,,,,7.747731695847551,,,,,,,,,,,,,,,,,,,,,,,,3.7039946592776607,,,,,5.618108731394929,,,,,,,,,,,,,,,,,,,,,,2.059149376426227
70.0,,,,,,,2.194,,,,,6.782000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.274023136868317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.527029320696531,,,,,,,,3.1430878671330467,,3.631689920058075,,,,,,,,,,,,,,,2.259523752751277
80.0,,,,,,,,,,,,,,,,,,,,2.499,,,,,,,,,,,,,,,,,,,,3.2640000000000002,,,,,,,,,,,2.777739429389429,,,,,,,,3.0877777777777777,,,,,,,,,,,,,0.5532272061718267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,,,,1.8530000000000002,,,,,,,,,,,,,,,,,,,,,,,,,1.216,,,,,,,,,,,2.832,,,,,,,,,,,,,2.397595458544494,,,1.754769958684152,,,,,,,,,,,,,,,,,,,2.320291522880819,,,,1.4451417729673517,1.690086668611454,,,,,,,,,,,,,,,,,,,,,,,,,1.9465313326182752,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.9100000000000001,,,0.75,,,,,,,,,,,,,,,,,,,,,,,2.672837352620093,,,,,2.6339238015051882,,,,,,1.0016956307522173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,,,,,,,,,,,,6.78,,,,2.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
