depth_group,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-11-14,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
Surface,6.69429135821256,0.8061871350343252,1.3813803682656143,4.288455194378361,7.295932811643323,6.797502865972189,5.144675925925927,5.573353985916165,5.074610546246551,10.253333333333332,15.5,6.7703703703703715,9.828571428571427,16.123188405797105,18.63063063063063,5.170542635658915,15.507246376811594,0.0,16.476971503267976,8.510607614607615,14.307847560349254,16.130666666666666,14.711822222222223,5.405196581196582,6.287944444444445,21.69922222222222,28.791093333333333,10.230400000000001,19.187048551611586,25.001,72.87933333333332,7.493818181818182,9.833118279569893,19.22092307692308,17.198588235294114,24.473166666666668,28.935586206896556,25.19178383838384,53.93012121212121,36.72231111111111,6.683818930041152,3.2351173708920187,15.39367741935484,10.608111111111112,12.120410256410258,4.968000000000001,18.724070655270655,16.50023179160021,8.64391111111111,40.29885875706215,22.008292101341283,11.691076923076926,4.713904761904762,11.302666666666667,0.0,0.0
Mid-Depth,32.690610371666665,9.027718460150457,4.056301075973205,4.976755127957417,8.417400189403379,10.28651248567014,2.135416666666665,8.315800724417308,12.672795396588675,10.25,29.13636363636363,17.06666666666667,21.257142857142856,31.41304347826087,16.10810810810811,9.27906976744186,11.08695652173913,0.0,20.001882352941173,9.640484848484848,9.460945454545454,11.96,17.28782222222222,7.496820512820515,7.271833333333334,15.321833333333334,30.75744,20.1664,7.787906976744186,20.33684210526316,34.546,9.54290909090909,12.88,22.523487179487176,19.471529411764703,15.568,19.04595744680851,13.041,43.00163636363636,10.132266666666666,13.309333333333337,6.07718309859155,12.485290322580646,15.617000000000004,12.285538461538462,5.274666666666668,11.105422222222224,18.64672727272728,17.087466666666668,27.59376271186441,30.510819672131152,6.40697435897436,5.940571428571429,9.436,0.0,0.0
Lower Photic,45.48702460888798,25.903493285388823,,2.469376798490854,11.532587349847978,3.0592782734386668,4.21875,13.751721938232068,3.657038745809588,19.72,47.31818181818181,13.733333333333336,25.257142857142856,26.630434782608692,12.324324324324325,9.27906976744186,16.304347826086957,0.0,11.43744,4.956848484848486,26.15294915254237,9.752,8.414933333333334,15.09271794871795,9.686833333333334,18.005166666666668,37.71264,43.86225454545455,11.08279069767442,24.743157894736843,21.53655813953489,8.957454545454546,10.802580645161292,11.955282051282053,13.410352941176471,11.368,22.88255319148936,6.332666666666668,54.12527272727273,20.43626666666667,24.28118518518519,3.900281690140845,4.175612903225807,4.883666666666667,8.074769230769233,4.968,7.670755555555556,22.744909090909093,6.354133333333333,26.93884745762712,42.54622950819672,18.95671794871795,3.312,3.8360000000000007,0.0,0.0
Deep,30.096742620878565,47.809547145073246,3.7287597648253366,2.3218839555810566,16.018456860888204,5.426820515376563,2.0486111111111107,9.564593435699075,3.401875821730933,22.865000000000002,61.18181818181818,13.733333333333334,30.542857142857137,11.08695652173913,16.513513513513512,13.930232558139533,19.23913043478261,0.0,24.547764705882347,4.956848484848486,9.226763636363636,10.12,8.414933333333334,9.148102564102564,5.930166666666668,24.713500000000007,56.00224000000001,78.75534545454546,15.575813953488373,22.70947368421053,28.566,8.957454545454546,5.401290322580646,22.48818390804598,37.22101694915254,14.448,30.93420689655173,8.211000000000002,75.20163636363637,23.87093333333333,56.36192592592593,0.8163380281690141,2.9291612903225808,5.420333333333335,11.294769230769232,1.9013333333333335,10.53297777777778,9.279454545454543,3.778133333333333,36.32596610169492,45.08,23.250051282051288,6.597714285714287,2.156,0.0,0.0
