,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,mean_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,std_temp,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,20.441551738464373,21.010638087109356,20.668550984770494,20.99924242424242,21.053484848484846,21.07992424242424,21.24153783549198,21.297424242424242,21.421086751556018,21.467100365661487,21.124621212121212,20.19439393939394,20.176893939393945,20.305909090909097,20.531136363636367,20.6980303030303,20.87621212121212,21.0689393939394,21.08113636363636,21.183636363636364,21.748565435402423,21.36431818181818,20.638484848484847,20.64598484848485,20.725151515151513,20.83318181818182,20.852954545454548,20.864469696969703,21.07159090909091,21.134621212121214,21.358944004646318,21.37280303030303,21.409469696969698,20.359015151515152,20.448181818181816,20.579772727272726,20.648030303030303,20.717575757575755,20.856363636363636,20.761439393939398,20.93454545454546,21.053030303030305,21.201515151515153,20.908685248937186,20.292921176474014,20.115812740417393,20.27849406022767,20.390898362150054,20.478883309169262,20.569124648181734,20.7074876742559,20.895598871292023,20.796158201217157,20.886285770818407,21.100684129810304,21.348488912580486,20.496594781807104,20.6101112283476,20.781646093611258,20.819637418357214,20.911966944415376,20.83351881493023,20.941336049420617,20.98607116600324,20.861395591701694,20.924377531990796,20.96450511988979,21.020885273841063,20.992283404305155,21.07127958435399,21.11999166335087,21.270748775782877,21.501875063508702,21.099721950993366,20.65961150723865,20.831462046159047,20.91615465896217,20.933108380989452,20.98233890788356,20.986901956747715,21.06558508094619,21.09516175265877,21.171577356621206,21.287797147488224,21.414312478631164,20.752829789988457,20.689235340859394,20.484888386366862,20.789974039058368,20.899117134833773,20.880725246295256,20.94544761634553,20.96581485429999,21.090495369490505,21.15101931072091,21.25323473593189,21.51537942984412,20.705669672425117,20.49154892367017,20.61518950744179,20.723242603468865,20.793855790424576,20.842219013918942,20.906705594148466,20.900620520799524,21.005573641110434,21.210566850422744,21.364073189646643,21.528558963123274,0.021829686145224073,0.1519766177576823,0.24333946207542292,0.4825592397969599,0.49839687684559886,0.47027586108781466,0.6505748351478247,0.6184439697522678,0.8009246643235561,0.5796197229754653,0.013915198745714877,0.008125104061937404,0.009817049397576815,0.012212051389271094,0.16333121667209363,0.2280064491126096,0.4776710424754934,0.5904956095815317,0.6339252426932637,0.5988347671963267,0.6645395030866185,0.1963493937234959,0.010527227119355876,0.03575585603759552,0.03589707910959214,0.11577426162010142,0.11304343387087046,0.09719802832340148,0.414221548621014,0.6091628247372345,0.8804151545506167,0.7021270378961897,0.20106422304657276,0.025864211402195532,0.03765588092138261,0.12823413549633905,0.16104703408056656,0.19602783469934035,0.37606731229478485,0.2151327235559223,0.3273119565233094,0.6033843345021938,0.6852572430682433,0.2466676889579127,0.02319663164600408,0.03572334113843284,0.01919921590527906,0.07938464484736749,0.11862603960406494,0.19091262981102733,0.4105262400425359,0.5274323538502111,0.3251240139969244,0.37358885403686826,0.6819028220864193,0.1718793064831019,0.029119609588922825,0.06387116643855552,0.12868668787566395,0.1424779949764384,0.1689600767581271,0.12162559572113019,0.1803989575255805,0.23848761304625046,0.07777693942098686,0.14545770026399668,0.16916801618107388,0.14578666591610548,0.15174315628098886,0.18562917301757498,0.34593992924704176,0.5811491015903372,0.3902916262354483,0.09810509546359904,0.044871299274666716,0.07666226642946596,0.10908978887722857,0.17700486790904074,0.17937226389641875,0.17247737856124026,0.146929091028836,0.23681086267769458,0.2080249957265582,0.5759751503267758,0.18195838406016854,0.04283037582046434,0.03466663692640755,0.031142485854795225,0.09840112954732157,0.15092634188227108,0.15591278035405493,0.17822569697193538,0.22103169919408805,0.33001166576823215,0.45828063818563336,0.538610964196277,0.1848401483632126,0.042446959143524095,0.021125657963664616,0.01997817024504153,0.10583395012207195,0.164939909673048,0.1863815446854389,0.2186414026287793,0.2492807106067333,0.3482340992277872,0.6556207849137534,0.7992079835229566,0.6935232462115,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Lower Photic,20.479999999999997,21.520000000000003,21.842000000000002,22.400000000000002,22.654000000000003,22.997,22.721999999999998,22.980999999999998,23.025,22.201,21.131,20.237000000000002,20.224999999999998,20.369,21.24,22.211000000000002,22.655,22.787,23.267000000000003,23.235000000000003,23.41,21.51,20.686,20.732,21.310999999999996,21.894,23.028,22.483999999999998,23.053000000000004,23.374,23.363999999999997,22.596999999999998,21.546,20.463,20.538,21.262999999999998,21.528000000000002,22.250999999999998,22.642000000000003,22.146,22.954,23.003999999999998,22.695,21.971324115781748,20.332573311857,20.191629611233147,20.34979156229295,20.939183357766613,21.248619908155934,21.71986499259691,22.439195179999995,22.45664567510169,22.509148372507212,22.82425325018124,22.571739745858384,21.449602824713885,20.558585812170616,20.88785264887316,21.068945156218007,21.61179392160413,21.598469924226446,22.07190712065769,22.92072659253109,22.948540418103242,20.98359721532198,21.946302393916163,22.069566129616632,22.4497737157579,22.59068701149853,22.73356598934182,23.26372722012307,22.55730522005738,21.87396259143295,21.202129083092068,20.76622462600214,20.938718685518786,21.04343107862851,21.2261641363141,21.635146854114293,21.77977259339487,22.63520186573403,22.79920547149565,22.88367298621655,23.11274069543379,21.513934535556366,20.82401081396794,20.7386000697548,20.56657232825661,21.12027963243515,21.911274915704873,21.93445781238029,22.409516453136284,22.890731744737455,22.87928640486259,22.73009417710439,22.7356576244023,21.646578192695557,20.768130396513307,20.54856773758646,20.776477964651246,21.72534656143653,22.20310464491324,22.42845849279155,23.476491696471648,23.15871335337293,23.1005337073431,23.93011531465962,22.64763868728762,22.3964662927465,0.008164965809277086,0.13984117975602053,0.17332051234634585,0.12229290885229462,0.16480291259562185,0.28008133739247176,0.06828046735503712,0.15623699945915506,0.0600462784488387,0.012866839377079326,0.003162277660168873,0.031640339933557776,0.0397911212877112,0.0196920739836561,0.10424330514074534,0.7629394908291659,0.05661762583821006,0.24097256644227694,0.2680402125718374,0.3080133474741348,0.09944289260117546,0.004714045207910216,0.03864367132317201,0.004216370213557002,0.5251550035730189,0.7959369042553284,0.884279995878631,1.0333247311469906,0.22529240259419936,0.12312595177297145,0.038930136855083376,0.016363916944844844,0.021705094128132336,0.02406010991015781,0.020976176963402923,0.08920014947670558,0.27514844478329586,0.5808126490817267,0.37732391036526364,0.434286131996458,0.43719306693699755,0.03565264521898892,0.028771127502719946,0.2525333662870695,0.006756242053751819,0.020017108386261483,0.017046165818011137,0.17378048749854252,0.2632316300221213,0.45882620405282964,0.1264222395459382,0.22320874330991658,0.40950052162399037,0.43943897934493953,0.03762397162832664,0.0021356659131381104,0.006891262746562731,0.05989756112602196,0.04697005936619802,0.35227281698648094,0.4809459732398514,0.9071711829521786,0.6341338367313201,0.7913480136011405,0.008050067305411674,0.7505761352938681,0.644443076230946,0.8406268644683679,0.9726444226428115,0.7132412426991812,0.26807683851871694,0.05676074095109105,0.004016811531088187,0.02648194879701918,0.03184284263227156,0.012367767950014373,0.0131710772866953,0.14088407020766397,0.46930112460244694,0.7978210747173374,0.6043533201932455,0.470764722215877,0.67353818542725,0.018471449346193748,0.01388754215764973,0.014656937448699451,0.010475859396057165,0.010137060244422423,0.09129385158432375,0.547842021720073,0.6127051151643683,0.4286584876076185,0.3998097872423809,0.3303946817191625,0.054575652513074585,0.09530148964000666,0.01780567808920915,0.013623685997682659,0.019176821791800743,0.10917220009061299,0.3241221765102375,0.4522786534282861,0.7406490595664341,0.7786850353772492,0.6436538912271217,0.7387532600831674,0.18322360004075985,0.046217532758038936,0.010140836292851852,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,20.603,21.97,22.048,22.598999999999997,23.133,23.296,22.876,23.258,23.29,22.249,21.133,20.357,20.323,20.451,21.449999999999996,23.772,22.804000000000002,23.409,23.603,23.627000000000002,23.5,21.534000000000002,20.811,20.798,22.258000000000003,23.499000000000002,23.884000000000004,23.694,23.322,23.621999999999996,23.409,22.659,21.624000000000002,20.504,20.618,21.455,22.441,23.334999999999997,23.262,23.432,23.575,23.182,22.808,22.442656658235443,20.436552796366062,20.256593756312583,20.46092734295344,21.22498172447224,22.184185827617448,23.17331601919259,22.58838491,23.022039496632893,23.24280565034285,23.45309175460323,22.65445147699692,21.45700746456115,20.60797782834327,21.02425102986736,21.24029360043394,22.664766642694683,23.18571659052753,23.41489277023116,23.696775076208013,23.66507000815718,21.15303414762065,23.28963210304729,22.92885147960438,23.55061825773791,23.982929243013803,23.49386867580756,23.57620104138033,22.63383639794833,21.88242209780194,21.26967256850358,20.878081766754953,20.99446653770507,21.12307115703946,22.17472233805529,23.21454280506806,23.581186706274742,23.394414329983217,23.43973852220048,23.668386636279827,23.14459473654102,21.61226953339574,20.9261216310288,20.81919509627165,20.62708532308785,21.45218521634355,22.990012113870712,22.894234991310338,22.967314874927713,23.13345573819465,23.36575426807469,22.85825357348567,22.919283037309192,21.672852444521887,20.85816685994233,20.66615562444602,21.112834548673952,21.95857409551358,23.12381909326664,23.982603427348618,23.973309219520424,24.07372474505152,24.03944664692825,24.080549242520046,22.7849497672902,22.409414662221213,0.09189970378382974,0.18287822299126993,0.054731668671396345,0.04794672969962509,0.1624157901464292,0.01074967699773095,0.06818276093624343,0.03119829055145983,0.0915302014516396,0.024698178070456628,0.004830458915397235,0.041912607490666845,0.009486832980505039,0.042544094772365336,0.07601169500660913,0.05411920998027331,0.015055453054181142,0.08464960458003079,0.06019413038937705,0.0654980915752515,0.0,0.009660917830792835,0.03034981237357385,0.04871686908385311,0.11262523893179742,0.1431743304118756,0.033065591380366306,0.04788875998951405,0.057503623074260886,0.04442221666388724,0.024698178070456978,0.03212821536005755,0.03405877273185314,0.01173787790777343,0.054934304198540874,0.10480139948175078,0.24910729504461407,0.09732534213770912,0.09366607354497901,0.20724649842907109,0.09383792173506218,0.027406406388125918,0.04825856285561055,0.06431290262456578,0.04052106925635663,0.01451640469373463,0.08526959184600323,0.06857445008980892,0.22394416738908154,0.11709709051492138,0.01056734095834391,0.08910709877415562,0.11103645141781993,0.04523329074714627,0.006439717489343674,0.0035039656791507647,0.02379346045221008,0.04230313160324014,0.05692929261830258,0.22398343271849647,0.17289331350474332,0.02341511670192215,0.08172843567582437,0.059058326658538156,0.06404200019186229,0.08819793870022025,0.08287553698353575,0.06395137439714291,0.04696741048853374,0.05742083808382296,0.05918000707176694,0.01278449194001468,0.003372332923116573,0.012885653440199856,0.05564200381078348,0.01900401959595546,0.03566661136381761,0.2556930683735401,0.4122679068796384,0.04189124667849189,0.029948003998412256,0.07561282070556145,0.02969634385810327,0.004171241925202552,0.05481922499786296,0.02567163996468832,0.04055857633139054,0.024819606198922053,0.08639402606567385,0.1592534753610947,0.1389812580784306,0.07928342029558173,0.00866273802573683,0.08971592158140772,0.04252778326515183,0.04758703414651472,0.004075518941044287,0.0487293946915832,0.05474369606199857,0.06459469778498221,0.009485557614104202,0.23905857742769776,0.10867593988331602,0.017140841566540044,0.031114378582044046,0.07230020136452193,0.006521211401652535,0.05166603869646082,0.0014205860869104026,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Surface,20.816331114433734,22.4,22.303,22.9155,23.541,23.356,23.23,23.407999999999998,23.491999999999997,22.344,21.139,20.436,20.545,20.569,22.049,23.843,22.839999999999996,23.6,23.729000000000003,23.903,23.53,21.549,20.9,21.147,22.469,23.731,23.969,23.887999999999998,23.555,23.696999999999996,23.464999999999996,22.714,21.665000000000003,20.512,20.990000000000002,21.621000000000002,22.95,23.514999999999997,23.497999999999998,23.689000000000004,23.688000000000002,23.228,22.895,22.63241002344351,20.5202380383076,20.33826735312335,20.690840305194644,21.511399298186973,22.710955471453925,23.26055297076557,22.59701799,23.275047289865633,23.56241387824533,23.65690985695093,22.6598544066547,21.487154458427337,20.702490192694547,21.21877371856285,21.52861237700457,23.30046823987769,23.624793725729923,23.44526641339656,23.85895613334602,23.77249476160109,21.33902148354723,23.53035793049672,23.28527303818646,23.73168301290067,24.002584446308955,23.567815874440647,23.68452260164621,22.68513224743012,21.89535406059401,21.318093289451973,21.04430226843254,21.21687267998319,21.49837767428468,22.715758409484476,23.97214504348512,23.637088826781,23.4723743180766,23.64865212461325,23.91843202366131,23.214609746658812,21.73407955308554,20.979447418688782,20.89531004891047,20.79481648245192,22.04143080555235,23.60113244295531,23.149058084185402,23.14589007774057,23.15486612914331,23.603896433486472,22.987001608477613,23.029686201586152,21.72060968170988,20.938439566885123,20.83061160114912,21.40490334748377,22.011858426280376,23.48376528140427,24.40102551373953,24.015530397974338,24.16439281920859,24.183804766761263,24.085130290989248,22.89817489598571,22.41830809054872,0.05762234632370146,0.17638342073764007,0.11025727489225663,0.15004536351087677,0.06773313648265337,0.020110804171998127,0.04294699575575107,0.08740709353364852,0.017511900715418836,0.043767060165786326,0.003162277660168874,0.011737877907772018,0.13970206393130566,0.03071373199943829,0.2574857061836425,0.014944341180973486,0.018856180831641284,0.05830951894845345,0.06063552314169133,0.08014570065407943,0.04830458915396548,0.005676462121975591,0.011547005383792955,0.07944949478896829,0.056263270039658815,0.021317702607093234,0.02923088169119183,0.006324555320336625,0.08086339647138714,0.004830458915395518,0.0070710678118649055,0.010749676997730658,0.009718253158076005,0.015491933384829798,0.10011104945120772,0.00316227766016775,0.08379870059984375,0.007071067811864906,0.03583914681524164,0.016633299933166142,0.01032795558988676,0.010327955589885996,0.02013840995599077,0.04690585909034116,0.052342286490017244,0.04236411482031997,0.010432564015507392,0.023505546327835972,0.10602116927084032,0.002372867660215054,0.003798986590145643,0.02186747347586806,0.08139863949218325,0.10021408833579609,0.0026719900406247175,0.026027786106427243,0.04347713007616558,0.03729972159900549,0.09792148345144723,0.14684437742886183,0.11160363665083717,0.003091101134378845,0.022749442065814512,0.02652928856355355,0.0414407000859732,0.05777664940465865,0.1926183412991023,0.014008936292816009,0.0009133352808096306,0.00928953240898411,0.003880964225580322,0.006001239142990803,0.004644916178375279,0.022079704690157874,0.015365724858775907,0.16452566262105042,0.3081801580940161,0.06999094344216142,0.086057496447391,0.008573122307973809,0.022354999384327237,0.04797772876423111,0.09374801764226152,0.08702153213179518,0.04075742970729026,0.02375836524355016,0.03746066171271676,0.3849024764108816,0.17231569125329088,0.20476008189940273,0.006301435392198488,0.022577223174261984,0.007517905958661036,0.02646264974368739,0.07955208605677645,0.05616392909239905,0.031478612120542794,0.0226890453128192,0.07659676744638706,0.0813908559709389,0.030185928635389343,0.02549332501589152,0.0793447172730621,0.009059821316786676,0.04328013273515614,0.056285288951425434,0.1369711051624304,0.04151336717363693,0.004509392233766198,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
