location,depth_group,sid_rmse,evan_rmse,sid_mae,evan_mae,sid_nse,evan_nse,sid_samples,evan_samples,sid_best_params,evan_best_params
WG,0-10m,0.7196972405756208,0.7149466117220717,0.5475398860830806,0.5734630913130562,0.2190896413654989,-0.5440742990617844,119,70,"{'max_depth': 10, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 300}"
WG,10-30m,1.4296502982016703,0.6868249664624662,0.9411202336549983,0.5918526952423608,-0.0501246306130696,-0.57380613607714,119,70,"{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 200}"
WG,30m+,0.4363225079227331,0.07967090612053453,0.2447791130977119,0.06181772097719315,-0.27247447043887485,0.28973963705191275,119,70,"{'max_depth': 5, 'n_estimators': 300}","{'max_depth': 5, 'n_estimators': 200}"
