depth_group,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
Surface,304.54545454545456,304.8181818181818,320.72727272727275,318.45454545454544,245.0,244.9671114441927,243.85326456724272,247.0,244.0,243.0,243.0,242.0,239.6930749039501,242.35965987832526,243.56400507712854,230.89614360400228,246.24532798262618,247.7688747146387,247.82630171108593,246.0,245.27272727272728,243.0,240.75340328577025,242.11952484457044,242.0,242.05321323958754,245.0,247.0,247.65185632691163,237.84569266395627,249.32284750331092,248.0,245.2722866120322,245.8221427890079,246.0,243.93881120647472,242.0,242.28594942153575,245.0,247.22735217366446,248.0,249.0,250.0,249.9384977612899,249.0,247.0,234.350997737658,300.0,242.4784521820731,245.68955716247083
Mid-Depth,304.3,305.4,320.9,318.4,245.0,245.56468859189917,245.6169866737783,246.9980831293627,243.9330889443179,243.4849199289249,243.00459203435463,242.179377837235,240.94061821038198,242.3199819180495,245.0,243.60602960055522,247.0,247.5414806888335,248.02303619599002,246.5377458801266,246.8,243.0,243.78029332438717,242.3045734449503,242.02701357489792,242.50647903853343,244.99610209629608,247.0,247.514249631628,248.0,249.0272690967136,248.6615007648701,246.0,246.0,246.0,243.65083937382428,242.41484737104602,242.6662861590615,245.0,246.99920198187812,248.0,249.0,250.0,249.8073060429702,248.74966138954133,247.1452055408748,245.9223483815569,300.0,244.64825887631258,246.0
Lower Photic,306.3,306.44444444444446,324.8,324.6,248.61657576119478,246.63695538180417,246.8593519058977,249.09193967611083,244.78910498656393,246.0958133175287,246.3759134587825,245.83865600496128,241.7843088136358,242.8893490047197,245.0,245.6552499195246,247.66259239048208,248.8880498592216,250.0618012780344,249.75255508618253,251.3,248.5764940483733,246.8771982349418,244.4389306302749,246.44691933517362,242.9932484003604,245.9863565133437,247.7740289870127,248.9168036278314,248.77022848998368,251.4782507610626,251.2120769119001,248.67823632136978,248.7624145913663,246.7834101530378,246.831145191752,243.1055199227923,244.83074123670707,245.0,247.9285509323454,248.1053771199995,249.6348067812084,250.40296605235798,252.35373784769408,253.4611658700622,251.74687522677218,250.7838977824233,300.0,245.1392214803433,245.9979301834914
Deep,306.7894736842105,309.0,324.7894736842105,326.0,250.173594525848,250.42601928856604,248.08482626237924,250.69682456460566,251.52161847573237,251.85146469830468,252.0918045881555,253.48071607582895,253.11879845263456,249.57779667691176,246.35054177687084,246.99935284085663,249.36582762802846,249.20019833507806,251.91623301943292,251.0,251.75,251.6831005940141,252.1753535675823,252.6296101754882,253.3973978607243,250.95304997650618,246.94680979982274,248.91518772036446,249.17058643734623,250.5590246346716,250.43922607028557,252.80645907345905,252.03471741670162,251.34811720217203,252.56819848040726,253.63133041226578,252.6208695568122,252.86590858570366,246.24419764812765,248.0,249.16618455862545,251.88921580955375,253.0635637763853,252.3393313367698,254.42570907841633,254.1937671227062,255.1472690570348,300.0,251.04339084488325,250.28540332386126
