location,date,depth_group,value_ph,measurement_count_ph,value_dissolved_oxygen,measurement_count_dissolved_oxygen
SA,2014-02-18,Surface,9.285470688503809,10,7.60904752055894,10
SA,2014-02-18,Mid-Depth,9.093333333333334,10,7.266,10
SA,2014-02-18,Lower Photic,8.80875,10,6.8180000000000005,10
SA,2014-02-18,Deep,8.484700718079319,22,6.439069707308709,22
SA,2014-03-26,Surface,8.553,10,7.465999999999999,10
SA,2014-03-26,Mid-Depth,8.398,10,7.033,10
SA,2014-03-26,Lower Photic,7.970499999999999,10,5.949,10
SA,2014-03-26,Deep,7.779073999520548,22,4.264765373738981,22
SA,2014-04-22,Surface,8.728,10,6.988,10
SA,2014-04-22,Mid-Depth,8.647,10,6.726999999999999,10
SA,2014-04-22,Lower Photic,8.331,10,5.93,10
SA,2014-04-22,Deep,8.000584567736249,22,2.991327750740296,22
SA,2014-05-19,Surface,8.92,10,7.149499999999999,10
SA,2014-05-19,Mid-Depth,8.997,10,7.039,10
SA,2014-05-19,Lower Photic,8.860000000000001,10,6.697,10
SA,2014-05-19,Deep,8.328409090909092,22,4.114545454545454,22
SA,2014-06-24,Surface,8.754,10,7.42,10
SA,2014-06-24,Mid-Depth,9.084,10,7.303,10
SA,2014-06-24,Lower Photic,8.817,10,6.265,10
SA,2014-06-24,Deep,7.906742424242423,22,3.2624242424242422,22
SA,2014-07-22,Surface,9.098,10,6.968999999999999,10
SA,2014-07-22,Mid-Depth,9.376,10,6.919,10
SA,2014-07-22,Lower Photic,9.204,10,6.4590000000000005,10
SA,2014-07-22,Deep,8.390530303030303,22,3.060378787878788,22
SA,2014-08-12,Surface,9.010000000000002,10,7.287999999999999,10
SA,2014-08-12,Mid-Depth,9.010000000000002,10,7.108,10
SA,2014-08-12,Lower Photic,9.010000000000002,10,6.7,10
SA,2014-08-12,Deep,8.986852167271845,22,3.1313010598131386,22
SA,2014-09-08,Surface,8.22907692307692,10,8.089,10
SA,2014-09-08,Mid-Depth,7.260923076923078,10,7.796000000000001,10
SA,2014-09-08,Lower Photic,9.321000000000002,10,7.256,10
