location,date,depth_group,value_temp,measurement_count_temp,value_dissolved_oxygen,measurement_count_dissolved_oxygen
SA,2014-02-18,Surface,20.816331114433734,10,7.60904752055894,10
SA,2014-02-18,Mid-Depth,20.603,10,7.266,10
SA,2014-02-18,Lower Photic,20.48,10,6.8180000000000005,10
SA,2014-02-18,Deep,20.441551738464373,22,6.439069707308709,22
SA,2014-03-26,Surface,22.4,10,7.465999999999999,10
SA,2014-03-26,Mid-Depth,21.97,10,7.033,10
SA,2014-03-26,Lower Photic,21.520000000000003,10,5.949,10
SA,2014-03-26,Deep,21.01063808710936,22,4.264765373738981,22
SA,2014-04-22,Surface,22.303,10,6.988,10
SA,2014-04-22,Mid-Depth,22.048,10,6.726999999999999,10
SA,2014-04-22,Lower Photic,21.842,10,5.93,10
SA,2014-04-22,Deep,20.66855098477049,22,2.991327750740296,22
SA,2014-05-19,Surface,22.9155,10,7.149499999999999,10
SA,2014-05-19,Mid-Depth,22.599,10,7.039,10
SA,2014-05-19,Lower Photic,22.4,10,6.697,10
SA,2014-05-19,Deep,20.99924242424242,22,4.114545454545454,22
SA,2014-06-24,Surface,23.541,10,7.42,10
SA,2014-06-24,Mid-Depth,23.133,10,7.303,10
SA,2014-06-24,Lower Photic,22.654000000000003,10,6.265,10
SA,2014-06-24,Deep,21.05348484848485,22,3.2624242424242422,22
SA,2014-07-22,Surface,23.356,10,6.968999999999999,10
SA,2014-07-22,Mid-Depth,23.296,10,6.919,10
SA,2014-07-22,Lower Photic,22.997,10,6.4590000000000005,10
SA,2014-07-22,Deep,21.07992424242424,22,3.060378787878788,22
SA,2014-08-12,Surface,23.23,10,7.287999999999999,10
SA,2014-08-12,Mid-Depth,22.876,10,7.108,10
SA,2014-08-12,Lower Photic,22.722,10,6.7,10
SA,2014-08-12,Deep,21.24153783549198,22,3.1313010598131386,22
SA,2014-09-08,Surface,23.408,10,8.089,10
SA,2014-09-08,Mid-Depth,23.258,10,7.796000000000001,10
SA,2014-09-08,Lower Photic,22.981,10,7.256,10
SA,2014-09-08,Deep,21.29742424242424,22,3.0979545454545456,22
SA,2014-10-07,Surface,23.492,10,8.476,10
SA,2014-10-07,Mid-Depth,23.29,10,8.123,10
SA,2014-10-07,Lower Photic,23.025,10,7.344999999999999,10
SA,2014-10-07,Deep,21.42108675155601,22,3.045806948316232,22
SA,2014-11-11,Surface,22.344,10,7.858,10
SA,2014-11-11,Mid-Depth,22.249,10,7.644,10
SA,2014-11-11,Lower Photic,22.201,10,7.152000000000001,10
SA,2014-11-11,Deep,21.467100365661487,22,4.6644136947709205,22
SA,2014-12-08,Surface,21.139,10,6.933,10
SA,2014-12-08,Mid-Depth,21.133,10,6.929,10
SA,2014-12-08,Lower Photic,21.131,10,6.961,10
SA,2014-12-08,Deep,21.12462121212121,22,6.9556818181818185,22
SA,2015-01-13,Surface,20.436,10,7.27223406870409,10
SA,2015-01-13,Mid-Depth,20.357,10,6.941262519495123,10
SA,2015-01-13,Lower Photic,20.237,10,5.994193200628852,10
SA,2015-01-13,Deep,20.19439393939394,22,3.644518914539619,22
SA,2015-02-10,Surface,20.545,10,6.416999999999999,10
SA,2015-02-10,Mid-Depth,20.323,10,4.615,10
SA,2015-02-10,Lower Photic,20.225,10,4.786,10
SA,2015-02-10,Deep,20.176893939393945,22,5.863484848484847,22
SA,2015-03-10,Surface,20.569,10,7.138000000000001,10
SA,2015-03-10,Mid-Depth,20.451,10,6.872,10
SA,2015-03-10,Lower Photic,20.369,10,6.272,10
SA,2015-03-10,Deep,20.305909090909097,22,6.674242424242425,22
SA,2015-04-14,Surface,22.049,10,7.633,10
SA,2015-04-14,Mid-Depth,21.45,10,7.189,10
SA,2015-04-14,Lower Photic,21.24,10,6.586,10
SA,2015-04-14,Deep,20.531136363636367,22,4.053484848484849,22
SA,2015-06-09,Surface,23.843,10,7.372999999999999,10
SA,2015-06-09,Mid-Depth,23.772,10,7.391999999999999,10
SA,2015-06-09,Lower Photic,22.211,10,6.138999999999999,10
SA,2015-06-09,Deep,20.6980303030303,22,3.6399242424242426,22
SA,2015-07-14,Surface,22.84,10,7.168000000000001,10
SA,2015-07-14,Mid-Depth,22.804,10,7.208999999999999,10
SA,2015-07-14,Lower Photic,22.655,10,7.083,10
SA,2015-07-14,Deep,20.87621212121212,22,3.436818181818182,22
SA,2015-08-10,Surface,23.6,10,7.478999999999999,10
SA,2015-08-10,Mid-Depth,23.409,10,7.390000000000001,10
SA,2015-08-10,Lower Photic,22.787,10,6.746,10
SA,2015-08-10,Deep,21.0689393939394,22,3.538863636363637,22
SA,2015-09-09,Surface,23.729000000000003,10,7.817,10
SA,2015-09-09,Mid-Depth,23.603,10,7.741,10
SA,2015-09-09,Lower Photic,23.267000000000003,10,6.681,10
SA,2015-09-09,Deep,21.08113636363636,22,2.564469696969697,22
