location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Lower Photic,2015-03-10,20.369,4.583,8.438999999999998,6.272,,,,,,,,
SA,Deep,2015-03-10,20.305909090909097,5.040530303030303,8.359090909090908,6.674242424242425,,,,,,,,
SA,Surface,2015-04-14,22.049,0.776,8.673000000000002,7.633,7.1,1.307106433,,,,,,
SA,Mid-Depth,2015-04-14,21.45,1.168,8.674999999999999,7.189,,,,,,,,
SA,Lower Photic,2015-04-14,21.24,1.0720000000000005,8.57,6.586,,,,,,,,
SA,Deep,2015-04-14,20.531136363636367,0.5587878787878787,8.10469696969697,4.053484848484849,,,,,,,,
SA,Surface,2015-06-09,23.843,0.711,8.736999999999998,7.372999999999999,5.1,1.342994724,,,,,,
SA,Mid-Depth,2015-06-09,23.772,0.929,8.724,7.391999999999999,,,,,,,,
SA,Lower Photic,2015-06-09,22.211,0.937,8.315999999999999,6.138999999999999,,,,,,,,
SA,Deep,2015-06-09,20.6980303030303,0.5393939393939392,7.950227272727272,3.6399242424242426,,,,,,,,
SA,Surface,2015-07-14,22.84,1.2520000000000002,8.614,7.168000000000001,5.4,1.359122679,,,,,,
SA,Mid-Depth,2015-07-14,22.804,1.988,8.647000000000002,7.208999999999999,,,,,,,,
SA,Lower Photic,2015-07-14,22.655,1.437,8.641,7.083,,,,,,,,
SA,Deep,2015-07-14,20.87621212121212,0.7236363636363637,8.062424242424242,3.436818181818182,,,,,,,,
SA,Surface,2015-08-10,23.6,1.357,8.817000000000002,7.478999999999999,6.3,1.369402174,,,,,,
SA,Mid-Depth,2015-08-10,23.409,1.645,8.819999999999999,7.390000000000001,,,,,,,,
SA,Lower Photic,2015-08-10,22.787,1.19,8.678999999999998,6.746,,,,,,,,
SA,Deep,2015-08-10,21.0689393939394,0.730378787878788,8.204166666666666,3.538863636363637,,,,,,,,
SA,Surface,2015-09-09,23.729000000000003,1.594,8.969999999999999,7.817,5.75,1.379155029,,,,,,
SA,Mid-Depth,2015-09-09,23.603,2.521,8.675999999999998,7.741,,,,,,,,
SA,Lower Photic,2015-09-09,23.267000000000003,2.26,8.338000000000001,6.681,,,,,,,,
SA,Deep,2015-09-09,21.08113636363636,0.6046969696969697,7.86159090909091,2.564469696969697,,,,,,,,
SA,Surface,2015-10-06,23.903,1.836,8.957000000000003,7.973000000000001,6.05,1.386740275,,,,,,
SA,Mid-Depth,2015-10-06,23.627,2.045,8.867,7.608,,,,,,,,
SA,Lower Photic,2015-10-06,23.235000000000003,1.287,8.464,5.99,,,,,,,,
SA,Deep,2015-10-06,21.183636363636364,0.4741666666666667,8.008712121212122,2.3795454545454544,,,,,,,,
SA,Surface,2015-11-11,23.53,2.4915392856423737,8.906,7.259,6.0,1.395462534,,,,,,
SA,Mid-Depth,2015-11-11,23.5,3.0906202603698234,8.842999999999998,6.906000000000001,,,,,,,,
SA,Lower Photic,2015-11-11,23.41,2.576048265567105,8.625,6.0920000000000005,,,,,,,,
SA,Deep,2015-11-11,21.748565435402423,1.4276198709673351,7.890293943110866,2.7603388556645028,,,,,,,,
SA,Surface,2016-01-19,21.549,1.8560000000000003,7.980999999999999,7.324000000000001,6.7,1.408864985,,,,,,
SA,Mid-Depth,2016-01-19,21.534,2.124,7.891,7.286,,,,,,,,
SA,Lower Photic,2016-01-19,21.51,2.3470000000000004,7.770999999999999,7.079000000000001,,,,,,,,
SA,Deep,2016-01-19,21.36431818181818,1.6234848484848483,7.559772727272726,5.8981818181818175,,,,,,,,
SA,Surface,2016-02-16,20.9,3.079947655254644,8.143,6.662999999999999,6.0,1.41336113,,,,,,
SA,Mid-Depth,2016-02-16,20.811,2.7880000000000003,8.11,6.82,,,,,,,,
SA,Lower Photic,2016-02-16,20.686,2.4855,8.048,6.856999999999999,,,,,,,,
SA,Deep,2016-02-16,20.638484848484847,2.308181818181818,8.067121212121211,7.017348484848484,,,,,,,,
SA,Surface,2016-03-01,21.147,3.553,8.652,8.027,3.6,1.415445097,,,,,,
SA,Mid-Depth,2016-03-01,20.798,3.173,8.559999999999999,7.239,,,,,,,,
SA,Lower Photic,2016-03-01,20.732,1.972,8.495000000000001,6.491,,,,,,,,
SA,Deep,2016-03-01,20.64598484848485,1.4427272727272726,8.483030303030302,6.369545454545456,,,,,,,,
SA,Surface,2016-04-12,22.469,1.759,8.64,8.031,5.1,1.427395717,,,,,,
SA,Mid-Depth,2016-04-12,22.258000000000003,2.3070000000000004,8.553,7.926999999999998,,,,,,,,
SA,Lower Photic,2016-04-12,21.311,1.235,8.273,6.105,,,,,,,,
