,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,mean_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,std_chlorophyll_a,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,3.158719954306929,0.8387350037130111,0.5917575158163477,0.4975757575757576,0.46318181818181814,0.4874999999999999,0.6010520953957537,0.5309848484848486,0.45429770250627116,1.5454633273469782,3.967727272727273,4.475227272727272,1.8758333333333332,5.040530303030303,0.5587878787878787,0.5393939393939392,0.7236363636363637,0.730378787878788,0.6046969696969697,0.47416666666666674,1.4276198709673353,1.6234848484848483,2.308181818181818,1.4427272727272726,0.3359090909090909,0.22522727272727272,0.3159848484848485,0.32416666666666666,0.6162121212121213,0.35848484848484846,0.5908143719339326,1.2381060606060605,0.7399242424242426,1.2718939393939395,0.6609090909090909,0.5663636363636363,0.30545454545454553,0.3203787878787879,0.29075757575757577,0.2776515151515152,0.20893939393939398,0.4075757575757575,0.7192424242424242,2.3370454545454553,5.85072548993748,2.909738618579068,6.556422660535953,0.6943583432047271,0.7334180042350227,0.6274383974911077,1.1983978314335724,0.8389446794611625,0.913369319461593,0.5628220465129435,0.9615655589530828,1.5290469791579684,4.2579572283161395,1.2296696738526092,1.171822021140384,0.5516138286157649,0.571227630306109,0.6365003158442072,0.6547868611378724,0.882943111092785,4.394187553268791,0.7923798939287732,0.7501230646839715,0.7381805244747085,0.7064158537538755,0.5553959604987919,0.6594332020494404,3.1408650647999816,1.7375478275409242,3.8107329062011335,1.6826779479707938,1.1490912106638291,1.4736409840268265,0.8553736424131034,0.6542416872931283,0.8171279017529915,0.7960928806108829,0.8029104902900793,1.005565281935492,1.781399917308913,10.562075618471553,1.1237837981434673,5.486336593476789,0.6854367042037385,1.2005827586212112,0.7760748881748835,0.7053515291199955,0.7556088969290582,0.8056821583423536,0.8759825709596616,0.9360959267012131,0.7893843701777944,2.1476104768688242,1.9752669154085654,3.5863131218412407,1.8176542366738693,0.9289392415448386,0.8991603702980665,0.7090555982602761,0.7001472050460179,0.7657020131122931,0.6170083932587193,6.251747278202095,1.694841648371536,2.9968597234713297,0.28795404105318845,0.19283631538002657,0.35950678954275056,0.14481216375209222,0.21972680794538962,0.18891765653951184,0.2669420435013921,0.18791015744958353,0.16459370448115668,0.8833898998551732,0.1394865352157459,0.12949055189589323,0.39981138079304374,0.3268291571751181,0.1930965859001435,0.19281165622527796,0.3400091954730828,0.22953710713038,0.2204220556928971,0.15079134292302426,0.3450553924401789,0.4443861794420214,0.06875866292878105,0.27649667059552246,0.050299966004825274,0.10149451395832369,0.11021942891714924,0.12896797313766736,0.3607451803379847,0.1925943107741466,0.5926598521380106,1.0634905958562808,0.09251408769131554,0.281274638170458,0.15460114860994778,0.1641005921043685,0.12222061523277811,0.254374391731619,0.1119130511805081,0.1539400170846712,0.07779797717502206,0.3850457704095,0.6288706025314228,0.31592140030208654,0.6697073809994655,0.2339553979174918,3.958405047896863,0.14487467081705638,0.237441602052927,0.11148762257114153,1.0355916206078237,0.33506515420561966,0.3707046395039326,0.08278563815175152,0.628269532888298,0.42349879913918936,2.1038287283724166,0.2949920903712379,0.28957623883039596,0.05808218297138303,0.09045509451917001,0.1260147634968436,0.11335809986779193,0.2803034579472862,1.572087573150951,0.18285371088387928,0.15699489378147627,0.15643203822912685,0.10938348706629969,0.05097477075550789,0.1211915802702785,5.021827412781507,0.7348441972440667,0.11743017877081213,0.49971069025496795,0.17370829650978506,0.17439894999837466,0.18386092193195275,0.08559034869428503,0.14829623734717365,0.14482317466160585,0.24951535783711387,0.3092238641547,2.0877103781828827,2.1249210620111,0.20259554196199706,5.356670654966054,0.12145704577235594,0.3110458077352962,0.1536023591869965,0.1515863701319256,0.1456947848880046,0.3002716567502801,0.3110451044966048,0.3712242260050608,0.2560326944314378,0.35261912923345784,0.15109722785071733,0.27284930960207304,0.36746174568977336,0.35908963604697997,0.21842831179173677,0.1327393351415638,0.20462838644743184,0.2236159489366876,0.14997026071154373,2.366859537026124,1.336143066224189,2.5813726775353945,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Lower Photic,3.507490110101724,2.6554043834081824,2.182,1.073,1.326,1.209,1.438,1.012,1.8470000000000002,2.2739999999999996,3.567,4.405,1.593,4.583,1.0720000000000003,0.937,1.437,1.19,2.2600000000000002,1.287,2.576048265567105,2.3470000000000004,2.4855,1.972,1.2349999999999999,0.759,0.9959999999999999,0.9629999999999999,1.5390000000000001,0.844,1.8350000000000002,2.2,1.0710000000000002,1.5100000000000002,1.225,0.9610000000000001,0.639,0.8219999999999998,1.06,0.842,0.85,1.504,1.9560000000000002,2.466,5.654546299790479,3.6246035811352173,9.448971286538253,1.9795940739743507,1.2544293160524185,1.1723648633948294,5.012698192999999,1.90585239885023,1.9045275989657129,0.9607974684821118,2.6108436754580127,2.115221570587407,3.250231343030658,3.396465523702181,2.1928801375131775,0.7987877327958229,0.901733854831698,1.351413540580777,1.559891191256447,3.4927395543334647,8.09222813634279,1.6013840458218873,2.6050905649092817,1.8471806207938717,1.545355992271591,0.9193694084167123,1.7623666314882371,4.302832840833316,2.510686707117799,3.81723443849071,2.5822909880170957,1.611949442733979,2.009615692161278,1.2422627791729721,1.0445253021918233,1.811226891253419,1.5364102130384332,1.9642999607810665,3.033711633551812,7.576431292041479,10.512919168230578,1.7963386969273931,3.239614030849335,0.9617299746672391,3.016243492385115,1.23525769201575,1.6857007868516607,1.3238522372597992,1.9444940429471007,1.68256562558602,2.4105471362593667,1.246891412580723,2.484127328541512,2.31220518896788,3.7852874642242407,5.662119385307709,2.1924950489306996,2.0104486452127426,1.5064226635845548,7.086284393002543,2.2753678908127077,1.453374013148505,26.273881279252613,5.351732373047787,4.407944066129266,0.298005612513054,1.369699490969858,0.46525500773470696,0.2543859709618874,0.31833595112361684,0.31490562960283125,0.010327955589886454,0.28924422590990856,0.8633050188407083,0.37776078393150236,0.14989255411052865,0.25074333933770265,0.06992853494818832,0.10944811048569494,0.05006662228138294,0.0429599296502631,0.07273238618387279,0.09153020145163988,0.6739930761266518,0.4131733561378592,0.30660509593812085,0.11709919821340467,0.10324981690714045,0.04848825745591514,0.7550312723471936,0.34167723560889063,0.13825901618178674,0.3213184643862776,0.03142893217686181,0.0362705880232945,0.021730674684008848,0.19573224341204265,0.311214466958791,0.4150501977672902,0.26030964467555007,0.0417532433869913,0.03142893217686178,0.07052186422190874,0.18547236990991403,0.1296833751017368,0.38904441334577156,0.06603029607687677,0.20244066346024017,0.30529402949360873,0.2888736350926188,0.27215814236590835,1.6949284325573968,0.5984312175718832,0.30890299633097795,0.13969686248008792,3.152529465378545,0.07879306674837294,0.2445920894302772,0.1523204722514858,0.13819973304839378,0.08715132640709898,0.17805541989071788,0.685280831154922,0.1874821863385626,0.1364594528980046,0.1571471079592463,0.20695495761581714,0.32866624026700897,1.6527938907850692,0.7668540005163211,0.6469580071413384,1.414640280618943,0.6793662820214261,0.6150629043831072,0.17437833860758664,0.4934262931280949,0.9501765627605837,0.11253263797436647,0.24144354148931343,0.33673684052273495,0.14194100100767518,0.18033676295763862,0.18356290135154124,0.2201941050871737,0.5365112235858154,0.35540911163814837,0.28796649799143864,0.42655583228266764,0.7087798977672332,0.6681130586502383,0.27170105411161305,0.19169716590650418,0.11707134787059846,0.8050390718411669,0.16282078249702225,0.5611905957970206,0.13478132061280065,0.30398749561210736,0.1784654537427872,0.21232668166407842,0.2276639798489907,0.16985159710536088,0.1710516359164207,0.9433415175736891,7.598218800201688,0.2214806146043945,0.42716458947450703,0.2560760004043664,7.84415888767178,0.6071734502202637,0.4521343191571762,6.763418791420358,3.9460386651834645,1.7899100786515212,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,4.886576399017274,3.1291428571428574,1.855,1.433,1.363,1.215,1.393,1.6329999999999998,3.4549999999999996,3.532,3.351,4.276000000000001,2.059,4.984,1.168,0.929,1.988,1.645,2.521,2.045,3.0906202603698234,2.1239999999999997,2.7880000000000003,3.173,2.3070000000000004,1.2429999999999999,1.038,1.249,1.28,0.8400000000000001,1.5379999999999998,1.8040000000000003,1.611,1.5060000000000002,1.6260000000000001,1.117,0.9020000000000001,1.4949999999999999,1.0390000000000001,1.171,1.121,1.18,1.9899999999999998,2.338,6.28692750696432,4.271905410142258,8.920386000528863,2.419978705185602,2.5738895369815613,1.9928486213723555,2.947426491,2.125499455049102,2.68106496836621,1.364167616595907,3.2430496042905235,2.122052677596734,3.41828417426224,3.103211173818074,2.568784146999403,1.527548072213902,1.5918136835032333,2.044121051714108,1.7216089930632752,7.41476237350075,7.55487497263901,3.101882836301979,4.199933338571873,3.6031023106936866,1.8081711736618917,1.5365379643078168,2.6079529433813162,5.791107587921809,2.399402710430792,3.7772581950612563,3.86528773116857,2.244651224234037,3.1682203028508065,2.838991367649506,1.646038253879825,2.15144023178227,1.8477183907898271,2.9706514245300566,3.435739649174888,6.922864117636583,9.911594147264548,3.138322615816378,3.314302604154453,1.5452258786716278,3.374976476268614,1.9768739645495146,2.278477970304554,1.7210961575625077,2.341983318756034,2.39621966478001,3.222131053960535,2.4535756107629467,2.529173662209488,2.718232118092353,6.854829328716238,4.406903492829568,2.445948941068547,2.183762396904632,2.4272643983642053,3.797017463644731,3.9462525344959736,2.98808729728618,34.15525833877947,6.76303936580126,4.36372266057906,0.9736879162903663,1.024210862643266,0.27318085177731216,0.21468581695119032,0.3364207022299444,0.20940391591371924,0.031640339933558054,0.355373043434642,0.1967090349842743,0.43204423641824236,0.1239578781504247,0.12375603240066956,0.7280483805657729,0.07574812062208397,0.030110906108363263,0.01728840330651989,0.21164960561162294,0.11257096527178855,0.23848829461142673,0.4770336582581057,0.18783728134174596,0.13801771222886178,0.33989540874935176,0.7173845672189711,0.2593603242166731,0.07439384681843288,0.10570398920255249,0.053218626647276675,0.29097537123726924,0.04944132324730443,0.28232369129541124,0.17462340431148782,0.049988887654046514,0.2691220293225114,0.23429326352529503,0.05143496432929209,0.09795690662508466,0.19432218378535968,0.05743595467030112,0.08621033709609435,0.4116754385030356,0.2637338725980331,0.14689376357687134,0.19193748982416128,0.8633807629609818,0.749528605325381,0.5223764424089394,0.22812461981323023,0.3226841377954535,0.3567307882069939,0.12594541980086715,0.13498448599608084,0.3527267442321944,0.1135735584072809,0.20549946022454457,0.09685698388773172,0.30151718656836274,0.5742382201165499,0.36738937093747975,0.2081417076951501,0.0885542067862877,0.19399661413286506,0.20524720587573195,9.608683821773127,1.2933925279342093,0.1635986435541197,0.26956465295779725,0.18383119621624752,0.16010783377178928,0.11419041416733032,0.4328798954900905,0.8285267901146528,0.15607202545949686,0.3010059528854471,0.30157434108403003,0.31730301794248916,0.5475062707466022,0.5332376966473609,0.1899817824044185,0.19237149394057312,0.12950491343632814,0.3235487983921971,0.162737093166551,0.33958396635163157,6.675983783523737,0.2876594618487733,0.18144397587484737,0.31738771094093576,0.6550806545897724,0.1662689927923087,0.35749488218731,0.0860349660378614,0.1532536931415422,0.15477597209009036,0.5671235388438858,0.4004056922572682,0.10007323170315255,0.08057790883402709,6.534604964384501,3.646817224342881,0.1311067867020381,0.14947813563181533,0.28845959255831105,0.22193853805631988,0.29387233791073764,0.27666788485392896,3.1617810370292014,5.808625098531243,1.9116213061131264,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
