,2014-02-18,2014-03-26,2014-04-22,2014-05-19,2014-06-24,2014-07-22,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-13,2015-02-10,2015-03-10,2015-04-14,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-11,2016-01-19,2016-02-16,2016-03-01,2016-04-12,2016-05-17,2016-06-14,2016-07-12,2016-08-09,2016-09-06,2016-10-11,2016-11-08,2016-12-05,2017-02-07,2017-03-13,2017-04-18,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-09-24,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
37.0,3.3124045367336787,0.8374602498145146,0.51,0.59,0.51,0.56,0.66,0.69,0.56,2.84,3.9,4.35,1.95,5.05,0.61,0.61,0.59,0.85,0.47,0.56,1.4096056257965996,1.89,2.23,1.49,0.34,0.21,0.27,0.34,0.59,0.4,0.54,1.45,0.75,1.28,0.8,0.59,0.35,0.29,0.34,0.3,0.23,0.39,0.51,2.72,5.71666625128502,2.94434990327097,5.62333938271483,0.708316361283926,0.656999775934478,0.614681946873957,0.7494381,0.812541489799685,0.957242686943663,0.589494636301159,0.868962672853841,1.84699091842214,3.7931121835833,1.36548646644541,1.06512349757005,0.503391015214989,0.596658067912519,0.584427941078774,0.619811791438041,0.933389816950127,3.67738729056926,0.818091975849339,0.728057651643114,0.636940611946363,0.723012528448303,0.565104911068647,0.648490653828656,1.15419286281611,2.50387296635669,3.58172835544477,1.92304936836137,1.24171317912944,1.72003180867528,0.943755214534492,0.722120219362598,0.844555853878582,0.933158604577737,0.811669182418573,0.972363881179254,0.916589376763968,11.377701964561,1.12231806148725,2.28142417019632,0.7478074703766854,1.38051657832025,0.859937871245788,0.616617854346689,0.768677684163544,0.680954346326618,0.94364340687096,0.861949781186061,0.775499138310632,2.20307052915897,2.04276149086264,3.58860928876431,1.69301460725719,0.871899682265141,0.876195532789184,0.726153175137888,0.626132826419636,0.685655560007877,0.619357532583064,5.88612161197858,1.79344392920833,3.61242083788552
38.0,3.561854648471497,0.8205169366810761,0.49,0.56,0.48,0.52,0.62,0.7,0.54,2.67,3.93,4.55,2.87,6.07,0.61,0.53,0.68,0.82,0.48,0.48,1.3911293326417469,1.89,2.24,1.49,0.34,0.19,0.26,0.31,0.59,0.35,0.51,1.11,0.75,0.87,0.71,0.57,0.33,0.24,0.32,0.27,0.23,0.29,0.56,2.05,6.05170453038486,3.30020981460429,3.94632336186435,0.677050427661704,0.648971638279409,0.608076250863933,0.70081165,0.753272504051877,0.901764277301279,0.559226241899923,0.816889202611882,1.78338203590687,3.65038146940122,1.24618488546277,1.06872382681643,0.503016130711255,0.590444029279651,0.5632308686496,0.605812689915076,0.932962070690457,3.18623113485464,1.01135802863604,0.6562229944231,0.653296986685357,0.721820062919704,0.525293801194227,0.637887825434825,0.851449991760021,2.34423608724313,3.47106885120233,1.61961518622821,1.20581433314887,1.49824372105622,0.962770637670267,0.656808010252064,0.886827437423697,0.787148036553438,0.810502283964848,0.890167829499705,0.818154909676518,11.440715561378,1.0891787375444,4.26254056604826,0.6901174820055341,1.3480162604697,0.869491841500935,0.575874246796604,0.814060946115468,0.67777466106348,0.837961736629489,1.10170394693082,0.856461493514589,2.19417530042431,2.04786357082968,4.0387444333478,1.51734864764159,0.792404940495586,0.825324123371591,0.752147119770001,0.592550279869843,0.658303360114435,0.577005552268584,5.66354065435048,1.1511562179242,3.91189152343572
39.0,3.3413554443440465,0.7803105809832441,0.47,0.53,0.48,0.49,0.58,0.7,0.51,2.266,3.9,4.53,2.87,5.64,0.52,0.49,0.63,0.77,0.49,0.46,1.346230875500021,1.88,2.27,1.4,0.34,0.19,0.26,0.29,0.56,0.31,0.35,0.64,0.75,2.0,0.68,0.53,0.27,0.22,0.29,0.25,0.23,0.24,0.5,2.08,6.18915588245981,2.89307879962076,3.2441002279716,0.672890066051319,0.655273468917388,0.600350361163103,0.69770046,0.710552493809269,0.790220425153465,0.554234788250856,0.906370343189438,1.82559005006922,3.53058493062303,1.0962544127313,1.14581219759879,0.513786819455072,0.549225953367066,0.602081076508045,0.600504744558384,0.757178537837584,3.50226625928966,0.845107210812365,0.621189191013028,0.689721168656107,0.697357244708566,0.54349933310782,0.628796769645036,0.683300575306289,2.20066034087162,3.92168322497405,1.51124458062457,1.13712776059489,1.6040008340247,0.85161257928012,0.651082809700627,0.869790522345745,0.7044524550037,0.809111643136014,0.889047298932284,0.755900463521503,11.3090957862296,1.056162034727,4.30133423887766,0.7092615927989516,1.14463434969184,0.775418372296828,0.585028786953597,0.720135956357114,0.669264903170896,0.790566878145219,0.794175294956647,0.716231483311192,2.10997766687444,2.05271093628467,3.74397742453905,1.63794774494745,0.794039884602234,0.838706802937202,0.643059048810339,0.541595479767389,0.621841414387821,0.583007796393663,5.4177735884724,0.795869783099776,3.84075724948501
40.0,3.1996228116503866,0.7218751062108184,0.45,0.53,0.45,0.44,0.56,0.66,0.51,1.8619999999999999,3.96,4.43,1.33,5.44,0.5,0.46,0.61,0.73,0.49,0.44,1.2880661168631222,1.82,2.29,1.38,0.33,0.19,0.26,0.27,0.53,0.28,0.28,0.53,0.76,1.39,0.66,0.51,0.25,0.2,0.27,0.23,0.21,0.22,0.47,1.89,5.78165871009705,2.81352796641801,2.9901467177834,0.676312745615975,0.646150477349605,0.58018685390336,0.67250943,0.683807081794953,0.699532730740987,0.568286790679663,0.858249373711918,1.81328586410107,3.60656170353573,0.939538672398512,1.10510201952343,0.581863731995902,0.5257431733201,0.575673487026189,0.60683364890632,0.683207514902576,3.59683780966723,0.763863479947325,0.65451196059048,0.618115779953478,0.696408077236758,0.519111399784869,0.592127023872074,0.739287643244797,1.839473960582,3.98494994060709,1.50142449596583,1.1382626642603,1.55487832193581,0.902298415313465,0.6517394756009,0.796080372291375,0.764417872642833,0.722617150927263,0.914485357704821,0.777818859816894,11.5565206629715,1.13494854814971,4.0444881016848,0.7421420894791496,1.02383401243978,0.769565238369917,0.639244590395466,0.727033387833011,0.674056745813467,0.79387605411288,0.7721559310954,0.767450486200034,2.05700229219147,2.05797929756104,3.5945807285632,1.7045067030043,0.806460317491645,0.787478993048524,0.600470870139797,0.529852117583807,0.676237705564151,0.599306731243238,5.1654829204623,0.55496895781139,3.54647614853065
41.0,3.158755013984518,0.7294665567345602,0.42,0.47,0.42,0.44,0.53,0.62,0.46,1.4579999999999997,3.91,4.4,1.3,5.4,0.39,0.43,0.59,0.69,0.49,0.42,1.2490120918024468,1.81,2.31,1.35,0.32,0.18,0.25,0.25,0.54,0.27,0.21,0.61,0.76,1.49,0.64,0.51,0.24,0.19,0.25,0.22,0.22,0.21,0.38,2.42,6.10611674996207,2.66968377732387,2.63366284767126,0.673585435019853,0.700541251045437,0.591037592875358,0.68832727,0.672049586364423,0.650686816852971,0.52886155483319,0.72428923117132,1.68446895150733,3.44295514822911,0.906060239133097,1.09167684841209,0.569379698909454,0.507840433424445,0.617805047943371,0.59543445419161,0.641342269236044,3.62690405182876,0.74104995350607,0.651351986016361,0.562916391821425,0.712893024302066,0.525909185619068,0.598054680768843,0.715602754411059,1.70077399759269,3.78120334192477,1.74739556768371,1.20837146130811,1.4181871715031,0.827465959026725,0.648586645391967,0.821270637424351,0.733636902295356,0.700398876192428,0.807649536391267,0.724553139516151,10.7757136657877,1.13205401938944,4.09900904474125,0.8012123901223105,1.01836952136637,0.717032189192418,0.625115493542455,0.697196022981083,0.636274402159926,0.703526243037945,0.713872707320051,0.67291557212206,2.22486941764736,2.06603021302294,3.62312935226263,1.67550256345074,0.847058714126264,0.847567419448883,0.628418398496719,0.527008742757844,0.685993791897461,0.525459484829508,5.02285031273268,0.565322697130224,2.14579888286251
42.0,2.8885034858137466,0.717282077358873,0.39,0.47,0.4,0.42,0.51,0.58,0.41,1.0539999999999998,3.9,4.51,1.91,4.77,0.41,0.4,0.58,0.61,0.48,0.41,1.2220612769182349,1.78,2.33,1.3,0.31,0.17,0.25,0.25,0.51,0.26,0.18,0.46,0.76,1.9,0.63,0.46,0.23,0.19,0.22,0.19,0.2,0.18,0.31,2.72,6.09107885088225,2.62261473598526,1.99776408567229,0.63681676409743,0.679127557983116,0.584645278870546,0.73796462,0.677119376515261,0.656464267251591,0.526017845037827,0.570459251144325,1.49545691408514,3.96205147313371,0.848927546678907,0.968139558105353,0.54348560499566,0.502893605002089,0.576292852886996,0.659948986640292,0.674124045815885,3.76749623818292,0.783786931953414,0.679108587451748,0.597130529957918,0.666114805849315,0.546047555089407,0.577786291285164,0.667759505397279,1.50062885133488,3.88332152952614,1.47749000128275,1.2425569677594,1.42423085158584,0.818729378855511,0.644119795178627,0.793813478325884,0.742208095550186,0.641098928976892,0.735511893151525,0.623650120189298,10.6798576772384,1.18020425096084,4.00359056052103,0.8712135640860285,1.10648893845607,0.701902401875421,0.637984251675318,0.654500498933618,0.658488658143455,0.624642930813548,0.712621931247619,0.541159700554568,2.0525547942243,2.06656061120518,3.68886517278964,1.60942735983848,0.756944729109315,0.776007712190855,0.624947070738574,0.536132250801399,0.641092358433376,0.517761263330147,4.99852049523278,0.599283350276824,1.4697592629881
43.0,2.8265283418412452,0.7306937896917619,0.37,0.44,0.38,0.4,0.5,0.34,0.33,0.65,4.08,4.68,1.84,4.74,0.43,0.38,0.55,0.58,0.47,0.37,1.1852381127747247,1.79,2.31,1.26,0.3,0.16,0.25,0.25,0.51,0.25,0.17,0.49,0.74,1.22,0.6,0.46,0.23,0.19,0.22,0.18,0.18,0.16,0.29,1.99,5.76009413820399,2.87171238559089,1.30824698535178,0.663953304976411,0.653755673322337,0.574677544744025,0.72672072,0.660523303330666,0.628670510331546,0.539184508638993,0.539519583629204,1.49151649579422,3.79515550540671,0.876801364789953,0.975900894828799,0.516269500980756,0.509464019247261,0.590344770603488,0.61258326640113,0.670514525528897,3.33175385982375,0.768835951712124,0.66455578023529,0.67911835469977,0.66090096750236,0.529002286753591,0.567765554013296,0.705091337851039,1.47489934766439,3.79242454337014,1.3566108941535,1.22705472795192,1.39868230424507,0.83923462182896,0.658222414346643,0.729601082959951,0.756688748898706,0.666136741109516,0.753247803802156,0.595968261179668,11.2912470894882,1.09512646187688,4.22056792164453,0.8315515668633254,1.16915859859902,0.723194380184015,0.649383491653315,0.635544865724609,0.649599788110629,0.609209887906012,0.713196392576761,0.526801796448579,2.02087779741775,2.05381504597728,3.59836259631621,1.69389055901244,0.726316416861584,0.776483257962081,0.616604590549473,0.561321579127409,0.658415745308021,0.542455288299051,4.92140632783591,0.502000387427601,0.99730353514722
44.0,2.7493602719778623,0.742045445067021,0.37,0.4,0.38,0.34,0.45,0.34,0.31,0.6,4.14,4.46,1.85,4.71,0.43,0.37,0.5,0.56,0.48,0.36,1.1597926191380004,1.23,2.33,1.22,0.3,0.16,0.26,0.24,0.48,0.22,0.17,0.46,0.77,0.89,0.59,0.45,0.22,0.18,0.21,0.17,0.15,0.16,0.26,2.9,5.73274651709962,2.62474058787582,2.89427651672619,0.646397162134462,0.74591928100859,0.608192594999001,0.68286342,0.621918296767477,0.650391189027065,0.474582617854505,0.528741574827932,1.34667635153894,3.49445766944997,0.941906072026726,0.908690584220955,0.526897574260421,0.517440590072209,0.577274821795468,0.590509628807043,0.761184877992708,3.46936730958781,0.81853167235616,0.638515499170225,0.684505217063756,0.655799161021519,0.534073534138812,0.592776681628803,0.674440834750056,1.27575921934615,3.8383207645126296,1.3009385269696,1.07657515701464,1.48885483474946,0.872276342083578,0.663851341320929,0.825419990580405,0.704442748399702,0.780033912928551,0.790498072464851,0.657753979941751,11.3399464024255,1.18882371191904,4.07834028667277,0.6818922236544123,0.994969879449932,0.722391521975439,0.703143777586806,0.66643288465632,0.652514079590943,0.627818506874151,0.675606715113558,0.631798890075222,1.961623019137,2.03483472328733,3.69872644700415,1.70450320017812,0.744718207853176,0.881822371908796,0.635851667409882,0.55996192650723,0.6355297589847,0.530449772680368,4.87941998380992,0.469816584810925,0.627066501922461
45.0,2.7585524431717436,0.7510773889284889,0.39,0.38,0.35,0.32,0.43,0.34,0.28,0.6,4.13,4.32,2.21,4.85,0.44,0.36,0.47,0.54,0.48,0.36,1.181488947232813,1.37,2.3,1.21,0.3,0.16,0.26,0.23,0.42,0.22,0.17,0.46,0.79,1.16,0.58,0.45,0.21,0.18,0.21,0.16,0.12,0.16,0.25,2.47,6.1021736456941,2.84963360819052,4.85565392098219,0.594043352505575,0.684831081345079,0.575140352538611,0.70221073,0.616957714540257,0.586517410481948,0.481319113535184,0.540108965881446,1.39099918130088,3.69499743183439,1.00244339951923,0.851010295787671,0.521840668185163,0.515298112803721,0.57565272534453,0.609409308226288,0.741194000708873,3.68465724422404,0.785306947767434,0.637961994199523,0.693794808386115,0.673906851006712,0.522720952381552,0.606833921167557,0.706628003238644,0.972038215276519,3.8381301861826373,1.28774429390472,1.05814697517658,1.33490856172764,0.989639264631803,0.684576183915796,0.793144611271827,0.682433788060137,0.759075381670892,0.739235712662988,0.644835575229969,10.3621809114795,1.13119689806498,4.1289832284349,0.5958627823443647,1.03027015967245,0.815209899868954,0.691877587045631,0.746400454380115,0.677913784372363,0.624708172052762,0.589592339787387,0.873160512024745,2.13314561260696,2.00856182993464,3.92598738757942,1.67097809304705,0.712096895019603,0.893891764832087,0.650814872416695,0.586358581276497,0.71437478804071,0.514544587961179,4.93116645311486,0.622476742162538,0.585560816618848
46.0,2.80007091309235,0.7179703176873101,0.39,0.36,0.31,0.3,0.39,0.34,0.27,0.56,4.12,4.31,2.0,4.92,0.42,0.36,0.47,0.53,0.46,0.35,1.2064339090541774,1.19,2.34,1.18,0.3,0.15,0.25,0.22,0.4,0.21,0.18,0.45,0.76,1.05,0.54,0.43,0.21,0.17,0.2,0.15,0.12,0.17,0.22,2.46,6.07314181451963,2.76411427455474,7.22947229317934,0.645886447691078,0.678417076758099,0.606497907412829,0.71759956,0.678189464387673,0.7107920281899,0.487193357872463,0.505692124694484,1.30056721000134,3.31518558298421,1.01920008981711,0.87166651537656,0.521861525657349,0.522380034157586,0.594538398349845,0.608749135403883,0.689329317255193,3.53067314035222,0.6380003483094144,0.830938801209275,0.765538190914012,0.714066700093182,0.526690019005168,0.584522010925006,0.669650585568537,0.677333139812212,3.841694103802891,1.28240542484052,1.09148217101944,1.59223991075628,0.6593640281052494,0.643052897171177,0.761062439028326,0.722395993471831,0.726122246774545,0.74578350465197,0.620253511205176,11.6930398695931,1.05957425481874,4.14227245689218,0.6230165940298467,1.03404942587098,0.784689716539007,0.706980022171132,0.70864612693599,0.68720458210331,0.616028684710493,0.622685108092428,0.771115474162372,2.10100941137623,1.97321814396274,3.7462169621949,1.4741674197535,0.723174643466963,0.793322702393356,0.694498182725201,0.557458735658388,0.849582784808268,0.514424728197196,4.98677200902935,0.622302945812699,0.54255680221971
