location,date,depth_group,depth,temp,chlorophyll_a,ph,turbidity,dissolved_oxygen,total_dissolved_solids,biochemical_oxygen_demand,secchi,nitrate,phosphate,ammonium,phosphorus,nitrogen
WG,2014-07-23,10-30m,20.5,23.1475,0.715,8.9485,1.0,6.849500000000001,300.0,,,,4.7,,,
WG,2014-07-23,30m+,92.0,20.520081300813008,0.2126016260162601,7.745365853658536,,2.4170731707317072,300.0,,,,,,,
WP,2014-07-23,0-10m,5.009090909090909,23.375454545454545,0.48,8.80909090909091,1.0,6.740909090909091,300.0,2.0,7.0,,1.7,,,
WP,2014-07-23,10-30m,20.5,22.846,0.8065,9.063,1.0,6.2865,300.0,,,,15.5,,,
WP,2014-07-23,30m+,70.5,20.588,0.2105,9.01,,2.473875,300.0,,,,,,,
SA,2014-08-12,0-10m,5.009090909090909,23.21090909090909,1.0763636363636364,9.01,,7.294545454545454,300.0,,5.1,,,,,
SA,2014-08-12,10-30m,20.5,22.7745,1.418,9.01,,6.858,300.0,,,,,,,
SA,2014-08-12,30m+,42.5,21.1075,0.5241666666666667,9.01,,2.7862500000000003,300.0,,,,,,,
WP,2014-08-12,0-10m,5.009090909090909,23.875454545454545,0.6709090909090909,9.01,1.0,7.474545454545455,300.0,2.2,5.6,,5.0,,,
WP,2014-08-12,10-30m,20.5,22.9495,0.9335,9.01,1.0,6.914499999999999,300.0,,,,1.0,,,
WP,2014-08-12,30m+,65.5,20.644857142857145,0.2935714285714286,9.01,,2.543142857142857,300.0,,,,,,,
WG,2014-08-13,0-10m,5.009090909090909,23.38090909090909,0.4990909090909091,9.01,1.0,7.470909090909092,300.0,2.8,9.0,,32.0,,,
WG,2014-08-13,10-30m,20.5,23.0005,1.1845,9.01,1.0,7.251,300.0,,,,40.0,,,
WG,2014-08-13,30m+,114.0,20.500958083832334,0.2094610778443114,9.01,,2.040059880239521,300.0,,,,,,,
SA,2014-09-08,0-10m,5.009090909090909,23.39909090909091,1.3981818181818182,9.01,,8.088181818181818,300.0,,6.5,,,,,
SA,2014-09-08,10-30m,20.5,23.0785,1.2435,8.61470588235294,,7.429,300.0,,,,,,,
SA,2014-09-08,30m+,44.5,21.087142857142855,0.4582142857142857,7.336071428571429,,2.514642857142857,300.0,,,,,,,
WP,2014-09-08,0-10m,5.009090909090909,23.88,1.3272727272727272,7.244,3.0,8.235454545454546,300.0,2.8,5.0,,18.8,,,
WP,2014-09-08,10-30m,20.5,22.9575,1.2905,7.699,2.66,7.266500000000001,300.0,,,,16.48,,,
WP,2014-09-08,30m+,66.0,20.737042253521125,0.3088732394366197,7.575211267605634,,2.5246478873239435,300.0,,,,,,,
WG,2014-09-09,0-10m,5.009090909090909,23.432727272727277,1.2772727272727271,10.04,4.165,8.128181818181817,300.0,1.7,5.9,,20.1,,,
WG,2014-09-09,10-30m,20.5,23.234,2.112,9.344666666666669,3.0,7.920999999999999,300.0,,,,17.0,,,
WG,2014-09-09,30m+,95.0,20.53248062015504,0.2241085271317829,7.3464341085271325,,2.239767441860465,300.0,,,,,,,
WG,2014-09-25,0-10m,5.009090909090909,23.561818181818182,1.7245454545454544,8.245000000000001,1.495,8.04,300.0,,5.1,,32.6,,,
WG,2014-09-25,10-30m,20.5,23.2295,2.580625,8.665,,7.677,300.0,,,,47.3,,,
WG,2014-09-25,30m+,113.5,20.512409638554217,0.1927710843373494,7.529277108433734,,1.7059036144578317,300.0,,,,,,,
SA,2014-10-07,0-10m,5.009090909090909,23.48818181818182,2.3822222222222225,7.8554545454545455,1.0,8.476363636363637,300.0,1.7,5.05,,28.33,,,
SA,2014-10-07,10-30m,20.5,23.1285,2.6017647058823528,10.0015,1.0,7.662000000000001,300.0,,,,29.3,,,
SA,2014-10-07,30m+,43.0,21.2384,0.3879999999999999,8.5956,,2.5516,300.0,,,,71.5,,,
WP,2014-10-07,0-10m,5.009090909090909,24.11909090909091,1.9577777777777776,9.67,1.5,8.808181818181819,,2.5,4.5,,51.6,,,
WP,2014-10-07,10-30m,20.5,23.084,2.01,9.799,3.0,7.481,,,,,59.6,,,
WP,2014-10-07,30m+,69.5,20.69794871794872,0.2757692307692307,8.65846153846154,1.0,2.1887179487179487,,,,,81.5,,,
WG,2014-10-08,0-10m,5.009090909090909,23.700909090909093,2.2445454545454546,11.505454545454546,1.0,8.299999999999999,300.0,2.2,5.2,,106.15,,,
WG,2014-10-08,10-30m,20.5,23.3055,3.429411764705882,9.106,1.0,7.9915,300.0,,,,102.0,,,
WG,2014-10-08,30m+,114.0,20.517904191616765,0.1859036144578313,7.07940119760479,1.0,1.9340718562874253,300.0,,,,133.1,,,
SA,2014-11-11,0-10m,5.009090909090909,22.33909090909091,2.9855555555555555,9.195,1.0,7.856363636363636,300.0,0.6,5.8,,79.65,,,
