location,depth_group,sid_rmse,evan_rmse,sid_mae,evan_mae,sid_nse,evan_nse,sid_samples,evan_samples,sid_best_params,evan_best_params
WG,0-10m,0.29905567881037054,0.5878262936820284,0.24277952699515598,0.3508626711971405,0.1670058453939125,-2.7621259220665753,119,70,"{'max_depth': 15, 'n_estimators': 100}","{'max_depth': 15, 'n_estimators': 300}"
WG,10-30m,0.34736877263674343,0.3115891366101655,0.2663556765448545,0.24741611820956447,-0.8460119932616743,-2.0567143352831665,119,70,"{'max_depth': 5, 'n_estimators': 300}","{'max_depth': 5, 'n_estimators': 300}"
WG,30m+,0.5414263595020982,0.21341580458401913,0.4142284628929831,0.17066837446999994,0.0682616886070403,0.08127892912410684,119,70,"{'max_depth': 15, 'n_estimators': 300}","{'max_depth': 10, 'n_estimators': 100}"
SA,0-10m,0.3053925174422689,0.2915951313768921,0.2441440273175541,0.2158889745941674,0.1463207676385766,0.11702096376592785,109,65,"{'max_depth': 5, 'n_estimators': 300}","{'max_depth': 15, 'n_estimators': 300}"
SA,10-30m,0.33547373161750615,0.34624647016259524,0.27963171690187816,0.3023798586590408,-0.20909218332664814,-0.2624308460739051,109,65,"{'max_depth': 5, 'n_estimators': 200}","{'max_depth': 5, 'n_estimators': 100}"
SA,30m+,1.2944403765918888,1.2928340087002514,1.0077202360036175,1.0550068633846763,0.38226724445501814,0.45851453722066704,109,65,"{'max_depth': 5, 'n_estimators': 300}","{'max_depth': 5, 'n_estimators': 200}"
WP,0-10m,0.3747908267513058,0.3254408418660573,0.2946277037650127,0.27008472799358696,0.2301440138863109,0.18958491175444936,108,63,"{'max_depth': 5, 'n_estimators': 300}","{'max_depth': 5, 'n_estimators': 100}"
WP,10-30m,0.3902145372405462,0.2667667930583029,0.3041333101971457,0.22457294027331856,-0.31819607366655833,0.40111722531073146,108,63,"{'max_depth': 5, 'n_estimators': 200}","{'max_depth': 5, 'n_estimators': 100}"
WP,30m+,1.0620178359601198,0.6956928297363381,0.9056888654244531,0.579407879685049,-0.5225771319684285,0.13414308206168535,108,63,"{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 5, 'n_estimators': 100}"
