month_year,Year,Month (num),Month,Day,date,Location,Municipality,X,Y,Altitude,Time,Temperature,Ambient T,Temp change,pH,depth,Total_Dissolved_Solids,Sediments,O2,O2,Salinity,Conductivity,Flow,flow,phosphate,Nitrates,Turbidity,Fecal_Coliforms,BOD,Total_Nitrogen,Total_Phosphorus,ICA,Quality,Colour
8,2015,8,Ago,3,03/08/2015,Río San Francisco,Panajachel,430805,1631438,1637,,25.9,,,8.18,15,91.3,0.2,6.89,103.1,0.09,192.2,234.71,0.234,,,,,,,,,,
8,2015,8,Ago,5,05/08/2015,Río La Catarata,Panajachel,428286,1631202,0,,18.1,,,8.15,> 120.0 ,107.5,0.1,11.11,140,0,252,6.23,0.006,,,,,,,,,,
8,2015,8,Ago,5,05/08/2015,Rio San Buenaventura,Panajachel,428435,1631162,1596,,21.8,,,8.44,65,102.2,0.1,7.2,99.1,0.1,214.8,3.65,0.003,,,,,,,,,,
8,2015,8,Ago,6,06/08/2015,Río Quiscab,Sololá,426160,1630385,0,,23.5,,,8.68,45,79.8,0.2,7.31,104,0.08,168.1,520.37,0.52,,,,,,,,,,
8,2015,8,Ago,6,06/08/2015,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,20.4,,,8.19,5,56.5,1,7.26,98.6,0.06,119.6,89.1,0.038,,,,,,,,,,
9,2015,9,Sep,3,03/09/2015,Río Quiscab,Sololá,426160,1630385,0,,19.9,,,8.11,9,76.6,0.5,7.53,100.9,0.08,161.7,792.89,0.792,,,,,,,,,,
9,2015,9,Sep,3,03/09/2015,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.7,,,8.2,70,58,1,7.67,101,0.06,122.7,56.24,0.028,,,,,,,,,,
9,2015,9,Sep,4,04/09/2015,Río La Catarata,Panajachel,428286,1631202,0,,17,,,8.2,24,92.3,0,8.08,100.4,0.09,194,22.28,0.022,,,,,,,,,,
9,2015,9,Sep,4,04/09/2015,Rio San Buenaventura,Panajachel,428435,1631162,1596,,17.3,,,8.26,32,87,0,8.08,101.2,0.09,183.1,21.11,0.021,,,,,,,,,,
9,2015,9,Sep,4,04/09/2015,Río San Francisco,Panajachel,430805,1631438,1637,,19,,,7.93,13,81.9,2,7.7,100.8,0.08,172.6,177.33,0.177,,,,,,,,,,
10,2015,10,Oct,7,07/10/2015,Río Quiscab,Sololá,426160,1630385,0,,19.1,,,7.61,9,68.7,0.5,7.86,101.9,0.07,145,2124.73,2.124,,,,,,,,,,
10,2015,10,Oct,7,07/10/2015,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,18.8,,,7.55,29,55.7,0.3,7.95,102.5,0.05,117.8,267.63,0.267,,,,,,,,,,
10,2015,10,Oct,8,08/10/2015,Río La Catarata,Panajachel,428286,1631202,0,,18.9,,,8.04,44,91.5,< 0.1,7.85,101.8,0.09,192.4,28.53,0.028,,,,,,,,,,
10,2015,10,Oct,8,08/10/2015,Rio San Buenaventura,Panajachel,428435,1631162,1596,,18.7,,,8.07,73,98.6,< 0.1,7.96,102.8,0.1,207.3,64.24,0.064,,,,,,,,,,
10,2015,10,Oct,8,08/10/2015,Río San Francisco,Panajachel,430805,1631438,1637,,22.1,,,8.03,18,86.3,0.3,7.42,103,0.09,181.6,296.25,0.296,,,,,,,,,,
11,2015,11,Nov,4,04/11/2015,Río La Catarata,Panajachel,428286,1631202,0,,17.9,,,8.25,40,93.9,0,8.06,102.5,0.09,197.5,23.55,0.023,,,,,,,,,,
11,2015,11,Nov,4,04/11/2015,Rio San Buenaventura,Panajachel,428435,1631162,1596,,18.3,,,8.25,45,97.4,0,8.13,104.4,0.1,204.7,23.43,0.023,,,,,,,,,,
11,2015,11,Nov,4,04/11/2015,Río San Francisco,Panajachel,430805,1631438,1637,,20.6,,,7.55,20,84.4,0.1,7.91,106.6,0.08,177.7,252.07,0.252,,,,,,,,,,
11,2015,11,Nov,12,12/11/2015,Río Quiscab,Sololá,426160,1630385,0,,20,,,8.15,20,72.1,0.1,7.9,104.9,0.07,152.2,993.53,0.993,,,,,,,,,,
11,2015,11,Nov,12,12/11/2015,Río Tzununá,Santa Cruz La Laguna,,,,,19.1,,,8.45,12,56,0.1,7.93,103.3,0.06,118.6,125.26,0.125,,,,,,,,,,
12,2015,12,Dic,3,03/12/2015,Río La Catarata,Panajachel,428286,1631202,0,,17.2,,,8.3,65,109.3,< 0.1,8.12,101.5,0.11,229,9.14,0.009,,,,,,,,,,
12,2015,12,Dic,3,03/12/2015,Rio San Buenaventura,Panajachel,428435,1631162,1596,,17.9,,,8.31,57,108.9,0.1,8.29,105.2,0.11,228,7.3,0.007,,,,,,,,,,
12,2015,12,Dic,3,03/12/2015,Río San Francisco,Panajachel,430805,1631438,1637,,19.8,,,8.33,29,84.6,0.1,7.97,106.2,0.08,178.2,167.49,0.167,,,,,,,,,,
12,2015,12,Dic,8,08/12/2015,Río Quiscab,Sololá,426160,1630385,0,,17.6,,,8.38,25,69.9,0.1,8.32,108.4,0.07,147.6,867.82,0.867,,,,,,,,,,
12,2015,12,Dic,8,08/12/2015,Río Tzununá,Santa Cruz La Laguna,,,,,17.5,,,8.44,8.12,56.3,0.1,7.97,100.1,0.06,109.1,97.31,0.097,,,,,,,,,,
1,2015,1,Ene,0,,Río La Catarata,Panajachel,428286,1631202,0,,16,,,8.24,120,112.6,0.01,8.03,98.7,0.11,194.2,19.6,0.019,,,,,,,,,,
