,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,mean_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,std_ph,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-26,2014-03-26,2014-04-22,2014-06-24,2014-07-23,2014-08-12,2014-09-08,2014-10-07,2014-11-11,2014-12-08,2015-01-14,2015-02-10,2015-03-10,2015-04-14,2015-05-05,2015-06-09,2015-07-14,2015-08-10,2015-09-09,2015-10-06,2015-11-12,2015-12-08,2016-01-19,2016-02-16,2016-03-08,2016-04-13,2016-05-17,2016-06-14,2016-07-12,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-16,2017-06-13,2017-07-11,2017-08-08,2017-09-12,2017-10-12,2017-11-07,2017-12-13,2018-01-11,2018-02-07,2018-02-28,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,7.858827659275434,8.16093792737654,8.236051220089548,7.949897358860165,8.971459266883013,8.96284680016358,7.831138182511858,8.9285773621602,10.351090828530479,8.151254709103906,8.37763690751375,8.107080434767513,8.427080561771378,8.445594174741947,8.234239781937758,8.332374999999999,8.077233473335033,8.243498078073154,8.046731281869803,7.914764661150396,7.9265594082732544,8.092026867320463,7.52385861502746,7.893810380521401,8.486984527923811,7.6738736271370245,8.076926350664271,8.052420236022828,8.136829424359568,7.865535342094433,9.178428730654009,8.252464285714286,8.392517701142518,8.061606621743596,8.13919509049759,8.20808419796773,8.099440738127086,7.971490454301453,9.089427500765217,7.850938934899532,8.449307461352186,9.495071148671665,8.195025087155267,8.093634394037249,8.409884188550608,9.004585792364804,8.579603925501315,8.457628703395462,8.485030378760866,8.358310070366995,8.047821449264196,8.072395852791024,8.053908711367276,8.0778108793543,7.987823086912596,8.19856773301055,7.9584001978649335,8.185871312298804,8.119552819922802,8.245538269105575,8.125051335716865,7.860425043789866,7.876533279196076,8.030429950290683,7.337198524494929,7.799302884455501,7.844462003667382,7.1455814818224495,7.936663307276885,6.969973307367847,7.065398470724577,5.551009665692193,7.733952337384229,7.951163603306646,7.679565674738462,7.895199824552437,8.378227971603803,7.473415375183037,7.1987924190775825,6.389400743775851,7.186604088430004,7.266935751385697,7.265891854568729,7.8933349858974795,7.453767332856756,7.619737442973404,7.711384415945051,7.443465919171425,7.741107195474982,7.345172028945312,7.194308347004302,6.6932262941772205,7.107682157888843,7.0987424081519395,7.782565365588235,7.456796406034021,7.286274824106728,6.8312014970184425,7.055690227053697,7.275050579943269,6.137143947971338,7.163959725049907,6.647435319170005,5.451081010071136,5.755714726445489,8.94872981346169,6.54263105140533,7.685099094068968,0.11575763040297579,0.14963509787789395,0.165394709675546,0.14993627206398366,0.2039383903473191,0.2065824012737927,0.3480914882584974,0.41148996100341834,0.6443399838664684,0.2790895365549723,0.08925534176138882,0.055904218166729434,0.10366590850933571,0.15525676790467108,0.1507623606228156,0.0839222110051922,0.13209579527440649,0.109999921040868,0.13235127782470002,0.06814144507118158,0.13706422989346637,0.22259007334356276,0.19453719790438487,0.07358949425112817,0.14672365535087165,0.06960594099179208,0.06781748420997877,0.060817412744873844,0.08863466313436263,0.09814917305441545,0.2928276955762451,0.12815080298959616,0.2552441157255751,0.1988906392187948,0.06187532986777506,0.07593172458214914,0.06945321417084355,0.057824642880841395,0.2314162014019722,0.06561186745056682,0.12595509562087392,0.36324174196058007,0.10931250399428183,0.2063467708202862,0.24497532769767,0.2170624227005035,0.20455919682872736,0.11415403688241967,0.11932481319813715,0.0882698034374246,0.07584516052048214,0.05645080031323027,0.046579727579602985,0.13121856970393622,0.10204203948107445,0.2556535754047649,0.09379208528953889,0.10321752614667734,0.16687578141893675,0.1884032079456805,0.13169802505605369,0.15147638496658042,0.1448693170546795,0.14913842747998735,0.2158713562367874,0.23597128384232388,0.13852349695540875,0.200988462952413,0.16117671813078363,0.1658222487931751,0.1904931354406393,0.7048692949532112,0.307574789233601,0.183223685024347,0.16619093288654413,0.16403519523587232,0.23836326459516902,0.23604943916892712,0.09694076426056307,0.31890625945160533,0.14556097420135272,0.10498933375219767,0.14887326916033913,0.25361595437091483,0.23299285611076134,0.16888161973518,0.12184696731832836,0.09925353693605705,0.09645480982374226,0.13848115333066727,0.11597419465345363,0.1926072732343009,0.1430041321031826,0.2580825717135205,0.22162187697111,0.3177733301061804,0.1866658089086239,0.21647556338036555,0.11868380397651986,0.17050727173161673,0.3307504847212177,0.10373895814940345,0.193481565527945,0.5138643482183695,0.43458990670817865,0.24140072611006194,0.4390603646268662,0.2743913415775375,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Lower Photic,8.200243818058953,8.512,8.652,8.548,9.015,9.010000000000002,8.204,9.786,11.350999999999999,8.501,8.401,8.166,8.489999999999998,8.687,8.537,8.636999999999997,8.549000000000001,8.716999999999999,8.551999999999998,8.206999999999997,8.716999999999999,8.358999999999998,7.69,7.921000000000001,8.494,7.703,8.221999999999998,8.322000000000001,8.391,8.311000000000002,9.73,8.761,8.851999999999999,8.257,8.171000000000001,8.257,8.190999999999999,7.997,9.215,7.949,8.870999999999999,10.091000000000001,8.955000000000002,8.853000000000002,8.556000000000001,9.088707516963947,8.69636047333123,8.510502653251184,8.589881152643118,8.653402575995491,8.351329169402158,8.291975320847039,8.498309776395423,8.626030784712492,8.482720563610966,8.551255933257334,8.03647423267722,8.30414511984478,8.285193113188356,8.488480515209684,8.39470968061135,8.268176335166682,8.386934470108878,8.48619749763271,7.778533276439569,7.989380231312367,7.618592061932939,7.772678255664618,8.449858988372043,7.535735213893584,7.549528878267803,6.515252054110206,7.941804143955048,8.137869551493136,7.761806480339788,8.08764893687888,8.582669369316523,7.779917348788848,7.577034676005442,7.193901934053217,7.7707030276578495,7.7775448304235155,7.77202378887322,8.275957148658756,7.763232837164061,7.754240072561595,7.792182193302333,7.582634204995128,7.8960728500494355,7.8135506379317805,7.689375879207918,7.283354392140595,7.627381087038704,7.749102208109035,8.360078342180962,7.8908827610416905,7.745989750590198,6.769869169508317,7.3050209818338105,7.744456763859162,6.525486510605562,7.6229339374755085,7.2065485654734855,6.046700034447917,6.557268623748979,9.617781238995851,6.858962910523968,8.005755498234581,0.06604873078838401,0.04211096452627688,0.03614784456460247,0.20032196307167371,0.015811388300842118,1.8724445165742407e-15,0.8574406361051734,0.08016649341630638,0.08157477823717581,0.019692073983655484,0.007378647873726061,0.01776388345929859,0.012472191289246206,0.024060109910158146,0.054782397821846754,0.08718435129718619,0.08774331250237186,0.10719141756689296,0.09704523572941526,0.06201254353399427,0.1918940679993348,0.008755950357708946,0.008164965809277449,0.011972189997378549,0.023190036174567618,0.05143496432929209,0.08866917289691027,0.12734903917100338,0.16017004852482383,0.039846929339382706,0.09988882709181136,0.0948038911531474,0.004216370213557749,0.014944341180972943,0.011005049346145884,0.0067494855771053856,0.009944289260117697,0.0221359436211783,0.03597838857487153,0.05915140648276163,0.12013418423672048,0.11957796155182147,0.12057731498457286,0.022135943621178905,0.005163977794943112,0.03311579867829419,0.005543561860907726,0.017447621949573174,0.006138543162829434,0.07881791548329245,0.0723056020709243,0.06757892769119382,0.21836970598560107,0.07618249207557065,0.15359689682617741,0.018565652219309198,0.015379699580649669,0.02907147798216775,0.01365381480520672,0.060122492814636525,0.132663233659563,0.19612088325123575,0.07473491753507834,0.13714422917995242,0.020504695250399312,0.04274812336370759,0.11666241401631079,0.2230746320505517,0.14661733367928723,0.2008126849696905,0.02902488172379334,0.21452593982573775,0.022404561301340643,0.020315808733819305,0.01779143329869163,0.028629371654233345,0.025972330534869085,0.08192471273526801,0.19849848938821593,0.23737170583592693,0.1316307315226394,0.1781190264959319,0.0282204136160127,0.04975511101852154,0.05097048769276141,0.038798511363470546,0.012777675431333818,0.04930247889655544,0.058289598760523496,0.1441004591603242,0.07431642516979173,0.16748422909607244,0.10180083992903005,0.12700953648262694,0.06069881181038623,0.08092281317462331,0.0786386423936219,0.08135721634689454,0.08557216177505943,0.08682060521243977,0.2205270643724476,0.19835094774389408,0.2695945692720022,0.24893122736941828,0.34445344164699,0.11862370964044182,0.08552547907496207,0.033300937869733344,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,8.373181254153582,8.569999999999999,8.686000000000002,8.864,9.112,9.010000000000002,7.075,9.831,11.184000000000001,8.512,8.409,8.294,8.571000000000002,8.77,8.648,8.931999999999999,8.655999999999999,8.846,8.815,8.363,8.943,8.381,7.718999999999999,7.910000000000001,8.562999999999999,7.87,8.535,8.553999999999998,8.707999999999998,8.376000000000001,9.821,8.870999999999999,8.879000000000001,8.317000000000002,8.207000000000003,8.278,8.220000000000002,8.064999999999998,9.328999999999999,8.072999999999999,9.004999999999999,10.339,9.071000000000002,8.895000000000001,8.56,9.181070438907733,8.704093444818517,8.54932952275322,8.640637772386473,8.826137754713352,8.576368918634198,8.666317095172564,8.74393701547463,8.76208359220876,8.737731318868269,8.57119668789667,8.142812422846067,8.376567205202814,8.42174500527983,8.72455585456172,8.751362244075677,8.603632124966579,8.541702004525089,8.77366240966847,7.772130819019639,8.109882564148846,7.273635558967169,8.180328911655218,8.676778144655142,7.930236757276904,7.700514563457121,7.312878506078178,7.992688139099505,8.237163864928105,7.865764584914811,8.361304320894723,8.71108586870821,8.249429623245893,8.146281636142826,8.078338292682659,7.958723192186921,8.279761224915433,7.84887231664001,8.36712080578172,7.967725949419207,8.008406118152921,7.803439569747947,7.73734038247463,8.135462805674244,8.150690688247376,7.926576482073986,7.567825756176157,7.856010920425765,8.023020967196901,8.505597315819637,8.05279066760023,7.956660160779362,7.121286177745944,7.663771283782045,7.943237515766981,7.054956729649808,8.056076412880683,7.95017448200546,6.395345896221915,7.221068405285015,9.857157168634325,6.888121981962115,8.102787828351005,0.05259754062777742,1.8724445165742407e-15,0.005163977794943112,0.03806427312965399,0.060882400303098105,1.8724445165742407e-15,0.22584409568451308,0.044334586448455726,0.07574812062208379,0.0063245553203366235,0.012866839377078913,0.059104427358137215,0.042282121254470686,0.028674417556808555,0.0418462795372675,0.026997942308422066,0.015055453054181298,0.023190036174567913,0.10585629672133626,0.0691295080908933,0.012516655570345725,0.015238839267550451,0.014491376746189572,0.009428090415820642,0.03433495141818185,0.06616477747093068,0.048819395052922855,0.015776212754932448,0.03119829055146034,0.012649110640673934,0.00994428926011732,0.014491376746189905,0.009944289260118035,0.026687491868330773,0.02451756739791138,0.01549193338483018,0.006666666666666525,0.019002923751652415,0.015238839267549624,0.0245175673979108,0.009718253158075292,0.0321282153600573,0.019692073983655797,0.021213203435596205,0.0,0.017202004087462603,0.015108646829572626,0.01808608646139726,0.03697670812845937,0.030680453872457877,0.05714421736004396,0.12159747061851729,0.014261594325439872,0.027280391462357223,0.028464344608026628,0.00869713172133205,0.06845350763435526,0.019202030546342546,0.10032604854230542,0.0626511631279656,0.03863083072182452,0.030906096423517788,0.06811785453523718,0.059661163801786946,0.037321580653830684,0.0396326462933416,0.10507093046435385,0.15326400967112483,0.043380270232148806,0.13005911582074425,0.1016860874787004,0.22354619884704713,0.029252132327760846,0.0858241840616211,0.12620687410988546,0.09141447584461691,0.03469114163774741,0.14333897645999152,0.1803166922445196,0.44981364515437583,0.07407656573443709,0.21169959605035074,0.03870835375237829,0.0512707964755204,0.09980314396774372,0.0780563755543,0.010640296719423663,0.04122844780277085,0.05484213277346125,0.08996252880773124,0.12650742296758102,0.05581757964956464,0.04597469573373608,0.14288304961475068,0.03658067665252369,0.047916364172437546,0.04968387913790202,0.16638534365823981,0.14348165761463222,0.14076338209404818,0.14106318802300016,0.11547367444197361,0.10508311425641001,0.22748672827665614,0.24723973104223848,0.03870373827234314,0.12906432666948925,0.08278500571792198,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Surface,8.586553146262139,8.556000000000001,8.688804552455554,8.539999999999997,8.788,9.010000000000002,7.3195,9.661,10.867,8.499,8.433,8.427000000000001,8.647,8.774,8.782,8.988,8.692,8.867,9.051,8.748999999999999,8.969000000000001,8.373000000000001,7.775,7.982999999999999,8.685,8.036,8.578000000000001,8.606,8.760000000000002,8.398,9.841,8.875,8.839000000000002,8.398,8.277000000000001,8.347,8.290000000000001,8.152,9.358999999999998,8.184000000000001,9.025,10.371,9.104999999999999,8.944999999999999,8.567000000000002,9.306963719106426,8.851125147044062,8.699494196556127,8.833505673026952,8.89011172679975,8.713900029867423,8.872666709726905,8.787238583813927,8.844043223776023,8.818702189334363,8.572200442342917,8.419938411440159,8.476287765220608,8.68740753129411,8.85580255219803,8.847199264753408,8.825514829677326,8.686674040737778,8.885224199106721,8.368314299501655,8.42839009293899,6.992814035938378,8.778173245374203,8.813248210223405,8.588388001458416,8.355568704959014,7.693624202962719,8.132340880460868,8.688711420752623,8.027194262967424,8.594334824139926,8.78615473354667,8.753044863989377,8.802821099623369,8.870392364523202,8.416691005070247,8.789718242740403,8.467067711982452,8.628901231332085,8.482565014503441,8.52885469180291,7.853049755332462,7.970435550063131,8.598861810231535,8.755386479483082,8.55198912065489,7.678660874645418,8.345549304084788,8.588689756285651,8.651827971533354,8.437880916820397,8.16241184257605,7.595331075121384,8.157470383791388,8.201406219140015,7.516324199784928,8.400209180944207,8.454466075005291,7.660738048169219,8.094802209524204,10.028574783057426,7.670510927390057,8.453548071584933,0.06809260138721743,0.009660917830793448,0.03221063220936409,0.14966629547095767,0.15324635214074234,1.8724445165742407e-15,0.6473555179858027,0.07852105167122736,0.11860766323377986,0.03314949304120486,0.03267686915507354,0.1147025137765806,0.035292429153510746,0.01955050439815342,0.07465476095557001,0.025298221281346945,0.015491933384829822,0.01059349905471406,0.046055522047970754,0.10038260141412289,0.012866839377079498,0.04110960958218928,0.026352313834736647,0.08512082915218573,0.06293735862833061,0.0636308799946132,0.030840089349920875,0.041419265512024406,0.024944382578493046,0.02440400695696415,0.03446415206816734,0.012692955176440354,0.10289692793168213,0.06425643072011496,0.04691600058733821,0.05657836257007705,0.14727148022916314,0.08866917289691083,0.059151406482761626,0.13393198937437553,0.03659083066683345,0.21063132614963917,0.018408935028645577,0.01581138830084206,0.010593499054713577,0.055437455972374886,0.102664517940021,0.10194344365534311,0.10646481306971158,0.01502468090241302,0.0343901924926165,0.025448632253427916,0.015517890782610311,0.05552896427767322,0.0367071275711679,4.4978432319843626e-06,0.045882414387777105,0.04583340503868892,0.06223227790070651,0.01591378433810513,0.0317719718820501,0.05357236140111744,0.030192819996151605,0.032194728345189126,0.32380365448364556,0.12319763487460762,0.0726835443381791,0.04996444030301255,0.020212286307381623,0.11656723878888764,0.25997858888648334,0.13898794898232542,0.23722750214388075,0.0461861836381617,0.0871477150551312,0.06802418770605248,0.01289006331995073,0.17334393699358497,0.015335866012930395,0.01997307788716045,0.2971517613280057,0.048864100604509825,0.19192915279464798,0.11428200790893309,0.09023573257819503,0.12219168248109384,0.02247732459488201,0.11884086217386751,0.14000388959197865,0.14208357780980163,0.1138645709568546,0.25255089441515577,0.2266876038119609,0.05912972505750501,0.07210850514607661,0.09090588284035014,0.12511834076657147,0.2269785123276993,0.26539700927804377,0.04216972458253799,0.29269652923486095,0.12357296468473297,0.10281128367303341,0.3313900873623313,0.32039270131017544,0.08003146313436703,0.350107513552626,0.323173976497922,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
