,2014-02-14,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-11-12,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
200.0,8.466389520102402,8.530086070764254,8.001154087679163,7.977337614691644,7.868550669745763,7.961031948759125,7.59641657312197,9.01,7.762786323473325,7.24,6.895,9.52,7.620098247204609,7.767073572283874,7.95,8.19,8.126666666666667,8.135834932901469,8.17,7.75,7.61,7.86281685614689,8.06,7.8,8.016666666666666,7.335,7.973333333333334,8.15,7.655,7.923333333333333,7.77,7.01,7.64,7.59,8.754999999999999,7.78,8.043333333333333,7.752231814914206,7.82,7.775,7.84,7.314999999999999,7.763005508648141,7.57,7.984999999999999,9.16,7.903333333333333,7.835,7.21,8.516397849785424,8.678064645751842,8.51864112759338,8.49156161815206,8.28179954309097,8.098719510091053,8.111297595280812,8.084267891388773,8.029333366650576,8.094845564095845,8.112124992666178,8.060777997894446,7.871254087970087,7.374667621081788,7.576388004291704,7.608027157908815,7.105792084878954,7.828829240519973,7.755321840610203,7.156209449164551,7.31995270767788,7.257045281546139,5.84931191888936,7.150425090652073,7.001703797243563,7.228115404789349,6.694565761061121,7.092707432680638,6.994056132226726,6.541582238497499,7.21715549866534,6.718867472351907,6.453056609293346,6.840340590821026,6.861439872354774,7.099259998332014,7.190227055411246,7.674173237060077,7.570848309290577,5.848176946460589,6.565178681902715,5.932356856637447,6.776977724592714,6.434064765835932,7.0751614535122345,7.6331230675659825,7.120471101552686,6.7273854949869545,6.399545326169662,6.748334023496517,6.502806361623579,6.50506851596519,6.486865627086113,6.002741165375559,6.373066534059008,6.512684967261441,7.233715513260066,6.389569357547044,6.477882204683937,5.340803511913824,6.1697693794,6.793524434657631,5.875137828867414,6.957626263144414,5.9160462234666245,5.921601589918807,5.856816046040445,8.817978136394474,6.222654394240972,6.391420504039703
210.0,8.450061391387434,8.494810913632023,7.898710991214621,7.9984505880057535,7.928248399594301,7.894604151543869,7.546687725744597,8.488909126436727,7.409169750087026,7.281538403224546,6.985958907553008,8.54109196256824,7.5720296218413905,7.689042006899699,7.812646494717651,8.173682483279533,8.0357946447026,8.129420182802452,8.076627841414629,7.740337964154418,7.7381710208269885,7.977513606752606,7.364885119967908,7.945505024622726,7.899435285467109,7.432,7.984666666666667,7.8702672251563035,7.7700000000000005,7.668612337032796,7.81,7.111428571428571,7.744,7.638,8.79,7.844,8.070666666666666,7.6450419662236335,7.666583198424689,7.686349295230822,7.486413979602032,7.393999999999999,7.484257364409186,7.456154446814044,8.163496800028602,8.597801853854547,7.901719318220295,7.851188516901792,7.210712965410464,8.518319462380536,8.66023910116219,8.52730090359759,8.487845453310836,8.291291397400007,8.107192906996762,8.09338587866785,8.078639900541193,8.036984946800956,8.091390146454877,8.114837956137958,8.055266405939257,7.359234260920819,7.320987999919017,7.574937152598184,7.536616395323755,7.154184468807126,7.831219945065273,7.76801790457011,7.091846962429261,7.324034191461019,7.263631308789966,5.93546443848976,7.166490087502534,6.992776831881715,7.289057204640445,6.754545928361114,7.131888475422484,7.03239426497437,6.653987536015736,7.22497261505598,6.835402406923487,6.564863255670206,6.891062511492608,6.9110263650716615,7.109791982797823,7.182204087717324,7.670895425597443,7.394322058295524,5.854422977750383,6.62016069549266,6.004341726979803,6.802552777195999,6.5043941906652405,6.993423508973455,7.61168862439601,6.927494296023326,6.519460411877705,6.602823523986894,6.743281565507518,6.574895128606575,6.445583723472661,6.42541301744546,6.0409592032497725,6.401699264628872,6.484986309606379,7.184833141958512,6.381901246026387,6.395545368350649,5.196321562350654,6.133152939,6.801888090833549,5.83238560900188,6.972338416386687,5.955163904868604,5.692595882483348,6.041979797953775,8.544007597109651,6.1499560833535,6.379010595625099
220.0,8.453291028973794,8.502218457974447,7.901413053669114,8.011700647575129,7.955596431304724,7.905602206400307,7.541318673113013,8.489465881155061,7.403204439564789,7.293249360735144,7.021069477904314,8.555702657498683,7.551433372777407,7.665466818244745,7.840330786703666,8.16627470006695,8.036248569001863,8.119314661361297,8.089088095285403,7.760434059410091,7.755632206481374,7.980040227409499,7.414326467287562,7.934301460053103,7.898750811843418,7.529,7.9959999999999996,7.870149811655037,7.885000000000001,7.688364165353171,7.85,7.212857142857143,7.848,7.686,8.825,7.908,8.097999999999999,7.616703923273615,7.67763405303461,7.6802577072533085,7.490504509455105,7.472999999999999,7.488302926065663,7.511907576571654,8.185044616218013,8.616337961446783,7.912430582710403,7.843629150557453,7.1992787364992195,8.504413437899734,8.669327203951042,8.510707945112411,8.495475735564117,8.276070735876914,8.095016441965075,8.082191632985364,8.070602634911388,8.040693532581273,8.088033067540536,8.129676035626654,8.059645569392252,7.274850418695104,7.297338469417376,7.577465430663895,7.512881001355977,7.194115982910363,7.816088905311775,7.751933589155494,7.131490280773351,7.326371831506132,7.282869846237565,5.929298987379322,7.186747278435545,7.0140240824056805,7.346720634012733,6.796199133541836,7.170068195091519,7.146196373110318,6.739781441926292,7.238477383431663,6.851439098000218,6.681786110959384,7.020779111995542,7.0298032311647045,7.163176132149649,7.1956670696112806,7.557099424569342,7.398325132015417,5.863891383036831,6.691083947054507,6.077607658875101,6.958851267915605,6.57613356084895,6.951011920135407,7.436934476173095,6.894206460274136,6.4671701196127485,6.642955581153492,6.755143338800034,6.513204719286598,6.430220520578547,6.434313949960419,6.0952852809632345,6.444086729582506,6.492529595899887,7.184336422847975,6.449915147630174,6.275510902606314,5.276497742543703,6.0160261014,6.758953055415115,5.418460271364066,7.075474791024267,5.9462172091341445,5.805840089289196,5.774827416389611,8.556160388852652,6.182468652867338,6.479964226216448
230.0,8.458502216055953,8.510965343622194,7.902005109798013,8.027262646488046,7.986155913818078,7.931474632480686,7.557361544637541,8.49242468223601,7.4226392529328775,7.302680780490146,7.07422932491496,8.569552873911938,7.533972847847814,7.660710251543403,7.866241723581727,8.167829275000146,8.04096964518209,8.113714890169016,8.097304144921193,7.783711197443254,7.775506862681019,7.982624906109089,7.465442411469153,7.936526138852996,7.908453233700216,7.626,8.007333333333333,7.871724060029113,8.0,7.7320551835361595,7.89,7.314285714285714,7.952,7.734,8.86,7.9719999999999995,8.125333333333334,7.607990869277933,7.718241844978543,7.700654985248772,7.5205033877956655,7.552,7.5103352321221495,7.561294772324531,8.203720571634008,8.634552963172759,7.933511513928624,7.860247540139908,7.191128674266966,8.501474457583345,8.669364939836779,8.512652248951444,8.493630428357115,8.261967211591397,8.092226580310442,8.086859022651815,8.06417979106062,8.038760083087457,8.0779280111757,8.135441061885336,8.0378111903344,7.318821187376242,7.268827550453706,7.560807169126607,7.529006781391866,7.222340988255302,7.814278296806391,7.74400976972162,7.168699903581247,7.319747630899984,7.299326713516507,6.05021734113774,7.229175147225111,7.043406481012893,7.373119286616463,6.865618423615826,7.201064546252892,7.139620640043601,6.826993623388573,7.260843411578653,6.9699633999511565,6.76232034162917,7.084900492944345,7.14877962383338,7.253537198617638,7.22795349321286,7.410697830039853,7.399728887646903,5.916039401868657,6.800288045740667,6.199554664402089,7.021575785389378,6.688058710565306,6.972368436383377,7.401668512186279,6.870545708699581,6.453115597997543,6.749364696950943,6.794239700203738,6.558965326597681,6.423467699823003,6.472307144265147,6.17770637818163,6.5447717930406455,6.533085630072707,7.182711196855128,6.351455132938741,6.105440677757722,5.380742992768441,5.9727023115,6.761669046011304,5.518019261273889,7.008256487923172,5.931336732702865,5.970874234470198,5.848422905209624,8.568557547554862,6.230254663340641,6.542569676456627
240.0,8.464122625481743,8.519538650148782,7.921574117394146,8.04972067287648,8.022798540633532,7.953805426297139,7.570819308118839,8.495557230944911,7.445397413807011,7.331869966131668,7.128830408752259,8.583488101547912,7.539790470502894,7.677112272854381,7.902967728178847,8.177518311839291,8.051218329253674,8.116710165655812,8.109085324762262,7.813895386908269,7.802875121482185,7.990689031619513,7.517363956308045,7.936915194901707,7.924814088212085,7.723,8.018666666666666,7.894223588908566,8.115,7.781053805229045,7.93,7.4157142857142855,8.056000000000001,7.782,8.895,8.036,8.152666666666667,7.622108915614017,7.763365114971676,7.736006873894681,7.556641756638351,7.630999999999999,7.539628644940914,7.61887451617882,8.224004751540715,8.652806370021965,7.95172755976678,7.872209804425514,7.213051037853711,8.497139415218902,8.665983905978106,8.516578051942284,8.497700885357123,8.261670012695081,8.09574750708677,8.087825372900747,8.075121707928306,8.038551044233076,8.075446080354242,8.137254482028606,8.017524528729234,7.344437278794778,7.267393414137589,7.576642441454675,7.563196135902501,7.25719127443748,7.814811102074287,7.7531442327841,7.193446329228484,7.354242739178598,7.332288845659259,6.020424702097757,7.265146554713619,7.092455114531589,7.424635973563001,6.920944426574325,7.228369009156895,7.152149013954474,6.853551249902827,7.282645714722139,7.079170773868033,6.743574377561271,7.1374358838791,7.120464522626324,7.35094383059625,7.257794567119014,7.3578845510429,7.411000172281258,6.003566143054572,6.83599682203573,6.315186955784345,7.123132673433252,6.79248167205053,6.981138839057053,7.361191393834261,6.924454708124105,6.504312274427574,6.758754478665435,6.839734518221041,6.59836021321654,6.485192451152916,6.5662209381966905,6.273834537761377,6.619981634386399,6.618100684560655,7.186244071294818,6.136144724499331,6.059296408636207,5.312545330874897,6.0558358744000005,6.407415978619516,5.614771499212353,6.633485414048169,5.920079496305378,5.663215622324893,5.656267869456469,8.580885770480393,6.104059434530998,6.434608593907472
250.0,8.465776087970353,8.52568099304873,7.944871443303373,8.061464225060233,8.054347118314846,7.967330171744067,7.575471196890293,8.494600044024494,7.408629414519913,7.368546913146255,7.142735462222762,8.595443711691463,7.5560602359752265,7.706607355954913,7.933852729392874,8.179453321688285,8.057794729635395,8.109807363104766,8.109462497296935,7.843862722737626,7.829643465323044,7.986673104592218,7.587284828126152,7.920287754962315,7.9366982155218055,7.82,8.03,7.9199345613148715,8.23,7.831934754810775,7.97,7.517142857142857,8.16,7.83,8.93,8.1,8.18,7.64620503833607,7.811495443925337,7.783937578351523,7.594684784303387,7.71,7.563800731499474,7.666921337279383,8.241325373353005,8.669483394246328,7.9579688703908795,7.866538088465982,7.257088497289967,8.48931484072374,8.66252861333702,8.51040721634144,8.494151215056672,8.250757210244533,8.097652057611231,8.074097315266041,8.070536686699365,8.010826637243834,8.064892657428874,8.13068877325561,7.997160475124308,7.327536133904106,7.271205252586877,7.578651515843312,7.586979616909571,7.258385742559215,7.813525903589005,7.763022527230815,7.217930084187005,7.36915530218271,7.395059940535911,6.0769624387038474,7.2994605864108095,7.196905790694311,7.49044002872566,7.028955764136282,7.251788616518008,7.1905104566390206,6.904999728948114,7.326262209860815,7.12034843410156,6.7669664180009645,7.193824855932533,7.120729955427185,7.407751297758324,7.291831862224592,7.347156687921386,7.43653934846499,6.130101439085952,6.939273748079583,6.462063998865849,7.205390448035618,6.881897703261889,6.975806232087756,7.343795245009522,6.947305869847215,6.525293472879755,6.785402747779325,6.89424435008115,6.681960896227677,6.553285724473634,6.654845366979051,6.398390363811441,6.70199920731052,6.474157348183098,7.264380252922921,6.31401783443063,6.125703821076743,5.324481605034226,6.1074525406,6.444779424589529,5.629963793902462,6.515919524802792,5.748839723908059,5.771665472507908,5.7297797114764775,8.591119872478775,6.256537610476637,6.397226797688724
260.0,8.459996140528185,8.537569930988205,7.936139116486509,8.025831747580856,8.028966699206958,7.9949038620867,7.581005985933874,8.492206846416249,7.374795363293797,7.373907505684488,7.158081413017682,8.621053467499538,7.409961079605945,7.5885530632067075,7.917429908957446,8.187594564650796,8.067167503741278,8.10341879176131,8.126180690408631,7.815031167786555,7.804989761613268,7.985076021534839,7.600989029760582,7.9136847227392,7.824559751662998,7.703333333333333,7.829330718329329,7.901066574753488,8.165,7.790620706407747,8.035,7.618571428571428,8.055,7.859999999999999,9.035,8.235,8.143333333333333,7.629554925837626,7.769360501901556,7.751937526678063,7.625767139389605,7.84,7.586723418224492,7.675637130672942,8.263243500915191,8.712822854317047,7.992162121243459,7.879294078064787,7.291938508174748,8.499193785307565,8.661693344678103,8.515150109079539,8.490064134895418,8.235930705432688,8.096167925210104,8.06682850444289,8.057611365229471,7.984019491022759,8.07028462780379,8.12737246014378,8.00836635163088,7.30883189694187,7.28762302231722,7.568645580590859,7.606406942310485,7.278321575897827,7.794068345455803,7.738342328101984,7.233795329252724,7.422024432647355,7.44300279389748,6.195637143958825,7.339647639336658,7.226206018479007,7.506467450142838,7.141271846269946,7.293240890684077,7.227409829086793,6.939190207615764,7.344265053458391,7.140142123678556,6.8270418893337474,7.218016078229612,7.154115445824185,7.421296632139506,7.32700307918351,7.403816890655195,7.452839642148866,6.286513983886764,7.123658521647845,6.6656325564995225,7.336287821685838,6.987525309982244,7.016191899096879,7.282279004785939,6.989489243241989,6.58122101431933,6.83898924843862,6.939155933217744,6.750208941532996,6.63987866394716,6.735416155478778,6.505515657920173,6.756435708631329,6.322174411412747,7.215477711178207,6.186485360719495,6.1155233413206265,5.4971548732463,6.1268754217,6.431816647292715,5.710035022958207,6.478812108190136,5.815907898052583,5.866235111306384,5.928064896900135,8.616143627497545,6.171283145705153,6.438133932325849
270.0,8.426585790240193,8.534276536937158,7.9225264989113136,7.992091824354232,8.008097244227809,8.018471423294471,7.579044218373261,8.465496253995461,7.386471333827689,7.389490018884947,7.218872407608129,8.653543365037134,7.449518579932311,7.583870475729668,7.897627001035118,8.194936719840346,8.070238667509143,8.091543087633095,8.131357407320401,7.780905689594249,7.7738152719049936,7.980100213408796,7.510455274713622,7.895158456261987,7.839032378649049,7.586666666666667,7.831121537824568,7.9043794759232435,8.1,7.758618775251246,8.1,7.72,7.95,7.89,9.14,8.37,8.106666666666667,7.617954657290017,7.739644669480188,7.73147866601696,7.5062694789148665,7.426336677032633,7.576698747889809,7.690786993007431,8.279526935592305,8.77181686154693,8.019784855606487,7.887444720299229,7.340920215042149,8.566910936351801,8.661112583442549,8.514329918462183,8.479630724706986,8.216947621937516,8.07944771457809,8.049494509062125,8.069336925522117,7.946947025413168,8.047482357689606,8.108882129223066,7.996491374374093,7.310563569056761,7.296494094788284,7.534553345794104,7.626828128870569,7.357126016852236,7.777155809985333,7.7277592686705345,7.259692603032453,7.466667247416159,7.452447358506886,6.2360975810629045,7.378171154723759,7.289477606885512,7.542053585179206,7.236238971216724,7.334735938931482,7.272151983520279,6.993793431416878,7.394728717399479,7.202149097075022,6.994755970034578,7.234274178730603,7.1769048334291625,7.461033621992127,7.384524207444103,7.433156432797029,7.485841128199498,6.44182803701508,7.199030276928869,6.785327938005707,7.345038559000199,7.106887658385635,7.048788862437682,7.291369290243151,7.030475917556238,6.671931674840797,6.77538309475532,6.990475118350075,6.804646763506194,6.71524307832825,6.830176084755292,6.622339589073936,6.813011269084024,6.402744288790659,7.225836636215855,6.2244417747377145,6.222874135968823,5.482007110825816,6.2324722357,6.45148739683742,5.731961344798711,6.444732076759619,5.912806160051985,5.914737456515766,5.990244077627915,8.661720656455564,6.264200803778489,6.48718866454188
280.0,8.31069968055649,8.27893102088059,7.750428011744882,7.990171986652435,7.998793825077163,7.881108793111274,7.588643722603636,8.43477868494611,7.398818358287881,7.267798658467159,7.2601665108375295,8.34494359758985,7.493807385082447,7.38928304690901,7.870422710000301,8.180005524258675,7.964785106037533,8.060993883621935,8.04179210545788,7.788616654696499,7.662144187571777,7.9540490441347895,7.384770961654611,7.879252861050543,7.8162892972278,7.47,7.611976439593972,7.8677405801632885,7.822206251199099,7.5953333397845055,7.89071688169278,7.382475152730814,7.896644919644807,7.807514773312301,8.35164307822754,8.018501108058464,8.07,7.471163106321849,7.576620833283283,7.57988629199723,7.361444570559429,7.415721957655512,7.382111300001584,7.47722875356748,8.20827735800595,8.349593528258435,7.885738474339952,7.821008213730657,7.411244922772274,8.325675667556325,8.655128938356516,8.527241119946265,8.467540576130666,8.192881040615143,8.0315483546109,8.024105464179723,8.036852592355217,7.944092697323832,8.030921438814735,8.0710211755799,7.977010200779135,7.307572914662023,7.282243167609939,7.533169705512395,7.628849695804111,7.435292709273492,7.752832600621107,7.716187841409182,7.266237058136878,7.530669426212937,7.517384234120613,6.370612750156073,7.429442267119147,7.388535504574295,7.56656242977071,7.314536964147156,7.389034651868722,7.320419364886133,7.056205622376682,7.448143866909469,7.263017468011033,7.124943568084161,7.304773413790549,7.215238301358492,7.512078122760831,7.474506089740811,7.452683310824194,7.51071816672269,6.606829032587662,7.272691991217101,6.856190821933327,7.40341244847429,7.183229601085577,7.080059643547029,7.254163411037732,7.112146139017495,6.842765330132044,6.845477572860399,7.042292993372153,6.838498024587291,6.789446941323016,6.906837847991097,6.782584377259042,6.856489502009443,6.484267042950814,7.201004848695938,6.331060038207864,6.316193529818075,5.74501686002734,6.3244744442,6.56002875143734,5.866778701785971,6.533228443231797,6.145118090827963,6.090072969018482,6.101078707886737,8.359032754650393,6.270708193639583,6.475470459430502
290.0,8.259484273222062,8.206629708316541,7.737353553394668,7.928540435863745,7.938154534122895,7.800817215153555,7.636081638434221,8.380478866555244,7.385641310725227,7.258584649724497,7.293089684983619,8.254868912604667,7.519505007629327,7.3921127340402055,7.815617602388214,8.153815285098537,7.917899411265839,7.991664502003285,7.9738977182037925,7.823620341815659,7.70478210849293,7.8865371750703215,7.29682668919681,7.812259442508931,7.786732247899852,7.295092976105467,7.607034775716874,7.862787854824541,7.788023288377791,7.567256165054935,7.840617734249366,7.416983563100208,7.841542848301249,7.759704902282597,8.338918763964717,7.8832092867010255,8.105074089556263,7.466780970440446,7.549487468194849,7.552902743257049,7.368192342114626,7.342815851669625,7.375634885574776,7.474944171637924,8.119305487558465,8.334203630789835,7.820043002489824,7.757363114730662,7.4510281110886325,8.353321818398364,8.662113272801474,8.528075052648582,8.45849491270167,8.143613519274046,7.966577004303824,7.963531045178686,7.950335344057671,7.867745253663948,7.947460023328763,8.00435171324256,7.913995410505703,7.2660419630691875,7.240917747112244,7.495581822244851,7.62290116011836,7.496495481598926,7.728519089059266,7.684286667447866,7.2791760487344,7.55533126962081,7.5119147035981815,6.422780174593577,7.470527255984395,7.454145290671882,7.599589922922072,7.382553006993525,7.417468018421318,7.337277557222758,7.066599993480101,7.454331947977547,7.249594332273093,7.245137103777892,7.284134409965163,7.254471527228354,7.540140578846414,7.512002014397239,7.448962124997435,7.553552474365053,6.773995993238222,7.286160683764398,6.887991646663892,7.408813260464438,7.227878177015271,7.084419229930896,7.24329228749524,7.151098477205003,6.820303238069727,6.750024406571727,7.117029041627332,6.891241737671462,6.851042875661444,6.968753122053643,6.881790060654306,6.859527574602298,6.5881313866739335,7.152759138146404,6.406276654052501,6.470161878826721,5.815098294166797,6.381177487428571,7.035587198835465,5.9785190873604295,6.487241783632775,6.521550149569107,6.09441956047613,6.0108968805236085,8.351728937437032,6.437186140792536,6.411537121440409
