,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,mean_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,std_chlorophyll,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count,measurement_count
date,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05,2014-02-19,2014-03-26,2014-04-23,2014-04-27,2014-06-25,2014-07-23,2014-08-13,2014-09-09,2014-09-25,2014-10-08,2014-11-12,2014-12-09,2015-01-14,2015-02-11,2015-03-11,2015-04-14,2015-05-05,2015-06-09,2015-07-15,2015-08-11,2015-09-09,2015-10-07,2015-12-08,2016-01-20,2016-02-17,2016-03-01,2016-03-09,2016-04-13,2016-05-18,2016-06-15,2016-07-13,2016-08-10,2016-09-07,2016-10-12,2016-11-09,2016-12-05,2017-02-08,2017-03-14,2017-04-19,2017-05-17,2017-06-21,2017-07-12,2017-08-09,2017-09-13,2017-10-13,2017-11-08,2017-12-14,2018-01-11,2018-02-07,2018-02-28,2018-03-15,2018-04-12,2018-05-16,2018-06-13,2018-07-18,2018-08-16,2018-09-12,2018-09-24,2018-10-10,2018-11-14,2018-12-12,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2019-09-10,2020-01-23,2020-02-11,2020-03-10,2020-04-14,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13,2023-07-18,2023-08-16,2023-09-05,2023-10-18,2023-11-14,2023-12-05
depth_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep,0.7404514376245722,0.6346431480269273,0.18785425865548042,0.21716803326194836,0.14088509409700825,0.1629571620144972,0.19918054350168754,0.32489647561166335,0.269649416194594,0.25420476156907557,0.3192603298387106,0.72032606833957,1.1856330458848128,0.7900000672360525,1.4554478496971346,0.23037172661657057,0.22966614865621668,0.18931133814651277,0.27758944364992383,0.3503615108116419,0.34017128259604634,0.28606401409525434,0.38430474394595693,0.44468115942028974,0.518231884057971,0.8041408837721299,0.43602898550724634,0.23859399676733298,0.12208695652173915,0.22999999999999995,0.14272463768115937,0.14795652173913043,0.14355072463768118,0.10908695652173908,0.14757971014492752,0.3197275106385751,0.6122113689696758,0.30375815779404364,0.1296688523609199,0.12146376811594202,0.11584602118116054,0.07486493913659789,0.08630173951694778,0.08627007339753272,0.08656986433196007,0.2481567097712399,0.5190917844022144,1.4512562172970607,1.3702024984621497,0.6863076893451474,0.7149892462200858,0.477818113420881,0.4631589435992998,0.45980954780464744,0.47159873586062734,0.5321117018457425,0.5020988974123658,0.43407369463972145,0.5447084010997542,0.5024035175953746,0.5843751307418009,0.8126483764662054,0.46414809721570094,0.4445862802272874,0.40853856214718737,0.43819656888551384,0.5058346617468178,0.4870803261990266,0.49333378023891006,0.9067747550661471,0.9016887645331565,0.9925413235688432,0.6238371279267002,0.5738669293467207,0.556345662581077,0.588235941892189,0.5600637752494505,0.5238629089197702,0.5692676246576023,0.5412222239490656,0.5972423996700326,0.8380639628134103,0.7292838888194489,0.6751228691972194,0.6154912877609869,0.5502820125392753,0.516570516520014,0.51276420140416,0.6187542219031599,0.6115706367127975,0.6225905487203947,0.6091165092705232,1.0005326817815,0.8213518804508976,0.8126467352724032,0.534742101979993,0.6322301718153667,0.5788644129019653,0.5432806140628472,0.5461556789353128,0.5735388644979446,0.5748770023812864,0.5398759527640051,0.6591011569370742,0.6791634942097919,0.83999930547839,0.8855178840814354,0.7058082205072465,0.695927183190523,0.618028376285468,0.5884117902509705,0.5407288054104701,0.5720530527144271,0.5344852308780085,4.669703831318404,0.5635789808955208,0.6010894540693432,0.8096762149008797,0.3904374286987154,0.24100408627606773,0.25882596984369416,0.09632262529020366,0.17245390547758305,0.2410315051398919,0.20031074342126445,0.18918140529595429,0.14582002293169902,0.31640821494043986,1.0803516481262287,1.099088546151047,0.24659203888629372,1.0967529491519152,0.21773300230723255,0.2770059126121686,0.17824390514028657,0.33293595408304494,0.29053908943809886,0.24264445144584001,0.1456165590909379,0.43407605231889107,0.516221239845167,0.6742071170752915,1.055631877732469,0.42746176996103047,0.1607004003302147,0.11750431831270877,0.2572448230575282,0.20890845832888777,0.2193645161666042,0.1471457948305684,0.128257876966495,0.24260256015935147,0.45484529783532124,0.28687371152851454,0.2188658814735924,0.16679208650134741,0.15533904720699204,0.11635937611272217,0.02964599568037943,0.0910065992902542,0.04628760604965304,0.09841734025477453,0.43258544539291705,0.8213598263754018,1.9644133971408209,0.7915224757945066,0.23513766067408381,0.5798369150057875,0.19165426939097685,0.2662219139584027,0.2311726992594317,0.35412857829491956,0.41560569490182375,0.30521274592632003,0.10463111001190449,0.3778253085678217,0.3198473008938106,0.4905613523674199,0.6653428018035417,0.19675687026603939,0.12384241538456263,0.0908264754404898,0.13320303838657335,0.37368041085695564,0.2864809878290285,0.2627978616938773,0.9481956712308812,0.9285434074253095,1.0290789657361363,0.4130506308417632,0.28902230904799925,0.201567135518999,0.46457239460910654,0.3526885972150823,0.23678141310096834,0.2433641845131038,0.3335091151876246,0.4649109753720349,0.9507108567822793,0.4852415905501465,0.4243634822942942,0.32611609659541546,0.156116983830892,0.10955757227289067,0.16236435842323754,0.4931231589186695,0.46786052526473365,0.46375473727036304,0.48587105380730583,1.592461501123414,0.7819016173299493,0.5885911456238191,0.2245724993675573,0.3272890350385587,0.2876741936542318,0.17435307550300025,0.23195231888111273,0.3211160221099316,0.2898167339350427,0.2052076047688492,0.4859340014295612,0.6141444747232664,0.7007667293352287,0.5095145770077304,0.2502414244634409,0.4724057490638426,0.3547123336609125,0.3320147436116166,0.17738653615356245,0.39020261340172174,0.22320851592808466,2.9906432193847436,0.3525133018988901,0.5015901909415483,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Lower Photic,3.5055901225763515,1.8115259338105907,0.8109999999999999,1.074,0.7990000000000002,0.7150000000000001,1.269,2.2159999999999997,2.6536666666666666,3.321125,2.907,3.382,2.437,4.25,5.943999999999999,0.8020000000000002,0.9530000000000001,0.679,0.8959999999999999,1.41,2.2199999999999998,1.4120000000000001,2.2059999999999995,2.313,2.9563333333333337,4.151999999999999,2.8819999999999997,1.7860000000000003,1.094,1.3619999999999999,0.8350000000000002,1.066,0.9030000000000001,0.7610000000000001,1.03,2.066,1.1219999999999999,1.47,0.483,0.46399999999999997,1.0859999999999999,0.34900000000000003,0.724,0.321,0.9970000000000001,1.939,3.183,5.618756277828416,6.774494817250951,2.5127567297509996,7.047080096739107,1.8347205860627027,1.763338188712868,1.3811038640156752,1.6992423959024023,1.7155247094586472,1.6255408002951213,0.9773544866432395,4.6209177885035375,3.149022442961131,2.3162256381711233,1.8618251416354874,1.528408365890563,1.618225434679383,1.107324742584661,1.4955793408602591,2.369443608648647,2.1875248581778197,1.99741400247146,3.282318988407293,8.969778294595027,3.256861381243695,3.2986998533922858,3.279659905098889,7.216399410815077,9.964533935400992,2.1237072810819524,1.5291135930778261,1.7338205632263641,2.4727411310216594,2.237668904335064,3.6369625607767717,6.137256071147533,2.364247632083844,1.9380980356056843,1.493457440786589,1.409164652971374,2.1684928595063733,2.7557867494449053,2.442569232851778,2.887287296839165,3.221827188930098,5.392293769300987,3.596855674845436,2.288687826441606,1.8510318951564773,2.587302182984638,1.7556415034944237,1.755748310602074,1.6025486021585997,1.782392178982412,1.692651315905413,2.284406661775302,2.058169708449019,2.838048352321886,2.670524825842341,2.0364453842187915,2.2627230253,1.29080202800141,1.925623088445669,2.3704925414209788,2.615616450167434,2.7079779523348404,2.9655513473559894,25.01278903053555,3.0587557597360937,3.137735825412859,0.34644754813099354,0.24760524157529554,0.02424412872795755,0.04141926551202414,0.07202622979011032,0.020138409955990973,0.05685263601823778,0.4645475696249464,0.7126276363909473,0.6767375912132494,0.05417051268397268,0.12044362443345293,0.22141213456658904,1.1998611030726292,0.965185071487444,0.013984117975601992,0.19872090982078358,0.056852636018237736,0.0875848794662133,0.3060864075533066,0.8594069157934326,0.3688661304893988,0.14841383583300666,0.47925984601257804,0.25330845123636125,0.1796787256311789,1.3066479590497544,0.5663960137963936,0.12321616055624447,0.34889667365695665,0.1040566085252531,0.06380525927469545,0.1022035007010795,0.017288403306519935,0.024494897427831803,0.4409635913416082,0.015491933384829583,0.3552463933666322,0.044733780424988795,0.05910442735813734,0.06603029607687669,0.07837941906733764,0.1163519564845292,0.04228212125447086,0.04448470398787531,0.25462172378299186,0.10198583779677993,0.1179057107967018,0.41751257925431723,0.4530622296009902,0.8932153003812272,0.10669471794248293,0.06423997496784178,0.056473134161230336,0.3875980877155783,0.37568778177192524,0.18364494238163032,0.06289444559176612,0.7487349422383202,0.6462437425238966,0.030958752151462467,0.13219616914278093,0.23449187567272317,0.42307777930598733,0.038944210777811836,0.10465849339336551,0.6083798848217932,0.2638964045307668,0.5202549577831053,0.056726411026984266,2.908496624195903,0.09377722953485894,0.1608065965624303,0.4294453773738767,3.413883337292212,3.7894676730602197,0.10071567615859876,0.07497769749472691,0.09536020532085752,0.08407790843907693,0.024843054838323088,0.11537856080638081,3.0762709580655234,0.44655744625416627,0.16473771128483558,0.2228743923483477,0.21293426719907596,0.35953939367722904,0.22463701339909792,0.2964096417671234,0.49506248380139606,0.3035364395095069,0.5928096812471199,0.0636677506017888,0.02409355208993358,0.22247687747685885,0.14347638594001666,0.27895877276108383,0.16382964108660455,0.1406955925243488,0.3081114314414399,0.16652109737053983,0.2332700316440012,0.3684809093746181,0.03696525136721505,0.19178705127692933,0.3335097969427787,0.13516720053086256,0.11923573447274204,0.32568529468957097,0.10428864269065097,0.4186050062987987,0.29016401056327634,0.5064037919923512,5.411145476862577,0.09561528439473603,0.052595166058223834,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Mid-Depth,4.6726295504782245,0.9003333333333334,0.7449999999999999,0.9470000000000001,0.5690000000000001,0.712,1.048,2.1220000000000003,2.908333333333333,3.1979999999999995,2.3025,3.0355000000000003,2.3369999999999997,6.584999999999999,3.211,0.642,0.729,0.501,0.631,1.8060000000000003,2.8245,1.65,2.203,2.3775000000000004,4.01,3.8590000000000004,3.8810000000000002,2.5679999999999996,0.74,0.8619999999999999,0.666,0.8029999999999999,0.777,0.771,1.0050000000000001,1.573,1.0859999999999999,1.7719999999999998,0.3970000000000001,0.437,0.993,0.5810000000000001,0.826,0.907,0.795,1.5240000000000002,3.075,5.688240281690459,6.801609533710748,3.827637874618717,6.897336470864007,1.7372469058779771,1.771278344468671,1.177996982823793,1.158706919439914,0.9576136825193213,1.244304555678802,1.8359173344129889,5.5764417691017885,3.4383459253459128,2.2850109864382544,1.9033539278417517,3.146622887345037,3.5923097190398527,1.15164208882869,1.1155937356856303,1.4400468759620701,1.3665641128835009,1.1965765860352398,3.338787096733809,5.106323633695529,3.0867657910833386,2.225919888544295,2.419504394808402,3.5818248594407036,2.893350122236858,1.419560045093654,1.262473051732485,1.394928229986339,2.0437178561340956,2.132734530100735,3.5055730187305443,10.213898400652495,3.226830171308703,2.844927073113071,1.856528462473636,1.414101303089838,1.6274601428901199,1.511992892980106,1.7033864687798652,1.787301836701469,2.7445183084196154,8.990225148949685,3.5731431443111865,2.218382765546313,2.1039112630389005,1.7583789843991577,1.4013171786209289,1.409085242957466,1.1059970316050858,1.4651293443114382,1.842780116966011,2.1567203857085357,1.7046762917636642,2.68425505770279,2.3965301391441534,2.512541934381396,2.0364731047999998,0.9286551265441032,1.285135606921022,1.501084654906814,2.613734651428427,1.706647423021273,2.1750009780627417,28.889942178109266,3.16365187476599,3.018033493678863,0.5052036848231332,0.2837917598574049,0.038369548110737804,0.35437111745864514,0.05952590472502987,0.014757295747452423,0.27911765738961525,0.02347575581554538,0.2618134761548692,0.4180058479123095,0.30313638294778583,0.21884101281270132,0.0573585215987999,0.2368426575692066,0.38466291159345684,0.13036700332352338,0.0369534241384416,0.06154492487425571,0.051088159097779196,0.046475800154489,0.29533831824235435,0.021602468994692852,0.11690927156465297,0.42259285633127097,0.32304110505561906,0.03381321240777544,0.3000907270217533,0.18316962387664362,0.17403703309608817,0.080938934457473,0.024129281427805127,0.09381423725166192,0.032335051500740765,0.18734697459230265,0.019002923751652315,0.14150382798120104,0.04623610902506582,0.19645751590498026,0.014181364924121757,0.004830458915396484,0.10594023472379763,0.05445691467165172,0.03204163957519442,0.2220635544663334,0.10490736654570812,0.17914612285319864,0.3609093453425051,0.08897194222793223,0.411413678530165,0.2022676787877196,0.8401331742846389,0.14949462387476703,0.061688338445722336,0.08589832561537639,0.022015349565467874,0.060397392687386565,0.07264329238581407,0.4050262685394445,0.7697581487864551,0.1855354856681264,0.03519970298429445,0.22403153783929206,0.4392621422631547,0.5166724512303024,0.03339213298713288,0.11160014476467671,0.019268265330052835,0.12405044223382494,0.05761721956113769,0.021179025065906024,2.7489804007230467,0.0698322161728927,0.4992343100227033,0.5179787815838263,0.14710576875464781,1.3971206521111477,0.12855822378636983,0.032028241853924576,0.03903128109687144,0.09276532236879652,0.03440133116846532,0.03420203579251822,1.5245904340447767,0.17102878606449595,0.23945019915621404,0.12572744451418572,0.20742791803764893,0.35065175036137336,0.21529502108285947,0.13894286525236904,0.07715115816450072,0.01651235949511333,2.744819178185757,0.053415280400446644,0.05065164486497819,0.09934453899154723,0.3343850954331161,0.029435190534186553,0.01621910833856095,0.07525630348440511,0.06746698441330203,0.20307666043804698,0.08593767784424998,0.017572727182792423,0.15428751066738935,0.054092163236831685,0.033493943534993305,0.07501353700728647,0.030119308902948443,0.13159342378368213,0.2657541925199297,0.16162324481228957,0.19710257537054546,0.41784268492430926,1.4856341625114977,0.09352421324008345,0.044136065922895165,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
